$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
-3.3,-1.2999999999999998,-3.5,-1.5,0.877
-0.5,1.5,-1.5,0.5,0.786
12.0,14.0,0.2,2.2,0.083
6.4,8.4,-3.8,-1.7999999999999998,0.083
9.2,11.2,-1.8,0.19999999999999996,0.083
1.6,3.6,0.0,2.0,0.61
-2.6,-0.6000000000000001,-3.0,-1.0,0.852
9.9,11.9,-1.3,0.7,0.083
10.6,12.6,-0.8,1.2,0.083
11.3,13.3,-0.3,1.7,0.083
0.2,2.2,-1.0,1.0,0.692
0.9,2.9,-0.5,1.5,0.667
12.7,14.7,0.7,2.7,0.083
-1.2,0.8,-2.0,0.0,0.801
-1.9,0.10000000000000009,-2.5,-0.5,0.828
-4.0,-2.0,-4.0,-2.0,0.857
7.8,9.8,-2.8,-0.7999999999999998,0.083
7.1,9.1,-3.3,-1.2999999999999998,0.083
2.3,4.3,0.5,2.5,0.59
8.5,10.5,-2.3,-0.2999999999999998,0.083
6.5,8.5,-3.8,-1.7999999999999998,0.11
-3.2,-1.2000000000000002,-3.5,-1.5,0.865
-0.4,1.6,-1.5,0.5,0.738
-2.5,-0.5,-3.0,-1.0,0.832
10.0,12.0,-1.3,0.7,0.11
9.3,11.3,-1.8,0.19999999999999996,0.11
1.7,3.7,0.0,2.0,0.596
12.1,14.1,0.2,2.2,0.11
0.3,2.3,-1.0,1.0,0.681
10.7,12.7,-0.8,1.2,0.11
-1.8,0.19999999999999996,-2.5,-0.5,0.837
12.8,14.8,0.7,2.7,0.11
-3.9,-1.9,-4.0,-2.0,0.881
2.4,4.4,0.5,2.5,0.523
7.2,9.2,-3.3,-1.2999999999999998,0.11
1.0,3.0,-0.5,1.5,0.645
-1.1,0.8999999999999999,-2.0,0.0,0.808
11.4,13.4,-0.3,1.7,0.11
7.9,9.9,-2.8,-0.7999999999999998,0.11
8.6,10.6,-2.3,-0.2999999999999998,0.11
-2.4,-0.3999999999999999,-3.0,-1.0,0.83
10.1,12.1,-1.3,0.7,0.097
6.6,8.6,-3.8,-1.7999999999999998,0.097
-3.1,-1.1,-3.5,-1.5,0.835
-0.3,1.7,-1.5,0.5,0.73
1.8,3.8,0.0,2.0,0.539
-1.0,1.0,-2.0,0.0,0.759
0.4,2.4,-1.0,1.0,0.651
12.2,14.2,0.2,2.2,0.097
9.4,11.4,-1.8,0.19999999999999996,0.097
1.1,3.1,-0.5,1.5,0.639
10.8,12.8,-0.8,1.2,0.097
2.5,4.5,0.5,2.5,0.477
8.0,10.0,-2.8,-0.7999999999999998,0.097
8.7,10.7,-2.3,-0.2999999999999998,0.097
7.3,9.3,-3.3,-1.2999999999999998,0.097
12.9,14.9,0.7,2.7,0.097
-1.7,0.30000000000000004,-2.5,-0.5,0.79
-3.8,-1.7999999999999998,-4.0,-2.0,0.846
-2.3,-0.2999999999999998,-3.0,-1.0,0.79
11.5,13.5,-0.3,1.7,0.097
10.2,12.2,-1.3,0.7,0.1
6.7,8.7,-3.8,-1.7999999999999998,0.1
1.2,3.2,-0.5,1.5,0.603
-0.9,1.1,-2.0,0.0,0.759
-0.2,1.8,-1.5,0.5,0.699
-3.0,-1.0,-3.5,-1.5,0.842
12.3,14.3,0.2,2.2,0.1
0.5,2.5,-1.0,1.0,0.629
2.6,4.6,0.5,2.5,0.448
1.9,3.9,0.0,2.0,0.502
-3.7,-1.7000000000000002,-4.0,-2.0,0.822
-1.6,0.3999999999999999,-2.5,-0.5,0.792
10.9,12.9,-0.8,1.2,0.1
13.0,15.0,0.7,2.7,0.1
8.1,10.1,-2.8,-0.7999999999999998,0.1
7.4,9.4,-3.3,-1.2999999999999998,0.1
9.5,11.5,-1.8,0.19999999999999996,0.1
8.8,10.8,-2.3,-0.2999999999999998,0.1
-2.2,-0.20000000000000018,-3.0,-1.0,0.816
11.6,13.6,-0.3,1.7,0.1
-0.8,1.2,-2.0,0.0,0.715
6.8,8.8,-3.8,-1.7999999999999998,0.098
10.3,12.3,-1.3,0.7,0.098
12.4,14.4,0.2,2.2,0.098
2.0,4.0,0.0,2.0,0.496
1.3,3.3,-0.5,1.5,0.549
-2.9,-0.8999999999999999,-3.5,-1.5,0.824
7.5,9.5,-3.3,-1.2999999999999998,0.098
2.7,4.7,0.5,2.5,0.438
-0.1,1.9,-1.5,0.5,0.693
13.1,15.1,0.7,2.7,0.098
0.6,2.6,-1.0,1.0,0.639
8.2,10.2,-2.8,-0.7999999999999998,0.098
-3.6,-1.6,-4.0,-2.0,0.841
8.9,10.9,-2.3,-0.2999999999999998,0.098
11.7,13.7,-0.3,1.7,0.098
9.6,11.6,-1.8,0.19999999999999996,0.098
-2.1,-0.10000000000000009,-3.0,-1.0,0.797
-1.5,0.5,-2.5,-0.5,0.754
11.0,13.0,-0.8,1.2,0.098
-0.7,1.3,-2.0,0.0,0.711
6.9,8.9,-3.8,-1.7999999999999998,0.1
-2.8,-0.7999999999999998,-3.5,-1.5,0.82
7.6,9.6,-3.3,-1.2999999999999998,0.1
2.1,4.1,0.0,2.0,0.448
10.4,12.4,-1.3,0.7,0.1
2.8,4.8,0.5,2.5,0.414
13.2,15.2,0.7,2.7,0.1
1.4,3.4,-0.5,1.5,0.518
11.8,13.8,-0.3,1.7,0.1
12.5,14.5,0.2,2.2,0.1
8.3,10.3,-2.8,-0.7999999999999998,0.1
0.0,2.0,-1.5,0.5,0.668
-3.5,-1.5,-4.0,-2.0,0.826
0.7,2.7,-1.0,1.0,0.568
9.7,11.7,-1.8,0.19999999999999996,0.1
9.0,11.0,-2.3,-0.2999999999999998,0.1
-2.0,0.0,-3.0,-1.0,0.724
11.1,13.1,-0.8,1.2,0.1
-1.4,0.6000000000000001,-2.5,-0.5,0.752
7.0,9.0,-3.8,-1.7999999999999998,0.107
-0.6,1.4,-2.0,0.0,0.684
-2.7,-0.7000000000000002,-3.5,-1.5,0.816
13.3,15.3,0.7,2.7,0.107
11.9,13.9,-0.3,1.7,0.107
10.5,12.5,-1.3,0.7,0.107
8.4,10.4,-2.8,-0.7999999999999998,0.107
0.1,2.1,-1.5,0.5,0.601
7.7,9.7,-3.3,-1.2999999999999998,0.107
2.2,4.2,0.0,2.0,0.432
-3.4,-1.4,-4.0,-2.0,0.818
2.9,4.9,0.5,2.5,0.376
