,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,-4,-8,-4,-4,0.803
1,-4,-8,-3.9,-3.9,0.801
2,-4,-8,-3.8,-3.8,0.794
3,-4,-8,-3.7,-3.7,0.769
4,-4,-8,-3.6,-3.6,0.733
5,-4,-8,-3.5,-3.5,0.741
6,-4,-8,-3.4,-3.4,0.702
7,-4,-8,-3.3,-3.3,0.709
8,-4,-8,-3.2,-3.2,0.66
9,-4,-8,-3.1,-3.1,0.655
10,-4,-8,-3,-3,0.593
11,-4,-8,-2.9,-2.9,0.584
12,-4,-8,-2.8,-2.8,0.549
13,-4,-8,-2.7,-2.7,0.489
14,-4,-8,-2.6,-2.6,0.467
15,-4,-8,-2.5,-2.5,0.441
16,-4,-8,-2.4,-2.4,0.399
17,-4,-8,-2.3,-2.3,0.355
18,-4,-8,-2.2,-2.2,0.312
19,-4,-8,-2.1,-2.1,0.297
20,-4,-8,-2,-2,0.268
21,-4,-8,-1.9,-1.9,0.257
22,-4,-8,-1.8,-1.8,0.228
23,-4,-8,-1.7,-1.7,0.21
24,-4,-8,-1.6,-1.6,0.197
25,-4,-8,-1.5,-1.5,0.19
26,-4,-8,-1.4,-1.4,0.188
27,-4,-8,-1.3,-1.3,0.151
28,-4,-8,-1.2,-1.2,0.162
29,-4,-8,-1.1,-1.1,0.138
30,-4,-8,-1,-1,0.136
31,-4,-8,-0.9,-0.9,0.147
32,-4,-8,-0.8,-0.8,0.129
33,-4,-8,-0.7,-0.7,0.131
34,-4,-8,-0.6,-0.6,0.129
35,-4,-8,-0.5,-0.5,0.119
36,-4,-8,-0.4,-0.4,0.118
37,-4,-8,-0.3,-0.3,0.12
38,-4,-8,-0.2,-0.2,0.118
39,-4,-8,-0.1,-0.1,0.103
40,-4,-8,0,0,0.088
41,-4,-8,0.1,0.1,0.113
42,-4,-8,0.2,0.2,0.104
43,-4,-8,0.3,0.3,0.115
44,-4,-8,0.4,0.4,0.089
45,-4,-8,0.5,0.5,0.097
46,-4,-8,0.6,0.6,0.114
47,-4,-8,0.7,0.7,0.111
48,-4,-8,0.8,0.8,0.098
49,-4,-8,0.9,0.9,0.085
50,-4,-8,1,1,0.096
51,-4,-8,1.1,1.1,0.096
52,-4,-8,1.2,1.2,0.102
53,-4,-8,1.3,1.3,0.091
