$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
1.2,1.2,5.0,7.0,0.112
0.0,0.0,-4.0,-2.0,0.633
1.0,1.0,0.8,2.8,0.344
0.3,0.3,2.3,4.3,0.129
0.9,0.9,-1.3,0.7,0.744
0.1,0.1,-1.9,0.10000000000000009,0.694
0.4,0.4,4.4,6.4,0.1
1.1,1.1,2.9,4.9,0.118
0.6,0.6,8.6,10.6,0.082
0.5,0.5,6.5,8.5,0.108
0.8,0.8,-3.4,-1.4,0.585
0.2,0.2,0.2,2.2,0.294
1.1,1.1,3.0,5.0,0.155
1.2,1.2,5.1,7.1,0.092
0.1,0.1,-1.8,0.19999999999999996,0.683
1.0,1.0,0.9,2.9,0.337
0.0,0.0,-3.9,-1.9,0.648
0.6,0.6,8.7,10.7,0.097
0.3,0.3,2.4,4.4,0.121
0.4,0.4,4.5,6.5,0.109
0.5,0.5,6.6,8.6,0.109
0.8,0.8,-3.3,-1.2999999999999998,0.588
0.9,0.9,-1.2,0.8,0.707
0.2,0.2,0.3,2.3,0.294
0.1,0.1,-1.7,0.30000000000000004,0.69
1.0,1.0,1.0,3.0,0.324
1.1,1.1,3.1,5.1,0.124
1.2,1.2,5.2,7.2,0.089
0.3,0.3,2.5,4.5,0.111
0.6,0.6,8.8,10.8,0.092
0.5,0.5,6.7,8.7,0.109
0.4,0.4,4.6,6.6,0.099
0.9,0.9,-1.1,0.8999999999999999,0.695
0.8,0.8,-3.2,-1.2000000000000002,0.636
0.2,0.2,0.4,2.4,0.274
0.0,0.0,-3.8,-1.7999999999999998,0.683
0.1,0.1,-1.6,0.3999999999999999,0.684
1.0,1.0,1.1,3.1,0.293
1.2,1.2,5.3,7.3,0.085
0.6,0.6,8.9,10.9,0.098
0.3,0.3,2.6,4.6,0.113
1.1,1.1,3.2,5.2,0.114
0.4,0.4,4.7,6.7,0.089
0.8,0.8,-3.1,-1.1,0.659
0.5,0.5,6.8,8.8,0.115
0.2,0.2,0.5,2.5,0.225
0.9,0.9,-1.0,1.0,0.697
0.0,0.0,-3.7,-1.7000000000000002,0.69
0.1,0.1,-1.5,0.5,0.68
1.0,1.0,1.2,3.2,0.282
0.6,0.6,9.0,11.0,0.088
0.4,0.4,4.8,6.8,0.106
0.3,0.3,2.7,4.7,0.124
1.1,1.1,3.3,5.3,0.125
0.8,0.8,-3.0,-1.0,0.652
0.5,0.5,6.9,8.9,0.09
1.2,1.2,5.4,7.4,0.11
0.2,0.2,0.6,2.6,0.237
0.9,0.9,-0.9,1.1,0.693
0.0,0.0,-3.6,-1.6,0.694
0.1,0.1,-1.4,0.6000000000000001,0.647
1.0,1.0,1.3,3.3,0.273
0.4,0.4,4.9,6.9,0.1
0.3,0.3,2.8,4.8,0.126
0.6,0.6,9.1,11.1,0.099
1.1,1.1,3.4,5.4,0.106
0.2,0.2,0.7,2.7,0.228
