,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,0.0,0.0,-4.0,1.0,0.344
1,0.0,0.0,-3.9,1.1,0.319
2,0.0,0.0,-3.8,1.2000000000000002,0.34
3,0.0,0.0,-3.7,1.2999999999999998,0.329
4,0.0,0.0,-3.6,1.4,0.296
5,0.0,0.0,-3.5,1.5,0.3
6,0.0,0.0,-3.4,1.6,0.32
7,0.0,0.0,-3.3,1.7000000000000002,0.32
8,0.0,0.0,-3.2,1.7999999999999998,0.299
9,0.0,0.0,-3.1,1.9,0.247
10,0.0,0.0,-3.0,2.0,0.279
11,0.0,0.0,-2.9,2.1,0.267
12,0.0,0.0,-2.8,2.2,0.261
13,0.0,0.0,-2.7,2.3,0.225
14,0.0,0.0,-2.6,2.4,0.273
15,0.0,0.0,-2.5,2.5,0.249
16,0.0,0.0,-2.4,2.6,0.239
17,0.0,0.0,-2.3,2.7,0.233
18,0.0,0.0,-2.2,2.8,0.245
19,0.0,0.0,-2.1,2.9,0.249
20,0.0,0.0,-2.0,3.0,0.248
21,0.0,0.0,-1.9,3.1,0.215
22,0.0,0.0,-1.8,3.2,0.231
23,0.0,0.0,-1.7,3.3,0.226
24,0.0,0.0,-1.6,3.4,0.225
25,0.0,0.0,-1.5,3.5,0.22
26,0.0,0.0,-1.4,3.6,0.218
27,0.0,0.0,-1.3,3.7,0.207
28,0.0,0.0,-1.2,3.8,0.202
29,0.0,0.0,-1.1,3.9,0.224
30,0.0,0.0,-1.0,4.0,0.189
31,0.0,0.0,-0.9,4.1,0.2
32,0.0,0.0,-0.8,4.2,0.198
33,0.0,0.0,-0.7,4.3,0.178
34,0.0,0.0,-0.6,4.4,0.182
35,0.0,0.0,-0.5,4.5,0.182
36,0.0,0.0,-0.4,4.6,0.163
37,0.0,0.0,-0.3,4.7,0.172
38,0.0,0.0,-0.2,4.8,0.164
39,0.0,0.0,-0.1,4.9,0.135
40,0.0,0.0,0.0,5.0,0.163
41,0.0,0.0,0.1,5.1,0.151
42,0.0,0.0,0.2,5.2,0.168
43,0.0,0.0,0.3,5.3,0.132
44,0.0,0.0,0.4,5.4,0.14
45,0.0,0.0,0.5,5.5,0.133
46,0.0,0.0,0.6,5.6,0.121
47,0.0,0.0,0.7,5.7,0.128
48,0.0,0.0,0.8,5.8,0.124
49,0.0,0.0,0.9,5.9,0.137
50,0.0,0.0,1.0,6.0,0.13
51,0.0,0.0,1.1,6.1,0.116
52,0.0,0.0,1.2,6.2,0.135
53,0.0,0.0,1.3,6.3,0.118
54,0.0,0.0,1.4,6.4,0.132
55,0.0,0.0,1.5,6.5,0.102
56,0.0,0.0,1.6,6.6,0.105
57,0.0,0.0,1.7,6.7,0.129
58,0.0,0.0,1.8,6.8,0.104
59,0.0,0.0,1.9,6.9,0.099
60,0.0,0.0,2.0,7.0,0.116
61,0.0,0.0,2.1,7.1,0.11
62,0.0,0.0,2.2,7.2,0.103
63,0.0,0.0,2.3,7.3,0.098
64,0.0,0.0,2.4,7.4,0.101
65,0.0,0.0,2.5,7.5,0.092
66,0.0,0.0,2.6,7.6,0.11
67,0.0,0.0,2.7,7.7,0.106
68,0.0,0.0,2.8,7.8,0.097
69,0.0,0.0,2.9,7.9,0.113
70,0.0,0.0,3.0,8.0,0.089
71,0.0,0.0,3.1,8.1,0.086
72,0.0,0.0,3.2,8.2,0.091
73,0.0,0.0,3.3,8.3,0.087
74,0.0,0.0,3.4,8.4,0.106
75,0.0,0.0,3.5,8.5,0.093
76,0.0,0.0,3.6,8.6,0.11
77,0.0,0.0,3.7,8.7,0.111
78,0.0,0.0,3.8,8.8,0.106
79,0.0,0.0,3.9,8.9,0.112
80,0.0,0.0,4.0,9.0,0.098
81,0.0,0.0,4.1,9.1,0.094
82,0.0,0.0,4.2,9.2,0.103
83,0.0,0.0,4.3,9.3,0.103
84,0.0,0.0,4.4,9.4,0.093
85,0.0,0.0,4.5,9.5,0.109
86,0.0,0.0,4.6,9.6,0.089
87,0.0,0.0,4.7,9.7,0.09
88,0.0,0.0,4.8,9.8,0.097
89,0.0,0.0,4.9,9.9,0.094
90,0.0,0.0,5.0,10.0,0.079
91,0.0,0.0,5.1,10.1,0.101
92,0.0,0.0,5.2,10.2,0.11
