$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,5.0,-4.0,1.0,0.32
0.9,5.9,2.9,7.9,0.255
0.6,5.6,0.6,5.6,0.392
1.5,6.5,7.5,12.5,0.099
1.8,6.8,9.8,14.8,0.103
0.3,5.3,-1.7,3.3,0.379
1.2,6.2,5.2,10.2,0.17
2.2,7.2,-2.0,3.0,0.314
0.6,5.6,0.7,5.7,0.371
1.5,6.5,7.6,12.6,0.098
0.9,5.9,3.0,8.0,0.227
1.8,6.8,9.9,14.9,0.098
0.0,5.0,-3.9,1.1,0.319
0.3,5.3,-1.6,3.4,0.357
2.2,7.2,-1.9,3.1,0.313
1.2,6.2,5.3,10.3,0.174
0.6,5.6,0.8,5.8,0.372
0.9,5.9,3.1,8.1,0.235
1.5,6.5,7.7,12.7,0.136
2.2,7.2,-1.8,3.2,0.307
1.8,6.8,10.0,15.0,0.098
0.3,5.3,-1.5,3.5,0.368
0.0,5.0,-3.8,1.2000000000000002,0.263
1.2,6.2,5.4,10.4,0.161
0.6,5.6,0.9,5.9,0.339
1.5,6.5,7.8,12.8,0.113
0.9,5.9,3.2,8.2,0.232
1.9,6.9,-4.0,1.0,0.391
2.2,7.2,-1.7,3.3,0.314
0.3,5.3,-1.4,3.6,0.387
1.2,6.2,5.5,10.5,0.153
0.0,5.0,-3.7,1.2999999999999998,0.31
0.6,5.6,1.0,6.0,0.347
0.9,5.9,3.3,8.3,0.243
1.9,6.9,-3.9,1.1,0.421
1.5,6.5,7.9,12.9,0.104
2.2,7.2,-1.6,3.4,0.307
0.3,5.3,-1.3,3.7,0.392
1.2,6.2,5.6,10.6,0.166
0.0,5.0,-3.6,1.4,0.299
0.6,5.6,1.1,6.1,0.323
0.9,5.9,3.4,8.4,0.211
2.2,7.2,-1.5,3.5,0.266
1.9,6.9,-3.8,1.2000000000000002,0.401
1.5,6.5,8.0,13.0,0.11
0.3,5.3,-1.2,3.8,0.382
1.2,6.2,5.7,10.7,0.14
0.0,5.0,-3.5,1.5,0.295
0.6,5.6,1.2,6.2,0.321
2.2,7.2,-1.4,3.6,0.315
1.9,6.9,-3.7,1.2999999999999998,0.406
0.9,5.9,3.5,8.5,0.23
1.5,6.5,8.1,13.1,0.123
0.3,5.3,-1.1,3.9,0.413
1.2,6.2,5.8,10.8,0.169
0.6,5.6,1.3,6.3,0.309
0.0,5.0,-3.4,1.6,0.289
1.9,6.9,-3.6,1.4,0.421
0.9,5.9,3.6,8.6,0.227
2.2,7.2,-1.3,3.7,0.305
0.3,5.3,-1.0,4.0,0.408
1.5,6.5,8.2,13.2,0.109
1.2,6.2,5.9,10.9,0.135
0.6,5.6,1.4,6.4,0.348
0.0,5.0,-3.3,1.7000000000000002,0.284
1.9,6.9,-3.5,1.5,0.402
0.9,5.9,3.7,8.7,0.221
0.3,5.3,-0.9,4.1,0.423
2.2,7.2,-1.2,3.8,0.289
1.5,6.5,8.3,13.3,0.112
1.2,6.2,6.0,11.0,0.16
0.6,5.6,1.5,6.5,0.32
1.9,6.9,-3.4,1.6,0.405
0.0,5.0,-3.2,1.7999999999999998,0.286
0.9,5.9,3.8,8.8,0.222
0.3,5.3,-0.8,4.2,0.411
2.2,7.2,-1.1,3.9,0.267
1.5,6.5,8.4,13.4,0.104
1.2,6.2,6.1,11.1,0.166
0.6,5.6,1.6,6.6,0.29
0.0,5.0,-3.1,1.9,0.297
1.9,6.9,-3.3,1.7000000000000002,0.414
0.3,5.3,-0.7,4.3,0.444
0.9,5.9,3.9,8.9,0.191
2.2,7.2,-1.0,4.0,0.289
1.5,6.5,8.5,13.5,0.098
1.2,6.2,6.2,11.2,0.129
0.0,5.0,-3.0,2.0,0.279
1.9,6.9,-3.2,1.7999999999999998,0.366
0.6,5.6,1.7,6.7,0.308
2.2,7.2,-0.9,4.1,0.279
0.9,5.9,4.0,9.0,0.22
0.3,5.3,-0.6,4.4,0.44
1.5,6.5,8.6,13.6,0.106
1.2,6.2,6.3,11.3,0.156
1.9,6.9,-3.1,1.9,0.386
0.0,5.0,-2.9,2.1,0.297
0.6,5.6,1.8,6.8,0.286
2.2,7.2,-0.8,4.2,0.285
0.9,5.9,4.1,9.1,0.205
0.3,5.3,-0.5,4.5,0.425
1.9,6.9,-3.0,2.0,0.389
1.5,6.5,8.7,13.7,0.104
1.2,6.2,6.4,11.4,0.12
0.0,5.0,-2.8,2.2,0.298
0.6,5.6,1.9,6.9,0.275
2.2,7.2,-0.7,4.3,0.305
0.9,5.9,4.2,9.2,0.215
0.3,5.3,-0.4,4.6,0.395
1.9,6.9,-2.9,2.1,0.367
1.5,6.5,8.8,13.8,0.093
1.2,6.2,6.5,11.5,0.143
0.6,5.6,2.0,7.0,0.269
0.0,5.0,-2.7,2.3,0.304
2.2,7.2,-0.6,4.4,0.289
0.9,5.9,4.3,9.3,0.189
1.9,6.9,-2.8,2.2,0.351
0.3,5.3,-0.3,4.7,0.433
1.5,6.5,8.9,13.9,0.117
1.2,6.2,6.6,11.6,0.137
0.0,5.0,-2.6,2.4,0.297
0.6,5.6,2.1,7.1,0.274
2.2,7.2,-0.5,4.5,0.297
0.9,5.9,4.4,9.4,0.193
1.9,6.9,-2.7,2.3,0.341
1.5,6.5,9.0,14.0,0.086
0.3,5.3,-0.2,4.8,0.428
1.2,6.2,6.7,11.7,0.142
0.0,5.0,-2.5,2.5,0.31
0.6,5.6,2.2,7.2,0.273
2.2,7.2,-0.4,4.6,0.301
0.9,5.9,4.5,9.5,0.192
1.9,6.9,-2.6,2.4,0.35
1.5,6.5,9.1,14.1,0.098
1.2,6.2,6.8,11.8,0.11
0.3,5.3,-0.1,4.9,0.397
0.6,5.6,2.3,7.3,0.249
0.0,5.0,-2.4,2.6,0.303
2.2,7.2,-0.3,4.7,0.315
0.9,5.9,4.6,9.6,0.195
1.9,6.9,-2.5,2.5,0.336
1.5,6.5,9.2,14.2,0.093
1.2,6.2,6.9,11.9,0.104
0.3,5.3,0.0,5.0,0.401
0.0,5.0,-2.3,2.7,0.346
0.6,5.6,2.4,7.4,0.253
2.2,7.2,-0.2,4.8,0.33
0.9,5.9,4.7,9.7,0.183
1.9,6.9,-2.4,2.6,0.308
1.5,6.5,9.3,14.3,0.093
1.2,6.2,7.0,12.0,0.129
0.3,5.3,0.1,5.1,0.412
0.0,5.0,-2.2,2.8,0.351
0.6,5.6,2.5,7.5,0.239
2.2,7.2,-0.1,4.9,0.319
0.9,5.9,4.8,9.8,0.18
1.9,6.9,-2.3,2.7,0.332
1.2,6.2,7.1,12.1,0.123
1.5,6.5,9.4,14.4,0.109
0.3,5.3,0.2,5.2,0.378
0.0,5.0,-2.1,2.9,0.362
0.6,5.6,2.6,7.6,0.225
2.2,7.2,0.0,5.0,0.338
0.9,5.9,4.9,9.9,0.175
1.9,6.9,-2.2,2.8,0.317
