opt,$\sigma_{h}$,Rate of correct choice
2,0,0.746
2,0.01,0.778
2,0.02,0.774
2,0.03,0.773
2,0.04,0.792
2,0.05,0.798
2,0.06,0.798
2,0.07,0.808
2,0.08,0.814
2,0.09,0.815
2,0.1,0.85
2,0.11,0.836
2,0.12,0.858
2,0.13,0.865
2,0.14,0.868
2,0.15,0.868
2,0.16,0.872
2,0.17,0.898
2,0.18,0.898
2,0.19,0.874
2,0.2,0.887
2,0.21,0.887
2,0.22,0.905
2,0.23,0.914
2,0.24,0.915
2,0.25,0.914
2,0.26,0.927
2,0.27,0.93
2,0.28,0.93
2,0.29,0.924
2,0.3,0.929
2,0.31,0.941
2,0.32,0.932
2,0.33,0.931
2,0.34,0.936
2,0.35,0.948
2,0.36,0.943
2,0.37,0.958
2,0.38,0.95
2,0.39,0.952
2,0.4,0.957
2,0.41,0.962
2,0.42,0.961
2,0.43,0.952
2,0.44,0.96
2,0.45,0.957
2,0.46,0.963
2,0.47,0.958
2,0.48,0.956
2,0.49,0.96
2,0.5,0.954
2,0.51,0.964
2,0.52,0.965
2,0.53,0.966
2,0.54,0.965
2,0.55,0.972
2,0.56,0.967
2,0.57,0.964
2,0.58,0.966
2,0.59,0.961
2,0.6,0.962
2,0.61,0.965
2,0.62,0.974
2,0.63,0.962
2,0.64,0.962
2,0.65,0.967
2,0.66,0.966
2,0.67,0.966
2,0.68,0.971
2,0.69,0.966
2,0.7,0.974
2,0.71,0.97
2,0.72,0.971
2,0.73,0.954
2,0.74,0.967
2,0.75,0.963
2,0.76,0.952
2,0.77,0.959
2,0.78,0.964
2,0.79,0.964
2,0.8,0.958
2,0.81,0.97
2,0.82,0.971
2,0.83,0.949
2,0.84,0.958
2,0.85,0.964
2,0.86,0.96
2,0.87,0.966
2,0.88,0.968
2,0.89,0.965
2,0.9,0.958
2,0.91,0.963
2,0.92,0.956
2,0.93,0.957
2,0.94,0.961
2,0.95,0.95
2,0.96,0.946
2,0.97,0.96
2,0.98,0.96
2,0.99,0.955
2,1,0.954
2,1.01,0.958
2,1.02,0.952
2,1.03,0.945
2,1.04,0.942
2,1.05,0.959
2,1.06,0.939
2,1.07,0.947
2,1.08,0.949
2,1.09,0.954
2,1.1,0.952
2,1.11,0.96
2,1.12,0.939
2,1.13,0.954
2,1.14,0.953
2,1.15,0.944
2,1.16,0.947
2,1.17,0.95
2,1.18,0.946
2,1.19,0.948
2,1.2,0.952
2,1.21,0.953
2,1.22,0.949
2,1.23,0.946
2,1.24,0.958
2,1.25,0.956
2,1.26,0.951
2,1.27,0.945
2,1.28,0.937
2,1.29,0.953
2,1.3,0.941
2,1.31,0.959
2,1.32,0.952
2,1.33,0.944
2,1.34,0.938
2,1.35,0.949
2,1.36,0.931
2,1.37,0.94
2,1.38,0.949
2,1.39,0.944
2,1.4,0.941
2,1.41,0.932
2,1.42,0.951
2,1.43,0.954
2,1.44,0.947
2,1.45,0.949
2,1.46,0.94
2,1.47,0.948
2,1.48,0.945
2,1.49,0.94
2,1.5,0.939
2,1.51,0.932
2,1.52,0.927
2,1.53,0.948
2,1.54,0.943
2,1.55,0.945
2,1.56,0.941
2,1.57,0.947
2,1.58,0.934
2,1.59,0.937
2,1.6,0.941
2,1.61,0.939
2,1.62,0.934
2,1.63,0.926
2,1.64,0.924
2,1.65,0.921
2,1.66,0.932
2,1.67,0.934
2,1.68,0.93
2,1.69,0.928
2,1.7,0.932
2,1.71,0.926
2,1.72,0.932
2,1.73,0.93
2,1.74,0.931
2,1.75,0.921
2,1.76,0.932
2,1.77,0.938
2,1.78,0.921
2,1.79,0.928
2,1.8,0.93
2,1.81,0.936
2,1.82,0.928
2,1.83,0.933
2,1.84,0.922
2,1.85,0.934
2,1.86,0.92
2,1.87,0.94
2,1.88,0.928
2,1.89,0.922
2,1.9,0.933
2,1.91,0.931
2,1.92,0.922
2,1.93,0.934
2,1.94,0.923
2,1.95,0.922
2,1.96,0.93
2,1.97,0.928
2,1.98,0.917
2,1.99,0.92
2,2,0.927
2,2.01,0.92
2,2.02,0.93
2,2.03,0.916
2,2.04,0.917
2,2.05,0.923
2,2.06,0.914
2,2.07,0.917
2,2.08,0.915
2,2.09,0.905
2,2.1,0.929
2,2.11,0.907
2,2.12,0.929
2,2.13,0.916
2,2.14,0.923
2,2.15,0.912
2,2.16,0.917
2,2.17,0.919
2,2.18,0.933
2,2.19,0.919
2,2.2,0.923
2,2.21,0.916
2,2.22,0.923
2,2.23,0.903
2,2.24,0.907
2,2.25,0.909
2,2.26,0.916
2,2.27,0.917
2,2.28,0.912
2,2.29,0.902
2,2.3,0.917
2,2.31,0.908
2,2.32,0.905
2,2.33,0.895
2,2.34,0.917
2,2.35,0.904
2,2.36,0.909
2,2.37,0.913
2,2.38,0.885
2,2.39,0.89
2,2.4,0.914
2,2.41,0.913
2,2.42,0.895
