$\mu_{h}$,$\mu_{x}$,success_rate
1.0,1.0,0.615
1.0,1.08,0.535
1.0,1.16,0.5
1.0,1.24,0.4
1.0,1.32,0.43
1.0,1.4,0.37
1.0,1.48,0.335
1.0,1.56,0.32
1.0,1.64,0.255
1.0,1.72,0.21
1.0,1.8,0.21
1.0,1.88,0.155
1.0,1.96,0.185
1.0,2.04,0.145
1.0,2.12,0.11
1.0,2.2,0.1
1.0,2.28,0.06
1.0,2.36,0.09
1.0,2.44,0.045
1.0,2.52,0.04
1.0,2.6,0.04
1.0,2.68,0.075
1.0,2.76,0.06
1.0,2.84,0.04
1.0,2.92,0.035
1.0,3.0,0.03
1.0,3.08,0.02
1.0,3.16,0.03
1.0,3.24,0.01
1.0,3.32,0.02
1.0,3.4,0.015
1.0,3.48,0.04
1.0,3.56,0.025
1.0,3.64,0.005
1.0,3.72,0.04
1.0,3.8,0.03
1.0,3.88,0.03
1.0,3.96,0.015
1.0,4.04,0.02
1.0,4.12,0.025
1.0,4.2,0.015
1.0,4.28,0.005
1.0,4.36,0.015
1.0,4.44,0.005
1.0,4.52,0.015
1.0,4.6,0.015
1.0,4.68,0.015
1.0,4.76,0.015
1.0,4.84,0.025
1.0,4.92,0.01
1.0,5.0,0.0
1.0,5.08,0.005
1.0,5.16,0.01
1.0,5.24,0.015
1.0,5.32,0.015
1.0,5.4,0.0
1.0,5.48,0.02
1.0,5.56,0.005
1.0,5.64,0.015
1.0,5.72,0.005
1.0,5.8,0.01
1.0,5.88,0.02
1.0,5.96,0.01
1.0,6.04,0.0
1.0,6.12,0.01
1.0,6.2,0.005
1.0,6.28,0.015
1.0,6.36,0.01
1.0,6.44,0.01
1.0,6.52,0.005
1.0,6.6,0.005
1.0,6.68,0.01
1.0,6.76,0.02
1.0,6.84,0.005
1.0,6.92,0.01
1.0,7.0,0.03
1.0,7.08,0.01
1.0,7.16,0.0
1.0,7.24,0.025
1.0,7.32,0.015
1.0,7.4,0.0
1.0,7.48,0.015
1.0,7.56,0.01
1.0,7.64,0.005
1.0,7.72,0.005
1.0,7.8,0.005
1.0,7.88,0.02
1.0,7.96,0.025
1.0,8.04,0.015
1.0,8.12,0.015
1.0,8.2,0.025
1.0,8.28,0.005
1.0,8.36,0.005
1.0,8.44,0.005
1.0,8.52,0.01
1.0,8.6,0.01
1.0,8.68,0.005
1.0,8.76,0.005
1.0,8.84,0.01
1.0,8.92,0.01
1.0,9.0,0.01
1.08,1.0,0.59
1.08,1.08,0.605
1.08,1.16,0.485
1.08,1.24,0.445
1.08,1.32,0.395
1.08,1.4,0.355
1.08,1.48,0.36
1.08,1.56,0.315
1.08,1.64,0.285
1.08,1.72,0.22
1.08,1.8,0.19
1.08,1.88,0.145
1.08,1.96,0.175
1.08,2.04,0.14
1.08,2.12,0.075
1.08,2.2,0.085
1.08,2.28,0.105
1.08,2.36,0.05
1.08,2.44,0.07
1.08,2.52,0.075
1.08,2.6,0.04
1.08,2.68,0.035
1.08,2.76,0.035
1.08,2.84,0.04
1.08,2.92,0.055
1.08,3.0,0.055
1.08,3.08,0.025
1.08,3.16,0.01
1.08,3.24,0.04
1.08,3.32,0.01
1.08,3.4,0.015
1.08,3.48,0.035
1.08,3.56,0.015
1.08,3.64,0.03
1.08,3.72,0.005
1.08,3.8,0.015
1.08,3.88,0.04
1.08,3.96,0.01
1.08,4.04,0.03
1.08,4.12,0.035
1.08,4.2,0.02
1.08,4.28,0.01
1.08,4.36,0.015
1.08,4.44,0.01
1.08,4.52,0.01
1.08,4.6,0.005
1.08,4.68,0.01
1.08,4.76,0.015
1.08,4.84,0.0
1.08,4.92,0.015
1.08,5.0,0.005
1.08,5.08,0.015
1.08,5.16,0.0
1.08,5.24,0.01
1.08,5.32,0.005
1.08,5.4,0.0
1.08,5.48,0.015
1.08,5.56,0.005
1.08,5.64,0.02
1.08,5.72,0.005
1.08,5.8,0.01
1.08,5.88,0.01
1.08,5.96,0.02
1.08,6.04,0.02
1.08,6.12,0.02
1.08,6.2,0.005
1.08,6.28,0.015
1.08,6.36,0.025
1.08,6.44,0.01
1.08,6.52,0.01
1.08,6.6,0.005
1.08,6.68,0.005
1.08,6.76,0.005
1.08,6.84,0.015
1.08,6.92,0.01
1.08,7.0,0.005
1.08,7.08,0.01
1.08,7.16,0.02
1.08,7.24,0.01
1.08,7.32,0.005
1.08,7.4,0.01
1.08,7.48,0.01
1.08,7.56,0.025
1.08,7.64,0.005
1.08,7.72,0.02
1.08,7.8,0.005
1.08,7.88,0.02
1.08,7.96,0.025
1.08,8.04,0.01
1.08,8.12,0.005
1.08,8.2,0.01
1.08,8.28,0.01
1.08,8.36,0.0
1.08,8.44,0.005
1.08,8.52,0.02
1.08,8.6,0.025
1.08,8.68,0.005
1.08,8.76,0.005
1.08,8.84,0.005
1.08,8.92,0.02
1.08,9.0,0.005
1.16,1.0,0.615
1.16,1.08,0.55
1.16,1.16,0.505
1.16,1.24,0.535
1.16,1.32,0.5
1.16,1.4,0.43
1.16,1.48,0.34
1.16,1.56,0.285
1.16,1.64,0.34
1.16,1.72,0.295
1.16,1.8,0.255
1.16,1.88,0.26
1.16,1.96,0.18
1.16,2.04,0.17
1.16,2.12,0.115
1.16,2.2,0.065
1.16,2.28,0.085
1.16,2.36,0.08
1.16,2.44,0.085
1.16,2.52,0.065
1.16,2.6,0.06
1.16,2.68,0.095
1.16,2.76,0.09
1.16,2.84,0.04
1.16,2.92,0.035
1.16,3.0,0.035
1.16,3.08,0.01
1.16,3.16,0.025
1.16,3.24,0.03
1.16,3.32,0.015
1.16,3.4,0.03
1.16,3.48,0.025
1.16,3.56,0.005
1.16,3.64,0.01
1.16,3.72,0.025
1.16,3.8,0.015
1.16,3.88,0.025
1.16,3.96,0.02
1.16,4.04,0.01
1.16,4.12,0.015
1.16,4.2,0.015
1.16,4.28,0.015
1.16,4.36,0.015
1.16,4.44,0.01
1.16,4.52,0.02
1.16,4.6,0.01
1.16,4.68,0.005
1.16,4.76,0.01
1.16,4.84,0.015
1.16,4.92,0.01
1.16,5.0,0.005
1.16,5.08,0.015
1.16,5.16,0.01
1.16,5.24,0.01
1.16,5.32,0.01
1.16,5.4,0.01
1.16,5.48,0.0
1.16,5.56,0.005
1.16,5.64,0.01
1.16,5.72,0.005
1.16,5.8,0.005
1.16,5.88,0.0
1.16,5.96,0.02
1.16,6.04,0.02
1.16,6.12,0.02
1.16,6.2,0.025
1.16,6.28,0.0
1.16,6.36,0.005
1.16,6.44,0.01
1.16,6.52,0.025
1.16,6.6,0.005
1.16,6.68,0.005
1.16,6.76,0.015
1.16,6.84,0.015
1.16,6.92,0.01
1.16,7.0,0.005
1.16,7.08,0.015
1.16,7.16,0.015
1.16,7.24,0.01
1.16,7.32,0.005
1.16,7.4,0.01
1.16,7.48,0.01
1.16,7.56,0.025
1.16,7.64,0.005
1.16,7.72,0.01
1.16,7.8,0.005
1.16,7.88,0.01
1.16,7.96,0.01
1.16,8.04,0.015
1.16,8.12,0.005
1.16,8.2,0.02
1.16,8.28,0.025
1.16,8.36,0.0
1.16,8.44,0.005
1.16,8.52,0.02
1.16,8.6,0.025
1.16,8.68,0.025
1.16,8.76,0.01
1.16,8.84,0.005
1.16,8.92,0.005
1.16,9.0,0.005
1.24,1.0,0.635
1.24,1.08,0.565
1.24,1.16,0.615
1.24,1.24,0.55
1.24,1.32,0.56
1.24,1.4,0.47
1.24,1.48,0.425
1.24,1.56,0.36
1.24,1.64,0.36
1.24,1.72,0.31
1.24,1.8,0.295
1.24,1.88,0.275
1.24,1.96,0.23
1.24,2.04,0.185
1.24,2.12,0.15
1.24,2.2,0.145
1.24,2.28,0.115
1.24,2.36,0.135
1.24,2.44,0.085
1.24,2.52,0.09
1.24,2.6,0.05
1.24,2.68,0.055
1.24,2.76,0.06
1.24,2.84,0.04
1.24,2.92,0.055
1.24,3.0,0.025
1.24,3.08,0.03
1.24,3.16,0.04
1.24,3.24,0.05
1.24,3.32,0.03
1.24,3.4,0.02
1.24,3.48,0.025
1.24,3.56,0.025
1.24,3.64,0.02
1.24,3.72,0.015
1.24,3.8,0.015
1.24,3.88,0.005
1.24,3.96,0.01
1.24,4.04,0.015
1.24,4.12,0.015
1.24,4.2,0.025
1.24,4.28,0.025
1.24,4.36,0.01
1.24,4.44,0.015
1.24,4.52,0.02
1.24,4.6,0.01
1.24,4.68,0.0
1.24,4.76,0.01
1.24,4.84,0.015
1.24,4.92,0.015
1.24,5.0,0.01
1.24,5.08,0.01
1.24,5.16,0.025
1.24,5.24,0.02
1.24,5.32,0.03
1.24,5.4,0.005
1.24,5.48,0.015
1.24,5.56,0.015
1.24,5.64,0.01
1.24,5.72,0.02
1.24,5.8,0.005
1.24,5.88,0.0
1.24,5.96,0.02
1.24,6.04,0.01
1.24,6.12,0.015
1.24,6.2,0.0
1.24,6.28,0.005
1.24,6.36,0.005
1.24,6.44,0.005
1.24,6.52,0.005
1.24,6.6,0.015
1.24,6.68,0.01
1.24,6.76,0.0
1.24,6.84,0.01
1.24,6.92,0.01
1.24,7.0,0.005
1.24,7.08,0.0
1.24,7.16,0.005
1.24,7.24,0.01
1.24,7.32,0.0
1.24,7.4,0.005
1.24,7.48,0.005
1.24,7.56,0.02
1.24,7.64,0.025
1.24,7.72,0.01
1.24,7.8,0.015
1.24,7.88,0.025
1.24,7.96,0.005
1.24,8.04,0.005
1.24,8.12,0.0
1.24,8.2,0.01
1.24,8.28,0.015
1.24,8.36,0.0
1.24,8.44,0.005
1.24,8.52,0.02
1.24,8.6,0.025
1.24,8.68,0.015
1.24,8.76,0.005
1.24,8.84,0.01
1.24,8.92,0.01
1.24,9.0,0.02
1.32,1.0,0.72
1.32,1.08,0.63
1.32,1.16,0.625
1.32,1.24,0.58
1.32,1.32,0.615
1.32,1.4,0.535
1.32,1.48,0.5
1.32,1.56,0.4
1.32,1.64,0.43
1.32,1.72,0.37
1.32,1.8,0.335
1.32,1.88,0.32
1.32,1.96,0.255
1.32,2.04,0.21
1.32,2.12,0.21
1.32,2.2,0.155
1.32,2.28,0.185
1.32,2.36,0.145
1.32,2.44,0.11
1.32,2.52,0.1
1.32,2.6,0.06
1.32,2.68,0.09
1.32,2.76,0.045
1.32,2.84,0.04
1.32,2.92,0.04
1.32,3.0,0.075
1.32,3.08,0.06
1.32,3.16,0.04
1.32,3.24,0.035
1.32,3.32,0.03
1.32,3.4,0.02
1.32,3.48,0.03
1.32,3.56,0.02
1.32,3.64,0.04
1.32,3.72,0.02
1.32,3.8,0.01
1.32,3.88,0.015
1.32,3.96,0.02
1.32,4.04,0.04
1.32,4.12,0.03
1.32,4.2,0.015
1.32,4.28,0.025
1.32,4.36,0.015
1.32,4.44,0.01
1.32,4.52,0.02
1.32,4.6,0.005
1.32,4.68,0.015
1.32,4.76,0.005
1.32,4.84,0.005
1.32,4.92,0.015
1.32,5.0,0.025
1.32,5.08,0.01
1.32,5.16,0.005
1.32,5.24,0.0
1.32,5.32,0.01
1.32,5.4,0.01
1.32,5.48,0.005
1.32,5.56,0.015
1.32,5.64,0.005
1.32,5.72,0.005
1.32,5.8,0.005
1.32,5.88,0.005
1.32,5.96,0.005
1.32,6.04,0.005
1.32,6.12,0.005
1.32,6.2,0.015
1.32,6.28,0.01
1.32,6.36,0.01
1.32,6.44,0.005
1.32,6.52,0.005
1.32,6.6,0.015
1.32,6.68,0.01
1.32,6.76,0.01
1.32,6.84,0.01
1.32,6.92,0.01
1.32,7.0,0.015
1.32,7.08,0.01
