$\mu_{h}$,$\mu_{x}$,success_rate
-4,-4,0.866
-4,-3.92,0.851
-4,-3.84,0.847
-4,-3.76,0.836
-4,-3.68,0.836
-4,-3.6,0.81
-4,-3.52,0.802
-4,-3.44,0.806
-4,-3.36,0.797
-4,-3.28,0.776
-4,-3.2,0.752
-4,-3.12,0.732
-4,-3.04,0.735
-4,-2.96,0.689
-4,-2.88,0.672
-4,-2.8,0.632
-4,-2.72,0.617
-4,-2.64,0.617
-4,-2.56,0.565
-4,-2.48,0.528
-4,-2.4,0.514
-4,-2.32,0.458
-4,-2.24,0.428
-4,-2.16,0.433
-4,-2.08,0.382
-4,-2,0.341
-4,-1.92,0.336
-4,-1.84,0.313
-4,-1.76,0.285
-4,-1.68,0.28
-4,-1.6,0.259
-4,-1.52,0.2
-4,-1.44,0.214
-4,-1.36,0.187
-4,-1.28,0.197
-4,-1.2,0.172
-4,-1.12,0.17
-4,-1.04,0.164
-4,-0.96,0.139
-4,-0.88,0.142
-4,-0.8,0.153
-4,-0.72,0.142
-4,-0.64,0.121
-4,-0.56,0.133
-4,-0.48,0.134
-4,-0.4,0.127
-4,-0.32,0.113
-4,-0.24,0.119
-4,-0.16,0.111
-4,-0.08,0.113
-4,0,0.105
-4,0.08,0.106
-4,0.16,0.108
-4,0.24,0.103
-4,0.32,0.087
-4,0.4,0.108
-4,0.48,0.078
-4,0.56,0.097
-4,0.64,0.095
-4,0.72,0.118
-4,0.8,0.083
-4,0.88,0.086
-4,0.96,0.112
-4,1.04,0.108
-4,1.12,0.094
-4,1.2,0.112
-4,1.28,0.095
-4,1.36,0.108
-4,1.44,0.105
-4,1.52,0.106
-4,1.6,0.106
-4,1.68,0.093
-4,1.76,0.086
-4,1.84,0.108
-4,1.92,0.101
-4,2,0.106
-4,2.08,0.106
-4,2.16,0.098
-4,2.24,0.088
-4,2.32,0.117
-4,2.4,0.13
-4,2.48,0.114
-4,2.56,0.11
-4,2.64,0.095
-4,2.72,0.095
-4,2.8,0.105
-4,2.88,0.102
-4,2.96,0.086
-4,3.04,0.083
-4,3.12,0.086
-4,3.2,0.09
-4,3.28,0.114
-4,3.36,0.088
-4,3.44,0.082
-4,3.52,0.115
-4,3.6,0.092
-4,3.68,0.092
-4,3.76,0.103
-4,3.84,0.097
-4,3.92,0.084
-4,4,0.096
-3.92,-4,0.861
