,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,-4.0,-4.0,-4.0,-2.0,0.582
1,-4.0,-4.0,-3.9,-1.9,0.545
2,-4.0,-4.0,-3.8,-1.7999999999999998,0.529
3,-4.0,-4.0,-3.7,-1.7000000000000002,0.47
4,-4.0,-4.0,-3.6,-1.6,0.438
5,-4.0,-4.0,-3.5,-1.5,0.42
6,-4.0,-4.0,-3.4,-1.4,0.421
7,-4.0,-4.0,-3.3,-1.2999999999999998,0.386
8,-4.0,-4.0,-3.2,-1.2000000000000002,0.326
9,-4.0,-4.0,-3.1,-1.1,0.306
10,-4.0,-4.0,-3.0,-1.0,0.278
11,-4.0,-4.0,-2.9,-0.8999999999999999,0.284
12,-4.0,-4.0,-2.8,-0.7999999999999998,0.256
13,-4.0,-4.0,-2.7,-0.7000000000000002,0.25
14,-4.0,-4.0,-2.6,-0.6000000000000001,0.226
15,-4.0,-4.0,-2.5,-0.5,0.224
16,-4.0,-4.0,-2.4,-0.3999999999999999,0.204
17,-4.0,-4.0,-2.3,-0.2999999999999998,0.203
18,-4.0,-4.0,-2.2,-0.20000000000000018,0.186
19,-4.0,-4.0,-2.1,-0.10000000000000009,0.2
20,-4.0,-4.0,-2.0,0.0,0.162
21,-4.0,-4.0,-1.9,0.10000000000000009,0.151
22,-4.0,-4.0,-1.8,0.19999999999999996,0.144
23,-4.0,-4.0,-1.7,0.30000000000000004,0.163
24,-4.0,-4.0,-1.6,0.3999999999999999,0.134
25,-4.0,-4.0,-1.5,0.5,0.156
26,-4.0,-4.0,-1.4,0.6000000000000001,0.156
27,-4.0,-4.0,-1.3,0.7,0.117
28,-4.0,-4.0,-1.2,0.8,0.13
29,-4.0,-4.0,-1.1,0.8999999999999999,0.147
30,-4.0,-4.0,-1.0,1.0,0.143
31,-4.0,-4.0,-0.9,1.1,0.131
32,-4.0,-4.0,-0.8,1.2,0.121
33,-4.0,-4.0,-0.7,1.3,0.12
34,-4.0,-4.0,-0.6,1.4,0.112
35,-4.0,-4.0,-0.5,1.5,0.108
36,-4.0,-4.0,-0.4,1.6,0.113
37,-4.0,-4.0,-0.3,1.7,0.097
38,-4.0,-4.0,-0.2,1.8,0.113
39,-4.0,-4.0,-0.1,1.9,0.108
40,-4.0,-4.0,0.0,2.0,0.101
41,-4.0,-4.0,0.1,2.1,0.106
42,-4.0,-4.0,0.2,2.2,0.09
43,-4.0,-4.0,0.3,2.3,0.09
44,-4.0,-4.0,0.4,2.4,0.123
45,-4.0,-4.0,0.5,2.5,0.1
46,-4.0,-4.0,0.6,2.6,0.106
47,-4.0,-4.0,0.7,2.7,0.095
48,-4.0,-4.0,0.8,2.8,0.106
49,-4.0,-4.0,0.9,2.9,0.103
50,-4.0,-4.0,1.0,3.0,0.109
51,-4.0,-4.0,1.1,3.1,0.094
52,-4.0,-4.0,1.2,3.2,0.098
53,-4.0,-4.0,1.3,3.3,0.089
54,-4.0,-4.0,1.4,3.4,0.105
55,-4.0,-4.0,1.5,3.5,0.094
56,-4.0,-4.0,1.6,3.6,0.104
57,-4.0,-4.0,1.7,3.7,0.102
58,-4.0,-4.0,1.8,3.8,0.091
59,-4.0,-4.0,1.9,3.9,0.108
60,-4.0,-4.0,2.0,4.0,0.107
61,-4.0,-4.0,2.1,4.1,0.084
62,-4.0,-4.0,2.2,4.2,0.085
63,-4.0,-4.0,2.3,4.3,0.095
64,-4.0,-4.0,2.4,4.4,0.106
65,-4.0,-4.0,2.5,4.5,0.115
66,-4.0,-4.0,2.6,4.6,0.112
67,-4.0,-4.0,2.7,4.7,0.111
68,-4.0,-4.0,2.8,4.8,0.103
69,-4.0,-4.0,2.9,4.9,0.094
70,-4.0,-4.0,3.0,5.0,0.083
71,-4.0,-4.0,3.1,5.1,0.098
72,-4.0,-4.0,3.2,5.2,0.105
73,-4.0,-4.0,3.3,5.3,0.113
74,-4.0,-4.0,3.4,5.4,0.091
75,-4.0,-4.0,3.5,5.5,0.097
76,-4.0,-4.0,3.6,5.6,0.101
77,-4.0,-4.0,3.7,5.7,0.12
78,-4.0,-4.0,3.8,5.8,0.112
79,-4.0,-4.0,3.9,5.9,0.096
80,-4.0,-4.0,4.0,6.0,0.093
81,-4.0,-4.0,4.1,6.1,0.112
82,-4.0,-4.0,4.2,6.2,0.084
83,-4.0,-4.0,4.3,6.3,0.113
84,-4.0,-4.0,4.4,6.4,0.096
85,-4.0,-4.0,4.5,6.5,0.091
86,-4.0,-4.0,4.6,6.6,0.082
87,-4.0,-4.0,4.7,6.7,0.092
88,-4.0,-4.0,4.8,6.8,0.104
89,-4.0,-4.0,4.9,6.9,0.108
90,-4.0,-4.0,5.0,7.0,0.094
91,-4.0,-4.0,5.1,7.1,0.093
92,-4.0,-4.0,5.2,7.2,0.092
93,-4.0,-4.0,5.3,7.3,0.1
94,-4.0,-4.0,5.4,7.4,0.099
95,-4.0,-4.0,5.5,7.5,0.1
96,-4.0,-4.0,5.6,7.6,0.101
97,-4.0,-4.0,5.7,7.7,0.099
98,-4.0,-4.0,5.8,7.8,0.097
99,-4.0,-4.0,5.9,7.9,0.1
100,-4.0,-4.0,6.0,8.0,0.102
101,-4.0,-4.0,6.1,8.1,0.105
102,-4.0,-4.0,6.2,8.2,0.095
103,-4.0,-4.0,6.3,8.3,0.095
104,-4.0,-4.0,6.4,8.4,0.104
105,-4.0,-4.0,6.5,8.5,0.11
106,-4.0,-4.0,6.6,8.6,0.093
107,-4.0,-4.0,6.7,8.7,0.086
108,-4.0,-4.0,6.8,8.8,0.099
109,-4.0,-4.0,6.9,8.9,0.098
110,-4.0,-4.0,7.0,9.0,0.101
111,-4.0,-4.0,7.1,9.1,0.11
112,-4.0,-4.0,7.2,9.2,0.1
113,-4.0,-4.0,7.3,9.3,0.123
114,-4.0,-4.0,7.4,9.4,0.08
115,-4.0,-4.0,7.5,9.5,0.099
116,-4.0,-4.0,7.6,9.6,0.083
117,-4.0,-4.0,7.7,9.7,0.112
118,-4.0,-4.0,7.8,9.8,0.101
119,-4.0,-4.0,7.9,9.9,0.105
120,-4.0,-4.0,8.0,10.0,0.099
121,-4.0,-4.0,8.1,10.1,0.1
122,-4.0,-4.0,8.2,10.2,0.111
123,-4.0,-4.0,8.3,10.3,0.106
124,-4.0,-4.0,8.4,10.4,0.106
125,-4.0,-4.0,8.5,10.5,0.122
126,-4.0,-4.0,8.6,10.6,0.092
127,-4.0,-4.0,8.7,10.7,0.103
128,-4.0,-4.0,8.8,10.8,0.105
129,-4.0,-4.0,8.9,10.9,0.095
130,-4.0,-4.0,9.0,11.0,0.095
131,-4.0,-4.0,9.1,11.1,0.102
132,-4.0,-4.0,9.2,11.2,0.115
133,-4.0,-4.0,9.3,11.3,0.101
134,-4.0,-4.0,9.4,11.4,0.091
135,-4.0,-4.0,9.5,11.5,0.094
136,-4.0,-4.0,9.6,11.6,0.095
137,-4.0,-4.0,9.7,11.7,0.111
138,-4.0,-4.0,9.8,11.8,0.098
139,-4.0,-4.0,9.9,11.9,0.116
140,-4.0,-4.0,10.0,12.0,0.111
141,-4.0,-4.0,10.1,12.1,0.106
142,-4.0,-4.0,10.2,12.2,0.094
143,-4.0,-4.0,10.3,12.3,0.094
144,-4.0,-4.0,10.4,12.4,0.087
145,-4.0,-4.0,10.5,12.5,0.083
146,-4.0,-4.0,10.6,12.6,0.108
147,-4.0,-4.0,10.7,12.7,0.097
148,-4.0,-4.0,10.8,12.8,0.115
149,-4.0,-4.0,10.9,12.9,0.097
150,-4.0,-4.0,11.0,13.0,0.098
151,-4.0,-4.0,11.1,13.1,0.103
152,-4.0,-4.0,11.2,13.2,0.104
153,-4.0,-4.0,11.3,13.3,0.088
154,-4.0,-4.0,11.4,13.4,0.102
155,-4.0,-4.0,11.5,13.5,0.096
156,-4.0,-4.0,11.6,13.6,0.099
157,-4.0,-4.0,11.7,13.7,0.094
158,-4.0,-4.0,11.8,13.8,0.102
159,-4.0,-4.0,11.9,13.9,0.089
160,-4.0,-4.0,12.0,14.0,0.095
161,-4.0,-4.0,12.1,14.1,0.101
162,-4.0,-4.0,12.2,14.2,0.103
163,-4.0,-4.0,12.3,14.3,0.093
164,-4.0,-4.0,12.4,14.4,0.089
165,-4.0,-4.0,12.5,14.5,0.096
166,-4.0,-4.0,12.6,14.6,0.102
167,-4.0,-4.0,12.7,14.7,0.118
168,-4.0,-4.0,12.8,14.8,0.097
169,-4.0,-4.0,12.9,14.9,0.119
170,-4.0,-4.0,13.0,15.0,0.092
171,-4.0,-4.0,13.1,15.1,0.074
172,-4.0,-4.0,13.2,15.2,0.102
173,-4.0,-4.0,13.3,15.3,0.092
174,-4.0,-4.0,13.4,15.4,0.118
175,-4.0,-4.0,13.5,15.5,0.097
176,-4.0,-4.0,13.6,15.6,0.091
177,-4.0,-4.0,13.7,15.7,0.093
178,-4.0,-4.0,13.8,15.8,0.102
179,-4.0,-4.0,13.9,15.9,0.105
180,-4.0,-4.0,14.0,16.0,0.113
181,-4.0,-4.0,14.1,16.1,0.102
182,-4.0,-4.0,14.2,16.2,0.101
183,-4.0,-4.0,14.3,16.3,0.105
184,-4.0,-4.0,14.4,16.4,0.107
185,-4.0,-4.0,14.5,16.5,0.1
186,-4.0,-4.0,14.6,16.6,0.087
187,-4.0,-4.0,14.7,16.7,0.096
188,-4.0,-4.0,14.8,16.8,0.088
189,-4.0,-4.0,14.9,16.9,0.119
190,-4.0,-4.0,15.0,17.0,0.104
191,-4.0,-4.0,15.1,17.1,0.107
192,-4.0,-4.0,15.2,17.2,0.101
193,-4.0,-4.0,15.3,17.3,0.102
194,-4.0,-4.0,15.4,17.4,0.099
195,-4.0,-4.0,15.5,17.5,0.11
196,-4.0,-4.0,15.6,17.6,0.103
197,-4.0,-4.0,15.7,17.7,0.109
198,-4.0,-4.0,15.8,17.8,0.108
199,-4.0,-4.0,15.9,17.9,0.088
200,-4.0,-4.0,16.0,18.0,0.096
201,-3.9,-3.9,-4.0,-2.0,0.631
202,-3.9,-3.9,-3.9,-1.9,0.594
203,-3.9,-3.9,-3.8,-1.7999999999999998,0.571
204,-3.9,-3.9,-3.7,-1.7000000000000002,0.515
205,-3.9,-3.9,-3.6,-1.6,0.493
206,-3.9,-3.9,-3.5,-1.5,0.517
207,-3.9,-3.9,-3.4,-1.4,0.41
208,-3.9,-3.9,-3.3,-1.2999999999999998,0.424
209,-3.9,-3.9,-3.2,-1.2000000000000002,0.361
210,-3.9,-3.9,-3.1,-1.1,0.354
211,-3.9,-3.9,-3.0,-1.0,0.309
212,-3.9,-3.9,-2.9,-0.8999999999999999,0.296
213,-3.9,-3.9,-2.8,-0.7999999999999998,0.28
214,-3.9,-3.9,-2.7,-0.7000000000000002,0.252
215,-3.9,-3.9,-2.6,-0.6000000000000001,0.235
216,-3.9,-3.9,-2.5,-0.5,0.227
217,-3.9,-3.9,-2.4,-0.3999999999999999,0.228
218,-3.9,-3.9,-2.3,-0.2999999999999998,0.229
219,-3.9,-3.9,-2.2,-0.20000000000000018,0.202
220,-3.9,-3.9,-2.1,-0.10000000000000009,0.162
221,-3.9,-3.9,-2.0,0.0,0.175
222,-3.9,-3.9,-1.9,0.10000000000000009,0.163
223,-3.9,-3.9,-1.8,0.19999999999999996,0.158
224,-3.9,-3.9,-1.7,0.30000000000000004,0.154
