$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
2.16,4.32,0.08,0.08,0.22
0.0,0.0,0.0,0.0,0.325
1.64,3.28,0.44,0.44,0.351
3.24,6.48,0.12,0.12,0.257
0.84,1.68,0.6,0.6,0.513
0.28,0.56,0.2,0.2,0.382
0.56,1.12,0.4,0.4,0.457
3.52,7.04,0.32,0.32,0.251
2.72,5.44,0.48,0.48,0.318
3.8,7.6,0.52,0.52,0.291
2.44,4.88,0.28,0.28,0.241
3.28,6.56,0.88,0.88,0.386
1.12,2.24,0.8,0.8,0.582
1.36,2.72,0.24,0.24,0.28
1.92,3.84,0.64,0.64,0.381
1.08,2.16,0.04,0.04,0.213
0.32,0.64,0.96,0.96,0.724
2.2,4.4,0.84,0.84,0.432
3.0,6.0,0.68,0.68,0.343
0.04,0.08,0.76,0.76,0.68
1.68,3.36,0.44,0.44,0.344
2.2,4.4,0.08,0.08,0.222
0.04,0.08,0.0,0.0,0.174
3.56,7.12,0.32,0.32,0.255
0.88,1.76,0.6,0.6,0.5
3.84,7.68,0.52,0.52,0.319
2.76,5.52,0.48,0.48,0.285
0.6,1.2,0.4,0.4,0.436
3.32,6.64,0.88,0.88,0.393
2.48,4.96,0.28,0.28,0.258
1.16,2.32,0.8,0.8,0.578
1.96,3.92,0.64,0.64,0.368
3.28,6.56,0.12,0.12,0.231
1.4,2.8,0.24,0.24,0.256
0.32,0.64,0.2,0.2,0.368
1.12,2.24,0.04,0.04,0.228
3.04,6.08,0.68,0.68,0.307
0.36,0.72,0.96,0.96,0.734
0.08,0.16,0.76,0.76,0.674
2.24,4.48,0.84,0.84,0.437
1.72,3.44,0.44,0.44,0.324
2.24,4.48,0.08,0.08,0.237
3.88,7.76,0.52,0.52,0.277
0.08,0.16,0.0,0.0,0.178
2.8,5.6,0.48,0.48,0.288
0.64,1.28,0.4,0.4,0.42
2.52,5.04,0.28,0.28,0.271
3.36,6.72,0.88,0.88,0.36
3.6,7.2,0.32,0.32,0.244
0.92,1.84,0.6,0.6,0.508
0.36,0.72,0.2,0.2,0.351
1.44,2.88,0.24,0.24,0.27
3.32,6.64,0.12,0.12,0.201
1.2,2.4,0.8,0.8,0.546
2.0,4.0,0.64,0.64,0.374
0.4,0.8,0.96,0.96,0.711
0.12,0.24,0.76,0.76,0.662
2.28,4.56,0.84,0.84,0.423
1.76,3.52,0.44,0.44,0.335
1.16,2.32,0.04,0.04,0.213
3.08,6.16,0.68,0.68,0.326
2.28,4.56,0.08,0.08,0.211
3.92,7.84,0.52,0.52,0.29
0.68,1.36,0.4,0.4,0.433
2.84,5.68,0.48,0.48,0.298
0.12,0.24,0.0,0.0,0.174
3.4,6.8,0.88,0.88,0.353
2.56,5.12,0.28,0.28,0.24
3.64,7.28,0.32,0.32,0.244
0.4,0.8,0.2,0.2,0.362
1.48,2.96,0.24,0.24,0.26
3.36,6.72,0.12,0.12,0.225
0.96,1.92,0.6,0.6,0.482
0.44,0.88,0.96,0.96,0.724
0.16,0.32,0.76,0.76,0.692
2.32,4.64,0.84,0.84,0.422
1.8,3.6,0.44,0.44,0.334
3.96,7.92,0.52,0.52,0.278
1.24,2.48,0.8,0.8,0.558
2.04,4.08,0.64,0.64,0.399
2.32,4.64,0.08,0.08,0.222
1.2,2.4,0.04,0.04,0.232
3.12,6.24,0.68,0.68,0.356
0.72,1.44,0.4,0.4,0.416
2.6,5.2,0.28,0.28,0.254
2.88,5.76,0.48,0.48,0.31
3.44,6.88,0.88,0.88,0.364
3.68,7.36,0.32,0.32,0.271
0.16,0.32,0.0,0.0,0.183
0.44,0.88,0.2,0.2,0.327
2.36,4.72,0.84,0.84,0.409
1.0,2.0,0.6,0.6,0.476
1.52,3.04,0.24,0.24,0.277
0.48,0.96,0.96,0.96,0.707
1.24,2.48,0.04,0.04,0.201
3.4,6.8,0.12,0.12,0.23
2.36,4.72,0.08,0.08,0.236
4.0,8.0,0.52,0.52,0.296
1.84,3.68,0.44,0.44,0.311
0.2,0.4,0.76,0.76,0.649
1.28,2.56,0.8,0.8,0.527
2.08,4.16,0.64,0.64,0.385
3.16,6.32,0.68,0.68,0.319
0.76,1.52,0.4,0.4,0.408
2.92,5.84,0.48,0.48,0.3
2.64,5.28,0.28,0.28,0.255
3.72,7.44,0.32,0.32,0.25
0.2,0.4,0.0,0.0,0.175
0.52,1.04,0.96,0.96,0.747
3.48,6.96,0.88,0.88,0.371
1.04,2.08,0.6,0.6,0.516
2.4,4.8,0.84,0.84,0.433
0.24,0.48,0.76,0.76,0.649
0.48,0.96,0.2,0.2,0.309
3.44,6.88,0.12,0.12,0.234
1.56,3.12,0.24,0.24,0.27
1.88,3.76,0.44,0.44,0.301
1.32,2.64,0.8,0.8,0.536
1.28,2.56,0.04,0.04,0.197
3.2,6.4,0.68,0.68,0.334
2.4,4.8,0.08,0.08,0.192
0.0,0.0,0.56,0.56,0.583
2.12,4.24,0.64,0.64,0.387
0.8,1.6,0.4,0.4,0.423
2.68,5.36,0.28,0.28,0.262
3.76,7.52,0.32,0.32,0.269
0.24,0.48,0.0,0.0,0.187
2.96,5.92,0.48,0.48,0.304
3.52,7.04,0.88,0.88,0.363
0.56,1.12,0.96,0.96,0.744
2.44,4.88,0.84,0.84,0.44
1.08,2.16,0.6,0.6,0.459
0.28,0.56,0.76,0.76,0.674
3.48,6.96,0.12,0.12,0.233
0.52,1.04,0.2,0.2,0.335
1.32,2.64,0.04,0.04,0.207
1.36,2.72,0.8,0.8,0.517
1.92,3.84,0.44,0.44,0.307
2.16,4.32,0.64,0.64,0.351
1.6,3.2,0.24,0.24,0.224
0.04,0.08,0.56,0.56,0.576
3.8,7.6,0.32,0.32,0.251
2.44,4.88,0.08,0.08,0.222
3.24,6.48,0.68,0.68,0.31
0.28,0.56,0.0,0.0,0.176
3.0,6.0,0.48,0.48,0.322
0.84,1.68,0.4,0.4,0.418
2.72,5.44,0.28,0.28,0.259
3.56,7.12,0.88,0.88,0.361
2.48,4.96,0.84,0.84,0.428
1.12,2.24,0.6,0.6,0.48
0.6,1.2,0.96,0.96,0.725
3.52,7.04,0.12,0.12,0.225
0.56,1.12,0.2,0.2,0.318
0.32,0.64,0.76,0.76,0.647
1.36,2.72,0.04,0.04,0.182
2.48,4.96,0.08,0.08,0.216
0.08,0.16,0.56,0.56,0.58
1.4,2.8,0.8,0.8,0.524
1.96,3.92,0.44,0.44,0.298
0.32,0.64,0.0,0.0,0.199
3.28,6.56,0.68,0.68,0.317
2.2,4.4,0.64,0.64,0.412
1.64,3.28,0.24,0.24,0.235
