,$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
0,0.0,0.0,0.0,2.0,0.325
1,0.0,0.0,0.04,2.04,0.174
2,0.0,0.0,0.08,2.08,0.178
3,0.0,0.0,0.12,2.12,0.174
4,0.0,0.0,0.16,2.16,0.183
5,0.0,0.0,0.2,2.2,0.175
6,0.0,0.0,0.24,2.24,0.187
7,0.0,0.0,0.28,2.2800000000000002,0.176
8,0.0,0.0,0.32,2.32,0.199
9,0.0,0.0,0.36,2.36,0.178
10,0.0,0.0,0.4,2.4,0.185
11,0.0,0.0,0.44,2.44,0.207
12,0.0,0.0,0.48,2.48,0.199
13,0.0,0.0,0.52,2.52,0.213
14,0.0,0.0,0.56,2.56,0.196
15,0.0,0.0,0.6,2.6,0.164
16,0.0,0.0,0.64,2.64,0.196
17,0.0,0.0,0.68,2.68,0.193
18,0.0,0.0,0.72,2.7199999999999998,0.184
19,0.0,0.0,0.76,2.76,0.18
20,0.0,0.0,0.8,2.8,0.2
21,0.0,0.0,0.84,2.84,0.206
22,0.0,0.0,0.88,2.88,0.187
23,0.0,0.0,0.92,2.92,0.194
24,0.0,0.0,0.96,2.96,0.19
25,0.0,0.0,1.0,3.0,0.186
26,0.0,0.0,1.04,3.04,0.198
27,0.0,0.0,1.08,3.08,0.17
28,0.0,0.0,1.12,3.12,0.211
29,0.0,0.0,1.16,3.16,0.176
30,0.0,0.0,1.2,3.2,0.207
31,0.0,0.0,1.24,3.24,0.18
32,0.0,0.0,1.28,3.2800000000000002,0.227
33,0.0,0.0,1.32,3.3200000000000003,0.212
34,0.0,0.0,1.36,3.3600000000000003,0.204
35,0.0,0.0,1.4,3.4,0.217
36,0.0,0.0,1.44,3.44,0.216
37,0.0,0.0,1.48,3.48,0.203
38,0.0,0.0,1.52,3.52,0.187
39,0.0,0.0,1.56,3.56,0.211
40,0.0,0.0,1.6,3.6,0.202
41,0.0,0.0,1.64,3.6399999999999997,0.208
42,0.0,0.0,1.68,3.6799999999999997,0.195
43,0.0,0.0,1.72,3.7199999999999998,0.188
44,0.0,0.0,1.76,3.76,0.209
45,0.0,0.0,1.8,3.8,0.174
46,0.0,0.0,1.84,3.84,0.183
47,0.0,0.0,1.88,3.88,0.21
48,0.0,0.0,1.92,3.92,0.205
49,0.0,0.0,1.96,3.96,0.219
50,0.0,0.0,2.0,4.0,0.192
51,0.0,0.0,2.04,4.04,0.207
52,0.0,0.0,2.08,4.08,0.184
53,0.0,0.0,2.12,4.12,0.2
54,0.0,0.0,2.16,4.16,0.198
55,0.0,0.0,2.2,4.2,0.216
56,0.0,0.0,2.24,4.24,0.208
57,0.0,0.0,2.28,4.279999999999999,0.192
58,0.0,0.0,2.32,4.32,0.211
59,0.0,0.0,2.36,4.359999999999999,0.196
60,0.0,0.0,2.4,4.4,0.21
61,0.0,0.0,2.44,4.4399999999999995,0.199
62,0.0,0.0,2.48,4.48,0.205
63,0.0,0.0,2.52,4.52,0.237
64,0.0,0.0,2.56,4.5600000000000005,0.188
65,0.0,0.0,2.6,4.6,0.214
66,0.0,0.0,2.64,4.640000000000001,0.22
67,0.0,0.0,2.68,4.68,0.204
68,0.0,0.0,2.72,4.720000000000001,0.205
69,0.0,0.0,2.76,4.76,0.201
70,0.0,0.0,2.8,4.8,0.199
71,0.0,0.0,2.84,4.84,0.205
72,0.0,0.0,2.88,4.88,0.209
73,0.0,0.0,2.92,4.92,0.197
74,0.0,0.0,2.96,4.96,0.207
75,0.0,0.0,3.0,5.0,0.189
76,0.0,0.0,3.04,5.04,0.204
77,0.0,0.0,3.08,5.08,0.203
78,0.0,0.0,3.12,5.12,0.215
79,0.0,0.0,3.16,5.16,0.23
80,0.0,0.0,3.2,5.2,0.2
81,0.0,0.0,3.24,5.24,0.196
82,0.0,0.0,3.28,5.279999999999999,0.208
83,0.0,0.0,3.32,5.32,0.197
84,0.0,0.0,3.36,5.359999999999999,0.23
85,0.0,0.0,3.4,5.4,0.189
86,0.0,0.0,3.44,5.4399999999999995,0.228
87,0.0,0.0,3.48,5.48,0.218
