,muh1,muh2,mux1,mux2,success_rate
0,-4.0,-8.0,-4.0,-8.0,0.904
1,-4.0,-8.0,-3.9,-7.8,0.906
2,-4.0,-8.0,-3.8,-7.6,0.906
3,-4.0,-8.0,-3.7,-7.4,0.898
4,-4.0,-8.0,-3.6,-7.2,0.899
5,-4.0,-8.0,-3.5,-7.0,0.908
6,-4.0,-8.0,-3.4,-6.8,0.899
7,-4.0,-8.0,-3.3,-6.6,0.888
8,-4.0,-8.0,-3.2,-6.4,0.898
9,-4.0,-8.0,-3.1,-6.2,0.9
10,-4.0,-8.0,-3.0,-6.0,0.895
11,-4.0,-8.0,-2.9,-5.8,0.889
12,-4.0,-8.0,-2.8,-5.6,0.909
13,-4.0,-8.0,-2.7,-5.4,0.89
14,-4.0,-8.0,-2.6,-5.2,0.906
15,-4.0,-8.0,-2.5,-5.0,0.872
16,-4.0,-8.0,-2.4,-4.8,0.884
17,-4.0,-8.0,-2.3,-4.6,0.875
18,-4.0,-8.0,-2.2,-4.4,0.862
19,-4.0,-8.0,-2.1,-4.2,0.881
20,-4.0,-8.0,-2.0,-4.0,0.864
21,-4.0,-8.0,-1.9,-3.8,0.849
22,-4.0,-8.0,-1.8,-3.6,0.837
23,-4.0,-8.0,-1.7,-3.4,0.847
24,-4.0,-8.0,-1.6,-3.2,0.824
25,-4.0,-8.0,-1.5,-3.0,0.813
26,-4.0,-8.0,-1.4,-2.8,0.817
27,-4.0,-8.0,-1.3,-2.6,0.798
28,-4.0,-8.0,-1.2,-2.4,0.751
29,-4.0,-8.0,-1.1,-2.2,0.774
30,-4.0,-8.0,-1.0,-2.0,0.719
31,-4.0,-8.0,-0.9,-1.8,0.704
32,-4.0,-8.0,-0.8,-1.6,0.672
33,-4.0,-8.0,-0.7,-1.4,0.601
34,-4.0,-8.0,-0.6,-1.2,0.547
35,-4.0,-8.0,-0.5,-1.0,0.5
36,-4.0,-8.0,-0.4,-0.8,0.473
37,-4.0,-8.0,-0.3,-0.6,0.416
38,-4.0,-8.0,-0.2,-0.4,0.353
39,-4.0,-8.0,-0.1,-0.2,0.313
40,-4.0,-8.0,0.0,0.0,0.295
41,-4.0,-8.0,0.1,0.2,0.234
42,-4.0,-8.0,0.2,0.4,0.2
43,-4.0,-8.0,0.3,0.6,0.174
44,-4.0,-8.0,0.4,0.8,0.161
45,-4.0,-8.0,0.5,1.0,0.153
46,-4.0,-8.0,0.6,1.2,0.147
47,-4.0,-8.0,0.7,1.4,0.144
48,-4.0,-8.0,0.8,1.6,0.132
49,-4.0,-8.0,0.9,1.8,0.138
50,-4.0,-8.0,1.0,2.0,0.108
51,-4.0,-8.0,1.1,2.2,0.1
52,-4.0,-8.0,1.2,2.4,0.106
53,-4.0,-8.0,1.3,2.6,0.118
54,-4.0,-8.0,1.4,2.8,0.116
55,-4.0,-8.0,1.5,3.0,0.113
56,-4.0,-8.0,1.6,3.2,0.11
57,-4.0,-8.0,1.7,3.4,0.091
58,-4.0,-8.0,1.8,3.6,0.111
59,-4.0,-8.0,1.9,3.8,0.085
60,-4.0,-8.0,2.0,4.0,0.1
61,-4.0,-8.0,2.1,4.2,0.099
62,-4.0,-8.0,2.2,4.4,0.097
63,-4.0,-8.0,2.3,4.6,0.107
64,-4.0,-8.0,2.4,4.8,0.105
65,-4.0,-8.0,2.5,5.0,0.098
66,-4.0,-8.0,2.6,5.2,0.094
67,-4.0,-8.0,2.7,5.4,0.12
68,-4.0,-8.0,2.8,5.6,0.098
69,-4.0,-8.0,2.9,5.8,0.083
70,-4.0,-8.0,3.0,6.0,0.092
71,-4.0,-8.0,3.1,6.2,0.092
72,-4.0,-8.0,3.2,6.4,0.091
73,-4.0,-8.0,3.3,6.6,0.102
74,-4.0,-8.0,3.4,6.8,0.096
75,-4.0,-8.0,3.5,7.0,0.103
76,-4.0,-8.0,3.6,7.2,0.103
77,-4.0,-8.0,3.7,7.4,0.083
78,-4.0,-8.0,3.8,7.6,0.097
79,-4.0,-8.0,3.9,7.8,0.104
80,-4.0,-8.0,4.0,8.0,0.112
81,-4.0,-8.0,4.1,8.2,0.104
82,-4.0,-8.0,4.2,8.4,0.116
83,-4.0,-8.0,4.3,8.6,0.096
84,-4.0,-8.0,4.4,8.8,0.106
85,-4.0,-8.0,4.5,9.0,0.101
86,-4.0,-8.0,4.6,9.2,0.101
87,-4.0,-8.0,4.7,9.4,0.087
88,-4.0,-8.0,4.8,9.6,0.105
89,-4.0,-8.0,4.9,9.8,0.103
90,-4.0,-8.0,5.0,10.0,0.096
91,-4.0,-8.0,5.1,10.2,0.084
92,-4.0,-8.0,5.2,10.4,0.099
93,-4.0,-8.0,5.3,10.6,0.08
94,-4.0,-8.0,5.4,10.8,0.095
95,-4.0,-8.0,5.5,11.0,0.113
96,-4.0,-8.0,5.6,11.2,0.098
97,-4.0,-8.0,5.7,11.4,0.098
98,-4.0,-8.0,5.8,11.6,0.101
99,-4.0,-8.0,5.9,11.8,0.103
100,-4.0,-8.0,6.0,12.0,0.105
101,-4.0,-8.0,6.1,12.2,0.1
102,-4.0,-8.0,6.2,12.4,0.101
103,-4.0,-8.0,6.3,12.6,0.082
104,-4.0,-8.0,6.4,12.8,0.092
105,-4.0,-8.0,6.5,13.0,0.113
106,-4.0,-8.0,6.6,13.2,0.093
107,-4.0,-8.0,6.7,13.4,0.097
108,-4.0,-8.0,6.8,13.6,0.103
109,-4.0,-8.0,6.9,13.8,0.1
110,-4.0,-8.0,7.0,14.0,0.105
111,-4.0,-8.0,7.1,14.2,0.093
112,-4.0,-8.0,7.2,14.4,0.095
113,-4.0,-8.0,7.3,14.6,0.104
114,-4.0,-8.0,7.4,14.8,0.097
115,-4.0,-8.0,7.5,15.0,0.097
116,-4.0,-8.0,7.6,15.2,0.1
117,-4.0,-8.0,7.7,15.4,0.09
118,-4.0,-8.0,7.8,15.6,0.105
119,-4.0,-8.0,7.9,15.8,0.1
120,-4.0,-8.0,8.0,16.0,0.113
121,-4.0,-8.0,8.1,16.2,0.09
122,-4.0,-8.0,8.2,16.4,0.099
123,-4.0,-8.0,8.3,16.6,0.107
124,-4.0,-8.0,8.4,16.8,0.097
125,-4.0,-8.0,8.5,17.0,0.092
126,-4.0,-8.0,8.6,17.2,0.103
127,-4.0,-8.0,8.7,17.4,0.093
128,-4.0,-8.0,8.8,17.6,0.085
129,-4.0,-8.0,8.9,17.8,0.092
130,-4.0,-8.0,9.0,18.0,0.096
131,-4.0,-8.0,9.1,18.2,0.094
132,-4.0,-8.0,9.2,18.4,0.125
133,-4.0,-8.0,9.3,18.6,0.093
134,-4.0,-8.0,9.4,18.8,0.105
135,-4.0,-8.0,9.5,19.0,0.083
136,-4.0,-8.0,9.6,19.2,0.091
137,-4.0,-8.0,9.7,19.4,0.109
138,-4.0,-8.0,9.8,19.6,0.096
139,-4.0,-8.0,9.9,19.8,0.1
140,-4.0,-8.0,10.0,20.0,0.098
141,-4.0,-8.0,10.1,20.2,0.106
142,-4.0,-8.0,10.2,20.4,0.104
143,-4.0,-8.0,10.3,20.6,0.101
144,-4.0,-8.0,10.4,20.8,0.107
145,-4.0,-8.0,10.5,21.0,0.084
146,-4.0,-8.0,10.6,21.2,0.098
147,-4.0,-8.0,10.7,21.4,0.114
148,-4.0,-8.0,10.8,21.6,0.091
149,-4.0,-8.0,10.9,21.8,0.114
150,-4.0,-8.0,11.0,22.0,0.082
151,-4.0,-8.0,11.1,22.2,0.096
152,-4.0,-8.0,11.2,22.4,0.102
153,-4.0,-8.0,11.3,22.6,0.084
154,-4.0,-8.0,11.4,22.8,0.09
155,-4.0,-8.0,11.5,23.0,0.109
156,-4.0,-8.0,11.6,23.2,0.099
157,-4.0,-8.0,11.7,23.4,0.092
158,-4.0,-8.0,11.8,23.6,0.101
159,-4.0,-8.0,11.9,23.8,0.095
160,-4.0,-8.0,12.0,24.0,0.099
161,-4.0,-8.0,12.1,24.2,0.097
162,-4.0,-8.0,12.2,24.4,0.115
163,-4.0,-8.0,12.3,24.6,0.102
164,-4.0,-8.0,12.4,24.8,0.088
165,-4.0,-8.0,12.5,25.0,0.123
166,-4.0,-8.0,12.6,25.2,0.11
167,-4.0,-8.0,12.7,25.4,0.099
168,-4.0,-8.0,12.8,25.6,0.104
169,-4.0,-8.0,12.9,25.8,0.095
170,-4.0,-8.0,13.0,26.0,0.092
171,-4.0,-8.0,13.1,26.2,0.109
172,-4.0,-8.0,13.2,26.4,0.097
173,-4.0,-8.0,13.3,26.6,0.099
174,-4.0,-8.0,13.4,26.8,0.094
175,-4.0,-8.0,13.5,27.0,0.094
176,-4.0,-8.0,13.6,27.2,0.093
177,-4.0,-8.0,13.7,27.4,0.095
178,-4.0,-8.0,13.8,27.6,0.104
179,-4.0,-8.0,13.9,27.8,0.108
180,-4.0,-8.0,14.0,28.0,0.094
181,-4.0,-8.0,14.1,28.2,0.106
182,-4.0,-8.0,14.2,28.4,0.097
183,-4.0,-8.0,14.3,28.6,0.103
184,-4.0,-8.0,14.4,28.8,0.118
185,-4.0,-8.0,14.5,29.0,0.104
186,-4.0,-8.0,14.6,29.2,0.096
187,-4.0,-8.0,14.7,29.4,0.089
188,-4.0,-8.0,14.8,29.6,0.1
189,-4.0,-8.0,14.9,29.8,0.105
190,-4.0,-8.0,15.0,30.0,0.107
191,-4.0,-8.0,15.1,30.2,0.103
192,-4.0,-8.0,15.2,30.4,0.12
193,-4.0,-8.0,15.3,30.6,0.1
194,-4.0,-8.0,15.4,30.8,0.105
195,-4.0,-8.0,15.5,31.0,0.105
196,-4.0,-8.0,15.6,31.2,0.098
197,-4.0,-8.0,15.7,31.4,0.093
198,-4.0,-8.0,15.8,31.6,0.111
199,-4.0,-8.0,15.9,31.8,0.085
200,-4.0,-8.0,16.0,32.0,0.117
201,-3.9,-7.8,-4.0,-8.0,0.918
202,-3.9,-7.8,-3.9,-7.8,0.902
203,-3.9,-7.8,-3.8,-7.6,0.907
204,-3.9,-7.8,-3.7,-7.4,0.9
205,-3.9,-7.8,-3.6,-7.2,0.895
206,-3.9,-7.8,-3.5,-7.0,0.9
207,-3.9,-7.8,-3.4,-6.8,0.907
208,-3.9,-7.8,-3.3,-6.6,0.897
209,-3.9,-7.8,-3.2,-6.4,0.894
210,-3.9,-7.8,-3.1,-6.2,0.893
211,-3.9,-7.8,-3.0,-6.0,0.886
212,-3.9,-7.8,-2.9,-5.8,0.891
213,-3.9,-7.8,-2.8,-5.6,0.889
214,-3.9,-7.8,-2.7,-5.4,0.896
215,-3.9,-7.8,-2.6,-5.2,0.877
216,-3.9,-7.8,-2.5,-5.0,0.896
217,-3.9,-7.8,-2.4,-4.8,0.907
218,-3.9,-7.8,-2.3,-4.6,0.884
219,-3.9,-7.8,-2.2,-4.4,0.876
220,-3.9,-7.8,-2.1,-4.2,0.893
221,-3.9,-7.8,-2.0,-4.0,0.856
222,-3.9,-7.8,-1.9,-3.8,0.859
223,-3.9,-7.8,-1.8,-3.6,0.854
224,-3.9,-7.8,-1.7,-3.4,0.864
225,-3.9,-7.8,-1.6,-3.2,0.84
226,-3.9,-7.8,-1.5,-3.0,0.835
227,-3.9,-7.8,-1.4,-2.8,0.835
228,-3.9,-7.8,-1.3,-2.6,0.821
229,-3.9,-7.8,-1.2,-2.4,0.79
230,-3.9,-7.8,-1.1,-2.2,0.739
231,-3.9,-7.8,-1.0,-2.0,0.746
232,-3.9,-7.8,-0.9,-1.8,0.702
233,-3.9,-7.8,-0.8,-1.6,0.662
234,-3.9,-7.8,-0.7,-1.4,0.623
235,-3.9,-7.8,-0.6,-1.2,0.58
236,-3.9,-7.8,-0.5,-1.0,0.539
237,-3.9,-7.8,-0.4,-0.8,0.499
238,-3.9,-7.8,-0.3,-0.6,0.435
239,-3.9,-7.8,-0.2,-0.4,0.417
240,-3.9,-7.8,-0.1,-0.2,0.344
241,-3.9,-7.8,0.0,0.0,0.292
242,-3.9,-7.8,0.1,0.2,0.261
243,-3.9,-7.8,0.2,0.4,0.211
244,-3.9,-7.8,0.3,0.6,0.192
245,-3.9,-7.8,0.4,0.8,0.183
246,-3.9,-7.8,0.5,1.0,0.177
247,-3.9,-7.8,0.6,1.2,0.158
248,-3.9,-7.8,0.7,1.4,0.146
249,-3.9,-7.8,0.8,1.6,0.147
250,-3.9,-7.8,0.9,1.8,0.137
251,-3.9,-7.8,1.0,2.0,0.137
252,-3.9,-7.8,1.1,2.2,0.122
253,-3.9,-7.8,1.2,2.4,0.112
254,-3.9,-7.8,1.3,2.6,0.101
255,-3.9,-7.8,1.4,2.8,0.113
256,-3.9,-7.8,1.5,3.0,0.096
257,-3.9,-7.8,1.6,3.2,0.102
258,-3.9,-7.8,1.7,3.4,0.107
259,-3.9,-7.8,1.8,3.6,0.112
260,-3.9,-7.8,1.9,3.8,0.114
261,-3.9,-7.8,2.0,4.0,0.109
262,-3.9,-7.8,2.1,4.2,0.111
263,-3.9,-7.8,2.2,4.4,0.097
