,muh1,muh2,mux1,mux2,success_rate
0,-4.0,-8.0,-4.0,-8.0,0.875
1,-4.0,-8.0,-3.9,-7.8,0.864
2,-4.0,-8.0,-3.8,-7.6,0.86
3,-4.0,-8.0,-3.7,-7.4,0.841
4,-4.0,-8.0,-3.6,-7.2,0.844
5,-4.0,-8.0,-3.5,-7.0,0.816
6,-4.0,-8.0,-3.4,-6.8,0.849
7,-4.0,-8.0,-3.3,-6.6,0.826
8,-4.0,-8.0,-3.2,-6.4,0.776
9,-4.0,-8.0,-3.1,-6.2,0.806
10,-4.0,-8.0,-3.0,-6.0,0.783
11,-4.0,-8.0,-2.9,-5.8,0.77
12,-4.0,-8.0,-2.8,-5.6,0.749
13,-4.0,-8.0,-2.7,-5.4,0.727
14,-4.0,-8.0,-2.6,-5.2,0.663
15,-4.0,-8.0,-2.5,-5.0,0.651
16,-4.0,-8.0,-2.4,-4.8,0.624
17,-4.0,-8.0,-2.3,-4.6,0.636
18,-4.0,-8.0,-2.2,-4.4,0.538
19,-4.0,-8.0,-2.1,-4.2,0.519
20,-4.0,-8.0,-2.0,-4.0,0.511
21,-4.0,-8.0,-1.9,-3.8,0.453
22,-4.0,-8.0,-1.8,-3.6,0.39
23,-4.0,-8.0,-1.7,-3.4,0.394
24,-4.0,-8.0,-1.6,-3.2,0.374
25,-4.0,-8.0,-1.5,-3.0,0.308
26,-4.0,-8.0,-1.4,-2.8,0.288
27,-4.0,-8.0,-1.3,-2.6,0.235
28,-4.0,-8.0,-1.2,-2.4,0.227
29,-4.0,-8.0,-1.1,-2.2,0.179
30,-4.0,-8.0,-1.0,-2.0,0.188
31,-4.0,-8.0,-0.9,-1.8,0.171
32,-4.0,-8.0,-0.8,-1.6,0.148
33,-4.0,-8.0,-0.7,-1.4,0.145
34,-4.0,-8.0,-0.6,-1.2,0.119
35,-4.0,-8.0,-0.5,-1.0,0.127
36,-4.0,-8.0,-0.4,-0.8,0.124
37,-4.0,-8.0,-0.3,-0.6,0.138
38,-4.0,-8.0,-0.2,-0.4,0.128
39,-4.0,-8.0,-0.1,-0.2,0.098
40,-4.0,-8.0,0.0,0.0,0.099
41,-4.0,-8.0,0.1,0.2,0.097
42,-4.0,-8.0,0.2,0.4,0.117
43,-4.0,-8.0,0.3,0.6,0.107
44,-4.0,-8.0,0.4,0.8,0.109
45,-4.0,-8.0,0.5,1.0,0.09
46,-4.0,-8.0,0.6,1.2,0.097
47,-4.0,-8.0,0.7,1.4,0.106
48,-4.0,-8.0,0.8,1.6,0.095
49,-4.0,-8.0,0.9,1.8,0.105
50,-4.0,-8.0,1.0,2.0,0.085
51,-4.0,-8.0,1.1,2.2,0.095
52,-4.0,-8.0,1.2,2.4,0.089
53,-4.0,-8.0,1.3,2.6,0.094
54,-4.0,-8.0,1.4,2.8,0.094
55,-4.0,-8.0,1.5,3.0,0.097
56,-4.0,-8.0,1.6,3.2,0.112
57,-4.0,-8.0,1.7,3.4,0.098
58,-4.0,-8.0,1.8,3.6,0.094
59,-4.0,-8.0,1.9,3.8,0.103
60,-4.0,-8.0,2.0,4.0,0.111
61,-4.0,-8.0,2.1,4.2,0.089
62,-4.0,-8.0,2.2,4.4,0.09
63,-4.0,-8.0,2.3,4.6,0.113
64,-4.0,-8.0,2.4,4.8,0.11
65,-4.0,-8.0,2.5,5.0,0.099
66,-4.0,-8.0,2.6,5.2,0.11
67,-4.0,-8.0,2.7,5.4,0.106
68,-4.0,-8.0,2.8,5.6,0.093
69,-4.0,-8.0,2.9,5.8,0.111
70,-4.0,-8.0,3.0,6.0,0.11
71,-4.0,-8.0,3.1,6.2,0.096
72,-4.0,-8.0,3.2,6.4,0.098
73,-4.0,-8.0,3.3,6.6,0.092
74,-4.0,-8.0,3.4,6.8,0.087
75,-4.0,-8.0,3.5,7.0,0.094
76,-4.0,-8.0,3.6,7.2,0.105
77,-4.0,-8.0,3.7,7.4,0.105
78,-4.0,-8.0,3.8,7.6,0.105
79,-4.0,-8.0,3.9,7.8,0.096
80,-4.0,-8.0,4.0,8.0,0.097
81,-4.0,-8.0,4.1,8.2,0.075
82,-4.0,-8.0,4.2,8.4,0.1
83,-4.0,-8.0,4.3,8.6,0.097
84,-4.0,-8.0,4.4,8.8,0.111
85,-4.0,-8.0,4.5,9.0,0.104
86,-4.0,-8.0,4.6,9.2,0.097
87,-4.0,-8.0,4.7,9.4,0.084
88,-4.0,-8.0,4.8,9.6,0.102
89,-4.0,-8.0,4.9,9.8,0.106
90,-4.0,-8.0,5.0,10.0,0.113
91,-4.0,-8.0,5.1,10.2,0.099
92,-4.0,-8.0,5.2,10.4,0.089
93,-4.0,-8.0,5.3,10.6,0.111
94,-4.0,-8.0,5.4,10.8,0.114
95,-4.0,-8.0,5.5,11.0,0.093
96,-4.0,-8.0,5.6,11.2,0.093
97,-4.0,-8.0,5.7,11.4,0.095
98,-4.0,-8.0,5.8,11.6,0.091
99,-4.0,-8.0,5.9,11.8,0.098
100,-4.0,-8.0,6.0,12.0,0.112
101,-4.0,-8.0,6.1,12.2,0.106
102,-4.0,-8.0,6.2,12.4,0.102
103,-4.0,-8.0,6.3,12.6,0.096
104,-4.0,-8.0,6.4,12.8,0.098
105,-4.0,-8.0,6.5,13.0,0.103
106,-4.0,-8.0,6.6,13.2,0.118
107,-4.0,-8.0,6.7,13.4,0.102
108,-4.0,-8.0,6.8,13.6,0.097
109,-4.0,-8.0,6.9,13.8,0.117
110,-4.0,-8.0,7.0,14.0,0.108
111,-4.0,-8.0,7.1,14.2,0.107
112,-4.0,-8.0,7.2,14.4,0.09
113,-4.0,-8.0,7.3,14.6,0.097
114,-4.0,-8.0,7.4,14.8,0.103
115,-4.0,-8.0,7.5,15.0,0.1
116,-4.0,-8.0,7.6,15.2,0.094
117,-4.0,-8.0,7.7,15.4,0.107
118,-4.0,-8.0,7.8,15.6,0.107
119,-4.0,-8.0,7.9,15.8,0.107
120,-4.0,-8.0,8.0,16.0,0.077
121,-4.0,-8.0,8.1,16.2,0.099
122,-4.0,-8.0,8.2,16.4,0.103
123,-4.0,-8.0,8.3,16.6,0.091
124,-4.0,-8.0,8.4,16.8,0.128
125,-4.0,-8.0,8.5,17.0,0.109
126,-4.0,-8.0,8.6,17.2,0.084
127,-4.0,-8.0,8.7,17.4,0.089
128,-4.0,-8.0,8.8,17.6,0.08
129,-4.0,-8.0,8.9,17.8,0.095
130,-4.0,-8.0,9.0,18.0,0.106
131,-4.0,-8.0,9.1,18.2,0.098
132,-4.0,-8.0,9.2,18.4,0.099
133,-4.0,-8.0,9.3,18.6,0.096
134,-4.0,-8.0,9.4,18.8,0.102
135,-4.0,-8.0,9.5,19.0,0.085
136,-4.0,-8.0,9.6,19.2,0.095
137,-4.0,-8.0,9.7,19.4,0.1
138,-4.0,-8.0,9.8,19.6,0.072
139,-4.0,-8.0,9.9,19.8,0.098
140,-4.0,-8.0,10.0,20.0,0.091
141,-4.0,-8.0,10.1,20.2,0.1
142,-4.0,-8.0,10.2,20.4,0.127
143,-4.0,-8.0,10.3,20.6,0.11
144,-4.0,-8.0,10.4,20.8,0.091
145,-4.0,-8.0,10.5,21.0,0.095
146,-4.0,-8.0,10.6,21.2,0.106
147,-4.0,-8.0,10.7,21.4,0.109
148,-4.0,-8.0,10.8,21.6,0.104
149,-4.0,-8.0,10.9,21.8,0.093
150,-4.0,-8.0,11.0,22.0,0.101
151,-4.0,-8.0,11.1,22.2,0.095
152,-4.0,-8.0,11.2,22.4,0.101
153,-4.0,-8.0,11.3,22.6,0.093
