,avg_correct_ranking,avg_incrt,avg_incrt_w_n,avg_pval,mum,sigm,success_rate
0,0.107,0.0430222222222225,0.043233333333333686,0.24504984153674503,100,0,0.877
1,0.13,0.060844444444444826,0.04534444444444479,0.23715486694076657,100,10,0.859
2,0.145,0.07731111111111157,0.043044444444444815,0.24070693479551464,100,20,0.868
3,0.121,0.0985111111111115,0.046022222222222624,0.250536270331034,100,30,0.853
4,0.137,0.11542222222222247,0.04931111111111151,0.2867115281857012,100,40,0.839
5,0.113,0.13013333333333368,0.05167777777777831,0.2567161411237297,100,50,0.847
6,0.115,0.13754444444444472,0.05323333333333386,0.3024858598552923,100,60,0.814
7,0.099,0.14652222222222266,0.05480000000000051,0.27947244711564534,100,70,0.823
8,0.101,0.14828888888888905,0.053022222222222797,0.27245624093127474,100,80,0.831
9,0.097,0.15212222222222263,0.05674444444444515,0.2967077925551927,100,90,0.817
10,0.105,0.1558000000000003,0.055111111111111666,0.28799102880514393,100,100,0.791
11,0.113,0.15665555555555585,0.05387777777777829,0.2692447031156093,100,110,0.816
12,0.132,0.1579111111111111,0.05257777777777825,0.2713131633784108,100,120,0.817
13,0.111,0.15941111111111142,0.052600000000000494,0.27490912786158656,100,130,0.831
14,0.123,0.1573888888888888,0.05086666666666712,0.2816701856147779,100,140,0.832
15,0.118,0.15458888888888955,0.050177777777778286,0.2665693858697759,100,150,0.811
16,0.124,0.16031111111111143,0.051333333333333946,0.27291179119941683,100,160,0.832
17,0.15,0.15858888888888917,0.04784444444444493,0.2662979247540531,100,170,0.843
18,0.137,0.15630000000000027,0.0460333333333337,0.25852167494161327,100,180,0.835
19,0.147,0.1588111111111114,0.047144444444444863,0.278747338595633,100,190,0.814
20,0.143,0.15618888888888935,0.04773333333333377,0.2655611920611962,100,200,0.808
21,0.147,0.16076666666666717,0.04487777777777819,0.24668653531767337,100,210,0.843
22,0.157,0.1583333333333338,0.04566666666666702,0.2694147094688176,100,220,0.826
23,0.155,0.15996666666666695,0.04558888888888931,0.24233210867551588,100,230,0.851
24,0.156,0.15708888888888922,0.04442222222222259,0.2323656958624231,100,240,0.846
25,0.19,0.15824444444444485,0.04158888888888917,0.22488954917169213,100,250,0.86
26,0.192,0.15757777777777837,0.042166666666667,0.22683521430799045,100,260,0.871
27,0.193,0.15442222222222265,0.042255555555555824,0.24113223036309417,100,270,0.845
28,0.171,0.154977777777778,0.04283333333333374,0.22626086723803443,100,280,0.856
29,0.181,0.15824444444444472,0.04085555555555586,0.22216031696464272,100,290,0.846
30,0.19,0.1611111111111116,0.04202222222222255,0.2265750901642368,100,300,0.863
31,0.198,0.15597777777777821,0.04110000000000024,0.23751156287301384,100,310,0.85
32,0.202,0.15758888888888928,0.04018888888888909,0.23253155957849633,100,320,0.857
33,0.203,0.1581222222222226,0.04042222222222245,0.2171775692013971,100,330,0.868
34,0.186,0.15810000000000018,0.04074444444444472,0.2237789952319944,100,340,0.864
35,0.21,0.15785555555555594,0.03915555555555571,0.21485023427104497,100,350,0.871
36,0.2,0.1596555555555558,0.0392222222222224,0.21223247101605383,100,360,0.862
37,0.209,0.15674444444444474,0.03951111111111136,0.22295383390526935,100,370,0.864
38,0.246,0.15541111111111128,0.035433333333333435,0.22826429870598625,100,380,0.866
39,0.214,0.15698888888888923,0.03677777777777789,0.20413580256986585,100,390,0.874
40,0.227,0.15607777777777818,0.03587777777777788,0.21495831542276644,100,400,0.878
41,0.223,0.15444444444444483,0.03588888888888898,0.1905544705507748,100,410,0.886
42,0.219,0.1567222222222224,0.03624444444444455,0.2054299491294972,100,420,0.868
43,0.257,0.15267777777777813,0.034033333333333304,0.19758839285466803,100,430,0.88
44,0.237,0.15577777777777804,0.03488888888888892,0.20667920810332568,100,440,0.865
45,0.245,0.15758888888888917,0.03495555555555563,0.18975999669800356,100,450,0.879
46,0.245,0.15457777777777826,0.03398888888888888,0.18817432760008831,100,460,0.889
47,0.259,0.15691111111111147,0.033699999999999966,0.20163181314265308,100,470,0.874
48,0.242,0.15652222222222245,0.034688888888888936,0.19778549870943166,100,480,0.871
49,0.253,0.15758888888888897,0.03465555555555558,0.1909689560144352,100,490,0.881
50,0.113,0.04288888888888921,0.042944444444444854,0.23868628862003144,110,0,0.856
51,0.152,0.055911111111111564,0.04328888888888921,0.25102840303307844,110,10,0.849
52,0.141,0.07335555555555599,0.04217777777777806,0.24580850481798697,110,20,0.865
53,0.145,0.0904777777777782,0.044322222222222575,0.26106273816441655,110,30,0.85
54,0.128,0.10914444444444477,0.048644444444444886,0.25508940893593535,110,40,0.84
55,0.117,0.11998888888888928,0.047922222222222643,0.260192514694622,110,50,0.849
56,0.103,0.13447777777777808,0.05064444444444491,0.28070295558353064,110,60,0.813
57,0.117,0.13941111111111154,0.05142222222222276,0.263919402880959,110,70,0.834
58,0.126,0.14634444444444494,0.05183333333333377,0.3063924184645169,110,80,0.798
59,0.114,0.14922222222222242,0.05245555555555606,0.2787418772786929,110,90,0.837
60,0.131,0.15213333333333376,0.050833333333333786,0.27336091957277553,110,100,0.827
61,0.124,0.1484666666666669,0.04947777777777821,0.27729788475551326,110,110,0.825
62,0.124,0.15223333333333383,0.04962222222222267,0.27556834549484704,110,120,0.85
63,0.12,0.15757777777777787,0.052555555555556036,0.2820432902818752,110,130,0.818
64,0.148,0.15574444444444502,0.04934444444444485,0.2716362786752834,110,140,0.816
65,0.138,0.15657777777777804,0.05038888888888941,0.26724530285066345,110,150,0.834
66,0.129,0.15564444444444472,0.04875555555555599,0.2530517257045487,110,160,0.85
67,0.134,0.15723333333333392,0.04998888888888936,0.2613382411103246,110,170,0.823
68,0.154,0.15910000000000027,0.048500000000000404,0.2566188541579744,110,180,0.843
69,0.152,0.15247777777777796,0.04521111111111142,0.25526447562386406,110,190,0.842
70,0.156,0.15883333333333366,0.047900000000000394,0.24636326339091363,110,200,0.837
71,0.157,0.1575111111111115,0.04531111111111147,0.23519302635893352,110,210,0.862
72,0.166,0.15470000000000025,0.043666666666666965,0.254612349355608,110,220,0.849
73,0.165,0.15927777777777788,0.04562222222222255,0.2610416228298472,110,230,0.835
74,0.18,0.15853333333333397,0.042811111111111376,0.24379944277411705,110,240,0.867
75,0.163,0.15868888888888938,0.04440000000000034,0.23045586169449997,110,250,0.869
