,sigh,sigx,success_rate
0,0.0,0.0,0.102
1,0.0,0.04,0.232
2,0.0,0.08,0.22
3,0.0,0.12,0.203
4,0.0,0.16,0.233
5,0.0,0.2,0.249
6,0.0,0.24,0.248
7,0.0,0.28,0.2
8,0.0,0.32,0.242
9,0.0,0.36,0.24
10,0.0,0.4,0.249
11,0.0,0.44,0.322
12,0.0,0.48,0.334
13,0.0,0.52,0.398
14,0.0,0.56,0.449
15,0.0,0.6,0.497
16,0.0,0.64,0.535
17,0.0,0.68,0.573
18,0.0,0.72,0.567
19,0.0,0.76,0.598
20,0.0,0.8,0.608
21,0.0,0.84,0.611
22,0.0,0.88,0.607
23,0.0,0.92,0.614
24,0.0,0.96,0.603
25,0.0,1.0,0.594
26,0.0,1.04,0.562
27,0.0,1.08,0.571
28,0.0,1.12,0.556
29,0.0,1.16,0.561
30,0.0,1.2,0.534
31,0.0,1.24,0.539
32,0.0,1.28,0.526
33,0.0,1.32,0.51
34,0.0,1.36,0.513
35,0.0,1.4,0.499
36,0.0,1.44,0.481
37,0.0,1.48,0.519
38,0.0,1.52,0.474
39,0.0,1.56,0.462
40,0.0,1.6,0.455
41,0.0,1.64,0.479
42,0.0,1.68,0.444
43,0.0,1.72,0.432
44,0.0,1.76,0.443
45,0.0,1.8,0.416
46,0.0,1.84,0.436
47,0.0,1.88,0.449
48,0.0,1.92,0.408
49,0.0,1.96,0.415
50,0.0,2.0,0.382
51,0.0,2.04,0.439
52,0.0,2.08,0.397
53,0.0,2.12,0.382
54,0.0,2.16,0.373
55,0.0,2.2,0.403
56,0.0,2.24,0.371
57,0.0,2.28,0.378
58,0.0,2.32,0.373
59,0.0,2.36,0.355
60,0.0,2.4,0.348
61,0.0,2.44,0.355
62,0.0,2.48,0.363
63,0.0,2.52,0.352
64,0.0,2.56,0.372
65,0.0,2.6,0.332
66,0.0,2.64,0.348
67,0.0,2.68,0.353
68,0.0,2.72,0.352
69,0.0,2.76,0.362
70,0.0,2.8,0.335
71,0.0,2.84,0.336
72,0.0,2.88,0.371
73,0.0,2.92,0.332
74,0.0,2.96,0.337
75,0.0,3.0,0.343
76,0.0,3.04,0.359
77,0.0,3.08,0.323
78,0.0,3.12,0.347
79,0.0,3.16,0.355
80,0.0,3.2,0.324
81,0.0,3.24,0.322
82,0.0,3.28,0.349
83,0.0,3.32,0.321
84,0.0,3.36,0.305
85,0.0,3.4,0.313
86,0.0,3.44,0.317
87,0.0,3.48,0.328
88,0.0,3.52,0.288
89,0.0,3.56,0.317
90,0.0,3.6,0.316
91,0.0,3.64,0.305
92,0.0,3.68,0.307
93,0.0,3.72,0.294
94,0.0,3.76,0.303
95,0.0,3.8,0.29
96,0.0,3.84,0.315
97,0.0,3.88,0.323
98,0.0,3.92,0.34
99,0.0,3.96,0.309
100,0.0,4.0,0.303
101,0.04,0.0,0.098
102,0.04,0.04,0.302
103,0.04,0.08,0.481
104,0.04,0.12,0.644
105,0.04,0.16,0.65
106,0.04,0.2,0.675
107,0.04,0.24,0.692
108,0.04,0.28,0.656
109,0.04,0.32,0.669
110,0.04,0.36,0.632
111,0.04,0.4,0.661
112,0.04,0.44,0.67
113,0.04,0.48,0.681
114,0.04,0.52,0.696
115,0.04,0.56,0.744
116,0.04,0.6,0.737
117,0.04,0.64,0.811
118,0.04,0.68,0.82
119,0.04,0.72,0.829
120,0.04,0.76,0.821
121,0.04,0.8,0.829
122,0.04,0.84,0.822
123,0.04,0.88,0.825
124,0.04,0.92,0.792
125,0.04,0.96,0.82
126,0.04,1.0,0.8
127,0.04,1.04,0.793
128,0.04,1.08,0.779
129,0.04,1.12,0.769
130,0.04,1.16,0.753
131,0.04,1.2,0.72
132,0.04,1.24,0.754
133,0.04,1.28,0.714
134,0.04,1.32,0.704
135,0.04,1.36,0.662
136,0.04,1.4,0.627
137,0.04,1.44,0.663
138,0.04,1.48,0.642
139,0.04,1.52,0.595
140,0.04,1.56,0.599
141,0.04,1.6,0.612
142,0.04,1.64,0.574
143,0.04,1.68,0.571
144,0.04,1.72,0.557
145,0.04,1.76,0.539
146,0.04,1.8,0.539
147,0.04,1.84,0.542
148,0.04,1.88,0.524
149,0.04,1.92,0.55
150,0.04,1.96,0.53
151,0.04,2.0,0.487
152,0.04,2.04,0.488
153,0.04,2.08,0.488
154,0.04,2.12,0.5
155,0.04,2.16,0.478
156,0.04,2.2,0.481
157,0.04,2.24,0.452
158,0.04,2.28,0.471
159,0.04,2.32,0.48
160,0.04,2.36,0.46
161,0.04,2.4,0.43
162,0.04,2.44,0.441
163,0.04,2.48,0.456
164,0.04,2.52,0.432
165,0.04,2.56,0.418
166,0.04,2.6,0.414
167,0.04,2.64,0.412
168,0.04,2.68,0.401
169,0.04,2.72,0.395
170,0.04,2.76,0.424
171,0.04,2.8,0.381
172,0.04,2.84,0.409
173,0.04,2.88,0.415
174,0.04,2.92,0.371
175,0.04,2.96,0.371
176,0.04,3.0,0.399
177,0.04,3.04,0.382
178,0.04,3.08,0.379
179,0.04,3.12,0.381
180,0.04,3.16,0.365
181,0.04,3.2,0.368
182,0.04,3.24,0.335
183,0.04,3.28,0.372
184,0.04,3.32,0.345
185,0.04,3.36,0.374
186,0.04,3.4,0.356
187,0.04,3.44,0.359
188,0.04,3.48,0.355
189,0.04,3.52,0.38
190,0.04,3.56,0.367
191,0.04,3.6,0.357
192,0.04,3.64,0.327
193,0.04,3.68,0.372
194,0.04,3.72,0.337
195,0.04,3.76,0.307
196,0.04,3.8,0.333
197,0.04,3.84,0.357
198,0.04,3.88,0.345
199,0.04,3.92,0.348
200,0.04,3.96,0.317
201,0.04,4.0,0.326
202,0.08,0.0,0.076
203,0.08,0.04,0.216
204,0.08,0.08,0.367
205,0.08,0.12,0.472
206,0.08,0.16,0.603
207,0.08,0.2,0.664
208,0.08,0.24,0.711
209,0.08,0.28,0.731
210,0.08,0.32,0.732
211,0.08,0.36,0.748
212,0.08,0.4,0.745
213,0.08,0.44,0.791
214,0.08,0.48,0.807
215,0.08,0.52,0.803
216,0.08,0.56,0.829
217,0.08,0.6,0.806
218,0.08,0.64,0.83
219,0.08,0.68,0.836
220,0.08,0.72,0.861
221,0.08,0.76,0.863
222,0.08,0.8,0.85
223,0.08,0.84,0.846
224,0.08,0.88,0.853
225,0.08,0.92,0.843
226,0.08,0.96,0.84
227,0.08,1.0,0.847
228,0.08,1.04,0.82
229,0.08,1.08,0.809
230,0.08,1.12,0.821
231,0.08,1.16,0.787
232,0.08,1.2,0.767
233,0.08,1.24,0.781
234,0.08,1.28,0.759
235,0.08,1.32,0.698
236,0.08,1.36,0.718
237,0.08,1.4,0.706
238,0.08,1.44,0.717
239,0.08,1.48,0.672
240,0.08,1.52,0.689
241,0.08,1.56,0.668
242,0.08,1.6,0.62
243,0.08,1.64,0.639
244,0.08,1.68,0.652
245,0.08,1.72,0.609
246,0.08,1.76,0.622
247,0.08,1.8,0.6
248,0.08,1.84,0.588
249,0.08,1.88,0.597
250,0.08,1.92,0.568
251,0.08,1.96,0.541
252,0.08,2.0,0.58
253,0.08,2.04,0.513
254,0.08,2.08,0.502
255,0.08,2.12,0.527
256,0.08,2.16,0.499
257,0.08,2.2,0.494
258,0.08,2.24,0.509
259,0.08,2.28,0.496
260,0.08,2.32,0.459
261,0.08,2.36,0.474
262,0.08,2.4,0.48
263,0.08,2.44,0.445
264,0.08,2.48,0.467
265,0.08,2.52,0.459
266,0.08,2.56,0.459
267,0.08,2.6,0.445
268,0.08,2.64,0.431
269,0.08,2.68,0.448
270,0.08,2.72,0.455
271,0.08,2.76,0.407
272,0.08,2.8,0.427
273,0.08,2.84,0.418
274,0.08,2.88,0.386
275,0.08,2.92,0.373
276,0.08,2.96,0.413
277,0.08,3.0,0.401
278,0.08,3.04,0.388
279,0.08,3.08,0.408
280,0.08,3.12,0.376
281,0.08,3.16,0.402
282,0.08,3.2,0.378
283,0.08,3.24,0.396
284,0.08,3.28,0.4
285,0.08,3.32,0.39
286,0.08,3.36,0.377
287,0.08,3.4,0.364
288,0.08,3.44,0.381
289,0.08,3.48,0.354
290,0.08,3.52,0.382
291,0.08,3.56,0.344
292,0.08,3.6,0.369
293,0.08,3.64,0.366
294,0.08,3.68,0.352
295,0.08,3.72,0.396
296,0.08,3.76,0.357
297,0.08,3.8,0.363
298,0.08,3.84,0.35
299,0.08,3.88,0.37
300,0.08,3.92,0.357
301,0.08,3.96,0.386
302,0.08,4.0,0.351
303,0.12,0.0,0.092
304,0.12,0.04,0.205
305,0.12,0.08,0.326
306,0.12,0.12,0.44
307,0.12,0.16,0.493
308,0.12,0.2,0.608
309,0.12,0.24,0.677
310,0.12,0.28,0.725
311,0.12,0.32,0.731
312,0.12,0.36,0.773
313,0.12,0.4,0.799
314,0.12,0.44,0.806
315,0.12,0.48,0.793
316,0.12,0.52,0.801
317,0.12,0.56,0.813
318,0.12,0.6,0.819
319,0.12,0.64,0.82
320,0.12,0.68,0.839
321,0.12,0.72,0.836
322,0.12,0.76,0.85
323,0.12,0.8,0.859
324,0.12,0.84,0.873
325,0.12,0.88,0.886
326,0.12,0.92,0.87
327,0.12,0.96,0.828
328,0.12,1.0,0.868
329,0.12,1.04,0.843
330,0.12,1.08,0.808
331,0.12,1.12,0.822
332,0.12,1.16,0.786
333,0.12,1.2,0.784
334,0.12,1.24,0.789
335,0.12,1.28,0.792
336,0.12,1.32,0.749
337,0.12,1.36,0.742
338,0.12,1.4,0.747
339,0.12,1.44,0.695
340,0.12,1.48,0.721
341,0.12,1.52,0.695
342,0.12,1.56,0.687
343,0.12,1.6,0.682
344,0.12,1.64,0.672
345,0.12,1.68,0.654
346,0.12,1.72,0.607
347,0.12,1.76,0.592
348,0.12,1.8,0.604
349,0.12,1.84,0.599
350,0.12,1.88,0.588
351,0.12,1.92,0.593
352,0.12,1.96,0.598
353,0.12,2.0,0.536
354,0.12,2.04,0.55
355,0.12,2.08,0.551
356,0.12,2.12,0.56
357,0.12,2.16,0.571
358,0.12,2.2,0.51
359,0.12,2.24,0.518
360,0.12,2.28,0.549
361,0.12,2.32,0.517
362,0.12,2.36,0.518
363,0.12,2.4,0.485
364,0.12,2.44,0.494
365,0.12,2.48,0.495
366,0.12,2.52,0.468
367,0.12,2.56,0.454
368,0.12,2.6,0.455
369,0.12,2.64,0.435
370,0.12,2.68,0.462
371,0.12,2.72,0.46
372,0.12,2.76,0.455
