,opt,sigh,success_rate
0,2,0.0,0.861
1,2,0.01,0.91
2,2,0.02,0.94
3,2,0.03,0.951
4,2,0.04,0.946
5,2,0.05,0.954
6,2,0.06,0.964
7,2,0.07,0.963
8,2,0.08,0.97
9,2,0.09,0.963
10,2,0.1,0.971
11,2,0.11,0.96
12,2,0.12,0.96
13,2,0.13,0.962
14,2,0.14,0.968
15,2,0.15,0.963
16,2,0.16,0.966
17,2,0.17,0.965
18,2,0.18,0.947
19,2,0.19,0.956
20,2,0.2,0.945
21,2,0.21,0.961
22,2,0.22,0.959
23,2,0.23,0.956
24,2,0.24,0.951
25,2,0.25,0.956
26,2,0.26,0.949
27,2,0.27,0.953
28,2,0.28,0.958
29,2,0.29,0.967
30,2,0.3,0.955
31,2,0.31,0.949
32,2,0.32,0.955
33,2,0.33,0.952
34,2,0.34,0.946
35,2,0.35000000000000003,0.952
36,2,0.36,0.943
37,2,0.37,0.947
38,2,0.38,0.957
39,2,0.39,0.957
40,2,0.4,0.954
41,2,0.41000000000000003,0.958
42,2,0.42,0.951
43,2,0.43,0.948
44,2,0.44,0.955
45,2,0.45,0.963
46,2,0.46,0.951
47,2,0.47000000000000003,0.938
48,2,0.48,0.958
49,2,0.49,0.951
50,2,0.5,0.949
51,2,0.51,0.959
52,2,0.52,0.954
53,2,0.53,0.967
54,2,0.54,0.958
55,2,0.55,0.955
56,2,0.56,0.965
57,2,0.5700000000000001,0.955
58,2,0.58,0.948
59,2,0.59,0.944
60,2,0.6,0.95
61,2,0.61,0.949
62,2,0.62,0.951
63,2,0.63,0.953
64,2,0.64,0.958
65,2,0.65,0.957
66,2,0.66,0.956
67,2,0.67,0.948
68,2,0.68,0.953
69,2,0.6900000000000001,0.95
70,2,0.7000000000000001,0.951
71,2,0.71,0.95
72,2,0.72,0.958
73,2,0.73,0.94
74,2,0.74,0.948
75,2,0.75,0.949
76,2,0.76,0.949
77,2,0.77,0.948
78,2,0.78,0.965
79,2,0.79,0.942
80,2,0.8,0.957
81,2,0.81,0.942
82,2,0.8200000000000001,0.946
83,2,0.8300000000000001,0.945
84,2,0.84,0.948
85,2,0.85,0.956
86,2,0.86,0.936
87,2,0.87,0.957
88,2,0.88,0.953
89,2,0.89,0.947
90,2,0.9,0.942
91,2,0.91,0.942
92,2,0.92,0.939
93,2,0.93,0.945
94,2,0.9400000000000001,0.945
95,2,0.9500000000000001,0.966
96,2,0.96,0.952
97,2,0.97,0.937
98,2,0.98,0.946
99,2,0.99,0.949
100,2,1.0,0.936
101,2,1.01,0.946
102,2,1.02,0.952
103,2,1.03,0.946
104,2,1.04,0.93
105,2,1.05,0.955
106,2,1.06,0.941
107,2,1.07,0.962
108,2,1.08,0.944
109,2,1.09,0.951
110,2,1.1,0.948
111,2,1.11,0.938
112,2,1.12,0.948
113,2,1.1300000000000001,0.937
114,2,1.1400000000000001,0.941
115,2,1.1500000000000001,0.939
116,2,1.16,0.948
117,2,1.17,0.941
118,2,1.18,0.933
119,2,1.19,0.937
120,2,1.2,0.947
121,2,1.21,0.916
122,2,1.22,0.931
123,2,1.23,0.934
124,2,1.24,0.943
125,2,1.25,0.938
126,2,1.26,0.937
127,2,1.27,0.943
128,2,1.28,0.939
129,2,1.29,0.944
130,2,1.3,0.936
131,2,1.31,0.937
132,2,1.32,0.94
133,2,1.33,0.935
134,2,1.34,0.925
135,2,1.35,0.933
136,2,1.36,0.937
137,2,1.37,0.945
138,2,1.3800000000000001,0.95
139,2,1.3900000000000001,0.927
140,2,1.4000000000000001,0.934
141,2,1.41,0.927
142,2,1.42,0.926
143,2,1.43,0.935
144,2,1.44,0.93
145,2,1.45,0.94
146,2,1.46,0.939
147,2,1.47,0.937
148,2,1.48,0.923
149,2,1.49,0.942
150,2,1.5,0.932
151,2,1.51,0.925
152,2,1.52,0.921
153,2,1.53,0.941
154,2,1.54,0.939
155,2,1.55,0.93
156,2,1.56,0.938
157,2,1.57,0.94
158,2,1.58,0.926
159,2,1.59,0.938
160,2,1.6,0.929
