,nop,sigm,success_rate
0,2,1,0.6005
1,2,2,0.631
2,2,3,0.6395
3,2,4,0.6445
4,2,5,0.667
5,2,6,0.6635
6,2,7,0.6745
7,2,8,0.6655
8,2,9,0.688
9,2,10,0.667
10,2,11,0.677
11,2,12,0.6765
12,2,13,0.708
13,2,14,0.6775
14,2,15,0.6825
15,2,16,0.6715
16,2,17,0.688
17,2,18,0.6845
18,2,19,0.688
19,2,20,0.683
20,2,21,0.6755
21,2,22,0.688
22,2,23,0.6845
23,2,24,0.6905
24,2,25,0.6995
25,2,26,0.682
26,2,27,0.688
27,2,28,0.693
28,2,29,0.696
29,2,30,0.693
30,2,31,0.708
31,2,32,0.712
32,2,33,0.7135
33,2,34,0.695
34,2,35,0.6905
35,2,36,0.687
36,2,37,0.682
37,2,38,0.6965
38,2,39,0.6815
39,2,40,0.7055
40,2,41,0.716
41,2,42,0.683
42,2,43,0.682
43,2,44,0.6935
44,2,45,0.692
45,2,46,0.6945
46,2,47,0.685
47,2,48,0.717
48,2,49,0.712
49,2,50,0.6925
50,2,51,0.7015
51,2,52,0.7115
52,2,53,0.702
53,2,54,0.716
54,2,55,0.6875
55,2,56,0.701
56,2,57,0.709
57,2,58,0.701
58,2,59,0.695
59,2,60,0.687
60,2,61,0.7165
61,2,62,0.709
62,2,63,0.703
63,2,64,0.7035
64,2,65,0.708
65,2,66,0.722
66,2,67,0.6775
67,2,68,0.701
68,2,69,0.705
69,2,70,0.7295
70,2,71,0.7025
71,2,72,0.708
72,2,73,0.7185
73,2,74,0.7025
74,2,75,0.724
75,2,76,0.6975
76,2,77,0.716
77,2,78,0.7175
78,2,79,0.6995
79,2,80,0.704
80,2,81,0.701
81,2,82,0.6995
82,2,83,0.7015
83,2,84,0.711
84,2,85,0.7055
85,2,86,0.7085
86,2,87,0.7065
87,2,88,0.701
88,2,89,0.7055
89,2,90,0.7175
90,2,91,0.711
91,2,92,0.7105
92,2,93,0.713
93,2,94,0.703
94,2,95,0.6895
95,2,96,0.6965
96,2,97,0.7195
97,2,98,0.6995
98,2,99,0.7115
99,2,100,0.7015
100,10,1,0.1915
101,10,2,0.2345
102,10,3,0.2555
103,10,4,0.2375
104,10,5,0.2545
105,10,6,0.2625
106,10,7,0.2665
107,10,8,0.282
108,10,9,0.293
109,10,10,0.2855
110,10,11,0.276
111,10,12,0.273
112,10,13,0.2975
113,10,14,0.28
114,10,15,0.286
115,10,16,0.273
116,10,17,0.289
117,10,18,0.2835
118,10,19,0.298
119,10,20,0.2965
120,10,21,0.3115
121,10,22,0.302
122,10,23,0.2905
123,10,24,0.293
124,10,25,0.299
125,10,26,0.2955
126,10,27,0.2995
127,10,28,0.289
128,10,29,0.293
129,10,30,0.3045
130,10,31,0.293
131,10,32,0.301
132,10,33,0.292
133,10,34,0.3125
134,10,35,0.3125
135,10,36,0.2985
136,10,37,0.2935
137,10,38,0.303
138,10,39,0.324
139,10,40,0.301
140,10,41,0.299
141,10,42,0.2845
142,10,43,0.302
143,10,44,0.288
144,10,45,0.304
145,10,46,0.2975
146,10,47,0.3055
147,10,48,0.309
148,10,49,0.3085
149,10,50,0.3185
150,10,51,0.317
151,10,52,0.314
152,10,53,0.3115
153,10,54,0.3195
154,10,55,0.309
155,10,56,0.324
156,10,57,0.299
157,10,58,0.309
158,10,59,0.3185
159,10,60,0.3065
160,10,61,0.3135
161,10,62,0.3165
162,10,63,0.3065
163,10,64,0.309
164,10,65,0.3265
165,10,66,0.3165
166,10,67,0.3065
167,10,68,0.31
168,10,69,0.309
169,10,70,0.303
170,10,71,0.3195
171,10,72,0.3065
172,10,73,0.312
173,10,74,0.33
174,10,75,0.3195
175,10,76,0.3155
176,10,77,0.306
177,10,78,0.3175
178,10,79,0.3205
179,10,80,0.315
180,10,81,0.3285
181,10,82,0.302
182,10,83,0.3265
183,10,84,0.312
184,10,85,0.3105
185,10,86,0.322
186,10,87,0.2985
187,10,88,0.3245
188,10,89,0.324
189,10,90,0.3085
190,10,91,0.32
191,10,92,0.31
192,10,93,0.3325
193,10,94,0.3215
194,10,95,0.299
195,10,96,0.313
196,10,97,0.322
197,10,98,0.3045
198,10,99,0.3105
199,10,100,0.31
200,40,1,0.0615
201,40,2,0.068
202,40,3,0.09
203,40,4,0.087
204,40,5,0.087
205,40,6,0.1
206,40,7,0.092
207,40,8,0.0985
208,40,9,0.0955
209,40,10,0.1155
210,40,11,0.099
211,40,12,0.099
212,40,13,0.115
213,40,14,0.1105
214,40,15,0.1135
215,40,16,0.0995
216,40,17,0.1135
217,40,18,0.108
218,40,19,0.108
219,40,20,0.121
220,40,21,0.115
221,40,22,0.1115
222,40,23,0.1235
223,40,24,0.1165
224,40,25,0.1165
225,40,26,0.1275
226,40,27,0.115
227,40,28,0.1115
228,40,29,0.1205
229,40,30,0.124
