nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,500,0.974,0.04426446206918606,0.029,0.0275
2,520,0.981,0.03654060835892915,0.022,0.0205
2,540,0.983,0.03670354208111339,0.019,0.019
2,560,0.982,0.04054082562403422,0.018,0.0185
2,580,0.983,0.0469251890037037,0.016,0.018
2,600,0.981,0.03280156172208553,0.019,0.0195
2,620,0.986,0.033602624135648546,0.015,0.015
2,640,0.984,0.028331680869037326,0.017,0.017
2,660,0.985,0.03644928926325009,0.015,0.015
2,680,0.98,0.03722850019332681,0.021,0.0205
2,700,0.981,0.03660440466871017,0.019,0.0195
2,720,0.983,0.03567972718426012,0.019,0.0195
2,740,0.976,0.03345656190388108,0.024,0.024
2,760,0.98,0.0342742174585129,0.022,0.0215
2,780,0.986,0.032367690653236615,0.015,0.015
2,800,0.983,0.028701728976390253,0.018,0.018
2,820,0.987,0.031703180512544324,0.014,0.014
2,840,0.986,0.035688789157332694,0.015,0.015
2,860,0.978,0.03542148823301171,0.021,0.021
2,880,0.988,0.029935590363375616,0.012,0.012
2,900,0.991,0.03434774999374483,0.01,0.01
2,920,0.984,0.0294627744978864,0.018,0.0175
2,940,0.988,0.026926945429866962,0.014,0.014
2,960,0.988,0.024743710235745203,0.014,0.0125
2,980,0.988,0.029334221173186792,0.015,0.015
2,1000,0.993,0.026246428651543977,0.008,0.008
2,1020,0.986,0.027037610422042942,0.015,0.015
2,1040,0.989,0.029609850605054926,0.011,0.011
2,1060,0.985,0.031485569784196164,0.017,0.018
2,1080,0.983,0.030919062991253514,0.019,0.0195
2,1100,0.995,0.018883154338707107,0.005,0.006
2,1120,0.993,0.02630023047049525,0.007,0.008
2,1140,0.98,0.031091242076188023,0.02,0.0205
2,1160,0.986,0.027271428598632682,0.014,0.014
2,1180,0.988,0.0269413000567008,0.014,0.0135
2,1200,0.986,0.026961176523626573,0.014,0.015
2,1220,0.992,0.023802707211574948,0.01,0.01
2,1240,0.987,0.021965595031629714,0.014,0.014
2,1260,0.983,0.025350526788007584,0.017,0.018
2,1280,0.985,0.02852290346790606,0.016,0.016
2,1300,0.991,0.025370968967915075,0.01,0.0105
2,1320,0.991,0.025822537520900968,0.011,0.0105
2,1340,0.984,0.028899618941209914,0.017,0.017
2,1360,0.991,0.021314997501014326,0.01,0.01
2,1380,0.99,0.02588322165020885,0.01,0.01
2,1400,0.992,0.02132267359380653,0.009,0.009
2,1420,0.988,0.028386907191494084,0.012,0.012
2,1440,0.997,0.013986034374567101,0.003,0.0035
2,1460,0.988,0.02779076933437442,0.014,0.0135
2,1480,0.985,0.02374549536340479,0.016,0.016
2,1500,0.994,0.021920838990759015,0.007,0.007
2,1520,0.994,0.023026304425774864,0.006,0.006
2,1540,0.993,0.023076509554962227,0.008,0.008
2,1560,0.99,0.0251754004539266,0.01,0.0105
2,1580,0.989,0.02542544357084486,0.012,0.012
2,1600,0.994,0.022467688134775506,0.007,0.007
2,1620,0.989,0.02233276510558525,0.012,0.012
2,1640,0.988,0.02341390574696658,0.012,0.0125
2,1660,0.998,0.024986752574012307,0.003,0.0035
2,1680,0.989,0.02039454031302502,0.012,0.012
2,1700,0.989,0.02456550639789891,0.011,0.011
2,1720,0.995,0.019574114886241712,0.006,0.006
2,1740,0.995,0.017172392899148455,0.006,0.006
2,1760,0.99,0.026793923540784963,0.011,0.011
2,1780,0.989,0.026954206084864048,0.011,0.0115
2,1800,0.994,0.016956940551720232,0.007,0.007
2,1820,0.988,0.020998347657192135,0.013,0.013
2,1840,0.993,0.015568590262155617,0.009,0.0095
2,1860,0.992,0.018741896847965806,0.009,0.009
2,1880,0.995,0.02373520081631755,0.007,0.007
2,1900,0.998,0.015845135094013023,0.003,0.0035
2,1920,0.986,0.026834111535407365,0.017,0.0165
2,1940,0.991,0.02117493929131273,0.009,0.009
2,1960,0.993,0.015452927742241612,0.008,0.008
2,1980,0.994,0.018880969665699937,0.007,0.0075
5,500,0.951,0.07664867519349375,0.021800000000000028,0.022150000000000034
5,520,0.957,0.09418146180048231,0.01839999999999999,0.018599999999999995
5,540,0.965,0.07390947178352822,0.0186,0.018650000000000014
5,560,0.963,0.08580022717251025,0.01809999999999999,0.018049999999999993
5,580,0.958,0.08869408873775105,0.020500000000000008,0.020450000000000013
5,600,0.955,0.07659633151602532,0.019600000000000013,0.019350000000000013
5,620,0.96,0.08420439913288288,0.01799999999999999,0.018099999999999998
5,640,0.971,0.07361009292243517,0.016199999999999964,0.016499999999999976
5,660,0.961,0.07783251946936531,0.018699999999999994,0.01875
5,680,0.962,0.06770768474761298,0.015599999999999963,0.015699999999999964
5,700,0.957,0.06379720555522408,0.01739999999999998,0.01729999999999998
5,720,0.963,0.07201448210831353,0.017099999999999976,0.01709999999999998
5,740,0.962,0.07251661392991876,0.014799999999999968,0.015199999999999967
5,760,0.956,0.08048734650604145,0.016199999999999968,0.016549999999999978
5,780,0.967,0.06901665556360453,0.015299999999999968,0.015349999999999971
5,800,0.972,0.06525787437723132,0.016299999999999964,0.016199999999999975
5,820,0.971,0.06330476882052069,0.015099999999999964,0.014999999999999966
5,840,0.967,0.05940336583752784,0.015499999999999965,0.015549999999999968
5,860,0.976,0.05777362466656711,0.012799999999999971,0.013049999999999973
5,880,0.964,0.07144759688373575,0.014599999999999967,0.01474999999999997
5,900,0.97,0.0709084981516784,0.01669999999999997,0.01644999999999997
