$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.904
0.0,0.0,0.1,0.1,0.93
0.0,0.0,0.2,0.2,0.934
0.0,0.0,0.3,0.3,0.936
0.0,0.0,0.4,0.4,0.936
0.0,0.0,0.5,0.5,0.942
0.0,0.0,0.6,0.6,0.922
0.0,0.0,0.7,0.7,0.948
0.0,0.0,0.8,0.8,0.94
0.0,0.0,0.9,0.9,0.942
0.0,0.0,1.0,1.0,0.934
0.0,0.0,1.1,1.1,0.928
0.0,0.0,1.2,1.2,0.936
0.0,0.0,1.3,1.3,0.93
0.0,0.0,1.4,1.4,0.942
0.0,0.0,1.5,1.5,0.93
0.0,0.0,1.6,1.6,0.95
0.0,0.0,1.7,1.7,0.934
0.0,0.0,1.8,1.8,0.924
0.0,0.0,1.9,1.9,0.898
0.0,0.0,2.0,2.0,0.922
0.0,0.0,2.1,2.1,0.912
0.0,0.0,2.2,2.2,0.894
0.0,0.0,2.3,2.3,0.896
0.0,0.0,2.4,2.4,0.886
0.0,0.0,2.5,2.5,0.846
0.0,0.0,2.6,2.6,0.846
0.0,0.0,2.7,2.7,0.822
0.0,0.0,2.8,2.8,0.814
0.0,0.0,2.9,2.9,0.798
0.0,0.0,3.0,3.0,0.832
0.0,0.0,3.1,3.1,0.864
0.0,0.0,3.2,3.2,0.872
0.0,0.0,3.3,3.3,0.85
0.0,0.0,3.4,3.4,0.854
0.0,0.0,3.5,3.5,0.884
0.0,0.0,3.6,3.6,0.886
0.0,0.0,3.7,3.7,0.848
0.0,0.0,3.8,3.8,0.866
0.0,0.0,3.9,3.9,0.884
0.0,0.0,4.0,4.0,0.854
0.0,0.0,4.1,4.1,0.892
0.0,0.0,4.2,4.2,0.848
0.0,0.0,4.3,4.3,0.85
0.0,0.0,4.4,4.4,0.838
0.0,0.0,4.5,4.5,0.82
0.0,0.0,4.6,4.6,0.804
0.0,0.0,4.7,4.7,0.816
0.0,0.0,4.8,4.8,0.79
0.0,0.0,4.9,4.9,0.818
0.0,0.0,5.0,5.0,0.85
