$\sigma_{h}$,$opts$,success_rate
0.0,2,0.725
0.1,2,0.84
0.2,2,0.885
0.30000000000000004,2,0.96
0.4,2,0.945
0.5,2,0.96
0.6000000000000001,2,0.965
0.7000000000000001,2,0.955
0.8,2,0.955
0.9,2,0.965
1.0,2,0.96
1.1,2,0.96
1.2000000000000002,2,0.98
1.3,2,0.945
1.4000000000000001,2,0.96
1.5,2,0.94
1.6,2,0.925
1.7000000000000002,2,0.93
1.8,2,0.955
1.9000000000000001,2,0.875
2.0,2,0.93
2.1,2,0.905
2.2,2,0.945
2.3000000000000003,2,0.93
2.4000000000000004,2,0.895
2.5,2,0.895
2.6,2,0.915
2.7,2,0.875
2.8000000000000003,2,0.91
2.9000000000000004,2,0.88
3.0,2,0.86
3.1,2,0.885
3.2,2,0.905
3.3000000000000003,2,0.89
3.4000000000000004,2,0.88
3.5,2,0.9
3.6,2,0.86
3.7,2,0.815
3.8000000000000003,2,0.87
3.9000000000000004,2,0.885
4.0,2,0.86
4.1000000000000005,2,0.825
4.2,2,0.805
4.3,2,0.875
4.4,2,0.82
4.5,2,0.83
4.6000000000000005,2,0.845
4.7,2,0.82
4.800000000000001,2,0.83
4.9,2,0.845
5.0,2,0.845
5.1000000000000005,2,0.835
5.2,2,0.79
5.300000000000001,2,0.82
5.4,2,0.765
5.5,2,0.83
5.6000000000000005,2,0.82
5.7,2,0.775
5.800000000000001,2,0.815
5.9,2,0.8
6.0,2,0.85
6.1000000000000005,2,0.805
6.2,2,0.765
6.300000000000001,2,0.81
6.4,2,0.85
6.5,2,0.77
6.6000000000000005,2,0.8
6.7,2,0.825
6.800000000000001,2,0.775
6.9,2,0.775
7.0,2,0.82
7.1000000000000005,2,0.735
7.2,2,0.74
7.300000000000001,2,0.75
7.4,2,0.735
7.5,2,0.72
7.6000000000000005,2,0.765
7.7,2,0.725
7.800000000000001,2,0.73
7.9,2,0.75
8.0,2,0.775
8.1,2,0.755
8.200000000000001,2,0.76
8.3,2,0.77
8.4,2,0.72
8.5,2,0.7
8.6,2,0.745
8.700000000000001,2,0.715
8.8,2,0.705
8.9,2,0.755
9.0,2,0.745
9.1,2,0.76
9.200000000000001,2,0.69
9.3,2,0.73
9.4,2,0.725
9.5,2,0.735
9.600000000000001,2,0.72
9.700000000000001,2,0.705
9.8,2,0.765
9.9,2,0.745
10.0,2,0.78
10.100000000000001,2,0.745
10.200000000000001,2,0.74
10.3,2,0.685
10.4,2,0.76
10.5,2,0.71
10.600000000000001,2,0.695
10.700000000000001,2,0.715
10.8,2,0.66
10.9,2,0.73
11.0,2,0.68
11.100000000000001,2,0.725
11.200000000000001,2,0.72
11.3,2,0.68
11.4,2,0.655
11.5,2,0.68
11.600000000000001,2,0.685
11.700000000000001,2,0.71
11.8,2,0.685
11.9,2,0.705
12.0,2,0.7
12.100000000000001,2,0.73
12.200000000000001,2,0.7
12.3,2,0.655
12.4,2,0.635
12.5,2,0.7
12.600000000000001,2,0.64
12.700000000000001,2,0.715
12.8,2,0.625
12.9,2,0.65
13.0,2,0.67
13.100000000000001,2,0.665
13.200000000000001,2,0.67
13.3,2,0.7
13.4,2,0.7
13.5,2,0.685
13.600000000000001,2,0.715
13.700000000000001,2,0.65
13.8,2,0.695
13.9,2,0.65
14.0,2,0.625
14.100000000000001,2,0.715
14.200000000000001,2,0.63
14.3,2,0.65
14.4,2,0.65
14.5,2,0.65
14.600000000000001,2,0.64
14.700000000000001,2,0.66
14.8,2,0.685
14.9,2,0.655
15.0,2,0.64
15.100000000000001,2,0.645
15.200000000000001,2,0.65
15.3,2,0.64
15.4,2,0.655
15.5,2,0.595
15.600000000000001,2,0.655
15.700000000000001,2,0.64
15.8,2,0.71
15.9,2,0.595
16.0,2,0.66
16.1,2,0.65
16.2,2,0.675
16.3,2,0.65
16.400000000000002,2,0.585
16.5,2,0.66
16.6,2,0.64
16.7,2,0.685
16.8,2,0.665
16.900000000000002,2,0.56
17.0,2,0.675
17.1,2,0.645
17.2,2,0.655
17.3,2,0.635
17.400000000000002,2,0.615
17.5,2,0.68
17.6,2,0.565
17.7,2,0.675
17.8,2,0.66
17.900000000000002,2,0.6
18.0,2,0.58
18.1,2,0.63
18.2,2,0.605
18.3,2,0.66
18.400000000000002,2,0.595
18.5,2,0.63
18.6,2,0.59
18.7,2,0.675
18.8,2,0.69
18.900000000000002,2,0.585
19.0,2,0.7
19.1,2,0.575
19.200000000000003,2,0.625
19.3,2,0.62
19.400000000000002,2,0.59
19.5,2,0.65
19.6,2,0.655
19.700000000000003,2,0.605
19.8,2,0.595
19.900000000000002,2,0.53
0.0,10,0.24
0.1,10,0.315
0.2,10,0.41
0.30000000000000004,10,0.555
0.4,10,0.685
0.5,10,0.715
0.6000000000000001,10,0.8
0.7000000000000001,10,0.825
0.8,10,0.86
0.9,10,0.78
1.0,10,0.87
1.1,10,0.845
1.2000000000000002,10,0.875
1.3,10,0.85
1.4000000000000001,10,0.815
1.5,10,0.765
1.6,10,0.825
1.7000000000000002,10,0.815
1.8,10,0.815
1.9000000000000001,10,0.81
2.0,10,0.825
2.1,10,0.765
2.2,10,0.8
2.3000000000000003,10,0.715
2.4000000000000004,10,0.715
2.5,10,0.715
2.6,10,0.735
2.7,10,0.78
2.8000000000000003,10,0.715
2.9000000000000004,10,0.71
3.0,10,0.675
3.1,10,0.755
3.2,10,0.675
3.3000000000000003,10,0.685
3.4000000000000004,10,0.63
3.5,10,0.635
3.6,10,0.685
3.7,10,0.66
3.8000000000000003,10,0.655
3.9000000000000004,10,0.585
4.0,10,0.64
4.1000000000000005,10,0.65
4.2,10,0.62
4.3,10,0.56
4.4,10,0.69
4.5,10,0.58
4.6000000000000005,10,0.625
4.7,10,0.545
4.800000000000001,10,0.61
4.9,10,0.515
5.0,10,0.525
5.1000000000000005,10,0.605
5.2,10,0.525
5.300000000000001,10,0.59
5.4,10,0.52
5.5,10,0.52
5.6000000000000005,10,0.525
5.7,10,0.525
5.800000000000001,10,0.5
5.9,10,0.465
6.0,10,0.515
6.1000000000000005,10,0.545
6.2,10,0.48
6.300000000000001,10,0.485
6.4,10,0.435
6.5,10,0.455
6.6000000000000005,10,0.5
6.7,10,0.5
6.800000000000001,10,0.49
6.9,10,0.47
7.0,10,0.48
7.1000000000000005,10,0.455
7.2,10,0.45
7.300000000000001,10,0.43
7.4,10,0.44
7.5,10,0.435
7.6000000000000005,10,0.405
7.7,10,0.39
7.800000000000001,10,0.395
7.9,10,0.445
8.0,10,0.41
8.1,10,0.39
8.200000000000001,10,0.41
8.3,10,0.45
8.4,10,0.395
8.5,10,0.43
8.6,10,0.435
8.700000000000001,10,0.37
8.8,10,0.335
8.9,10,0.405
9.0,10,0.34
9.1,10,0.38
9.200000000000001,10,0.425
9.3,10,0.355
9.4,10,0.385
9.5,10,0.39
9.600000000000001,10,0.385
9.700000000000001,10,0.405
9.8,10,0.415
9.9,10,0.35
10.0,10,0.42
10.100000000000001,10,0.35
10.200000000000001,10,0.33
10.3,10,0.335
10.4,10,0.44
10.5,10,0.41
10.600000000000001,10,0.31
10.700000000000001,10,0.34
10.8,10,0.33
10.9,10,0.305
11.0,10,0.3
11.100000000000001,10,0.35
11.200000000000001,10,0.335
11.3,10,0.385
11.4,10,0.335
11.5,10,0.405
11.600000000000001,10,0.36
11.700000000000001,10,0.375
11.8,10,0.345
11.9,10,0.28
12.0,10,0.235
12.100000000000001,10,0.36
12.200000000000001,10,0.375
12.3,10,0.33
12.4,10,0.325
12.5,10,0.23
12.600000000000001,10,0.32
12.700000000000001,10,0.315
12.8,10,0.375
12.9,10,0.255
13.0,10,0.355
13.100000000000001,10,0.325
13.200000000000001,10,0.315
13.3,10,0.29
13.4,10,0.315
13.5,10,0.28
13.600000000000001,10,0.255
13.700000000000001,10,0.35
13.8,10,0.255
13.9,10,0.325
14.0,10,0.32
14.100000000000001,10,0.235
14.200000000000001,10,0.265
14.3,10,0.265
14.4,10,0.29
14.5,10,0.265
14.600000000000001,10,0.265
14.700000000000001,10,0.25
14.8,10,0.31
14.9,10,0.29
15.0,10,0.29
15.100000000000001,10,0.23
15.200000000000001,10,0.215
15.3,10,0.27
15.4,10,0.325
15.5,10,0.32
15.600000000000001,10,0.28
15.700000000000001,10,0.235
15.8,10,0.285
15.9,10,0.29
16.0,10,0.24
16.1,10,0.23
16.2,10,0.3
16.3,10,0.25
16.400000000000002,10,0.265
16.5,10,0.23
16.6,10,0.225
16.7,10,0.245
16.8,10,0.27
16.900000000000002,10,0.28
17.0,10,0.225
17.1,10,0.3
17.2,10,0.225
17.3,10,0.225
17.400000000000002,10,0.265
17.5,10,0.29
17.6,10,0.275
17.7,10,0.215
17.8,10,0.21
17.900000000000002,10,0.24
18.0,10,0.23
18.1,10,0.27
18.2,10,0.235
18.3,10,0.24
18.400000000000002,10,0.215
18.5,10,0.24
18.6,10,0.28
18.7,10,0.235
18.8,10,0.255
18.900000000000002,10,0.26
19.0,10,0.23
19.1,10,0.235
19.200000000000003,10,0.21
19.3,10,0.215
19.400000000000002,10,0.27
19.5,10,0.225
19.6,10,0.23
19.700000000000003,10,0.27
19.8,10,0.185
19.900000000000002,10,0.22
0.0,40,0.06
0.1,40,0.07
0.2,40,0.08
0.30000000000000004,40,0.115
0.4,40,0.185
0.5,40,0.3
0.6000000000000001,40,0.465
0.7000000000000001,40,0.53
0.8,40,0.625
0.9,40,0.7
1.0,40,0.695
1.1,40,0.735
1.2000000000000002,40,0.8
1.3,40,0.715
1.4000000000000001,40,0.68
1.5,40,0.675
1.6,40,0.73
1.7000000000000002,40,0.685
1.8,40,0.765
1.9000000000000001,40,0.71
2.0,40,0.68
2.1,40,0.735
2.2,40,0.65
2.3000000000000003,40,0.66
2.4000000000000004,40,0.655
2.5,40,0.635
2.6,40,0.63
2.7,40,0.635
2.8000000000000003,40,0.585
2.9000000000000004,40,0.62
3.0,40,0.505
3.1,40,0.555
3.2,40,0.63
3.3000000000000003,40,0.59
3.4000000000000004,40,0.545
3.5,40,0.555
3.6,40,0.57
3.7,40,0.615
3.8000000000000003,40,0.515
3.9000000000000004,40,0.52
4.0,40,0.55
4.1000000000000005,40,0.435
4.2,40,0.515
4.3,40,0.525
4.4,40,0.54
4.5,40,0.455
4.6000000000000005,40,0.44
4.7,40,0.435
4.800000000000001,40,0.43
4.9,40,0.47
5.0,40,0.435
5.1000000000000005,40,0.4
5.2,40,0.38
5.300000000000001,40,0.41
5.4,40,0.37
5.5,40,0.345
5.6000000000000005,40,0.35
5.7,40,0.365
5.800000000000001,40,0.35
5.9,40,0.385
6.0,40,0.35
6.1000000000000005,40,0.385
6.2,40,0.415
6.300000000000001,40,0.395
6.4,40,0.305
6.5,40,0.31
6.6000000000000005,40,0.335
6.7,40,0.32
6.800000000000001,40,0.36
6.9,40,0.275
7.0,40,0.345
7.1000000000000005,40,0.315
7.2,40,0.295
7.300000000000001,40,0.26
7.4,40,0.35
7.5,40,0.32
7.6000000000000005,40,0.265
7.7,40,0.31
7.800000000000001,40,0.315
7.9,40,0.26
8.0,40,0.23
8.1,40,0.27
8.200000000000001,40,0.255
8.3,40,0.24
8.4,40,0.3
8.5,40,0.245
8.6,40,0.235
8.700000000000001,40,0.335
8.8,40,0.23
8.9,40,0.255
9.0,40,0.275
9.1,40,0.27
9.200000000000001,40,0.29
9.3,40,0.25
9.4,40,0.22
9.5,40,0.27
9.600000000000001,40,0.21
9.700000000000001,40,0.21
9.8,40,0.28
9.9,40,0.265
10.0,40,0.215
10.100000000000001,40,0.215
10.200000000000001,40,0.235
10.3,40,0.21
10.4,40,0.225
10.5,40,0.225
10.600000000000001,40,0.235
10.700000000000001,40,0.26
10.8,40,0.225
10.9,40,0.18
11.0,40,0.205
11.100000000000001,40,0.2
11.200000000000001,40,0.24
11.3,40,0.23
11.4,40,0.165
11.5,40,0.175
11.600000000000001,40,0.17
11.700000000000001,40,0.155
11.8,40,0.155
11.9,40,0.195
12.0,40,0.21
12.100000000000001,40,0.19
12.200000000000001,40,0.185
12.3,40,0.21
12.4,40,0.195
12.5,40,0.195
12.600000000000001,40,0.17
12.700000000000001,40,0.195
12.8,40,0.165
12.9,40,0.18
13.0,40,0.155
13.100000000000001,40,0.115
13.200000000000001,40,0.175
13.3,40,0.16
13.4,40,0.2
13.5,40,0.14
13.600000000000001,40,0.175
13.700000000000001,40,0.15
13.8,40,0.125
13.9,40,0.145
14.0,40,0.17
14.100000000000001,40,0.125
14.200000000000001,40,0.135
14.3,40,0.13
14.4,40,0.16
14.5,40,0.14
14.600000000000001,40,0.125
14.700000000000001,40,0.145
14.8,40,0.195
14.9,40,0.13
15.0,40,0.135
15.100000000000001,40,0.185
15.200000000000001,40,0.11
15.3,40,0.135
15.4,40,0.155
15.5,40,0.13
15.600000000000001,40,0.145
15.700000000000001,40,0.12
15.8,40,0.13
15.9,40,0.105
16.0,40,0.08
16.1,40,0.145
16.2,40,0.175
16.3,40,0.115
16.400000000000002,40,0.11
16.5,40,0.105
16.6,40,0.12
16.7,40,0.105
16.8,40,0.135
16.900000000000002,40,0.115
17.0,40,0.09
17.1,40,0.075
17.2,40,0.14
17.3,40,0.135
17.400000000000002,40,0.12
17.5,40,0.08
17.6,40,0.145
17.7,40,0.14
17.8,40,0.135
17.900000000000002,40,0.12
18.0,40,0.11
18.1,40,0.09
18.2,40,0.13
18.3,40,0.135
18.400000000000002,40,0.075
18.5,40,0.08
18.6,40,0.15
18.7,40,0.095
18.8,40,0.105
18.900000000000002,40,0.155
19.0,40,0.12
19.1,40,0.14
19.200000000000003,40,0.115
19.3,40,0.135
19.400000000000002,40,0.145
19.5,40,0.075
19.6,40,0.14
19.700000000000003,40,0.13
19.8,40,0.105
19.900000000000002,40,0.07
