nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,500,0.974,0.045106664844513374,0.028,0.028
2,520,0.985,0.029402493040817854,0.016,0.0155
2,540,0.981,0.04154526783666098,0.019,0.02
2,560,0.985,0.04179963157917835,0.016,0.0155
2,580,0.987,0.02876140313263484,0.013,0.0135
2,600,0.986,0.03581708961684948,0.015,0.015
2,620,0.983,0.041341942827923715,0.017,0.018
2,640,0.985,0.03478920011509454,0.017,0.018
2,660,0.984,0.03351181389858523,0.018,0.018
2,680,0.986,0.03858155418785933,0.015,0.015
2,700,0.986,0.030326595544761876,0.014,0.0145
2,720,0.986,0.037684049258138605,0.015,0.015
2,740,0.987,0.02895607563146673,0.014,0.014
2,760,0.988,0.028588812978686436,0.014,0.0135
2,780,0.987,0.03163912367986268,0.013,0.014
2,800,0.989,0.031249254210973763,0.012,0.0125
2,820,0.986,0.031872400943520444,0.016,0.0155
2,840,0.978,0.03204596124278798,0.023,0.0225
2,860,0.986,0.02671884223031148,0.014,0.014
2,880,0.988,0.03605080385052485,0.013,0.0135
2,900,0.987,0.025893382016751367,0.014,0.014
2,920,0.986,0.03520181101577731,0.016,0.016
2,940,0.981,0.032593313394693506,0.021,0.0205
2,960,0.988,0.03096727292552239,0.013,0.0125
2,980,0.98,0.03877243484608248,0.022,0.0215
2,1000,0.986,0.02498388716355934,0.015,0.015
2,1020,0.986,0.03417795285190677,0.016,0.015
2,1040,0.984,0.02853891121913638,0.017,0.0165
2,1060,0.991,0.024270821891568473,0.009,0.0095
2,1080,0.984,0.026896083839953212,0.016,0.016
2,1100,0.985,0.030535574576707317,0.016,0.016
2,1120,0.99,0.023156294513774652,0.011,0.0105
2,1140,0.984,0.030714900864274093,0.019,0.019
2,1160,0.991,0.025379003297650332,0.01,0.01
2,1180,0.991,0.028052874074138916,0.01,0.0105
2,1200,0.988,0.021253368868471758,0.012,0.013
2,1220,0.996,0.020976671437897793,0.005,0.005
2,1240,0.99,0.02651454727033736,0.011,0.011
2,1260,0.988,0.02345521974391262,0.013,0.0125
2,1280,0.99,0.023183020946890006,0.011,0.011
2,1300,0.99,0.024197407853597006,0.011,0.0115
2,1320,0.993,0.018004363745096633,0.009,0.009
2,1340,0.986,0.026841979862982354,0.015,0.015
2,1360,0.991,0.02680442754170388,0.01,0.011
2,1380,0.986,0.02948241890244555,0.015,0.015
2,1400,0.995,0.01869222849307129,0.006,0.006
2,1420,0.989,0.017747967587202745,0.012,0.012
2,1440,0.989,0.02333987707818982,0.012,0.012
2,1460,0.99,0.023573574085369118,0.011,0.011
2,1480,0.99,0.014915533403223127,0.011,0.0115
2,1500,0.991,0.02563841986527332,0.009,0.0095
2,1520,0.985,0.02501311896056372,0.016,0.015
2,1540,0.992,0.01611064003318247,0.009,0.009
2,1560,0.989,0.025202362840762826,0.012,0.012
2,1580,0.993,0.0230162657241406,0.007,0.0075
2,1600,0.993,0.021086085721206422,0.008,0.008
2,1620,0.992,0.020072889577161347,0.009,0.009
2,1640,0.986,0.02341601418940634,0.016,0.0155
2,1660,0.989,0.021788544515936908,0.012,0.012
2,1680,0.994,0.014677224693331688,0.008,0.008
2,1700,0.991,0.0240514175841691,0.011,0.011
2,1720,0.987,0.027003486736103664,0.016,0.0145
2,1740,0.989,0.026202260463586154,0.012,0.0125
2,1760,0.985,0.021434950063083723,0.015,0.0155
2,1780,0.988,0.027424280209129622,0.013,0.0125
2,1800,0.992,0.026976203853996007,0.01,0.0095
2,1820,0.988,0.024621814629484835,0.013,0.013
2,1840,0.986,0.022723843194718412,0.015,0.015
2,1860,0.99,0.020189442826340935,0.011,0.011
2,1880,0.994,0.01956930988775301,0.008,0.0075
2,1900,0.993,0.027905101183924967,0.008,0.008
2,1920,0.992,0.01923820674401696,0.009,0.009
2,1940,0.99,0.019441605180140157,0.011,0.011
2,1960,0.99,0.022466971636651224,0.011,0.011
2,1980,0.993,0.019124516970432087,0.008,0.008
5,500,0.951,0.08962318956687312,0.022800000000000036,0.022850000000000044
5,520,0.956,0.08179231583816458,0.019100000000000013,0.018850000000000013
5,540,0.955,0.0723441524037266,0.018099999999999988,0.0183
5,560,0.962,0.062674434364244,0.018199999999999987,0.017949999999999994
5,580,0.958,0.06992869256700086,0.01779999999999999,0.01754999999999999
5,600,0.958,0.0857514574279009,0.01849999999999999,0.01844999999999999
5,620,0.956,0.08516192775648614,0.016699999999999975,0.01669999999999998
5,640,0.957,0.07031239812943656,0.018699999999999998,0.018800000000000008
5,660,0.97,0.0663037333866174,0.01679999999999997,0.016799999999999978
5,680,0.955,0.07643435319859243,0.017999999999999988,0.018400000000000003
5,700,0.962,0.07299665212995803,0.01759999999999998,0.01784999999999999
5,720,0.968,0.08018442917955927,0.017999999999999988,0.017849999999999994
5,740,0.969,0.06582192986306919,0.017399999999999978,0.01704999999999998
5,760,0.962,0.06361836526906205,0.017099999999999966,0.017199999999999976
5,780,0.96,0.07647907399740882,0.016599999999999972,0.016549999999999974
5,800,0.971,0.06309155116328681,0.014499999999999968,0.01439999999999997
5,820,0.977,0.06301398082299496,0.013799999999999969,0.01379999999999997
5,840,0.961,0.06776391132239457,0.014899999999999964,0.014599999999999969
5,860,0.961,0.05774340459515733,0.015599999999999963,0.015549999999999967
5,880,0.971,0.0596915641817786,0.013999999999999969,0.013949999999999973
5,900,0.966,0.06596882475572909,0.015499999999999963,0.01579999999999997
5,920,0.957,0.06696615971500604,0.01649999999999997,0.016049999999999967
5,940,0.965,0.05817883635209914,0.01349999999999997,0.013749999999999974
5,960,0.967,0.06532184304678178,0.015099999999999968,0.015049999999999977
5,980,0.972,0.05786671322650107,0.013099999999999973,0.013099999999999973
5,1000,0.969,0.06976583882684138,0.014199999999999977,0.014049999999999977
5,1020,0.966,0.07388359303556051,0.01479999999999997,0.01479999999999998
5,1040,0.967,0.05778787157841152,0.014999999999999966,0.015399999999999966
5,1060,0.973,0.061149371382732964,0.014799999999999968,0.01489999999999997
5,1080,0.965,0.060882241747653866,0.012799999999999978,0.01274999999999998
5,1100,0.972,0.060844196864670096,0.013799999999999969,0.013799999999999974
5,1120,0.97,0.052104858598031864,0.014699999999999968,0.01464999999999997
5,1140,0.974,0.04949631745017887,0.013899999999999966,0.01389999999999997
5,1160,0.968,0.049314171571535774,0.013399999999999974,0.013349999999999976
5,1180,0.974,0.05707530323359821,0.012399999999999975,0.012449999999999977
5,1200,0.98,0.04523102628814513,0.011199999999999977,0.011149999999999981
5,1220,0.971,0.05598890373491154,0.012799999999999971,0.012699999999999973
5,1240,0.966,0.06310243426883028,0.013399999999999974,0.013349999999999976
5,1260,0.973,0.05544382787270892,0.011799999999999975,0.011749999999999977
5,1280,0.979,0.05234950135091968,0.011999999999999972,0.011899999999999977
5,1300,0.983,0.04502737559065025,0.011399999999999976,0.011399999999999978
