$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
9.2,2.0,-1.8,2.0,0.207
-2.6,2.0,-3.0,2.0,0.85
-1.9,2.0,-2.5,2.0,0.85
0.9,2.0,-0.5,2.0,0.847
-0.5,2.0,-1.5,2.0,0.863
8.5,2.0,-2.3,2.0,0.207
12.0,2.0,0.2,2.0,0.207
11.3,2.0,-0.3,2.0,0.207
-4.0,2.0,-4.0,2.0,0.85
0.2,2.0,-1.0,2.0,0.859
-1.2,2.0,-2.0,2.0,0.849
12.7,2.0,0.7,2.0,0.188
7.1,2.0,-3.3,2.0,0.198
10.6,2.0,-0.8,2.0,0.207
1.6,2.0,0.0,2.0,0.823
2.3,2.0,0.5,2.0,0.785
-3.3,2.0,-3.5,2.0,0.85
9.9,2.0,-1.3,2.0,0.207
7.8,2.0,-2.8,2.0,0.207
6.4,2.0,-3.8,2.0,0.194
-1.8,2.0,-2.5,2.0,0.855
9.3,2.0,-1.8,2.0,0.186
1.7,2.0,0.0,2.0,0.834
12.1,2.0,0.2,2.0,0.191
8.6,2.0,-2.3,2.0,0.186
1.0,2.0,-0.5,2.0,0.842
12.8,2.0,0.7,2.0,0.191
0.3,2.0,-1.0,2.0,0.871
-2.5,2.0,-3.0,2.0,0.855
-1.1,2.0,-2.0,2.0,0.856
2.4,2.0,0.5,2.0,0.797
11.4,2.0,-0.3,2.0,0.186
-0.4,2.0,-1.5,2.0,0.872
-3.9,2.0,-4.0,2.0,0.855
7.9,2.0,-2.8,2.0,0.178
-3.2,2.0,-3.5,2.0,0.855
7.2,2.0,-3.3,2.0,0.204
10.0,2.0,-1.3,2.0,0.186
10.7,2.0,-0.8,2.0,0.186
6.5,2.0,-3.8,2.0,0.217
2.5,2.0,0.5,2.0,0.781
1.8,2.0,0.0,2.0,0.796
-1.7,2.0,-2.5,2.0,0.871
-1.0,2.0,-2.0,2.0,0.85
12.2,2.0,0.2,2.0,0.19
12.9,2.0,0.7,2.0,0.19
1.1,2.0,-0.5,2.0,0.853
-3.8,2.0,-4.0,2.0,0.874
8.7,2.0,-2.3,2.0,0.185
9.4,2.0,-1.8,2.0,0.185
7.3,2.0,-3.3,2.0,0.194
8.0,2.0,-2.8,2.0,0.219
10.1,2.0,-1.3,2.0,0.185
0.4,2.0,-1.0,2.0,0.858
-2.4,2.0,-3.0,2.0,0.874
-3.1,2.0,-3.5,2.0,0.874
-0.3,2.0,-1.5,2.0,0.877
11.5,2.0,-0.3,2.0,0.185
10.8,2.0,-0.8,2.0,0.185
6.6,2.0,-3.8,2.0,0.196
1.9,2.0,0.0,2.0,0.812
2.6,2.0,0.5,2.0,0.759
7.4,2.0,-3.3,2.0,0.198
-0.9,2.0,-2.0,2.0,0.867
-3.7,2.0,-4.0,2.0,0.878
13.0,2.0,0.7,2.0,0.2
-0.2,2.0,-1.5,2.0,0.861
10.2,2.0,-1.3,2.0,0.201
1.2,2.0,-0.5,2.0,0.846
12.3,2.0,0.2,2.0,0.2
8.8,2.0,-2.3,2.0,0.188
-1.6,2.0,-2.5,2.0,0.867
0.5,2.0,-1.0,2.0,0.859
8.1,2.0,-2.8,2.0,0.192
-3.0,2.0,-3.5,2.0,0.878
9.5,2.0,-1.8,2.0,0.188
2.0,2.0,0.0,2.0,0.806
-2.3,2.0,-3.0,2.0,0.878
-3.6,2.0,-4.0,2.0,0.874
-0.1,2.0,-1.5,2.0,0.868
6.7,2.0,-3.8,2.0,0.196
1.3,2.0,-0.5,2.0,0.833
10.9,2.0,-0.8,2.0,0.201
11.6,2.0,-0.3,2.0,0.201
13.1,2.0,0.7,2.0,0.192
2.7,2.0,0.5,2.0,0.768
10.3,2.0,-1.3,2.0,0.194
12.4,2.0,0.2,2.0,0.192
-0.8,2.0,-2.0,2.0,0.869
7.5,2.0,-3.3,2.0,0.201
8.2,2.0,-2.8,2.0,0.211
8.9,2.0,-2.3,2.0,0.21
2.1,2.0,0.0,2.0,0.797
-1.5,2.0,-2.5,2.0,0.884
-2.2,2.0,-3.0,2.0,0.874
9.6,2.0,-1.8,2.0,0.21
0.6,2.0,-1.0,2.0,0.84
-2.9,2.0,-3.5,2.0,0.874
-3.5,2.0,-4.0,2.0,0.874
11.7,2.0,-0.3,2.0,0.194
0.0,2.0,-1.5,2.0,0.871
10.4,2.0,-1.3,2.0,0.191
13.2,2.0,0.7,2.0,0.191
6.8,2.0,-3.8,2.0,0.201
1.4,2.0,-0.5,2.0,0.833
11.0,2.0,-0.8,2.0,0.194
2.8,2.0,0.5,2.0,0.719
8.3,2.0,-2.8,2.0,0.199
7.6,2.0,-3.3,2.0,0.208
-0.7,2.0,-2.0,2.0,0.869
12.5,2.0,0.2,2.0,0.191
9.0,2.0,-2.3,2.0,0.191
-1.4,2.0,-2.5,2.0,0.884
9.7,2.0,-1.8,2.0,0.191
-2.1,2.0,-3.0,2.0,0.874
-2.8,2.0,-3.5,2.0,0.874
2.2,2.0,0.0,2.0,0.802
0.7,2.0,-1.0,2.0,0.849
10.5,2.0,-1.3,2.0,0.187
-3.4,2.0,-4.0,2.0,0.877
6.9,2.0,-3.8,2.0,0.185
11.8,2.0,-0.3,2.0,0.191
0.1,2.0,-1.5,2.0,0.87
13.3,2.0,0.7,2.0,0.187
1.5,2.0,-0.5,2.0,0.808
-2.0,2.0,-3.0,2.0,0.877
-1.3,2.0,-2.5,2.0,0.855
11.1,2.0,-0.8,2.0,0.191
8.4,2.0,-2.8,2.0,0.199
2.9,2.0,0.5,2.0,0.748
9.1,2.0,-2.3,2.0,0.187
7.7,2.0,-3.3,2.0,0.214
-0.6,2.0,-2.0,2.0,0.861
12.6,2.0,0.2,2.0,0.187
9.8,2.0,-1.8,2.0,0.187
10.6,2.0,-1.3,2.0,0.197
0.8,2.0,-1.0,2.0,0.859
-2.7,2.0,-3.5,2.0,0.877
2.3,2.0,0.0,2.0,0.781
-3.3,2.0,-4.0,2.0,0.866
7.0,2.0,-3.8,2.0,0.185
-1.9,2.0,-3.0,2.0,0.866
0.2,2.0,-1.5,2.0,0.853
1.6,2.0,-0.5,2.0,0.837
9.2,2.0,-2.3,2.0,0.197
11.9,2.0,-0.3,2.0,0.187
8.5,2.0,-2.8,2.0,0.222
-1.2,2.0,-2.5,2.0,0.875
11.2,2.0,-0.8,2.0,0.187
10.7,2.0,-1.3,2.0,0.195
13.4,2.0,0.7,2.0,0.217
7.8,2.0,-3.3,2.0,0.213
-0.5,2.0,-2.0,2.0,0.861
3.0,2.0,0.5,2.0,0.723
12.7,2.0,0.2,2.0,0.217
-3.2,2.0,-4.0,2.0,0.86
9.9,2.0,-1.8,2.0,0.197
2.4,2.0,0.0,2.0,0.753
-2.6,2.0,-3.5,2.0,0.866
7.1,2.0,-3.8,2.0,0.199
0.9,2.0,-1.0,2.0,0.857
0.3,2.0,-1.5,2.0,0.867
-1.8,2.0,-3.0,2.0,0.86
12.0,2.0,-0.3,2.0,0.197
8.6,2.0,-2.8,2.0,0.221
-1.1,2.0,-2.5,2.0,0.864
9.3,2.0,-2.3,2.0,0.195
7.9,2.0,-3.3,2.0,0.202
1.7,2.0,-0.5,2.0,0.814
10.8,2.0,-1.3,2.0,0.206
13.5,2.0,0.7,2.0,0.229
11.3,2.0,-0.8,2.0,0.197
-0.4,2.0,-2.0,2.0,0.867
-3.1,2.0,-4.0,2.0,0.884
3.1,2.0,0.5,2.0,0.699
7.2,2.0,-3.8,2.0,0.202
10.0,2.0,-1.8,2.0,0.195
1.0,2.0,-1.0,2.0,0.844
2.5,2.0,0.0,2.0,0.778
-2.5,2.0,-3.5,2.0,0.86
12.8,2.0,0.2,2.0,0.232
1.8,2.0,-0.5,2.0,0.791
0.4,2.0,-1.5,2.0,0.852
-1.7,2.0,-3.0,2.0,0.884
12.1,2.0,-0.3,2.0,0.195
9.4,2.0,-2.3,2.0,0.206
-1.0,2.0,-2.5,2.0,0.876
10.9,2.0,-1.3,2.0,0.199
8.7,2.0,-2.8,2.0,0.182
11.4,2.0,-0.8,2.0,0.195
8.0,2.0,-3.3,2.0,0.207
13.6,2.0,0.7,2.0,0.176
-0.3,2.0,-2.0,2.0,0.864
2.6,2.0,0.0,2.0,0.777
-2.4,2.0,-3.5,2.0,0.884
3.2,2.0,0.5,2.0,0.674
-3.0,2.0,-4.0,2.0,0.864
1.1,2.0,-1.0,2.0,0.838
10.1,2.0,-1.8,2.0,0.206
1.9,2.0,-0.5,2.0,0.832
-1.6,2.0,-3.0,2.0,0.864
-0.9,2.0,-2.5,2.0,0.842
7.3,2.0,-3.8,2.0,0.211
12.9,2.0,0.2,2.0,0.183
12.2,2.0,-0.3,2.0,0.206
9.5,2.0,-2.3,2.0,0.199
11.0,2.0,-1.3,2.0,0.202
8.1,2.0,-3.3,2.0,0.199
0.5,2.0,-1.5,2.0,0.86
13.7,2.0,0.7,2.0,0.2
8.8,2.0,-2.8,2.0,0.203
2.7,2.0,0.0,2.0,0.744
11.5,2.0,-0.8,2.0,0.206
-2.9,2.0,-4.0,2.0,0.866
10.2,2.0,-1.8,2.0,0.199
3.3,2.0,0.5,2.0,0.668
