,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,-4.0,2,-4.0,2,0.88
1,-4.0,2,-3.9,2,0.854
2,-4.0,2,-3.8,2,0.868
3,-4.0,2,-3.7,2,0.865
4,-4.0,2,-3.6,2,0.874
5,-3.9,2,-4.0,2,0.856
6,-3.9,2,-3.9,2,0.889
7,-3.9,2,-3.8,2,0.874
8,-3.9,2,-3.7,2,0.868
9,-3.9,2,-3.6,2,0.87
10,-3.8,2,-4.0,2,0.86
11,-3.8,2,-3.9,2,0.845
12,-3.8,2,-3.8,2,0.87
13,-3.8,2,-3.7,2,0.865
14,-3.8,2,-3.6,2,0.871
15,-3.7,2,-4.0,2,0.867
16,-3.7,2,-3.9,2,0.876
17,-3.7,2,-3.8,2,0.871
18,-3.7,2,-3.7,2,0.856
19,-3.7,2,-3.6,2,0.854
20,-3.6,2,-4.0,2,0.874
21,-3.6,2,-3.9,2,0.891
22,-3.6,2,-3.8,2,0.878
23,-3.6,2,-3.7,2,0.87
24,-3.6,2,-3.6,2,0.866
