$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
-1.0,2.0,-3.5,2.0,0.847
0.8,2.0,-3.2,2.0,0.84
2.6,2.0,-2.9,2.0,0.754
-2.2,2.0,-3.7,2.0,0.874
2.0,2.0,-3.0,2.0,0.789
4.4,2.0,-2.6,2.0,0.385
-1.5,2.0,-1.8,2.0,0.87
-0.3,2.0,-1.6,2.0,0.855
-2.1,2.0,-1.9,2.0,0.864
5.6,2.0,-2.4,2.0,0.266
5.0,2.0,-2.5,2.0,0.3
-0.9,2.0,-1.7,2.0,0.853
-0.9,2.0,-3.5,2.0,0.87
-2.1,2.0,-3.7,2.0,0.856
2.1,2.0,-3.0,2.0,0.805
0.9,2.0,-3.2,2.0,0.849
2.7,2.0,-2.9,2.0,0.772
4.5,2.0,-2.6,2.0,0.344
-1.4,2.0,-1.8,2.0,0.864
-0.2,2.0,-1.6,2.0,0.877
-2.0,2.0,-1.9,2.0,0.854
5.7,2.0,-2.4,2.0,0.208
5.1,2.0,-2.5,2.0,0.273
-0.8,2.0,-1.7,2.0,0.854
-0.8,2.0,-3.5,2.0,0.864
-2.0,2.0,-3.7,2.0,0.868
1.0,2.0,-3.2,2.0,0.837
2.2,2.0,-3.0,2.0,0.761
-1.3,2.0,-1.8,2.0,0.86
-0.1,2.0,-1.6,2.0,0.878
4.6,2.0,-2.6,2.0,0.359
2.8,2.0,-2.9,2.0,0.762
-1.9,2.0,-1.9,2.0,0.87
5.2,2.0,-2.5,2.0,0.264
5.8,2.0,-2.4,2.0,0.211
-0.7,2.0,-1.7,2.0,0.861
-0.7,2.0,-3.5,2.0,0.888
-1.9,2.0,-3.7,2.0,0.902
1.1,2.0,-3.2,2.0,0.845
0.0,2.0,-1.6,2.0,0.864
-1.2,2.0,-1.8,2.0,0.858
2.3,2.0,-3.0,2.0,0.798
4.7,2.0,-2.6,2.0,0.334
-1.8,2.0,-1.9,2.0,0.856
2.9,2.0,-2.9,2.0,0.759
5.3,2.0,-2.5,2.0,0.271
5.9,2.0,-2.4,2.0,0.188
-0.6,2.0,-1.7,2.0,0.885
-0.6,2.0,-3.5,2.0,0.88
-1.8,2.0,-3.7,2.0,0.874
