,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,-4.0,2,-4.0,2,0.859
1,-4.0,2,-3.9,2,0.864
2,-4.0,2,-3.8,2,0.864
3,-4.0,2,-3.7,2,0.873
4,-4.0,2,-3.6,2,0.863
5,-3.9,2,-4.0,2,0.895
6,-3.9,2,-3.9,2,0.876
7,-3.9,2,-3.8,2,0.878
8,-3.9,2,-3.7,2,0.867
9,-3.9,2,-3.6,2,0.861
10,-3.8,2,-4.0,2,0.874
11,-3.8,2,-3.9,2,0.872
12,-3.8,2,-3.8,2,0.875
13,-3.8,2,-3.7,2,0.859
14,-3.8,2,-3.6,2,0.862
15,-3.7,2,-4.0,2,0.869
16,-3.7,2,-3.9,2,0.861
17,-3.7,2,-3.8,2,0.856
18,-3.7,2,-3.7,2,0.869
19,-3.7,2,-3.6,2,0.878
20,-3.6,2,-4.0,2,0.862
21,-3.6,2,-3.9,2,0.858
22,-3.6,2,-3.8,2,0.868
23,-3.6,2,-3.7,2,0.875
24,-3.6,2,-3.6,2,0.865
