,$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
0,0,0,0,0,0.099
1,0,0,0.04,0.04,0.238
2,0,0,0.08,0.08,0.215
3,0,0,0.12,0.12,0.234
4,0,0,0.16,0.16,0.222
5,0,0,0.2,0.2,0.238
6,0,0,0.24,0.24,0.23
7,0,0,0.28,0.28,0.247
8,0,0,0.32,0.32,0.241
9,0,0,0.36,0.36,0.257
10,0,0,0.4,0.4,0.261
11,0,0,0.44,0.44,0.32
12,0,0,0.48,0.48,0.363
13,0,0,0.52,0.52,0.389
14,0,0,0.56,0.56,0.447
15,0,0,0.6,0.6,0.482
16,0,0,0.64,0.64,0.552
17,0,0,0.68,0.68,0.543
18,0,0,0.72,0.72,0.597
19,0,0,0.76,0.76,0.569
20,0,0,0.8,0.8,0.597
21,0,0,0.84,0.84,0.581
22,0,0,0.88,0.88,0.635
23,0,0,0.92,0.92,0.604
24,0,0,0.96,0.96,0.618
25,0,0,1,1,0.584
26,0,0,1.04,1.04,0.607
27,0,0,1.08,1.08,0.588
28,0,0,1.12,1.12,0.576
29,0,0,1.16,1.16,0.524
30,0,0,1.2,1.2,0.53
31,0,0,1.24,1.24,0.541
32,0,0,1.28,1.28,0.538
33,0,0,1.32,1.32,0.499
34,0,0,1.36,1.36,0.485
35,0,0,1.4,1.4,0.518
36,0,0,1.44,1.44,0.496
37,0,0,1.48,1.48,0.471
38,0,0,1.52,1.52,0.482
39,0,0,1.56,1.56,0.425
40,0,0,1.6,1.6,0.426
41,0,0,1.64,1.64,0.447
42,0,0,1.68,1.68,0.467
43,0,0,1.72,1.72,0.444
44,0,0,1.76,1.76,0.441
45,0,0,1.8,1.8,0.455
46,0,0,1.84,1.84,0.417
47,0,0,1.88,1.88,0.422
48,0,0,1.92,1.92,0.389
49,0,0,1.96,1.96,0.427
50,0,0,2,2,0.407
51,0,0,2.04,2.04,0.391
52,0,0,2.08,2.08,0.416
53,0,0,2.12,2.12,0.394
54,0,0,2.16,2.16,0.379
55,0,0,2.2,2.2,0.408
56,0,0,2.24,2.24,0.355
57,0,0,2.28,2.28,0.404
58,0,0,2.32,2.32,0.354
59,0,0,2.36,2.36,0.377
60,0,0,2.4,2.4,0.377
61,0,0,2.44,2.44,0.398
62,0,0,2.48,2.48,0.374
63,0,0,2.52,2.52,0.337
64,0,0,2.56,2.56,0.344
65,0,0,2.6,2.6,0.358
66,0,0,2.64,2.64,0.346
67,0,0,2.68,2.68,0.375
68,0,0,2.72,2.72,0.362
69,0,0,2.76,2.76,0.332
70,0,0,2.8,2.8,0.339
71,0,0,2.84,2.84,0.346
72,0,0,2.88,2.88,0.344
73,0,0,2.92,2.92,0.355
74,0,0,2.96,2.96,0.334
75,0,0,3,3,0.318
76,0,0,3.04,3.04,0.346
77,0,0,3.08,3.08,0.334
78,0,0,3.12,3.12,0.307
79,0,0,3.16,3.16,0.314
80,0,0,3.2,3.2,0.343
81,0,0,3.24,3.24,0.34
82,0,0,3.28,3.28,0.31
83,0,0,3.32,3.32,0.341
84,0,0,3.36,3.36,0.343
85,0,0,3.4,3.4,0.311
86,0,0,3.44,3.44,0.309
87,0,0,3.48,3.48,0.31
88,0,0,3.52,3.52,0.33
89,0,0,3.56,3.56,0.341
90,0,0,3.6,3.6,0.314
91,0,0,3.64,3.64,0.305
92,0,0,3.68,3.68,0.305
93,0,0,3.72,3.72,0.32
94,0,0,3.76,3.76,0.29
95,0,0,3.8,3.8,0.332
96,0,0,3.84,3.84,0.303
97,0,0,3.88,3.88,0.314
98,0,0,3.92,3.92,0.324
99,0,0,3.96,3.96,0.299
100,0,0,4,4,0.28
101,0.04,0.08,0,0,0.09
102,0.04,0.08,0.04,0.04,0.768
103,0.04,0.08,0.08,0.08,0.698
104,0.04,0.08,0.12,0.12,0.531
