$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
7.1,7.1,-3.3,-1.2999999999999998,0.118
8.5,8.5,-2.3,-0.2999999999999998,0.118
12.0,12.0,0.2,2.2,0.118
-1.2,-1.2,-2.0,0.0,0.864
-3.3,-3.3,-3.5,-1.5,0.856
-0.5,-0.5,-1.5,0.5,0.853
9.2,9.2,-1.8,0.19999999999999996,0.118
-1.9,-1.9,-2.5,-0.5,0.866
2.3,2.3,0.5,2.5,0.841
-2.6,-2.6,-3.0,-1.0,0.878
0.2,0.2,-1.0,1.0,0.86
-4.0,-4.0,-4.0,-2.0,0.854
1.6,1.6,0.0,2.0,0.823
0.9,0.9,-0.5,1.5,0.844
11.3,11.3,-0.3,1.7,0.118
12.7,12.7,0.7,2.7,0.118
7.8,7.8,-2.8,-0.7999999999999998,0.118
9.9,9.9,-1.3,0.7,0.118
10.6,10.6,-0.8,1.2,0.118
6.4,6.4,-3.8,-1.7999999999999998,0.118
8.6,8.6,-2.3,-0.2999999999999998,0.086
-0.4,-0.4,-1.5,0.5,0.847
-1.8,-1.8,-2.5,-0.5,0.868
12.1,12.1,0.2,2.2,0.086
-3.9,-3.9,-4.0,-2.0,0.882
0.3,0.3,-1.0,1.0,0.856
7.2,7.2,-3.3,-1.2999999999999998,0.086
1.0,1.0,-0.5,1.5,0.838
2.4,2.4,0.5,2.5,0.81
1.7,1.7,0.0,2.0,0.826
-3.2,-3.2,-3.5,-1.5,0.858
-1.1,-1.1,-2.0,0.0,0.865
12.8,12.8,0.7,2.7,0.086
7.9,7.9,-2.8,-0.7999999999999998,0.086
11.4,11.4,-0.3,1.7,0.086
10.7,10.7,-0.8,1.2,0.086
9.3,9.3,-1.8,0.19999999999999996,0.086
-2.5,-2.5,-3.0,-1.0,0.877
6.5,6.5,-3.8,-1.7999999999999998,0.086
10.0,10.0,-1.3,0.7,0.086
-1.7,-1.7,-2.5,-0.5,0.842
-3.8,-3.8,-4.0,-2.0,0.871
-0.3,-0.3,-1.5,0.5,0.844
7.3,7.3,-3.3,-1.2999999999999998,0.096
0.4,0.4,-1.0,1.0,0.832
1.8,1.8,0.0,2.0,0.816
12.2,12.2,0.2,2.2,0.096
-1.0,-1.0,-2.0,0.0,0.834
1.1,1.1,-0.5,1.5,0.826
-3.1,-3.1,-3.5,-1.5,0.869
8.7,8.7,-2.3,-0.2999999999999998,0.096
8.0,8.0,-2.8,-0.7999999999999998,0.096
11.5,11.5,-0.3,1.7,0.096
2.5,2.5,0.5,2.5,0.807
12.9,12.9,0.7,2.7,0.096
-2.4,-2.4,-3.0,-1.0,0.863
6.6,6.6,-3.8,-1.7999999999999998,0.096
10.8,10.8,-0.8,1.2,0.096
9.4,9.4,-1.8,0.19999999999999996,0.096
-3.7,-3.7,-4.0,-2.0,0.883
10.1,10.1,-1.3,0.7,0.096
7.4,7.4,-3.3,-1.2999999999999998,0.114
-0.2,-0.2,-1.5,0.5,0.855
-1.6,-1.6,-2.5,-0.5,0.868
12.3,12.3,0.2,2.2,0.114
1.2,1.2,-0.5,1.5,0.825
0.5,0.5,-1.0,1.0,0.834
8.8,8.8,-2.3,-0.2999999999999998,0.114
-3.0,-3.0,-3.5,-1.5,0.853
1.9,1.9,0.0,2.0,0.801
-0.9,-0.9,-2.0,0.0,0.877
11.6,11.6,-0.3,1.7,0.114
-2.3,-2.3,-3.0,-1.0,0.865
8.1,8.1,-2.8,-0.7999999999999998,0.114
6.7,6.7,-3.8,-1.7999999999999998,0.114
9.5,9.5,-1.8,0.19999999999999996,0.114
10.9,10.9,-0.8,1.2,0.114
2.6,2.6,0.5,2.5,0.771
13.0,13.0,0.7,2.7,0.114
-3.6,-3.6,-4.0,-2.0,0.857
7.5,7.5,-3.3,-1.2999999999999998,0.095
10.2,10.2,-1.3,0.7,0.114
-0.1,-0.1,-1.5,0.5,0.856
-1.5,-1.5,-2.5,-0.5,0.856
12.4,12.4,0.2,2.2,0.095
1.3,1.3,-0.5,1.5,0.82
0.6,0.6,-1.0,1.0,0.815
-0.8,-0.8,-2.0,0.0,0.85
-2.9,-2.9,-3.5,-1.5,0.877
2.0,2.0,0.0,2.0,0.807
11.7,11.7,-0.3,1.7,0.095
8.9,8.9,-2.3,-0.2999999999999998,0.095
8.2,8.2,-2.8,-0.7999999999999998,0.095
-2.2,-2.2,-3.0,-1.0,0.868
11.0,11.0,-0.8,1.2,0.095
9.6,9.6,-1.8,0.19999999999999996,0.095
2.7,2.7,0.5,2.5,0.762
6.8,6.8,-3.8,-1.7999999999999998,0.095
13.1,13.1,0.7,2.7,0.095
-3.5,-3.5,-4.0,-2.0,0.873
-1.4,-1.4,-2.5,-0.5,0.852
10.3,10.3,-1.3,0.7,0.095
7.6,7.6,-3.3,-1.2999999999999998,0.113
12.5,12.5,0.2,2.2,0.113
0.7,0.7,-1.0,1.0,0.802
0.0,0.0,-1.5,0.5,0.843
1.4,1.4,-0.5,1.5,0.832
-2.8,-2.8,-3.5,-1.5,0.878
9.0,9.0,-2.3,-0.2999999999999998,0.113
-2.1,-2.1,-3.0,-1.0,0.846
8.3,8.3,-2.8,-0.7999999999999998,0.113
-0.7,-0.7,-2.0,0.0,0.847
11.8,11.8,-0.3,1.7,0.113
2.1,2.1,0.0,2.0,0.785
11.1,11.1,-0.8,1.2,0.113
2.8,2.8,0.5,2.5,0.728
9.7,9.7,-1.8,0.19999999999999996,0.113
1.5,1.5,-0.5,1.5,0.808
6.9,6.9,-3.8,-1.7999999999999998,0.113
13.2,13.2,0.7,2.7,0.113
-1.3,-1.3,-2.5,-0.5,0.835
12.6,12.6,0.2,2.2,0.094
0.1,0.1,-1.5,0.5,0.839
10.4,10.4,-1.3,0.7,0.113
-3.4,-3.4,-4.0,-2.0,0.864
0.8,0.8,-1.0,1.0,0.815
-2.0,-2.0,-3.0,-1.0,0.872
7.7,7.7,-3.3,-1.2999999999999998,0.094
9.1,9.1,-2.3,-0.2999999999999998,0.094
8.4,8.4,-2.8,-0.7999999999999998,0.094
-0.6,-0.6,-2.0,0.0,0.83
-2.7,-2.7,-3.5,-1.5,0.869
2.9,2.9,0.5,2.5,0.764
1.6,1.6,-0.5,1.5,0.789
11.9,11.9,-0.3,1.7,0.094
2.2,2.2,0.0,2.0,0.804
-1.2,-1.2,-2.5,-0.5,0.873
11.2,11.2,-0.8,1.2,0.094
9.8,9.8,-1.8,0.19999999999999996,0.094
7.0,7.0,-3.8,-1.7999999999999998,0.094
12.7,12.7,0.2,2.2,0.092
13.3,13.3,0.7,2.7,0.094
0.2,0.2,-1.5,0.5,0.824
7.8,7.8,-3.3,-1.2999999999999998,0.092
10.5,10.5,-1.3,0.7,0.094
-3.3,-3.3,-4.0,-2.0,0.86
8.5,8.5,-2.8,-0.7999999999999998,0.092
3.0,3.0,0.5,2.5,0.717
-2.6,-2.6,-3.5,-1.5,0.847
1.7,1.7,-0.5,1.5,0.783
0.9,0.9,-1.0,1.0,0.794
-1.9,-1.9,-3.0,-1.0,0.83
-0.5,-0.5,-2.0,0.0,0.845
9.2,9.2,-2.3,-0.2999999999999998,0.092
2.3,2.3,0.0,2.0,0.759
-1.1,-1.1,-2.5,-0.5,0.874
0.3,0.3,-1.5,0.5,0.814
9.9,9.9,-1.8,0.19999999999999996,0.092
12.8,12.8,0.2,2.2,0.092
7.1,7.1,-3.8,-1.7999999999999998,0.092
12.0,12.0,-0.3,1.7,0.092
11.3,11.3,-0.8,1.2,0.092
7.9,7.9,-3.3,-1.2999999999999998,0.092
13.4,13.4,0.7,2.7,0.092
3.1,3.1,0.5,2.5,0.749
1.8,1.8,-0.5,1.5,0.762
-2.5,-2.5,-3.5,-1.5,0.841
10.6,10.6,-1.3,0.7,0.092
8.6,8.6,-2.8,-0.7999999999999998,0.092
-3.2,-3.2,-4.0,-2.0,0.883
-0.4,-0.4,-2.0,0.0,0.844
-1.8,-1.8,-3.0,-1.0,0.863
-1.0,-1.0,-2.5,-0.5,0.823
9.3,9.3,-2.3,-0.2999999999999998,0.092
1.0,1.0,-1.0,1.0,0.802
2.4,2.4,0.0,2.0,0.749
0.4,0.4,-1.5,0.5,0.791
10.0,10.0,-1.8,0.19999999999999996,0.092
12.9,12.9,0.2,2.2,0.102
12.1,12.1,-0.3,1.7,0.092
8.0,8.0,-3.3,-1.2999999999999998,0.102
1.9,1.9,-0.5,1.5,0.748
7.2,7.2,-3.8,-1.7999999999999998,0.092
13.5,13.5,0.7,2.7,0.092
-2.4,-2.4,-3.5,-1.5,0.85
10.7,10.7,-1.3,0.7,0.092
11.4,11.4,-0.8,1.2,0.092
3.2,3.2,0.5,2.5,0.668
8.7,8.7,-2.8,-0.7999999999999998,0.102
2.5,2.5,0.0,2.0,0.729
-1.7,-1.7,-3.0,-1.0,0.849
0.5,0.5,-1.5,0.5,0.802
-3.1,-3.1,-4.0,-2.0,0.855
-0.3,-0.3,-2.0,0.0,0.836
12.2,12.2,-0.3,1.7,0.102
10.1,10.1,-1.8,0.19999999999999996,0.102
1.1,1.1,-1.0,1.0,0.779
-0.9,-0.9,-2.5,-0.5,0.841
13.0,13.0,0.2,2.2,0.101
9.4,9.4,-2.3,-0.2999999999999998,0.102
8.1,8.1,-3.3,-1.2999999999999998,0.101
2.0,2.0,-0.5,1.5,0.73
-2.3,-2.3,-3.5,-1.5,0.852
8.8,8.8,-2.8,-0.7999999999999998,0.101
13.6,13.6,0.7,2.7,0.102
10.8,10.8,-1.3,0.7,0.102
7.3,7.3,-3.8,-1.7999999999999998,0.102
3.3,3.3,0.5,2.5,0.654
11.5,11.5,-0.8,1.2,0.102
-3.0,-3.0,-4.0,-2.0,0.864
0.6,0.6,-1.5,0.5,0.8
2.6,2.6,0.0,2.0,0.728
12.3,12.3,-0.3,1.7,0.101
-1.6,-1.6,-3.0,-1.0,0.845
2.1,2.1,-0.5,1.5,0.707
-0.2,-0.2,-2.0,0.0,0.827
13.1,13.1,0.2,2.2,0.095
10.2,10.2,-1.8,0.19999999999999996,0.101
1.2,1.2,-1.0,1.0,0.774
9.5,9.5,-2.3,-0.2999999999999998,0.101
-0.8,-0.8,-2.5,-0.5,0.829
8.2,8.2,-3.3,-1.2999999999999998,0.095
13.7,13.7,0.7,2.7,0.101
10.9,10.9,-1.3,0.7,0.101
-2.2,-2.2,-3.5,-1.5,0.854
7.4,7.4,-3.8,-1.7999999999999998,0.101
8.9,8.9,-2.8,-0.7999999999999998,0.095
