,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,-4.0,-2.0,-4.0,-4.0,0.854
1,-4.0,-2.0,-3.9,-3.9,0.882
2,-4.0,-2.0,-3.8,-3.8,0.871
3,-4.0,-2.0,-3.7,-3.7,0.883
4,-4.0,-2.0,-3.6,-3.6,0.857
5,-4.0,-2.0,-3.5,-3.5,0.873
6,-4.0,-2.0,-3.4,-3.4,0.864
7,-4.0,-2.0,-3.3,-3.3,0.86
8,-4.0,-2.0,-3.2,-3.2,0.883
9,-4.0,-2.0,-3.1,-3.1,0.855
10,-4.0,-2.0,-3.0,-3.0,0.864
11,-4.0,-2.0,-2.9,-2.9,0.841
12,-4.0,-2.0,-2.8,-2.8,0.851
13,-4.0,-2.0,-2.7,-2.7,0.838
14,-4.0,-2.0,-2.6,-2.6,0.848
15,-4.0,-2.0,-2.5,-2.5,0.858
16,-4.0,-2.0,-2.4,-2.4,0.823
17,-4.0,-2.0,-2.3,-2.3,0.82
18,-4.0,-2.0,-2.2,-2.2,0.824
19,-4.0,-2.0,-2.1,-2.1,0.829
20,-4.0,-2.0,-2.0,-2.0,0.797
21,-4.0,-2.0,-1.9,-1.9,0.813
22,-4.0,-2.0,-1.8,-1.8,0.8
23,-4.0,-2.0,-1.7,-1.7,0.794
24,-4.0,-2.0,-1.6,-1.6,0.772
25,-4.0,-2.0,-1.5,-1.5,0.739
26,-4.0,-2.0,-1.4,-1.4,0.708
27,-4.0,-2.0,-1.3,-1.3,0.677
28,-4.0,-2.0,-1.2,-1.2,0.663
29,-4.0,-2.0,-1.1,-1.1,0.647
30,-4.0,-2.0,-1.0,-1.0,0.619
31,-4.0,-2.0,-0.9,-0.9,0.54
32,-4.0,-2.0,-0.8,-0.8,0.557
33,-4.0,-2.0,-0.7,-0.7,0.488
34,-4.0,-2.0,-0.6,-0.6,0.464
35,-4.0,-2.0,-0.5,-0.5,0.437
36,-4.0,-2.0,-0.4,-0.4,0.385
37,-4.0,-2.0,-0.3,-0.3,0.339
38,-4.0,-2.0,-0.2,-0.2,0.339
39,-4.0,-2.0,-0.1,-0.1,0.317
40,-4.0,-2.0,0.0,0.0,0.259
41,-4.0,-2.0,0.1,0.1,0.249
42,-4.0,-2.0,0.2,0.2,0.227
43,-4.0,-2.0,0.3,0.3,0.211
44,-4.0,-2.0,0.4,0.4,0.222
45,-4.0,-2.0,0.5,0.5,0.173
46,-4.0,-2.0,0.6,0.6,0.158
47,-4.0,-2.0,0.7,0.7,0.149
48,-4.0,-2.0,0.8,0.8,0.168
49,-4.0,-2.0,0.9,0.9,0.141
50,-4.0,-2.0,1.0,1.0,0.149
51,-4.0,-2.0,1.1,1.1,0.135
52,-4.0,-2.0,1.2,1.2,0.111
53,-4.0,-2.0,1.3,1.3,0.129
54,-4.0,-2.0,1.4,1.4,0.111
55,-4.0,-2.0,1.5,1.5,0.127
56,-4.0,-2.0,1.6,1.6,0.114
57,-4.0,-2.0,1.7,1.7,0.122
58,-4.0,-2.0,1.8,1.8,0.112
59,-4.0,-2.0,1.9,1.9,0.106
60,-4.0,-2.0,2.0,2.0,0.116
61,-4.0,-2.0,2.1,2.1,0.11
62,-4.0,-2.0,2.2,2.2,0.096
63,-4.0,-2.0,2.3,2.3,0.113
64,-4.0,-2.0,2.4,2.4,0.117
65,-4.0,-2.0,2.5,2.5,0.11
66,-4.0,-2.0,2.6,2.6,0.103
67,-4.0,-2.0,2.7,2.7,0.095
68,-4.0,-2.0,2.8,2.8,0.114
69,-4.0,-2.0,2.9,2.9,0.096
70,-4.0,-2.0,3.0,3.0,0.089
71,-4.0,-2.0,3.1,3.1,0.109
72,-4.0,-2.0,3.2,3.2,0.111
73,-4.0,-2.0,3.3,3.3,0.096
74,-4.0,-2.0,3.4,3.4,0.104
75,-4.0,-2.0,3.5,3.5,0.099
76,-4.0,-2.0,3.6,3.6,0.108
77,-4.0,-2.0,3.7,3.7,0.105
