$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
1.08,1.08,0.04,2.04,0.775
0.56,0.56,0.4,2.4,0.758
0.32,0.32,0.96,2.96,0.566
0.28,0.28,0.2,2.2,0.684
3.52,3.52,0.32,2.32,0.81
2.44,2.44,0.28,2.2800000000000002,0.82
2.16,2.16,0.08,2.08,0.845
0.84,0.84,0.6,2.6,0.811
3.0,3.0,0.68,2.68,0.835
1.36,1.36,0.24,2.24,0.76
0.04,0.04,0.76,2.76,0.182
1.12,1.12,0.8,2.8,0.808
0.0,0.0,0.0,2.0,0.095
3.28,3.28,0.88,2.88,0.85
1.64,1.64,0.44,2.44,0.807
2.72,2.72,0.48,2.48,0.848
1.92,1.92,0.64,2.64,0.799
3.24,3.24,0.12,2.12,0.835
3.8,3.8,0.52,2.52,0.823
2.2,2.2,0.84,2.84,0.848
0.88,0.88,0.6,2.6,0.773
0.6,0.6,0.4,2.4,0.764
1.12,1.12,0.04,2.04,0.743
0.32,0.32,0.2,2.2,0.675
0.36,0.36,0.96,2.96,0.608
3.32,3.32,0.88,2.88,0.858
2.48,2.48,0.28,2.2800000000000002,0.83
3.56,3.56,0.32,2.32,0.836
1.4,1.4,0.24,2.24,0.777
2.2,2.2,0.08,2.08,0.826
0.08,0.08,0.76,2.76,0.274
3.04,3.04,0.68,2.68,0.834
1.16,1.16,0.8,2.8,0.794
2.24,2.24,0.84,2.84,0.827
0.04,0.04,0.0,2.0,0.247
1.68,1.68,0.44,2.44,0.81
3.84,3.84,0.52,2.52,0.832
1.96,1.96,0.64,2.64,0.822
3.28,3.28,0.12,2.12,0.817
2.76,2.76,0.48,2.48,0.835
0.92,0.92,0.6,2.6,0.754
3.36,3.36,0.88,2.88,0.828
0.64,0.64,0.4,2.4,0.758
3.6,3.6,0.32,2.32,0.817
3.08,3.08,0.68,2.68,0.838
1.2,1.2,0.8,2.8,0.802
1.44,1.44,0.24,2.24,0.808
2.24,2.24,0.08,2.08,0.837
0.4,0.4,0.96,2.96,0.648
1.16,1.16,0.04,2.04,0.743
0.12,0.12,0.76,2.76,0.339
2.52,2.52,0.28,2.2800000000000002,0.859
0.36,0.36,0.2,2.2,0.697
2.0,2.0,0.64,2.64,0.825
1.72,1.72,0.44,2.44,0.807
2.28,2.28,0.84,2.84,0.827
0.08,0.08,0.0,2.0,0.288
2.8,2.8,0.48,2.48,0.841
3.88,3.88,0.52,2.52,0.837
3.12,3.12,0.68,2.68,0.826
3.32,3.32,0.12,2.12,0.851
0.96,0.96,0.6,2.6,0.783
0.68,0.68,0.4,2.4,0.757
3.4,3.4,0.88,2.88,0.816
3.64,3.64,0.32,2.32,0.827
1.24,1.24,0.8,2.8,0.814
1.48,1.48,0.24,2.24,0.801
0.4,0.4,0.2,2.2,0.657
0.44,0.44,0.96,2.96,0.69
2.28,2.28,0.08,2.08,0.839
2.56,2.56,0.28,2.2800000000000002,0.852
1.76,1.76,0.44,2.44,0.81
2.32,2.32,0.84,2.84,0.83
1.2,1.2,0.04,2.04,0.744
0.16,0.16,0.76,2.76,0.429
2.04,2.04,0.64,2.64,0.826
0.12,0.12,0.0,2.0,0.271
3.92,3.92,0.52,2.52,0.845
3.16,3.16,0.68,2.68,0.828
2.84,2.84,0.48,2.48,0.829
3.36,3.36,0.12,2.12,0.828
1.0,1.0,0.6,2.6,0.788
0.44,0.44,0.2,2.2,0.635
0.72,0.72,0.4,2.4,0.761
1.52,1.52,0.24,2.24,0.792
2.32,2.32,0.08,2.08,0.837
1.28,1.28,0.8,2.8,0.822
0.2,0.2,0.76,2.76,0.508
0.48,0.48,0.96,2.96,0.717
3.44,3.44,0.88,2.88,0.844
3.68,3.68,0.32,2.32,0.821
1.8,1.8,0.44,2.44,0.801
2.36,2.36,0.84,2.84,0.813
3.96,3.96,0.52,2.52,0.807
2.6,2.6,0.28,2.2800000000000002,0.835
2.08,2.08,0.64,2.64,0.835
1.24,1.24,0.04,2.04,0.773
0.16,0.16,0.0,2.0,0.344
1.04,1.04,0.6,2.6,0.778
0.48,0.48,0.2,2.2,0.656
2.88,2.88,0.48,2.48,0.846
3.2,3.2,0.68,2.68,0.844
3.4,3.4,0.12,2.12,0.811
0.52,0.52,0.96,2.96,0.687
1.56,1.56,0.24,2.24,0.813
2.36,2.36,0.08,2.08,0.826
2.4,2.4,0.84,2.84,0.826
0.24,0.24,0.76,2.76,0.569
0.76,0.76,0.4,2.4,0.738
3.72,3.72,0.32,2.32,0.812
1.84,1.84,0.44,2.44,0.81
3.48,3.48,0.88,2.88,0.854
1.32,1.32,0.8,2.8,0.814
4.0,4.0,0.52,2.52,0.832
2.12,2.12,0.64,2.64,0.816
1.08,1.08,0.6,2.6,0.782
2.64,2.64,0.28,2.2800000000000002,0.856
1.28,1.28,0.04,2.04,0.78
0.2,0.2,0.0,2.0,0.339
0.52,0.52,0.2,2.2,0.654
0.56,0.56,0.96,2.96,0.734
3.24,3.24,0.68,2.68,0.833
0.28,0.28,0.76,2.76,0.614
2.44,2.44,0.84,2.84,0.82
2.92,2.92,0.48,2.48,0.861
2.4,2.4,0.08,2.08,0.855
3.76,3.76,0.32,2.32,0.842
1.6,1.6,0.24,2.24,0.814
3.44,3.44,0.12,2.12,0.843
0.8,0.8,0.4,2.4,0.719
2.16,2.16,0.64,2.64,0.816
1.36,1.36,0.8,2.8,0.792
1.88,1.88,0.44,2.44,0.805
3.52,3.52,0.88,2.88,0.831
0.0,0.0,0.56,2.56,0.086
1.12,1.12,0.6,2.6,0.788
1.32,1.32,0.04,2.04,0.791
2.68,2.68,0.28,2.2800000000000002,0.837
0.6,0.6,0.96,2.96,0.729
0.56,0.56,0.2,2.2,0.644
0.32,0.32,0.76,2.76,0.615
2.44,2.44,0.08,2.08,0.841
3.28,3.28,0.68,2.68,0.827
0.24,0.24,0.0,2.0,0.394
1.64,1.64,0.24,2.24,0.797
1.4,1.4,0.8,2.8,0.806
3.48,3.48,0.12,2.12,0.837
3.8,3.8,0.32,2.32,0.815
2.48,2.48,0.84,2.84,0.833
2.96,2.96,0.48,2.48,0.848
0.84,0.84,0.4,2.4,0.718
1.92,1.92,0.44,2.44,0.823
2.2,2.2,0.64,2.64,0.807
3.56,3.56,0.88,2.88,0.845
0.36,0.36,0.76,2.76,0.683
0.04,0.04,0.56,2.56,0.218
1.36,1.36,0.04,2.04,0.76
0.6,0.6,0.2,2.2,0.672
1.16,1.16,0.6,2.6,0.802
0.64,0.64,0.96,2.96,0.739
3.32,3.32,0.68,2.68,0.846
2.48,2.48,0.08,2.08,0.853
2.72,2.72,0.28,2.2800000000000002,0.84
3.52,3.52,0.12,2.12,0.833
3.84,3.84,0.32,2.32,0.832
3.0,3.0,0.48,2.48,0.847
2.52,2.52,0.84,2.84,0.832
1.44,1.44,0.8,2.8,0.824
0.28,0.28,0.0,2.0,0.414
1.68,1.68,0.24,2.24,0.822
0.88,0.88,0.4,2.4,0.749
3.6,3.6,0.88,2.88,0.845
2.24,2.24,0.64,2.64,0.838
1.96,1.96,0.44,2.44,0.83
2.52,2.52,0.08,2.08,0.825
0.4,0.4,0.76,2.76,0.714
1.4,1.4,0.04,2.04,0.783
0.08,0.08,0.56,2.56,0.326
0.64,0.64,0.2,2.2,0.672
1.2,1.2,0.6,2.6,0.778
3.36,3.36,0.68,2.68,0.866
0.68,0.68,0.96,2.96,0.757
2.56,2.56,0.84,2.84,0.842
3.04,3.04,0.48,2.48,0.843
2.76,2.76,0.28,2.2800000000000002,0.839
3.56,3.56,0.12,2.12,0.828
1.48,1.48,0.8,2.8,0.806
3.88,3.88,0.32,2.32,0.843
1.72,1.72,0.24,2.24,0.813
0.32,0.32,0.0,2.0,0.462
2.28,2.28,0.64,2.64,0.829
3.64,3.64,0.88,2.88,0.833
0.68,0.68,0.2,2.2,0.688
0.44,0.44,0.76,2.76,0.695
0.92,0.92,0.4,2.4,0.763
1.44,1.44,0.04,2.04,0.813
2.0,2.0,0.44,2.44,0.839
2.56,2.56,0.08,2.08,0.836
0.12,0.12,0.56,2.56,0.449
2.6,2.6,0.84,2.84,0.807
3.08,3.08,0.48,2.48,0.823
1.24,1.24,0.6,2.6,0.781
0.72,0.72,0.96,2.96,0.772
3.4,3.4,0.68,2.68,0.845
3.6,3.6,0.12,2.12,0.823
1.52,1.52,0.8,2.8,0.801
3.92,3.92,0.32,2.32,0.82
2.8,2.8,0.28,2.2800000000000002,0.853
1.76,1.76,0.24,2.24,0.799
0.72,0.72,0.2,2.2,0.677
0.96,0.96,0.4,2.4,0.745
2.32,2.32,0.64,2.64,0.815
0.36,0.36,0.0,2.0,0.476
0.48,0.48,0.76,2.76,0.745
2.6,2.6,0.08,2.08,0.861
3.68,3.68,0.88,2.88,0.834
1.48,1.48,0.04,2.04,0.802
2.64,2.64,0.84,2.84,0.839
3.12,3.12,0.48,2.48,0.835
0.16,0.16,0.56,2.56,0.496
2.04,2.04,0.44,2.44,0.8
0.76,0.76,0.96,2.96,0.783
3.64,3.64,0.12,2.12,0.809
1.28,1.28,0.6,2.6,0.803
3.44,3.44,0.68,2.68,0.845
3.96,3.96,0.32,2.32,0.838
1.8,1.8,0.24,2.24,0.816
0.76,0.76,0.2,2.2,0.677
2.84,2.84,0.28,2.2800000000000002,0.841
1.56,1.56,0.8,2.8,0.806
1.0,1.0,0.4,2.4,0.759
0.4,0.4,0.0,2.0,0.5
0.52,0.52,0.76,2.76,0.744
2.68,2.68,0.84,2.84,0.829
2.36,2.36,0.64,2.64,0.835
3.72,3.72,0.88,2.88,0.839
1.52,1.52,0.04,2.04,0.775
3.16,3.16,0.48,2.48,0.831
2.64,2.64,0.08,2.08,0.857
0.8,0.8,0.96,2.96,0.763
3.68,3.68,0.12,2.12,0.825
2.08,2.08,0.44,2.44,0.84
0.2,0.2,0.56,2.56,0.535
1.84,1.84,0.24,2.24,0.811
0.8,0.8,0.2,2.2,0.681
1.6,1.6,0.8,2.8,0.818
1.32,1.32,0.6,2.6,0.773
4.0,4.0,0.32,2.32,0.8
3.48,3.48,0.68,2.68,0.848
0.56,0.56,0.76,2.76,0.739
1.04,1.04,0.4,2.4,0.763
2.4,2.4,0.64,2.64,0.826
2.72,2.72,0.84,2.84,0.851
2.88,2.88,0.28,2.2800000000000002,0.85
0.44,0.44,0.0,2.0,0.54
2.68,2.68,0.08,2.08,0.858
3.2,3.2,0.48,2.48,0.85
3.76,3.76,0.88,2.88,0.822
0.84,0.84,0.96,2.96,0.776
0.84,0.84,0.2,2.2,0.685
0.24,0.24,0.56,2.56,0.61
2.12,2.12,0.44,2.44,0.815
1.56,1.56,0.04,2.04,0.812
3.72,3.72,0.12,2.12,0.804
1.64,1.64,0.8,2.8,0.819
0.6,0.6,0.76,2.76,0.745
1.88,1.88,0.24,2.24,0.835
0.0,0.0,0.36,2.36,0.092
1.36,1.36,0.6,2.6,0.779
1.08,1.08,0.4,2.4,0.763
3.52,3.52,0.68,2.68,0.853
2.44,2.44,0.64,2.64,0.842
0.48,0.48,0.0,2.0,0.542
2.76,2.76,0.84,2.84,0.84
2.92,2.92,0.28,2.2800000000000002,0.847
3.8,3.8,0.88,2.88,0.832
2.72,2.72,0.08,2.08,0.869
0.88,0.88,0.2,2.2,0.697
3.24,3.24,0.48,2.48,0.835
1.68,1.68,0.8,2.8,0.794
1.6,1.6,0.04,2.04,0.817
3.76,3.76,0.12,2.12,0.822
0.88,0.88,0.96,2.96,0.771
2.16,2.16,0.44,2.44,0.836
0.28,0.28,0.56,2.56,0.656
0.64,0.64,0.76,2.76,0.77
0.04,0.04,0.36,2.36,0.285
1.12,1.12,0.4,2.4,0.766
2.48,2.48,0.64,2.64,0.853
1.92,1.92,0.24,2.24,0.81
0.52,0.52,0.0,2.0,0.569
1.4,1.4,0.6,2.6,0.777
3.56,3.56,0.68,2.68,0.822
2.96,2.96,0.28,2.2800000000000002,0.838
2.8,2.8,0.84,2.84,0.8
0.92,0.92,0.2,2.2,0.716
3.84,3.84,0.88,2.88,0.837
1.64,1.64,0.04,2.04,0.8
2.76,2.76,0.08,2.08,0.857
0.32,0.32,0.56,2.56,0.675
0.68,0.68,0.76,2.76,0.732
1.72,1.72,0.8,2.8,0.805
3.8,3.8,0.12,2.12,0.809
0.92,0.92,0.96,2.96,0.797
0.08,0.08,0.36,2.36,0.435
2.2,2.2,0.44,2.44,0.815
3.28,3.28,0.48,2.48,0.84
1.96,1.96,0.24,2.24,0.842
