,$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
0,0.0,2.0,0.0,0.0,0.095
1,0.0,2.0,0.04,0.04,0.247
2,0.0,2.0,0.08,0.08,0.288
3,0.0,2.0,0.12,0.12,0.271
4,0.0,2.0,0.16,0.16,0.344
5,0.0,2.0,0.2,0.2,0.339
6,0.0,2.0,0.24,0.24,0.394
7,0.0,2.0,0.28,0.28,0.414
8,0.0,2.0,0.32,0.32,0.462
9,0.0,2.0,0.36,0.36,0.476
10,0.0,2.0,0.4,0.4,0.5
11,0.0,2.0,0.44,0.44,0.54
12,0.0,2.0,0.48,0.48,0.542
13,0.0,2.0,0.52,0.52,0.569
14,0.0,2.0,0.56,0.56,0.59
15,0.0,2.0,0.6,0.6,0.59
16,0.0,2.0,0.64,0.64,0.635
17,0.0,2.0,0.68,0.68,0.647
18,0.0,2.0,0.72,0.72,0.611
19,0.0,2.0,0.76,0.76,0.684
20,0.0,2.0,0.8,0.8,0.657
21,0.0,2.0,0.84,0.84,0.651
22,0.0,2.0,0.88,0.88,0.695
23,0.0,2.0,0.92,0.92,0.709
24,0.0,2.0,0.96,0.96,0.742
25,0.0,2.0,1.0,1.0,0.744
26,0.0,2.0,1.04,1.04,0.739
27,0.0,2.0,1.08,1.08,0.765
28,0.0,2.0,1.12,1.12,0.733
29,0.0,2.0,1.16,1.16,0.775
30,0.0,2.0,1.2,1.2,0.796
31,0.0,2.0,1.24,1.24,0.771
32,0.0,2.0,1.28,1.28,0.777
33,0.0,2.0,1.32,1.32,0.792
34,0.0,2.0,1.36,1.36,0.8
35,0.0,2.0,1.4,1.4,0.794
36,0.0,2.0,1.44,1.44,0.791
37,0.0,2.0,1.48,1.48,0.803
38,0.0,2.0,1.52,1.52,0.789
39,0.0,2.0,1.56,1.56,0.806
40,0.0,2.0,1.6,1.6,0.824
41,0.0,2.0,1.64,1.64,0.789
42,0.0,2.0,1.68,1.68,0.799
43,0.0,2.0,1.72,1.72,0.813
44,0.0,2.0,1.76,1.76,0.824
45,0.0,2.0,1.8,1.8,0.809
46,0.0,2.0,1.84,1.84,0.831
47,0.0,2.0,1.88,1.88,0.835
48,0.0,2.0,1.92,1.92,0.847
49,0.0,2.0,1.96,1.96,0.848
50,0.0,2.0,2.0,2.0,0.835
51,0.0,2.0,2.04,2.04,0.848
52,0.0,2.0,2.08,2.08,0.834
53,0.0,2.0,2.12,2.12,0.832
54,0.0,2.0,2.16,2.16,0.839
55,0.0,2.0,2.2,2.2,0.844
56,0.0,2.0,2.24,2.24,0.838
57,0.0,2.0,2.28,2.28,0.849
58,0.0,2.0,2.32,2.32,0.839
59,0.0,2.0,2.36,2.36,0.839
60,0.0,2.0,2.4,2.4,0.838
