sigx1,sigx2,sigh1,sigh2,success_rate
0.0,0.0,0.0,0.0,0.099
1.64,1.64,0.44,0.88,0.873
0.28,0.28,0.2,0.4,0.856
1.08,1.08,0.04,0.08,0.704
3.24,3.24,0.12,0.24,0.386
3.0,3.0,0.68,1.36,0.793
2.2,2.2,0.84,1.68,0.852
0.32,0.32,0.96,1.92,0.623
3.8,3.8,0.52,1.04,0.631
1.12,1.12,0.8,1.6,0.866
0.84,0.84,0.6,1.2,0.847
0.04,0.04,0.76,1.52,0.192
3.28,3.28,0.88,1.76,0.806
2.44,2.44,0.28,0.56,0.659
2.72,2.72,0.48,0.96,0.734
2.16,2.16,0.08,0.16,0.488
3.52,3.52,0.32,0.64,0.512
1.92,1.92,0.64,1.28,0.864
1.36,1.36,0.24,0.48,0.868
0.56,0.56,0.4,0.8,0.872
0.04,0.04,0.0,0.0,0.238
1.68,1.68,0.44,0.88,0.879
2.24,2.24,0.84,1.68,0.877
0.32,0.32,0.2,0.4,0.852
3.04,3.04,0.68,1.36,0.766
3.32,3.32,0.88,1.76,0.808
0.08,0.08,0.76,1.52,0.32
1.12,1.12,0.04,0.08,0.701
0.88,0.88,0.6,1.2,0.857
0.6,0.6,0.4,0.8,0.848
0.36,0.36,0.96,1.92,0.683
3.28,3.28,0.12,0.24,0.402
1.16,1.16,0.8,1.6,0.847
1.96,1.96,0.64,1.28,0.872
2.48,2.48,0.28,0.56,0.657
2.76,2.76,0.48,0.96,0.714
3.84,3.84,0.52,1.04,0.581
2.2,2.2,0.08,0.16,0.475
3.56,3.56,0.32,0.64,0.523
1.4,1.4,0.24,0.48,0.873
0.08,0.08,0.0,0.0,0.215
0.12,0.12,0.76,1.52,0.413
2.28,2.28,0.84,1.68,0.87
0.36,0.36,0.2,0.4,0.856
2.52,2.52,0.28,0.56,0.632
2.24,2.24,0.08,0.16,0.468
1.44,1.44,0.24,0.48,0.858
0.92,0.92,0.6,1.2,0.86
3.6,3.6,0.32,0.64,0.509
1.16,1.16,0.04,0.08,0.7
0.4,0.4,0.96,1.92,0.685
3.08,3.08,0.68,1.36,0.777
3.36,3.36,0.88,1.76,0.823
2.0,2.0,0.64,1.28,0.869
0.64,0.64,0.4,0.8,0.862
1.72,1.72,0.44,0.88,0.883
2.8,2.8,0.48,0.96,0.708
3.88,3.88,0.52,1.04,0.626
1.2,1.2,0.8,1.6,0.872
3.32,3.32,0.12,0.24,0.398
0.16,0.16,0.76,1.52,0.489
0.12,0.12,0.0,0.0,0.234
2.56,2.56,0.28,0.56,0.625
1.2,1.2,0.04,0.08,0.658
2.32,2.32,0.84,1.68,0.855
1.48,1.48,0.24,0.48,0.854
1.76,1.76,0.44,0.88,0.863
0.96,0.96,0.6,1.2,0.867
0.68,0.68,0.4,0.8,0.879
0.4,0.4,0.2,0.4,0.871
2.28,2.28,0.08,0.16,0.446
0.44,0.44,0.96,1.92,0.691
3.64,3.64,0.32,0.64,0.508
2.84,2.84,0.48,0.96,0.731
1.24,1.24,0.8,1.6,0.846
3.12,3.12,0.68,1.36,0.783
2.04,2.04,0.64,1.28,0.874
3.92,3.92,0.52,1.04,0.582
3.4,3.4,0.88,1.76,0.823
3.36,3.36,0.12,0.24,0.421
0.16,0.16,0.0,0.0,0.222
0.2,0.2,0.76,1.52,0.569
1.24,1.24,0.04,0.08,0.647
0.44,0.44,0.2,0.4,0.854
2.32,2.32,0.08,0.16,0.478
0.72,0.72,0.4,0.8,0.869
1.8,1.8,0.44,0.88,0.883
1.28,1.28,0.8,1.6,0.84
2.6,2.6,0.28,0.56,0.604
1.0,1.0,0.6,1.2,0.849
2.36,2.36,0.84,1.68,0.862
1.52,1.52,0.24,0.48,0.838
3.68,3.68,0.32,0.64,0.497
2.08,2.08,0.64,1.28,0.868
0.48,0.48,0.96,1.92,0.715
2.88,2.88,0.48,0.96,0.73
3.16,3.16,0.68,1.36,0.776
3.96,3.96,0.52,1.04,0.569
3.44,3.44,0.88,1.76,0.81
3.4,3.4,0.12,0.24,0.39
0.2,0.2,0.0,0.0,0.238
0.48,0.48,0.2,0.4,0.857
2.36,2.36,0.08,0.16,0.468
1.84,1.84,0.44,0.88,0.847
0.24,0.24,0.76,1.52,0.602
1.28,1.28,0.04,0.08,0.637
0.76,0.76,0.4,0.8,0.873
2.64,2.64,0.28,0.56,0.603
1.32,1.32,0.8,1.6,0.848
1.04,1.04,0.6,1.2,0.854
1.56,1.56,0.24,0.48,0.825
3.72,3.72,0.32,0.64,0.507
2.4,2.4,0.84,1.68,0.857
2.92,2.92,0.48,0.96,0.716
2.12,2.12,0.64,1.28,0.865
0.52,0.52,0.96,1.92,0.737
3.2,3.2,0.68,1.36,0.752
3.44,3.44,0.12,0.24,0.385
4.0,4.0,0.52,1.04,0.61
3.48,3.48,0.88,1.76,0.784
0.24,0.24,0.0,0.0,0.23
1.88,1.88,0.44,0.88,0.853
0.8,0.8,0.4,0.8,0.886
0.52,0.52,0.2,0.4,0.868
2.4,2.4,0.08,0.16,0.461
2.68,2.68,0.28,0.56,0.605
1.32,1.32,0.04,0.08,0.612
0.28,0.28,0.76,1.52,0.647
1.36,1.36,0.8,1.6,0.853
1.08,1.08,0.6,1.2,0.853
1.6,1.6,0.24,0.48,0.796
2.44,2.44,0.84,1.68,0.859
3.76,3.76,0.32,0.64,0.458
2.96,2.96,0.48,0.96,0.708
0.56,0.56,0.96,1.92,0.75
2.16,2.16,0.64,1.28,0.867
3.24,3.24,0.68,1.36,0.761
