,muh1,muh2,mux1,mux2,success_rate
0,-4.0,-8.0,-4.0,-8.0,0.778
1,-4.0,-8.0,-3.9,-7.8,0.79
2,-4.0,-8.0,-3.8,-7.6,0.793
3,-4.0,-8.0,-3.7,-7.4,0.783
4,-4.0,-8.0,-3.6,-7.2,0.758
5,-4.0,-8.0,-3.5,-7.0,0.724
6,-4.0,-8.0,-3.4,-6.8,0.714
7,-4.0,-8.0,-3.3,-6.6,0.679
8,-4.0,-8.0,-3.2,-6.4,0.684
9,-4.0,-8.0,-3.1,-6.2,0.624
10,-4.0,-8.0,-3.0,-6.0,0.599
11,-4.0,-8.0,-2.9,-5.8,0.565
12,-4.0,-8.0,-2.8,-5.6,0.513
13,-4.0,-8.0,-2.7,-5.4,0.512
14,-4.0,-8.0,-2.6,-5.2,0.486
15,-4.0,-8.0,-2.5,-5.0,0.466
16,-4.0,-8.0,-2.4,-4.8,0.426
17,-4.0,-8.0,-2.3,-4.6,0.339
18,-4.0,-8.0,-2.2,-4.4,0.321
19,-4.0,-8.0,-2.1,-4.2,0.301
20,-4.0,-8.0,-2.0,-4.0,0.282
21,-4.0,-8.0,-1.9,-3.8,0.233
22,-4.0,-8.0,-1.8,-3.6,0.237
23,-4.0,-8.0,-1.7,-3.4,0.209
24,-4.0,-8.0,-1.6,-3.2,0.196
25,-4.0,-8.0,-1.5,-3.0,0.197
26,-4.0,-8.0,-1.4,-2.8,0.181
27,-4.0,-8.0,-1.3,-2.6,0.167
28,-4.0,-8.0,-1.2,-2.4,0.142
29,-4.0,-8.0,-1.1,-2.2,0.156
30,-4.0,-8.0,-1.0,-2.0,0.131
31,-4.0,-8.0,-0.9,-1.8,0.126
32,-4.0,-8.0,-0.8,-1.6,0.133
33,-4.0,-8.0,-0.7,-1.4,0.128
34,-4.0,-8.0,-0.6,-1.2,0.12
35,-4.0,-8.0,-0.5,-1.0,0.109
36,-4.0,-8.0,-0.4,-0.8,0.122
37,-4.0,-8.0,-0.3,-0.6,0.117
38,-4.0,-8.0,-0.2,-0.4,0.097
39,-4.0,-8.0,-0.1,-0.2,0.099
40,-4.0,-8.0,0.0,0.0,0.126
41,-4.0,-8.0,0.1,0.2,0.088
42,-4.0,-8.0,0.2,0.4,0.104
43,-4.0,-8.0,0.3,0.6,0.106
44,-4.0,-8.0,0.4,0.8,0.1
45,-4.0,-8.0,0.5,1.0,0.117
46,-4.0,-8.0,0.6,1.2,0.102
47,-4.0,-8.0,0.7,1.4,0.108
48,-4.0,-8.0,0.8,1.6,0.079
49,-4.0,-8.0,0.9,1.8,0.126
50,-4.0,-8.0,1.0,2.0,0.099
51,-4.0,-8.0,1.1,2.2,0.106
52,-4.0,-8.0,1.2,2.4,0.076
53,-4.0,-8.0,1.3,2.6,0.096
54,-4.0,-8.0,1.4,2.8,0.096
55,-4.0,-8.0,1.5,3.0,0.097
56,-4.0,-8.0,1.6,3.2,0.102
57,-4.0,-8.0,1.7,3.4,0.098
58,-4.0,-8.0,1.8,3.6,0.102
59,-4.0,-8.0,1.9,3.8,0.105
60,-4.0,-8.0,2.0,4.0,0.091
61,-4.0,-8.0,2.1,4.2,0.117
62,-4.0,-8.0,2.2,4.4,0.076
63,-4.0,-8.0,2.3,4.6,0.091
64,-4.0,-8.0,2.4,4.8,0.106
65,-4.0,-8.0,2.5,5.0,0.097
66,-4.0,-8.0,2.6,5.2,0.087
67,-4.0,-8.0,2.7,5.4,0.092
68,-4.0,-8.0,2.8,5.6,0.111
69,-4.0,-8.0,2.9,5.8,0.105
70,-4.0,-8.0,3.0,6.0,0.108
71,-4.0,-8.0,3.1,6.2,0.12
72,-4.0,-8.0,3.2,6.4,0.107
73,-4.0,-8.0,3.3,6.6,0.1
74,-4.0,-8.0,3.4,6.8,0.092
75,-4.0,-8.0,3.5,7.0,0.112
76,-4.0,-8.0,3.6,7.2,0.09
77,-4.0,-8.0,3.7,7.4,0.096
