mux1,mux2,muh1,muh2,success_rate
-2.6,-2.6,-3.0,-6.0,0.74
12.0,12.0,0.2,0.4,0.11
1.6,1.6,0.0,0.0,0.528
8.5,8.5,-2.3,-4.6,0.11
6.4,6.4,-3.8,-7.6,0.11
11.3,11.3,-0.3,-0.6,0.11
9.9,9.9,-1.3,-2.6,0.11
0.9,0.9,-0.5,-1.0,0.499
-0.5,-0.5,-1.5,-3.0,0.604
0.2,0.2,-1.0,-2.0,0.559
-4.0,-4.0,-4.0,-8.0,0.802
7.1,7.1,-3.3,-6.6,0.11
-3.3,-3.3,-3.5,-7.0,0.784
-1.9,-1.9,-2.5,-5.0,0.719
10.6,10.6,-0.8,-1.6,0.11
-1.2,-1.2,-2.0,-4.0,0.634
2.3,2.3,0.5,1.0,0.551
7.8,7.8,-2.8,-5.6,0.11
9.2,9.2,-1.8,-3.6,0.11
12.7,12.7,0.7,1.4,0.11
12.1,12.1,0.2,0.4,0.1
1.7,1.7,0.0,0.0,0.48
1.0,1.0,-0.5,-1.0,0.479
-2.5,-2.5,-3.0,-6.0,0.764
8.6,8.6,-2.3,-4.6,0.1
2.4,2.4,0.5,1.0,0.483
7.2,7.2,-3.3,-6.6,0.1
-3.2,-3.2,-3.5,-7.0,0.742
-0.4,-0.4,-1.5,-3.0,0.587
-1.8,-1.8,-2.5,-5.0,0.675
10.0,10.0,-1.3,-2.6,0.1
-1.1,-1.1,-2.0,-4.0,0.643
6.5,6.5,-3.8,-7.6,0.1
7.9,7.9,-2.8,-5.6,0.1
11.4,11.4,-0.3,-0.6,0.1
0.3,0.3,-1.0,-2.0,0.53
10.7,10.7,-0.8,-1.6,0.1
-3.9,-3.9,-4.0,-8.0,0.795
12.8,12.8,0.7,1.4,0.1
9.3,9.3,-1.8,-3.6,0.1
1.8,1.8,0.0,0.0,0.42
12.2,12.2,0.2,0.4,0.102
1.1,1.1,-0.5,-1.0,0.437
2.5,2.5,0.5,1.0,0.496
8.7,8.7,-2.3,-4.6,0.102
-1.7,-1.7,-2.5,-5.0,0.677
-2.4,-2.4,-3.0,-6.0,0.698
10.1,10.1,-1.3,-2.6,0.102
7.3,7.3,-3.3,-6.6,0.102
12.9,12.9,0.7,1.4,0.102
11.5,11.5,-0.3,-0.6,0.102
10.8,10.8,-0.8,-1.6,0.102
-3.1,-3.1,-3.5,-7.0,0.751
-0.3,-0.3,-1.5,-3.0,0.558
-1.0,-1.0,-2.0,-4.0,0.595
6.6,6.6,-3.8,-7.6,0.102
-3.8,-3.8,-4.0,-8.0,0.787
8.0,8.0,-2.8,-5.6,0.102
0.4,0.4,-1.0,-2.0,0.499
9.4,9.4,-1.8,-3.6,0.102
1.9,1.9,0.0,0.0,0.365
1.2,1.2,-0.5,-1.0,0.389
8.8,8.8,-2.3,-4.6,0.096
12.3,12.3,0.2,0.4,0.096
-1.6,-1.6,-2.5,-5.0,0.619
-2.3,-2.3,-3.0,-6.0,0.704
2.6,2.6,0.5,1.0,0.438
7.4,7.4,-3.3,-6.6,0.096
-3.7,-3.7,-4.0,-8.0,0.752
-3.0,-3.0,-3.5,-7.0,0.731
10.2,10.2,-1.3,-2.6,0.096
-0.9,-0.9,-2.0,-4.0,0.571
11.6,11.6,-0.3,-0.6,0.096
10.9,10.9,-0.8,-1.6,0.096
13.0,13.0,0.7,1.4,0.096
0.5,0.5,-1.0,-2.0,0.44
8.1,8.1,-2.8,-5.6,0.096
6.7,6.7,-3.8,-7.6,0.096
-0.2,-0.2,-1.5,-3.0,0.504
9.5,9.5,-1.8,-3.6,0.096
2.0,2.0,0.0,0.0,0.349
1.3,1.3,-0.5,-1.0,0.353
-2.2,-2.2,-3.0,-6.0,0.679
8.9,8.9,-2.3,-4.6,0.101
-1.5,-1.5,-2.5,-5.0,0.583
12.4,12.4,0.2,0.4,0.101
-2.9,-2.9,-3.5,-7.0,0.727
-3.6,-3.6,-4.0,-8.0,0.737
7.5,7.5,-3.3,-6.6,0.101
2.7,2.7,0.5,1.0,0.394
11.0,11.0,-0.8,-1.6,0.101
11.7,11.7,-0.3,-0.6,0.101
-0.8,-0.8,-2.0,-4.0,0.524
10.3,10.3,-1.3,-2.6,0.101
13.1,13.1,0.7,1.4,0.101
-0.1,-0.1,-1.5,-3.0,0.465
6.8,6.8,-3.8,-7.6,0.101
0.6,0.6,-1.0,-2.0,0.416
8.2,8.2,-2.8,-5.6,0.101
9.6,9.6,-1.8,-3.6,0.101
2.1,2.1,0.0,0.0,0.32
1.4,1.4,-0.5,-1.0,0.317
-2.8,-2.8,-3.5,-7.0,0.705
9.0,9.0,-2.3,-4.6,0.105
-2.1,-2.1,-3.0,-6.0,0.621
-1.4,-1.4,-2.5,-5.0,0.567
12.5,12.5,0.2,0.4,0.105
-3.5,-3.5,-4.0,-8.0,0.74
2.8,2.8,0.5,1.0,0.361
11.1,11.1,-0.8,-1.6,0.105
-0.7,-0.7,-2.0,-4.0,0.495
7.6,7.6,-3.3,-6.6,0.105
11.8,11.8,-0.3,-0.6,0.105
13.2,13.2,0.7,1.4,0.105
6.9,6.9,-3.8,-7.6,0.105
10.4,10.4,-1.3,-2.6,0.105
0.0,0.0,-1.5,-3.0,0.424
0.7,0.7,-1.0,-2.0,0.364
8.3,8.3,-2.8,-5.6,0.105
9.7,9.7,-1.8,-3.6,0.105
2.2,2.2,0.0,0.0,0.275
1.5,1.5,-0.5,-1.0,0.298
-2.0,-2.0,-3.0,-6.0,0.603
9.1,9.1,-2.3,-4.6,0.087
-2.7,-2.7,-3.5,-7.0,0.636
-1.3,-1.3,-2.5,-5.0,0.54
12.6,12.6,0.2,0.4,0.087
-3.4,-3.4,-4.0,-8.0,0.693
2.9,2.9,0.5,1.0,0.337
11.2,11.2,-0.8,-1.6,0.087
7.0,7.0,-3.8,-7.6,0.087
