,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,0.0,0.0,-4.0,-2.0,0.37
1,0.0,0.0,-3.9,-1.9,0.399
2,0.0,0.0,-3.8,-1.7999999999999998,0.407
3,0.0,0.0,-3.7,-1.7000000000000002,0.413
4,0.0,0.0,-3.6,-1.6,0.463
5,0.0,0.0,-3.5,-1.5,0.436
6,0.0,0.0,-3.4,-1.4,0.478
7,0.0,0.0,-3.3,-1.2999999999999998,0.479
8,0.0,0.0,-3.2,-1.2000000000000002,0.479
9,0.0,0.0,-3.1,-1.1,0.492
10,0.0,0.0,-3.0,-1.0,0.502
11,0.0,0.0,-2.9,-0.8999999999999999,0.499
12,0.0,0.0,-2.8,-0.7999999999999998,0.523
13,0.0,0.0,-2.7,-0.7000000000000002,0.466
14,0.0,0.0,-2.6,-0.6000000000000001,0.486
15,0.0,0.0,-2.5,-0.5,0.515
16,0.0,0.0,-2.4,-0.3999999999999999,0.475
17,0.0,0.0,-2.3,-0.2999999999999998,0.485
18,0.0,0.0,-2.2,-0.20000000000000018,0.467
19,0.0,0.0,-2.1,-0.10000000000000009,0.464
20,0.0,0.0,-2.0,0.0,0.44
21,0.0,0.0,-1.9,0.10000000000000009,0.416
22,0.0,0.0,-1.8,0.19999999999999996,0.448
23,0.0,0.0,-1.7,0.30000000000000004,0.427
24,0.0,0.0,-1.6,0.3999999999999999,0.372
25,0.0,0.0,-1.5,0.5,0.37
26,0.0,0.0,-1.4,0.6000000000000001,0.353
27,0.0,0.0,-1.3,0.7,0.34
28,0.0,0.0,-1.2,0.8,0.368
29,0.0,0.0,-1.1,0.8999999999999999,0.304
30,0.0,0.0,-1.0,1.0,0.287
31,0.0,0.0,-0.9,1.1,0.279
32,0.0,0.0,-0.8,1.2,0.256
33,0.0,0.0,-0.7,1.3,0.244
34,0.0,0.0,-0.6,1.4,0.244
35,0.0,0.0,-0.5,1.5,0.223
36,0.0,0.0,-0.4,1.6,0.192
37,0.0,0.0,-0.3,1.7,0.199
38,0.0,0.0,-0.2,1.8,0.186
39,0.0,0.0,-0.1,1.9,0.185
40,0.0,0.0,0.0,2.0,0.205
41,0.0,0.0,0.1,2.1,0.172
42,0.0,0.0,0.2,2.2,0.176
43,0.0,0.0,0.3,2.3,0.151
44,0.0,0.0,0.4,2.4,0.141
45,0.0,0.0,0.5,2.5,0.181
46,0.0,0.0,0.6,2.6,0.144
47,0.0,0.0,0.7,2.7,0.136
48,0.0,0.0,0.8,2.8,0.144
49,0.0,0.0,0.9,2.9,0.123
50,0.0,0.0,1.0,3.0,0.126
51,0.0,0.0,1.1,3.1,0.124
52,0.0,0.0,1.2,3.2,0.131
53,0.0,0.0,1.3,3.3,0.122
54,0.0,0.0,1.4,3.4,0.123
55,0.0,0.0,1.5,3.5,0.123
56,0.0,0.0,1.6,3.6,0.11
57,0.0,0.0,1.7,3.7,0.126
58,0.0,0.0,1.8,3.8,0.11
59,0.0,0.0,1.9,3.9,0.116
60,0.0,0.0,2.0,4.0,0.103
61,0.0,0.0,2.1,4.1,0.108
62,0.0,0.0,2.2,4.2,0.104
63,0.0,0.0,2.3,4.3,0.102
64,0.0,0.0,2.4,4.4,0.092
65,0.0,0.0,2.5,4.5,0.107
66,0.0,0.0,2.6,4.6,0.092
67,0.0,0.0,2.7,4.7,0.103
68,0.0,0.0,2.8,4.8,0.098
69,0.0,0.0,2.9,4.9,0.1
70,0.0,0.0,3.0,5.0,0.088
71,0.0,0.0,3.1,5.1,0.101
72,0.0,0.0,3.2,5.2,0.096
73,0.0,0.0,3.3,5.3,0.085
74,0.0,0.0,3.4,5.4,0.106
75,0.0,0.0,3.5,5.5,0.098
76,0.0,0.0,3.6,5.6,0.105
77,0.0,0.0,3.7,5.7,0.095
78,0.0,0.0,3.8,5.8,0.093
79,0.0,0.0,3.9,5.9,0.101
80,0.0,0.0,4.0,6.0,0.116
81,0.0,0.0,4.1,6.1,0.101
82,0.0,0.0,4.2,6.2,0.101
83,0.0,0.0,4.3,6.3,0.112
84,0.0,0.0,4.4,6.4,0.094
85,0.0,0.0,4.5,6.5,0.107
86,0.0,0.0,4.6,6.6,0.087
87,0.0,0.0,4.7,6.7,0.105
88,0.0,0.0,4.8,6.8,0.099
89,0.0,0.0,4.9,6.9,0.104
90,0.0,0.0,5.0,7.0,0.104
91,0.0,0.0,5.1,7.1,0.112
92,0.0,0.0,5.2,7.2,0.113
93,0.0,0.0,5.3,7.3,0.106
94,0.0,0.0,5.4,7.4,0.097
95,0.0,0.0,5.5,7.5,0.093
96,0.0,0.0,5.6,7.6,0.107
97,0.0,0.0,5.7,7.7,0.086
98,0.0,0.0,5.8,7.8,0.091
99,0.0,0.0,5.9,7.9,0.118
100,0.0,0.0,6.0,8.0,0.103
101,0.0,0.0,6.1,8.1,0.098
102,0.0,0.0,6.2,8.2,0.097
103,0.0,0.0,6.3,8.3,0.094
104,0.0,0.0,6.4,8.4,0.083
105,0.0,0.0,6.5,8.5,0.091
106,0.0,0.0,6.6,8.6,0.107
107,0.0,0.0,6.7,8.7,0.108
108,0.0,0.0,6.8,8.8,0.108
109,0.0,0.0,6.9,8.9,0.108
110,0.0,0.0,7.0,9.0,0.098
111,0.0,0.0,7.1,9.1,0.097
112,0.0,0.0,7.2,9.2,0.12
113,0.0,0.0,7.3,9.3,0.088
114,0.0,0.0,7.4,9.4,0.107
115,0.0,0.0,7.5,9.5,0.107
116,0.0,0.0,7.6,9.6,0.09
117,0.0,0.0,7.7,9.7,0.102
118,0.0,0.0,7.8,9.8,0.086
119,0.0,0.0,7.9,9.9,0.096
120,0.0,0.0,8.0,10.0,0.107
121,0.0,0.0,8.1,10.1,0.09
122,0.0,0.0,8.2,10.2,0.092
123,0.0,0.0,8.3,10.3,0.101
124,0.0,0.0,8.4,10.4,0.091
125,0.0,0.0,8.5,10.5,0.083
126,0.0,0.0,8.6,10.6,0.108
127,0.0,0.0,8.7,10.7,0.097
128,0.0,0.0,8.8,10.8,0.107
129,0.0,0.0,8.9,10.9,0.104
130,0.0,0.0,9.0,11.0,0.077
131,0.0,0.0,9.1,11.1,0.101
132,0.0,0.0,9.2,11.2,0.096
133,0.0,0.0,9.3,11.3,0.106
134,0.0,0.0,9.4,11.4,0.092
135,0.0,0.0,9.5,11.5,0.097
136,0.0,0.0,9.6,11.6,0.098
137,0.0,0.0,9.7,11.7,0.101
138,0.0,0.0,9.8,11.8,0.106
139,0.0,0.0,9.9,11.9,0.103
140,0.0,0.0,10.0,12.0,0.106
141,0.1,0.1,-4.0,-2.0,0.371
142,0.1,0.1,-3.9,-1.9,0.361
143,0.1,0.1,-3.8,-1.7999999999999998,0.395
144,0.1,0.1,-3.7,-1.7000000000000002,0.424
145,0.1,0.1,-3.6,-1.6,0.408
146,0.1,0.1,-3.5,-1.5,0.459
147,0.1,0.1,-3.4,-1.4,0.438
148,0.1,0.1,-3.3,-1.2999999999999998,0.445
149,0.1,0.1,-3.2,-1.2000000000000002,0.494
150,0.1,0.1,-3.1,-1.1,0.502
151,0.1,0.1,-3.0,-1.0,0.484
152,0.1,0.1,-2.9,-0.8999999999999999,0.493
153,0.1,0.1,-2.8,-0.7999999999999998,0.499
154,0.1,0.1,-2.7,-0.7000000000000002,0.524
155,0.1,0.1,-2.6,-0.6000000000000001,0.501
156,0.1,0.1,-2.5,-0.5,0.496
157,0.1,0.1,-2.4,-0.3999999999999999,0.489
158,0.1,0.1,-2.3,-0.2999999999999998,0.519
159,0.1,0.1,-2.2,-0.20000000000000018,0.467
160,0.1,0.1,-2.1,-0.10000000000000009,0.454
161,0.1,0.1,-2.0,0.0,0.483
162,0.1,0.1,-1.9,0.10000000000000009,0.488
163,0.1,0.1,-1.8,0.19999999999999996,0.399
164,0.1,0.1,-1.7,0.30000000000000004,0.424
165,0.1,0.1,-1.6,0.3999999999999999,0.399
166,0.1,0.1,-1.5,0.5,0.4
167,0.1,0.1,-1.4,0.6000000000000001,0.381
168,0.1,0.1,-1.3,0.7,0.392
169,0.1,0.1,-1.2,0.8,0.335
170,0.1,0.1,-1.1,0.8999999999999999,0.339
171,0.1,0.1,-1.0,1.0,0.301
172,0.1,0.1,-0.9,1.1,0.286
173,0.1,0.1,-0.8,1.2,0.301
174,0.1,0.1,-0.7,1.3,0.263
175,0.1,0.1,-0.6,1.4,0.253
176,0.1,0.1,-0.5,1.5,0.258
177,0.1,0.1,-0.4,1.6,0.242
178,0.1,0.1,-0.3,1.7,0.218
179,0.1,0.1,-0.2,1.8,0.198
180,0.1,0.1,-0.1,1.9,0.183
181,0.1,0.1,0.0,2.0,0.192
182,0.1,0.1,0.1,2.1,0.173
183,0.1,0.1,0.2,2.2,0.184
184,0.1,0.1,0.3,2.3,0.192
185,0.1,0.1,0.4,2.4,0.174
186,0.1,0.1,0.5,2.5,0.159
187,0.1,0.1,0.6,2.6,0.143
188,0.1,0.1,0.7,2.7,0.142
189,0.1,0.1,0.8,2.8,0.124
190,0.1,0.1,0.9,2.9,0.116
191,0.1,0.1,1.0,3.0,0.139
192,0.1,0.1,1.1,3.1,0.13
193,0.1,0.1,1.2,3.2,0.146
194,0.1,0.1,1.3,3.3,0.145
195,0.1,0.1,1.4,3.4,0.116
196,0.1,0.1,1.5,3.5,0.113
197,0.1,0.1,1.6,3.6,0.123
198,0.1,0.1,1.7,3.7,0.119
199,0.1,0.1,1.8,3.8,0.108
200,0.1,0.1,1.9,3.9,0.092
201,0.1,0.1,2.0,4.0,0.111
202,0.1,0.1,2.1,4.1,0.095
203,0.1,0.1,2.2,4.2,0.108
204,0.1,0.1,2.3,4.3,0.109
205,0.1,0.1,2.4,4.4,0.112
206,0.1,0.1,2.5,4.5,0.116
207,0.1,0.1,2.6,4.6,0.107
208,0.1,0.1,2.7,4.7,0.091
209,0.1,0.1,2.8,4.8,0.101
210,0.1,0.1,2.9,4.9,0.109
211,0.1,0.1,3.0,5.0,0.103
212,0.1,0.1,3.1,5.1,0.098
213,0.1,0.1,3.2,5.2,0.092
214,0.1,0.1,3.3,5.3,0.1
215,0.1,0.1,3.4,5.4,0.095
216,0.1,0.1,3.5,5.5,0.097
217,0.1,0.1,3.6,5.6,0.098
218,0.1,0.1,3.7,5.7,0.108
219,0.1,0.1,3.8,5.8,0.099
220,0.1,0.1,3.9,5.9,0.088
221,0.1,0.1,4.0,6.0,0.101
222,0.1,0.1,4.1,6.1,0.094
223,0.1,0.1,4.2,6.2,0.096
224,0.1,0.1,4.3,6.3,0.12
225,0.1,0.1,4.4,6.4,0.11
226,0.1,0.1,4.5,6.5,0.094
227,0.1,0.1,4.6,6.6,0.09
228,0.1,0.1,4.7,6.7,0.104
229,0.1,0.1,4.8,6.8,0.122
230,0.1,0.1,4.9,6.9,0.099
231,0.1,0.1,5.0,7.0,0.108
