$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.9,0.9,-1.3,3.7,0.317
0.1,0.1,-1.9,3.1,0.27
0.6,0.6,8.6,13.6,0.082
1.1,1.1,2.9,7.9,0.159
0.0,0.0,-4.0,1.0,0.663
0.4,0.4,4.4,9.4,0.107
0.8,0.8,-3.4,1.6,0.692
0.3,0.3,2.3,7.3,0.159
1.0,1.0,0.8,5.8,0.221
0.2,0.2,0.2,5.2,0.231
1.2,1.2,5.0,10.0,0.095
0.5,0.5,6.5,11.5,0.109
0.9,0.9,-1.2,3.8,0.299
0.1,0.1,-1.8,3.2,0.267
0.6,0.6,8.7,13.7,0.105
0.3,0.3,2.4,7.4,0.119
1.1,1.1,3.0,8.0,0.139
0.0,0.0,-3.9,1.1,0.665
1.0,1.0,0.9,5.9,0.221
0.4,0.4,4.5,9.5,0.102
0.2,0.2,0.3,5.3,0.222
1.2,1.2,5.1,10.1,0.115
0.8,0.8,-3.3,1.7000000000000002,0.69
0.5,0.5,6.6,11.6,0.101
0.3,0.3,2.5,7.5,0.101
0.9,0.9,-1.1,3.9,0.298
0.6,0.6,8.8,13.8,0.089
0.1,0.1,-1.7,3.3,0.28
1.2,1.2,5.2,10.2,0.11
0.0,0.0,-3.8,1.2000000000000002,0.6
1.1,1.1,3.1,8.1,0.123
1.0,1.0,1.0,6.0,0.218
0.8,0.8,-3.2,1.7999999999999998,0.638
0.4,0.4,4.6,9.6,0.105
0.2,0.2,0.4,5.4,0.192
0.5,0.5,6.7,11.7,0.102
0.6,0.6,8.9,13.9,0.085
0.1,0.1,-1.6,3.4,0.253
0.3,0.3,2.6,7.6,0.143
0.9,0.9,-1.0,4.0,0.265
0.0,0.0,-3.7,1.2999999999999998,0.596
1.0,1.0,1.1,6.1,0.219
1.1,1.1,3.2,8.2,0.134
0.4,0.4,4.7,9.7,0.122
0.8,0.8,-3.1,1.9,0.633
1.2,1.2,5.3,10.3,0.082
0.5,0.5,6.8,11.8,0.104
0.2,0.2,0.5,5.5,0.217
0.1,0.1,-1.5,3.5,0.262
0.3,0.3,2.7,7.7,0.117
0.6,0.6,9.0,14.0,0.111
0.0,0.0,-3.6,1.4,0.58
1.0,1.0,1.2,6.2,0.206
0.4,0.4,4.8,9.8,0.1
1.1,1.1,3.3,8.3,0.124
0.8,0.8,-3.0,2.0,0.621
0.9,0.9,-0.9,4.1,0.249
0.2,0.2,0.6,5.6,0.198
0.5,0.5,6.9,11.9,0.091
1.2,1.2,5.4,10.4,0.105
0.1,0.1,-1.4,3.6,0.276
0.3,0.3,2.8,7.8,0.11
0.6,0.6,9.1,14.1,0.104
0.0,0.0,-3.5,1.5,0.541
1.0,1.0,1.3,6.3,0.189
1.1,1.1,3.4,8.4,0.137
0.4,0.4,4.9,9.9,0.101
0.8,0.8,-2.9,2.1,0.625
0.2,0.2,0.7,5.7,0.204
0.9,0.9,-0.8,4.2,0.246
0.5,0.5,7.0,12.0,0.075
1.2,1.2,5.5,10.5,0.096
0.3,0.3,2.9,7.9,0.119
0.1,0.1,-1.3,3.7,0.214
0.0,0.0,-3.4,1.6,0.508
0.6,0.6,9.2,14.2,0.113
1.0,1.0,1.4,6.4,0.176
1.1,1.1,3.5,8.5,0.112
0.4,0.4,5.0,10.0,0.107
0.9,0.9,-0.7,4.3,0.266
0.5,0.5,7.1,12.1,0.093
0.2,0.2,0.8,5.8,0.186
0.8,0.8,-2.8,2.2,0.598
1.2,1.2,5.6,10.6,0.094
0.1,0.1,-1.2,3.8,0.227
0.0,0.0,-3.3,1.7000000000000002,0.51
0.3,0.3,3.0,8.0,0.117
0.6,0.6,9.3,14.3,0.094
1.0,1.0,1.5,6.5,0.189
1.1,1.1,3.6,8.6,0.121
0.9,0.9,-0.6,4.4,0.252
0.4,0.4,5.1,10.1,0.119
0.2,0.2,0.9,5.9,0.179
0.5,0.5,7.2,12.2,0.092
0.8,0.8,-2.7,2.3,0.533
1.2,1.2,5.7,10.7,0.083
0.0,0.0,-3.2,1.7999999999999998,0.502
0.1,0.1,-1.1,3.9,0.234
1.0,1.0,1.6,6.6,0.188
0.3,0.3,3.1,8.1,0.125
1.1,1.1,3.7,8.7,0.12
0.6,0.6,9.4,14.4,0.103
0.9,0.9,-0.5,4.5,0.243
0.4,0.4,5.2,10.2,0.106
0.2,0.2,1.0,6.0,0.184
0.5,0.5,7.3,12.3,0.114
0.8,0.8,-2.6,2.4,0.524
1.2,1.2,5.8,10.8,0.095
1.0,1.0,1.7,6.7,0.176
1.1,1.1,3.8,8.8,0.105
0.3,0.3,3.2,8.2,0.107
0.1,0.1,-1.0,4.0,0.219
0.0,0.0,-3.1,1.9,0.483
0.6,0.6,9.5,14.5,0.089
0.9,0.9,-0.4,4.6,0.24
0.4,0.4,5.3,10.3,0.134
0.2,0.2,1.1,6.1,0.17
0.5,0.5,7.4,12.4,0.089
0.8,0.8,-2.5,2.5,0.506
1.2,1.2,5.9,10.9,0.097
1.0,1.0,1.8,6.8,0.185
1.1,1.1,3.9,8.9,0.115
0.3,0.3,3.3,8.3,0.099
0.4,0.4,5.4,10.4,0.094
0.1,0.1,-0.9,4.1,0.232
0.6,0.6,9.6,14.6,0.099
0.0,0.0,-3.0,2.0,0.463
0.9,0.9,-0.3,4.7,0.241
0.2,0.2,1.2,6.2,0.164
0.5,0.5,7.5,12.5,0.089
0.8,0.8,-2.4,2.6,0.464
1.2,1.2,6.0,11.0,0.115
1.0,1.0,1.9,6.9,0.177
0.3,0.3,3.4,8.4,0.093
1.1,1.1,4.0,9.0,0.103
0.1,0.1,-0.8,4.2,0.245
0.4,0.4,5.5,10.5,0.095
0.0,0.0,-2.9,2.1,0.373
0.6,0.6,9.7,14.7,0.104
0.5,0.5,7.6,12.6,0.108
0.2,0.2,1.3,6.3,0.189
0.9,0.9,-0.2,4.8,0.243
1.2,1.2,6.1,11.1,0.111
0.8,0.8,-2.3,2.7,0.471
1.0,1.0,2.0,7.0,0.178
0.3,0.3,3.5,8.5,0.093
1.1,1.1,4.1,9.1,0.122
0.1,0.1,-0.7,4.3,0.243
0.0,0.0,-2.8,2.2,0.396
0.4,0.4,5.6,10.6,0.084
0.6,0.6,9.8,14.8,0.11
0.5,0.5,7.7,12.7,0.095
0.9,0.9,-0.1,4.9,0.227
0.2,0.2,1.4,6.4,0.164
0.8,0.8,-2.2,2.8,0.411
1.2,1.2,6.2,11.2,0.105
1.0,1.0,2.1,7.1,0.156
0.3,0.3,3.6,8.6,0.116
1.1,1.1,4.2,9.2,0.116
0.1,0.1,-0.6,4.4,0.205
0.0,0.0,-2.7,2.3,0.371
0.4,0.4,5.7,10.7,0.094
0.6,0.6,9.9,14.9,0.102
0.5,0.5,7.8,12.8,0.098
0.9,0.9,0.0,5.0,0.241
0.2,0.2,1.5,6.5,0.144
1.2,1.2,6.3,11.3,0.09
0.8,0.8,-2.1,2.9,0.389
1.0,1.0,2.2,7.2,0.172
0.3,0.3,3.7,8.7,0.115
0.1,0.1,-0.5,4.5,0.21
1.1,1.1,4.3,9.3,0.115
0.0,0.0,-2.6,2.4,0.346
0.4,0.4,5.8,10.8,0.091
0.6,0.6,10.0,15.0,0.103
0.5,0.5,7.9,12.9,0.125
0.9,0.9,0.1,5.1,0.207
1.2,1.2,6.4,11.4,0.098
0.8,0.8,-2.0,3.0,0.389
0.2,0.2,1.6,6.6,0.158
1.0,1.0,2.3,7.3,0.166
0.3,0.3,3.8,8.8,0.128
0.1,0.1,-0.4,4.6,0.229
1.1,1.1,4.4,9.4,0.101
0.0,0.0,-2.5,2.5,0.336
0.4,0.4,5.9,10.9,0.095
0.5,0.5,8.0,13.0,0.101
0.7,0.7,-4.0,1.0,0.771
0.9,0.9,0.2,5.2,0.216
1.2,1.2,6.5,11.5,0.11
0.2,0.2,1.7,6.7,0.163
0.8,0.8,-1.9,3.1,0.378
1.0,1.0,2.4,7.4,0.146
0.3,0.3,3.9,8.9,0.106
1.1,1.1,4.5,9.5,0.136
0.1,0.1,-0.3,4.7,0.205
0.0,0.0,-2.4,2.6,0.339
0.5,0.5,8.1,13.1,0.087
0.4,0.4,6.0,11.0,0.107
0.7,0.7,-3.9,1.1,0.765
0.9,0.9,0.3,5.3,0.235
1.2,1.2,6.6,11.6,0.087
0.8,0.8,-1.8,3.2,0.356
0.2,0.2,1.8,6.8,0.138
1.0,1.0,2.5,7.5,0.141
0.3,0.3,4.0,9.0,0.082
0.1,0.1,-0.2,4.8,0.215
1.1,1.1,4.6,9.6,0.103
0.0,0.0,-2.3,2.7,0.311
0.4,0.4,6.1,11.1,0.096
0.5,0.5,8.2,13.2,0.092
0.7,0.7,-3.8,1.2000000000000002,0.757
0.9,0.9,0.4,5.4,0.212
0.8,0.8,-1.7,3.3,0.34
0.2,0.2,1.9,6.9,0.13
1.2,1.2,6.7,11.7,0.112
1.0,1.0,2.6,7.6,0.158
0.3,0.3,4.1,9.1,0.111
0.1,0.1,-0.1,4.9,0.213
0.5,0.5,8.3,13.3,0.107
1.1,1.1,4.7,9.7,0.103
0.4,0.4,6.2,11.2,0.09
0.0,0.0,-2.2,2.8,0.296
0.7,0.7,-3.7,1.2999999999999998,0.742
0.9,0.9,0.5,5.5,0.236
0.8,0.8,-1.6,3.4,0.318
0.2,0.2,2.0,7.0,0.169
1.2,1.2,6.8,11.8,0.092
1.0,1.0,2.7,7.7,0.131
0.3,0.3,4.2,9.2,0.085
0.1,0.1,0.0,5.0,0.228
0.5,0.5,8.4,13.4,0.113
0.0,0.0,-2.1,2.9,0.291
1.1,1.1,4.8,9.8,0.112
0.4,0.4,6.3,11.3,0.098
0.7,0.7,-3.6,1.4,0.71
0.9,0.9,0.6,5.6,0.233
0.8,0.8,-1.5,3.5,0.314
0.2,0.2,2.1,7.1,0.135
0.3,0.3,4.3,9.3,0.105
1.2,1.2,6.9,11.9,0.093
1.0,1.0,2.8,7.8,0.145
0.1,0.1,0.1,5.1,0.223
0.5,0.5,8.5,13.5,0.11
1.1,1.1,4.9,9.9,0.129
0.4,0.4,6.4,11.4,0.083
0.0,0.0,-2.0,3.0,0.266
0.7,0.7,-3.5,1.5,0.684
0.9,0.9,0.7,5.7,0.22
0.3,0.3,4.4,9.4,0.117
0.8,0.8,-1.4,3.6,0.28
0.2,0.2,2.2,7.2,0.13
1.2,1.2,7.0,12.0,0.1
0.1,0.1,0.2,5.2,0.217
1.0,1.0,2.9,7.9,0.141
0.5,0.5,8.6,13.6,0.103
1.1,1.1,5.0,10.0,0.092
0.0,0.0,-1.9,3.1,0.275
0.4,0.4,6.5,11.5,0.092
0.7,0.7,-3.4,1.6,0.681
0.9,0.9,0.8,5.8,0.229
0.3,0.3,4.5,9.5,0.093
0.1,0.1,0.3,5.3,0.205
0.8,0.8,-1.3,3.7,0.282
0.2,0.2,2.3,7.3,0.133
1.0,1.0,3.0,8.0,0.117
1.2,1.2,7.1,12.1,0.095
0.5,0.5,8.7,13.7,0.1
