$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
1.0,3.0,11.8,13.8,0.098
0.0,2.0,-4.0,-2.0,0.505
0.8,2.8,-2.2,-0.20000000000000018,0.664
1.7,3.7,6.6,8.6,0.12
0.1,2.1,3.0,5.0,0.15
2.6,4.6,15.4,17.4,0.085
0.6,2.6,10.9,12.9,0.091
1.3,3.3,5.7,7.7,0.109
0.8,2.8,-2.1,-0.10000000000000009,0.662
1.7,3.7,6.7,8.7,0.097
1.0,3.0,11.9,13.9,0.113
0.0,2.0,-3.9,-1.9,0.546
2.6,4.6,15.5,17.5,0.094
0.1,2.1,3.1,5.1,0.126
0.6,2.6,11.0,13.0,0.097
1.3,3.3,5.8,7.8,0.093
0.8,2.8,-2.0,0.0,0.693
0.0,2.0,-3.8,-1.7999999999999998,0.554
1.0,3.0,12.0,14.0,0.099
0.1,2.1,3.2,5.2,0.15
2.6,4.6,15.6,17.6,0.107
1.7,3.7,6.8,8.8,0.125
0.6,2.6,11.1,13.1,0.097
1.3,3.3,5.9,7.9,0.116
0.8,2.8,-1.9,0.10000000000000009,0.708
0.0,2.0,-3.7,-1.7000000000000002,0.56
0.1,2.1,3.3,5.3,0.152
2.6,4.6,15.7,17.7,0.096
1.7,3.7,6.9,8.9,0.103
1.0,3.0,12.1,14.1,0.072
0.6,2.6,11.2,13.2,0.106
1.3,3.3,6.0,8.0,0.101
0.8,2.8,-1.8,0.19999999999999996,0.687
0.0,2.0,-3.6,-1.6,0.573
0.1,2.1,3.4,5.4,0.131
1.7,3.7,7.0,9.0,0.1
1.0,3.0,12.2,14.2,0.11
2.6,4.6,15.8,17.8,0.114
0.6,2.6,11.3,13.3,0.118
1.3,3.3,6.1,8.1,0.093
0.8,2.8,-1.7,0.30000000000000004,0.686
0.0,2.0,-3.5,-1.5,0.633
0.1,2.1,3.5,5.5,0.139
1.0,3.0,12.3,14.3,0.096
2.6,4.6,15.9,17.9,0.091
1.7,3.7,7.1,9.1,0.095
0.6,2.6,11.4,13.4,0.089
1.3,3.3,6.2,8.2,0.093
0.8,2.8,-1.6,0.3999999999999999,0.7
0.0,2.0,-3.4,-1.4,0.633
0.1,2.1,3.6,5.6,0.13
2.6,4.6,16.0,18.0,0.112
1.7,3.7,7.2,9.2,0.104
1.0,3.0,12.4,14.4,0.121
0.6,2.6,11.5,13.5,0.098
1.3,3.3,6.3,8.3,0.108
0.0,2.0,-3.3,-1.2999999999999998,0.633
0.1,2.1,3.7,5.7,0.148
0.8,2.8,-1.5,0.5,0.707
1.0,3.0,12.5,14.5,0.107
1.7,3.7,7.3,9.3,0.089
2.7,4.7,-4.0,-2.0,0.12
0.6,2.6,11.6,13.6,0.1
1.3,3.3,6.4,8.4,0.102
0.0,2.0,-3.2,-1.2000000000000002,0.612
0.1,2.1,3.8,5.8,0.127
0.8,2.8,-1.4,0.6000000000000001,0.708
1.0,3.0,12.6,14.6,0.095
1.7,3.7,7.4,9.4,0.11
2.7,4.7,-3.9,-1.9,0.102
0.6,2.6,11.7,13.7,0.115
1.3,3.3,6.5,8.5,0.092
0.0,2.0,-3.1,-1.1,0.648
0.1,2.1,3.9,5.9,0.122
1.0,3.0,12.7,14.7,0.096
1.7,3.7,7.5,9.5,0.097
0.8,2.8,-1.3,0.7,0.703
2.7,4.7,-3.8,-1.7999999999999998,0.124
0.6,2.6,11.8,13.8,0.102
1.3,3.3,6.6,8.6,0.103
0.1,2.1,4.0,6.0,0.123
0.0,2.0,-3.0,-1.0,0.667
1.0,3.0,12.8,14.8,0.109
1.7,3.7,7.6,9.6,0.114
2.7,4.7,-3.7,-1.7000000000000002,0.131
0.8,2.8,-1.2,0.8,0.689
0.6,2.6,11.9,13.9,0.098
1.3,3.3,6.7,8.7,0.108
0.0,2.0,-2.9,-0.8999999999999999,0.657
1.0,3.0,12.9,14.9,0.098
0.1,2.1,4.1,6.1,0.117
1.7,3.7,7.7,9.7,0.101
2.7,4.7,-3.6,-1.6,0.122
0.8,2.8,-1.1,0.8999999999999999,0.687
0.6,2.6,12.0,14.0,0.106
1.3,3.3,6.8,8.8,0.091
0.0,2.0,-2.8,-0.7999999999999998,0.665
0.1,2.1,4.2,6.2,0.11
1.0,3.0,13.0,15.0,0.096
1.7,3.7,7.8,9.8,0.084
2.7,4.7,-3.5,-1.5,0.132
0.8,2.8,-1.0,1.0,0.668
0.6,2.6,12.1,14.1,0.121
1.3,3.3,6.9,8.9,0.114
0.0,2.0,-2.7,-0.7000000000000002,0.699
0.1,2.1,4.3,6.3,0.086
1.7,3.7,7.9,9.9,0.114
1.0,3.0,13.1,15.1,0.093
2.7,4.7,-3.4,-1.4,0.131
0.8,2.8,-0.9,1.1,0.705
0.6,2.6,12.2,14.2,0.11
1.3,3.3,7.0,9.0,0.111
0.0,2.0,-2.6,-0.6000000000000001,0.654
0.1,2.1,4.4,6.4,0.107
1.0,3.0,13.2,15.2,0.107
2.7,4.7,-3.3,-1.2999999999999998,0.127
1.7,3.7,8.0,10.0,0.113
0.8,2.8,-0.8,1.2,0.679
0.6,2.6,12.3,14.3,0.1
1.3,3.3,7.1,9.1,0.093
0.0,2.0,-2.5,-0.5,0.678
0.1,2.1,4.5,6.5,0.119
1.0,3.0,13.3,15.3,0.099
2.7,4.7,-3.2,-1.2000000000000002,0.148
1.7,3.7,8.1,10.1,0.085
0.6,2.6,12.4,14.4,0.103
0.8,2.8,-0.7,1.3,0.723
1.3,3.3,7.2,9.2,0.1
0.0,2.0,-2.4,-0.3999999999999999,0.69
0.1,2.1,4.6,6.6,0.096
1.0,3.0,13.4,15.4,0.105
