$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.3,2.3,-1.7,0.30000000000000004,0.431
0.9,2.9,2.9,4.9,0.146
1.2,3.2,5.2,7.2,0.096
1.5,3.5,7.5,9.5,0.106
0.6,2.6,0.6,2.6,0.357
2.2,4.2,-2.0,0.0,0.23
0.0,2.0,-4.0,-2.0,0.27
1.8,3.8,9.8,11.8,0.099
0.6,2.6,0.7,2.7,0.332
1.2,3.2,5.3,7.3,0.104
0.3,2.3,-1.6,0.3999999999999999,0.431
0.9,2.9,3.0,5.0,0.167
2.2,4.2,-1.9,0.10000000000000009,0.272
1.5,3.5,7.6,9.6,0.091
0.0,2.0,-3.9,-1.9,0.276
1.8,3.8,9.9,11.9,0.085
0.9,2.9,3.1,5.1,0.137
1.2,3.2,5.4,7.4,0.085
0.6,2.6,0.8,2.8,0.317
1.5,3.5,7.7,9.7,0.111
0.0,2.0,-3.8,-1.7999999999999998,0.302
0.3,2.3,-1.5,0.5,0.439
1.8,3.8,10.0,12.0,0.09
2.2,4.2,-1.8,0.19999999999999996,0.294
0.9,2.9,3.2,5.2,0.138
1.2,3.2,5.5,7.5,0.121
0.0,2.0,-3.7,-1.7000000000000002,0.333
0.6,2.6,0.9,2.9,0.28
0.3,2.3,-1.4,0.6000000000000001,0.429
1.5,3.5,7.8,9.8,0.095
1.9,3.9,-4.0,-2.0,0.139
2.2,4.2,-1.7,0.30000000000000004,0.287
0.9,2.9,3.3,5.3,0.147
1.2,3.2,5.6,7.6,0.118
1.5,3.5,7.9,9.9,0.085
0.0,2.0,-3.6,-1.6,0.33
0.6,2.6,1.0,3.0,0.313
1.9,3.9,-3.9,-1.9,0.101
0.3,2.3,-1.3,0.7,0.447
2.2,4.2,-1.6,0.3999999999999999,0.321
0.9,2.9,3.4,5.4,0.132
1.5,3.5,8.0,10.0,0.104
1.2,3.2,5.7,7.7,0.083
1.9,3.9,-3.8,-1.7999999999999998,0.115
0.0,2.0,-3.5,-1.5,0.332
0.3,2.3,-1.2,0.8,0.416
0.6,2.6,1.1,3.1,0.26
2.2,4.2,-1.5,0.5,0.325
1.5,3.5,8.1,10.1,0.111
0.9,2.9,3.5,5.5,0.127
1.2,3.2,5.8,7.8,0.112
1.9,3.9,-3.7,-1.7000000000000002,0.146
0.3,2.3,-1.1,0.8999999999999999,0.434
0.0,2.0,-3.4,-1.4,0.383
0.6,2.6,1.2,3.2,0.269
2.2,4.2,-1.4,0.6000000000000001,0.373
1.5,3.5,8.2,10.2,0.108
0.9,2.9,3.6,5.6,0.138
1.9,3.9,-3.6,-1.6,0.142
0.3,2.3,-1.0,1.0,0.427
1.2,3.2,5.9,7.9,0.09
