,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,0.0,2.0,-4.0,-2.0,0.27
1,0.0,2.0,-3.9,-1.9,0.276
2,0.0,2.0,-3.8,-1.7999999999999998,0.302
3,0.0,2.0,-3.7,-1.7000000000000002,0.333
4,0.0,2.0,-3.6,-1.6,0.33
5,0.0,2.0,-3.5,-1.5,0.332
6,0.0,2.0,-3.4,-1.4,0.383
7,0.0,2.0,-3.3,-1.2999999999999998,0.405
8,0.0,2.0,-3.2,-1.2000000000000002,0.36
9,0.0,2.0,-3.1,-1.1,0.372
10,0.0,2.0,-3.0,-1.0,0.416
11,0.0,2.0,-2.9,-0.8999999999999999,0.422
12,0.0,2.0,-2.8,-0.7999999999999998,0.423
13,0.0,2.0,-2.7,-0.7000000000000002,0.446
14,0.0,2.0,-2.6,-0.6000000000000001,0.42
15,0.0,2.0,-2.5,-0.5,0.442
16,0.0,2.0,-2.4,-0.3999999999999999,0.447
17,0.0,2.0,-2.3,-0.2999999999999998,0.458
18,0.0,2.0,-2.2,-0.20000000000000018,0.421
19,0.0,2.0,-2.1,-0.10000000000000009,0.423
20,0.0,2.0,-2.0,0.0,0.429
21,0.0,2.0,-1.9,0.10000000000000009,0.432
22,0.0,2.0,-1.8,0.19999999999999996,0.43
23,0.0,2.0,-1.7,0.30000000000000004,0.431
24,0.0,2.0,-1.6,0.3999999999999999,0.438
25,0.0,2.0,-1.5,0.5,0.42
26,0.0,2.0,-1.4,0.6000000000000001,0.421
27,0.0,2.0,-1.3,0.7,0.421
28,0.0,2.0,-1.2,0.8,0.477
29,0.0,2.0,-1.1,0.8999999999999999,0.431
30,0.0,2.0,-1.0,1.0,0.44
31,0.0,2.0,-0.9,1.1,0.451
32,0.0,2.0,-0.8,1.2,0.434
33,0.0,2.0,-0.7,1.3,0.443
34,0.0,2.0,-0.6,1.4,0.392
35,0.0,2.0,-0.5,1.5,0.4
36,0.0,2.0,-0.4,1.6,0.393
37,0.0,2.0,-0.3,1.7,0.388
38,0.0,2.0,-0.2,1.8,0.342
39,0.0,2.0,-0.1,1.9,0.377
40,0.0,2.0,0.0,2.0,0.355
41,0.0,2.0,0.1,2.1,0.335
42,0.0,2.0,0.2,2.2,0.302
43,0.0,2.0,0.3,2.3,0.296
44,0.0,2.0,0.4,2.4,0.285
45,0.0,2.0,0.5,2.5,0.302
46,0.0,2.0,0.6,2.6,0.283
47,0.0,2.0,0.7,2.7,0.248
48,0.0,2.0,0.8,2.8,0.234
49,0.0,2.0,0.9,2.9,0.223
50,0.0,2.0,1.0,3.0,0.218
51,0.0,2.0,1.1,3.1,0.196
52,0.0,2.0,1.2,3.2,0.212
53,0.0,2.0,1.3,3.3,0.183
54,0.0,2.0,1.4,3.4,0.203
55,0.0,2.0,1.5,3.5,0.148
56,0.0,2.0,1.6,3.6,0.177
57,0.0,2.0,1.7,3.7,0.159
58,0.0,2.0,1.8,3.8,0.158
59,0.0,2.0,1.9,3.9,0.13
60,0.0,2.0,2.0,4.0,0.15
61,0.0,2.0,2.1,4.1,0.148
62,0.0,2.0,2.2,4.2,0.13
63,0.0,2.0,2.3,4.3,0.145
64,0.0,2.0,2.4,4.4,0.116
65,0.0,2.0,2.5,4.5,0.137
66,0.0,2.0,2.6,4.6,0.14
67,0.0,2.0,2.7,4.7,0.114
68,0.0,2.0,2.8,4.8,0.116
69,0.0,2.0,2.9,4.9,0.116
70,0.0,2.0,3.0,5.0,0.116
71,0.0,2.0,3.1,5.1,0.109
72,0.0,2.0,3.2,5.2,0.1
73,0.0,2.0,3.3,5.3,0.097
74,0.0,2.0,3.4,5.4,0.095
75,0.0,2.0,3.5,5.5,0.115
76,0.0,2.0,3.6,5.6,0.099
77,0.0,2.0,3.7,5.7,0.12
78,0.0,2.0,3.8,5.8,0.11
79,0.0,2.0,3.9,5.9,0.122
80,0.0,2.0,4.0,6.0,0.123
81,0.0,2.0,4.1,6.1,0.12
82,0.0,2.0,4.2,6.2,0.092
83,0.0,2.0,4.3,6.3,0.086
84,0.0,2.0,4.4,6.4,0.105
85,0.0,2.0,4.5,6.5,0.096
86,0.0,2.0,4.6,6.6,0.089
87,0.0,2.0,4.7,6.7,0.092
88,0.0,2.0,4.8,6.8,0.102
89,0.0,2.0,4.9,6.9,0.089
90,0.0,2.0,5.0,7.0,0.106
91,0.0,2.0,5.1,7.1,0.095
92,0.0,2.0,5.2,7.2,0.09
93,0.0,2.0,5.3,7.3,0.089
94,0.0,2.0,5.4,7.4,0.111
95,0.0,2.0,5.5,7.5,0.107
96,0.0,2.0,5.6,7.6,0.106
97,0.0,2.0,5.7,7.7,0.098
98,0.0,2.0,5.8,7.8,0.093
99,0.0,2.0,5.9,7.9,0.114
100,0.0,2.0,6.0,8.0,0.109
101,0.0,2.0,6.1,8.1,0.094
102,0.0,2.0,6.2,8.2,0.08
103,0.0,2.0,6.3,8.3,0.108
104,0.0,2.0,6.4,8.4,0.092
105,0.0,2.0,6.5,8.5,0.096
106,0.0,2.0,6.6,8.6,0.122
107,0.0,2.0,6.7,8.7,0.106
108,0.0,2.0,6.8,8.8,0.076
109,0.0,2.0,6.9,8.9,0.094
110,0.0,2.0,7.0,9.0,0.104
111,0.0,2.0,7.1,9.1,0.114
112,0.0,2.0,7.2,9.2,0.101
113,0.0,2.0,7.3,9.3,0.092
114,0.0,2.0,7.4,9.4,0.1
115,0.0,2.0,7.5,9.5,0.101
116,0.0,2.0,7.6,9.6,0.105
117,0.0,2.0,7.7,9.7,0.109
118,0.0,2.0,7.8,9.8,0.096
119,0.0,2.0,7.9,9.9,0.111
120,0.0,2.0,8.0,10.0,0.083
121,0.0,2.0,8.1,10.1,0.103
122,0.0,2.0,8.2,10.2,0.099
123,0.0,2.0,8.3,10.3,0.106
124,0.0,2.0,8.4,10.4,0.111
125,0.0,2.0,8.5,10.5,0.1
126,0.0,2.0,8.6,10.6,0.107
127,0.0,2.0,8.7,10.7,0.103
128,0.0,2.0,8.8,10.8,0.084
129,0.0,2.0,8.9,10.9,0.091
130,0.0,2.0,9.0,11.0,0.107
131,0.0,2.0,9.1,11.1,0.108
132,0.0,2.0,9.2,11.2,0.111
133,0.0,2.0,9.3,11.3,0.105
134,0.0,2.0,9.4,11.4,0.104
135,0.0,2.0,9.5,11.5,0.094
136,0.0,2.0,9.6,11.6,0.103
137,0.0,2.0,9.7,11.7,0.107
138,0.0,2.0,9.8,11.8,0.087
139,0.0,2.0,9.9,11.9,0.097
140,0.0,2.0,10.0,12.0,0.106
141,0.1,2.1,-4.0,-2.0,0.256
142,0.1,2.1,-3.9,-1.9,0.27
143,0.1,2.1,-3.8,-1.7999999999999998,0.306
144,0.1,2.1,-3.7,-1.7000000000000002,0.307
145,0.1,2.1,-3.6,-1.6,0.339
146,0.1,2.1,-3.5,-1.5,0.324
147,0.1,2.1,-3.4,-1.4,0.342
148,0.1,2.1,-3.3,-1.2999999999999998,0.373
149,0.1,2.1,-3.2,-1.2000000000000002,0.38
150,0.1,2.1,-3.1,-1.1,0.419
151,0.1,2.1,-3.0,-1.0,0.406
152,0.1,2.1,-2.9,-0.8999999999999999,0.398
153,0.1,2.1,-2.8,-0.7999999999999998,0.424
154,0.1,2.1,-2.7,-0.7000000000000002,0.421
155,0.1,2.1,-2.6,-0.6000000000000001,0.425
156,0.1,2.1,-2.5,-0.5,0.447
157,0.1,2.1,-2.4,-0.3999999999999999,0.41
158,0.1,2.1,-2.3,-0.2999999999999998,0.436
159,0.1,2.1,-2.2,-0.20000000000000018,0.451
160,0.1,2.1,-2.1,-0.10000000000000009,0.451
161,0.1,2.1,-2.0,0.0,0.423
162,0.1,2.1,-1.9,0.10000000000000009,0.429
163,0.1,2.1,-1.8,0.19999999999999996,0.432
164,0.1,2.1,-1.7,0.30000000000000004,0.456
165,0.1,2.1,-1.6,0.3999999999999999,0.437
166,0.1,2.1,-1.5,0.5,0.448
167,0.1,2.1,-1.4,0.6000000000000001,0.435
168,0.1,2.1,-1.3,0.7,0.448
169,0.1,2.1,-1.2,0.8,0.445
170,0.1,2.1,-1.1,0.8999999999999999,0.426
171,0.1,2.1,-1.0,1.0,0.433
172,0.1,2.1,-0.9,1.1,0.411
173,0.1,2.1,-0.8,1.2,0.418
174,0.1,2.1,-0.7,1.3,0.416
175,0.1,2.1,-0.6,1.4,0.415
176,0.1,2.1,-0.5,1.5,0.395
177,0.1,2.1,-0.4,1.6,0.397
178,0.1,2.1,-0.3,1.7,0.378
179,0.1,2.1,-0.2,1.8,0.394
180,0.1,2.1,-0.1,1.9,0.345
181,0.1,2.1,0.0,2.0,0.344
182,0.1,2.1,0.1,2.1,0.344
183,0.1,2.1,0.2,2.2,0.33
184,0.1,2.1,0.3,2.3,0.335
185,0.1,2.1,0.4,2.4,0.316
186,0.1,2.1,0.5,2.5,0.289
187,0.1,2.1,0.6,2.6,0.298
188,0.1,2.1,0.7,2.7,0.259
189,0.1,2.1,0.8,2.8,0.238
190,0.1,2.1,0.9,2.9,0.234
191,0.1,2.1,1.0,3.0,0.226
192,0.1,2.1,1.1,3.1,0.221
193,0.1,2.1,1.2,3.2,0.191
194,0.1,2.1,1.3,3.3,0.206
195,0.1,2.1,1.4,3.4,0.194
196,0.1,2.1,1.5,3.5,0.161
197,0.1,2.1,1.6,3.6,0.158
198,0.1,2.1,1.7,3.7,0.173
199,0.1,2.1,1.8,3.8,0.162
200,0.1,2.1,1.9,3.9,0.162
201,0.1,2.1,2.0,4.0,0.147
202,0.1,2.1,2.1,4.1,0.133
203,0.1,2.1,2.2,4.2,0.14
204,0.1,2.1,2.3,4.3,0.136
205,0.1,2.1,2.4,4.4,0.112
206,0.1,2.1,2.5,4.5,0.146
207,0.1,2.1,2.6,4.6,0.146
208,0.1,2.1,2.7,4.7,0.129
209,0.1,2.1,2.8,4.8,0.121
210,0.1,2.1,2.9,4.9,0.106
211,0.1,2.1,3.0,5.0,0.126
212,0.1,2.1,3.1,5.1,0.127
213,0.1,2.1,3.2,5.2,0.121
214,0.1,2.1,3.3,5.3,0.085
215,0.1,2.1,3.4,5.4,0.114
216,0.1,2.1,3.5,5.5,0.109
217,0.1,2.1,3.6,5.6,0.117
218,0.1,2.1,3.7,5.7,0.103
219,0.1,2.1,3.8,5.8,0.115
220,0.1,2.1,3.9,5.9,0.1
221,0.1,2.1,4.0,6.0,0.107
222,0.1,2.1,4.1,6.1,0.096
223,0.1,2.1,4.2,6.2,0.089
224,0.1,2.1,4.3,6.3,0.118
225,0.1,2.1,4.4,6.4,0.085
226,0.1,2.1,4.5,6.5,0.102
227,0.1,2.1,4.6,6.6,0.102
228,0.1,2.1,4.7,6.7,0.114
229,0.1,2.1,4.8,6.8,0.105
230,0.1,2.1,4.9,6.9,0.101
231,0.1,2.1,5.0,7.0,0.118
232,0.1,2.1,5.1,7.1,0.1
233,0.1,2.1,5.2,7.2,0.117
234,0.1,2.1,5.3,7.3,0.089
235,0.1,2.1,5.4,7.4,0.1
236,0.1,2.1,5.5,7.5,0.081
237,0.1,2.1,5.6,7.6,0.098
238,0.1,2.1,5.7,7.7,0.101
239,0.1,2.1,5.8,7.8,0.085
240,0.1,2.1,5.9,7.9,0.092
241,0.1,2.1,6.0,8.0,0.093
242,0.1,2.1,6.1,8.1,0.104
243,0.1,2.1,6.2,8.2,0.088
244,0.1,2.1,6.3,8.3,0.099
245,0.1,2.1,6.4,8.4,0.103
246,0.1,2.1,6.5,8.5,0.091
247,0.1,2.1,6.6,8.6,0.11
248,0.1,2.1,6.7,8.7,0.091
249,0.1,2.1,6.8,8.8,0.101
250,0.1,2.1,6.9,8.9,0.101
251,0.1,2.1,7.0,9.0,0.096
252,0.1,2.1,7.1,9.1,0.102
253,0.1,2.1,7.2,9.2,0.095
254,0.1,2.1,7.3,9.3,0.106
255,0.1,2.1,7.4,9.4,0.123
256,0.1,2.1,7.5,9.5,0.116
257,0.1,2.1,7.6,9.6,0.092
258,0.1,2.1,7.7,9.7,0.096
259,0.1,2.1,7.8,9.8,0.093
260,0.1,2.1,7.9,9.9,0.103
261,0.1,2.1,8.0,10.0,0.093
262,0.1,2.1,8.1,10.1,0.094
263,0.1,2.1,8.2,10.2,0.109
264,0.1,2.1,8.3,10.3,0.108
265,0.1,2.1,8.4,10.4,0.107
266,0.1,2.1,8.5,10.5,0.096
267,0.1,2.1,8.6,10.6,0.112
268,0.1,2.1,8.7,10.7,0.088
269,0.1,2.1,8.8,10.8,0.096
270,0.1,2.1,8.9,10.9,0.086
271,0.1,2.1,9.0,11.0,0.106
272,0.1,2.1,9.1,11.1,0.108
273,0.1,2.1,9.2,11.2,0.089
274,0.1,2.1,9.3,11.3,0.105
275,0.1,2.1,9.4,11.4,0.105
276,0.1,2.1,9.5,11.5,0.103
277,0.1,2.1,9.6,11.6,0.094
278,0.1,2.1,9.7,11.7,0.078
279,0.1,2.1,9.8,11.8,0.106
280,0.1,2.1,9.9,11.9,0.098
281,0.1,2.1,10.0,12.0,0.1
282,0.2,2.2,-4.0,-2.0,0.253
283,0.2,2.2,-3.9,-1.9,0.26
284,0.2,2.2,-3.8,-1.7999999999999998,0.262
285,0.2,2.2,-3.7,-1.7000000000000002,0.29
286,0.2,2.2,-3.6,-1.6,0.305
287,0.2,2.2,-3.5,-1.5,0.307
288,0.2,2.2,-3.4,-1.4,0.327
289,0.2,2.2,-3.3,-1.2999999999999998,0.356
290,0.2,2.2,-3.2,-1.2000000000000002,0.366
291,0.2,2.2,-3.1,-1.1,0.367
292,0.2,2.2,-3.0,-1.0,0.407
293,0.2,2.2,-2.9,-0.8999999999999999,0.398
294,0.2,2.2,-2.8,-0.7999999999999998,0.413
295,0.2,2.2,-2.7,-0.7000000000000002,0.423
296,0.2,2.2,-2.6,-0.6000000000000001,0.427
297,0.2,2.2,-2.5,-0.5,0.42
298,0.2,2.2,-2.4,-0.3999999999999999,0.438
299,0.2,2.2,-2.3,-0.2999999999999998,0.431
300,0.2,2.2,-2.2,-0.20000000000000018,0.426
301,0.2,2.2,-2.1,-0.10000000000000009,0.424
302,0.2,2.2,-2.0,0.0,0.423
