,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,0.0,5.0,-4.0,1.0,0.475
1,0.0,5.0,-3.9,1.1,0.508
2,0.0,5.0,-3.8,1.2000000000000002,0.475
3,0.0,5.0,-3.7,1.2999999999999998,0.469
4,0.0,5.0,-3.6,1.4,0.45
5,0.0,5.0,-3.5,1.5,0.435
6,0.0,5.0,-3.4,1.6,0.419
7,0.0,5.0,-3.3,1.7000000000000002,0.423
8,0.0,5.0,-3.2,1.7999999999999998,0.432
9,0.0,5.0,-3.1,1.9,0.454
10,0.0,5.0,-3.0,2.0,0.43
11,0.0,5.0,-2.9,2.1,0.455
12,0.0,5.0,-2.8,2.2,0.475
13,0.0,5.0,-2.7,2.3,0.467
14,0.0,5.0,-2.6,2.4,0.49
15,0.0,5.0,-2.5,2.5,0.51
16,0.0,5.0,-2.4,2.6,0.519
17,0.0,5.0,-2.3,2.7,0.56
18,0.0,5.0,-2.2,2.8,0.54
19,0.0,5.0,-2.1,2.9,0.594
20,0.0,5.0,-2.0,3.0,0.565
21,0.0,5.0,-1.9,3.1,0.577
22,0.0,5.0,-1.8,3.2,0.583
23,0.0,5.0,-1.7,3.3,0.618
24,0.0,5.0,-1.6,3.4,0.622
25,0.0,5.0,-1.5,3.5,0.633
26,0.0,5.0,-1.4,3.6,0.646
27,0.0,5.0,-1.3,3.7,0.637
28,0.0,5.0,-1.2,3.8,0.644
29,0.0,5.0,-1.1,3.9,0.657
30,0.0,5.0,-1.0,4.0,0.693
31,0.0,5.0,-0.9,4.1,0.682
32,0.0,5.0,-0.8,4.2,0.653
33,0.0,5.0,-0.7,4.3,0.654
34,0.0,5.0,-0.6,4.4,0.67
35,0.0,5.0,-0.5,4.5,0.67
36,0.0,5.0,-0.4,4.6,0.662
37,0.0,5.0,-0.3,4.7,0.657
38,0.0,5.0,-0.2,4.8,0.645
39,0.0,5.0,-0.1,4.9,0.601
40,0.0,5.0,0.0,5.0,0.638
41,0.0,5.0,0.1,5.1,0.604
42,0.0,5.0,0.2,5.2,0.606
43,0.0,5.0,0.3,5.3,0.621
44,0.0,5.0,0.4,5.4,0.591
45,0.0,5.0,0.5,5.5,0.558
46,0.0,5.0,0.6,5.6,0.526
47,0.0,5.0,0.7,5.7,0.538
48,0.0,5.0,0.8,5.8,0.481
49,0.0,5.0,0.9,5.9,0.498
50,0.0,5.0,1.0,6.0,0.475
