,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,-4.0,2,-4.0,2,0.647
1,-4.0,2,-3.9,2,0.619
2,-4.0,2,-3.8,2,0.637
3,-4.0,2,-3.7,2,0.634
4,-4.0,2,-3.6,2,0.651
5,-4.0,2,-3.5,2,0.622
6,-4.0,2,-3.4,2,0.62
7,-4.0,2,-3.3,2,0.621
8,-4.0,2,-3.2,2,0.641
9,-4.0,2,-3.1,2,0.614
10,-4.0,2,-3.0,2,0.633
11,-4.0,2,-2.9,2,0.633
12,-4.0,2,-2.8,2,0.634
13,-4.0,2,-2.7,2,0.638
14,-4.0,2,-2.6,2,0.61
15,-4.0,2,-2.5,2,0.643
16,-4.0,2,-2.4,2,0.651
17,-4.0,2,-2.3,2,0.641
18,-4.0,2,-2.2,2,0.636
19,-4.0,2,-2.1,2,0.653
20,-4.0,2,-2.0,2,0.625
21,-4.0,2,-1.9,2,0.641
22,-4.0,2,-1.8,2,0.631
23,-4.0,2,-1.7,2,0.627
24,-4.0,2,-1.6,2,0.628
25,-4.0,2,-1.5,2,0.657
26,-4.0,2,-1.4,2,0.638
27,-4.0,2,-1.3,2,0.626
28,-4.0,2,-1.2,2,0.633
29,-4.0,2,-1.1,2,0.646
30,-4.0,2,-1.0,2,0.627
31,-4.0,2,-0.9,2,0.653
32,-4.0,2,-0.8,2,0.665
33,-4.0,2,-0.7,2,0.609
34,-4.0,2,-0.6,2,0.603
35,-4.0,2,-0.5,2,0.61
36,-4.0,2,-0.4,2,0.613
37,-4.0,2,-0.3,2,0.612
38,-4.0,2,-0.2,2,0.608
39,-4.0,2,-0.1,2,0.609
40,-3.9,2,-4.0,2,0.671
41,-3.9,2,-3.9,2,0.642
42,-3.9,2,-3.8,2,0.648
43,-3.9,2,-3.7,2,0.619
44,-3.9,2,-3.6,2,0.646
45,-3.9,2,-3.5,2,0.644
46,-3.9,2,-3.4,2,0.626
47,-3.9,2,-3.3,2,0.632
48,-3.9,2,-3.2,2,0.634
49,-3.9,2,-3.1,2,0.602
50,-3.9,2,-3.0,2,0.628
51,-3.9,2,-2.9,2,0.648
52,-3.9,2,-2.8,2,0.632
53,-3.9,2,-2.7,2,0.651
54,-3.9,2,-2.6,2,0.63
55,-3.9,2,-2.5,2,0.634
56,-3.9,2,-2.4,2,0.641
57,-3.9,2,-2.3,2,0.658
58,-3.9,2,-2.2,2,0.614
59,-3.9,2,-2.1,2,0.635
60,-3.9,2,-2.0,2,0.641
61,-3.9,2,-1.9,2,0.65
62,-3.9,2,-1.8,2,0.635
63,-3.9,2,-1.7,2,0.636
64,-3.9,2,-1.6,2,0.651
65,-3.9,2,-1.5,2,0.622
66,-3.9,2,-1.4,2,0.61
67,-3.9,2,-1.3,2,0.628
68,-3.9,2,-1.2,2,0.639
69,-3.9,2,-1.1,2,0.635
70,-3.9,2,-1.0,2,0.613
71,-3.9,2,-0.9,2,0.63
72,-3.9,2,-0.8,2,0.638
73,-3.9,2,-0.7,2,0.647
74,-3.9,2,-0.6,2,0.637
75,-3.9,2,-0.5,2,0.629
76,-3.9,2,-0.4,2,0.604
77,-3.9,2,-0.3,2,0.641
78,-3.9,2,-0.2,2,0.607
79,-3.9,2,-0.1,2,0.612
80,-3.8,2,-4.0,2,0.658
81,-3.8,2,-3.9,2,0.64
82,-3.8,2,-3.8,2,0.614
83,-3.8,2,-3.7,2,0.626
84,-3.8,2,-3.6,2,0.637
85,-3.8,2,-3.5,2,0.606
86,-3.8,2,-3.4,2,0.627
87,-3.8,2,-3.3,2,0.619
88,-3.8,2,-3.2,2,0.651
89,-3.8,2,-3.1,2,0.647
90,-3.8,2,-3.0,2,0.608
91,-3.8,2,-2.9,2,0.63
92,-3.8,2,-2.8,2,0.623
93,-3.8,2,-2.7,2,0.611
94,-3.8,2,-2.6,2,0.657
95,-3.8,2,-2.5,2,0.626
96,-3.8,2,-2.4,2,0.643
97,-3.8,2,-2.3,2,0.615
98,-3.8,2,-2.2,2,0.628
99,-3.8,2,-2.1,2,0.646
100,-3.8,2,-2.0,2,0.604
101,-3.8,2,-1.9,2,0.627
102,-3.8,2,-1.8,2,0.624
103,-3.8,2,-1.7,2,0.656
104,-3.8,2,-1.6,2,0.641
105,-3.8,2,-1.5,2,0.611
106,-3.8,2,-1.4,2,0.619
107,-3.8,2,-1.3,2,0.636
108,-3.8,2,-1.2,2,0.629
109,-3.8,2,-1.1,2,0.614
110,-3.8,2,-1.0,2,0.602
111,-3.8,2,-0.9,2,0.634
112,-3.8,2,-0.8,2,0.626
113,-3.8,2,-0.7,2,0.634
114,-3.8,2,-0.6,2,0.598
115,-3.8,2,-0.5,2,0.607
116,-3.8,2,-0.4,2,0.621
117,-3.8,2,-0.3,2,0.63
118,-3.8,2,-0.2,2,0.605
119,-3.8,2,-0.1,2,0.615
120,-3.7,2,-4.0,2,0.634
121,-3.7,2,-3.9,2,0.628
122,-3.7,2,-3.8,2,0.637
123,-3.7,2,-3.7,2,0.633
124,-3.7,2,-3.6,2,0.619
125,-3.7,2,-3.5,2,0.613
126,-3.7,2,-3.4,2,0.613
127,-3.7,2,-3.3,2,0.603
128,-3.7,2,-3.2,2,0.625
129,-3.7,2,-3.1,2,0.634
130,-3.7,2,-3.0,2,0.606
131,-3.7,2,-2.9,2,0.641
132,-3.7,2,-2.8,2,0.636
133,-3.7,2,-2.7,2,0.651
134,-3.7,2,-2.6,2,0.625
135,-3.7,2,-2.5,2,0.629
136,-3.7,2,-2.4,2,0.65
137,-3.7,2,-2.3,2,0.647
138,-3.7,2,-2.2,2,0.633
139,-3.7,2,-2.1,2,0.636
140,-3.7,2,-2.0,2,0.658
141,-3.7,2,-1.9,2,0.637
142,-3.7,2,-1.8,2,0.624
143,-3.7,2,-1.7,2,0.637
144,-3.7,2,-1.6,2,0.619
145,-3.7,2,-1.5,2,0.652
146,-3.7,2,-1.4,2,0.632
147,-3.7,2,-1.3,2,0.65
148,-3.7,2,-1.2,2,0.62
149,-3.7,2,-1.1,2,0.656
150,-3.7,2,-1.0,2,0.596
151,-3.7,2,-0.9,2,0.626
152,-3.7,2,-0.8,2,0.643
153,-3.7,2,-0.7,2,0.636
154,-3.7,2,-0.6,2,0.642
155,-3.7,2,-0.5,2,0.638
156,-3.7,2,-0.4,2,0.621
157,-3.7,2,-0.3,2,0.613
158,-3.7,2,-0.2,2,0.634
159,-3.7,2,-0.1,2,0.587
160,-3.6,2,-4.0,2,0.631
161,-3.6,2,-3.9,2,0.622
162,-3.6,2,-3.8,2,0.631
163,-3.6,2,-3.7,2,0.634
164,-3.6,2,-3.6,2,0.63
165,-3.6,2,-3.5,2,0.615
166,-3.6,2,-3.4,2,0.641
167,-3.6,2,-3.3,2,0.662
168,-3.6,2,-3.2,2,0.632
169,-3.6,2,-3.1,2,0.617
170,-3.6,2,-3.0,2,0.654
171,-3.6,2,-2.9,2,0.624
172,-3.6,2,-2.8,2,0.62
173,-3.6,2,-2.7,2,0.631
174,-3.6,2,-2.6,2,0.625
175,-3.6,2,-2.5,2,0.624
176,-3.6,2,-2.4,2,0.62
177,-3.6,2,-2.3,2,0.612
178,-3.6,2,-2.2,2,0.626
179,-3.6,2,-2.1,2,0.616
180,-3.6,2,-2.0,2,0.627
181,-3.6,2,-1.9,2,0.625
182,-3.6,2,-1.8,2,0.626
183,-3.6,2,-1.7,2,0.6
184,-3.6,2,-1.6,2,0.63
185,-3.6,2,-1.5,2,0.642
186,-3.6,2,-1.4,2,0.616
187,-3.6,2,-1.3,2,0.637
