$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
1.0,3.0,1.0,3.0,0.957
1.0,3.0,1.1,3.1,0.947
1.0,3.0,1.2,3.2,0.949
1.0,3.0,1.3,3.3,0.956
1.0,3.0,1.4,3.4,0.957
1.1,3.1,1.0,3.0,0.957
1.1,3.1,1.1,3.1,0.957
1.1,3.1,1.2,3.2,0.947
1.1,3.1,1.3,3.3,0.949
1.1,3.1,1.4,3.4,0.956
1.2,3.2,1.0,3.0,0.966
1.2,3.2,1.1,3.1,0.957
1.2,3.2,1.2,3.2,0.957
1.2,3.2,1.3,3.3,0.947
1.2,3.2,1.4,3.4,0.949
1.3,3.3,1.0,3.0,0.963
1.3,3.3,1.1,3.1,0.966
1.3,3.3,1.2,3.2,0.957
1.3,3.3,1.3,3.3,0.957
1.3,3.3,1.4,3.4,0.947
1.4,3.4,1.0,3.0,0.964
1.4,3.4,1.1,3.1,0.963
1.4,3.4,1.2,3.2,0.966
1.4,3.4,1.3,3.3,0.957
1.4,3.4,1.4,3.4,0.957
