,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0,0.0,5.0,-4.0,1.0,0.422
1,0.0,5.0,-3.9,1.1,0.403
2,0.0,5.0,-3.8,1.2000000000000002,0.376
3,0.0,5.0,-3.7,1.2999999999999998,0.381
4,0.0,5.0,-3.6,1.4,0.341
5,0.0,5.0,-3.5,1.5,0.37
6,0.0,5.0,-3.4,1.6,0.369
7,0.0,5.0,-3.3,1.7000000000000002,0.332
8,0.0,5.0,-3.2,1.7999999999999998,0.378
9,0.0,5.0,-3.1,1.9,0.351
10,0.0,5.0,-3.0,2.0,0.348
11,0.0,5.0,-2.9,2.1,0.376
12,0.0,5.0,-2.8,2.2,0.386
13,0.0,5.0,-2.7,2.3,0.404
14,0.0,5.0,-2.6,2.4,0.382
15,0.0,5.0,-2.5,2.5,0.389
16,0.0,5.0,-2.4,2.6,0.405
17,0.0,5.0,-2.3,2.7,0.429
18,0.0,5.0,-2.2,2.8,0.437
19,0.0,5.0,-2.1,2.9,0.466
20,0.0,5.0,-2.0,3.0,0.469
21,0.0,5.0,-1.9,3.1,0.46
22,0.0,5.0,-1.8,3.2,0.476
23,0.0,5.0,-1.7,3.3,0.487
24,0.0,5.0,-1.6,3.4,0.493
25,0.0,5.0,-1.5,3.5,0.507
26,0.0,5.0,-1.4,3.6,0.493
27,0.0,5.0,-1.3,3.7,0.527
28,0.0,5.0,-1.2,3.8,0.516
29,0.0,5.0,-1.1,3.9,0.572
30,0.0,5.0,-1.0,4.0,0.554
31,0.0,5.0,-0.9,4.1,0.534
32,0.0,5.0,-0.8,4.2,0.553
33,0.0,5.0,-0.7,4.3,0.572
34,0.0,5.0,-0.6,4.4,0.558
35,0.0,5.0,-0.5,4.5,0.54
36,0.0,5.0,-0.4,4.6,0.53
37,0.0,5.0,-0.3,4.7,0.553
38,0.0,5.0,-0.2,4.8,0.505
39,0.0,5.0,-0.1,4.9,0.474
40,0.0,5.0,0.0,5.0,0.489
41,0.0,5.0,0.1,5.1,0.499
42,0.0,5.0,0.2,5.2,0.466
43,0.0,5.0,0.3,5.3,0.453
44,0.0,5.0,0.4,5.4,0.46
45,0.0,5.0,0.5,5.5,0.433
46,0.0,5.0,0.6,5.6,0.435
47,0.0,5.0,0.7,5.7,0.403
48,0.0,5.0,0.8,5.8,0.393
49,0.0,5.0,0.9,5.9,0.391
50,0.0,5.0,1.0,6.0,0.372
51,0.0,5.0,1.1,6.1,0.372
52,0.0,5.0,1.2,6.2,0.363
53,0.0,5.0,1.3,6.3,0.325
54,0.0,5.0,1.4,6.4,0.293
55,0.0,5.0,1.5,6.5,0.285
56,0.0,5.0,1.6,6.6,0.281
57,0.0,5.0,1.7,6.7,0.283
58,0.0,5.0,1.8,6.8,0.269
59,0.0,5.0,1.9,6.9,0.27
60,0.0,5.0,2.0,7.0,0.281
61,0.0,5.0,2.1,7.1,0.267
62,0.0,5.0,2.2,7.2,0.249
63,0.0,5.0,2.3,7.3,0.265
64,0.0,5.0,2.4,7.4,0.255
65,0.0,5.0,2.5,7.5,0.252
66,0.0,5.0,2.6,7.6,0.224
67,0.0,5.0,2.7,7.7,0.218
68,0.0,5.0,2.8,7.8,0.238
69,0.0,5.0,2.9,7.9,0.237
70,0.0,5.0,3.0,8.0,0.214
71,0.0,5.0,3.1,8.1,0.243
72,0.0,5.0,3.2,8.2,0.233
73,0.0,5.0,3.3,8.3,0.201
74,0.0,5.0,3.4,8.4,0.196
75,0.0,5.0,3.5,8.5,0.241
76,0.0,5.0,3.6,8.6,0.204
77,0.0,5.0,3.7,8.7,0.207
78,0.0,5.0,3.8,8.8,0.2
79,0.0,5.0,3.9,8.9,0.205
80,0.0,5.0,4.0,9.0,0.215
81,0.0,5.0,4.1,9.1,0.187
82,0.0,5.0,4.2,9.2,0.19
83,0.0,5.0,4.3,9.3,0.193
84,0.0,5.0,4.4,9.4,0.189
85,0.0,5.0,4.5,9.5,0.182
86,0.0,5.0,4.6,9.6,0.184
87,0.0,5.0,4.7,9.7,0.182
88,0.0,5.0,4.8,9.8,0.187
89,0.0,5.0,4.9,9.9,0.157
90,0.0,5.0,5.0,10.0,0.171
91,0.0,5.0,5.1,10.1,0.167
92,0.0,5.0,5.2,10.2,0.147
93,0.0,5.0,5.3,10.3,0.158
94,0.0,5.0,5.4,10.4,0.151
95,0.0,5.0,5.5,10.5,0.14
96,0.0,5.0,5.6,10.6,0.133
97,0.0,5.0,5.7,10.7,0.131
98,0.0,5.0,5.8,10.8,0.129
99,0.0,5.0,5.9,10.9,0.147
100,0.0,5.0,6.0,11.0,0.12
101,0.0,5.0,6.1,11.1,0.121
102,0.0,5.0,6.2,11.2,0.124
103,0.0,5.0,6.3,11.3,0.105
104,0.0,5.0,6.4,11.4,0.128
105,0.0,5.0,6.5,11.5,0.128
106,0.0,5.0,6.6,11.6,0.129
107,0.0,5.0,6.7,11.7,0.124
108,0.0,5.0,6.8,11.8,0.106
109,0.0,5.0,6.9,11.9,0.12
110,0.0,5.0,7.0,12.0,0.103
111,0.0,5.0,7.1,12.1,0.107
112,0.0,5.0,7.2,12.2,0.107
113,0.0,5.0,7.3,12.3,0.107
114,0.0,5.0,7.4,12.4,0.106
115,0.0,5.0,7.5,12.5,0.111
116,0.0,5.0,7.6,12.6,0.123
117,0.0,5.0,7.7,12.7,0.114
118,0.0,5.0,7.8,12.8,0.111
119,0.0,5.0,7.9,12.9,0.087
120,0.0,5.0,8.0,13.0,0.092
121,0.0,5.0,8.1,13.1,0.101
122,0.0,5.0,8.2,13.2,0.101
123,0.0,5.0,8.3,13.3,0.122
124,0.0,5.0,8.4,13.4,0.104
125,0.0,5.0,8.5,13.5,0.1
126,0.0,5.0,8.6,13.6,0.094
127,0.0,5.0,8.7,13.7,0.104
128,0.0,5.0,8.8,13.8,0.092
129,0.0,5.0,8.9,13.9,0.1
130,0.0,5.0,9.0,14.0,0.097
131,0.0,5.0,9.1,14.1,0.092
132,0.0,5.0,9.2,14.2,0.104
133,0.0,5.0,9.3,14.3,0.082
134,0.0,5.0,9.4,14.4,0.111
135,0.0,5.0,9.5,14.5,0.1
136,0.0,5.0,9.6,14.6,0.1
137,0.0,5.0,9.7,14.7,0.103
138,0.0,5.0,9.8,14.8,0.087
139,0.0,5.0,9.9,14.9,0.087
140,0.0,5.0,10.0,15.0,0.101
141,0.1,5.1,-4.0,1.0,0.422
142,0.1,5.1,-3.9,1.1,0.432
143,0.1,5.1,-3.8,1.2000000000000002,0.414
144,0.1,5.1,-3.7,1.2999999999999998,0.38
145,0.1,5.1,-3.6,1.4,0.373
146,0.1,5.1,-3.5,1.5,0.368
147,0.1,5.1,-3.4,1.6,0.348
148,0.1,5.1,-3.3,1.7000000000000002,0.38
149,0.1,5.1,-3.2,1.7999999999999998,0.392
150,0.1,5.1,-3.1,1.9,0.351
151,0.1,5.1,-3.0,2.0,0.347
152,0.1,5.1,-2.9,2.1,0.332
153,0.1,5.1,-2.8,2.2,0.357
154,0.1,5.1,-2.7,2.3,0.357
155,0.1,5.1,-2.6,2.4,0.402
156,0.1,5.1,-2.5,2.5,0.393
157,0.1,5.1,-2.4,2.6,0.424
158,0.1,5.1,-2.3,2.7,0.389
159,0.1,5.1,-2.2,2.8,0.417
160,0.1,5.1,-2.1,2.9,0.445
161,0.1,5.1,-2.0,3.0,0.436
162,0.1,5.1,-1.9,3.1,0.475
163,0.1,5.1,-1.8,3.2,0.478
164,0.1,5.1,-1.7,3.3,0.47
165,0.1,5.1,-1.6,3.4,0.472
166,0.1,5.1,-1.5,3.5,0.502
167,0.1,5.1,-1.4,3.6,0.511
168,0.1,5.1,-1.3,3.7,0.5
169,0.1,5.1,-1.2,3.8,0.519
170,0.1,5.1,-1.1,3.9,0.512
171,0.1,5.1,-1.0,4.0,0.53
172,0.1,5.1,-0.9,4.1,0.511
173,0.1,5.1,-0.8,4.2,0.531
174,0.1,5.1,-0.7,4.3,0.544
175,0.1,5.1,-0.6,4.4,0.555
176,0.1,5.1,-0.5,4.5,0.515
177,0.1,5.1,-0.4,4.6,0.533
178,0.1,5.1,-0.3,4.7,0.525
179,0.1,5.1,-0.2,4.8,0.531
180,0.1,5.1,-0.1,4.9,0.482
181,0.1,5.1,0.0,5.0,0.485
182,0.1,5.1,0.1,5.1,0.518
183,0.1,5.1,0.2,5.2,0.489
184,0.1,5.1,0.3,5.3,0.463
185,0.1,5.1,0.4,5.4,0.454
186,0.1,5.1,0.5,5.5,0.429
187,0.1,5.1,0.6,5.6,0.406
188,0.1,5.1,0.7,5.7,0.382
189,0.1,5.1,0.8,5.8,0.375
190,0.1,5.1,0.9,5.9,0.382
191,0.1,5.1,1.0,6.0,0.386
192,0.1,5.1,1.1,6.1,0.332
193,0.1,5.1,1.2,6.2,0.363
194,0.1,5.1,1.3,6.3,0.333
195,0.1,5.1,1.4,6.4,0.329
196,0.1,5.1,1.5,6.5,0.304
197,0.1,5.1,1.6,6.6,0.283
198,0.1,5.1,1.7,6.7,0.312
199,0.1,5.1,1.8,6.8,0.295
200,0.1,5.1,1.9,6.9,0.274
201,0.1,5.1,2.0,7.0,0.291
202,0.1,5.1,2.1,7.1,0.264
203,0.1,5.1,2.2,7.2,0.255
204,0.1,5.1,2.3,7.3,0.26
205,0.1,5.1,2.4,7.4,0.26
206,0.1,5.1,2.5,7.5,0.244
207,0.1,5.1,2.6,7.6,0.244
208,0.1,5.1,2.7,7.7,0.236
209,0.1,5.1,2.8,7.8,0.256
210,0.1,5.1,2.9,7.9,0.242
211,0.1,5.1,3.0,8.0,0.259
212,0.1,5.1,3.1,8.1,0.227
213,0.1,5.1,3.2,8.2,0.211
214,0.1,5.1,3.3,8.3,0.228
215,0.1,5.1,3.4,8.4,0.218
216,0.1,5.1,3.5,8.5,0.202
217,0.1,5.1,3.6,8.6,0.239
218,0.1,5.1,3.7,8.7,0.206
219,0.1,5.1,3.8,8.8,0.21
220,0.1,5.1,3.9,8.9,0.212
221,0.1,5.1,4.0,9.0,0.192
222,0.1,5.1,4.1,9.1,0.21
223,0.1,5.1,4.2,9.2,0.185
224,0.1,5.1,4.3,9.3,0.19
225,0.1,5.1,4.4,9.4,0.219
226,0.1,5.1,4.5,9.5,0.185
227,0.1,5.1,4.6,9.6,0.183
228,0.1,5.1,4.7,9.7,0.17
229,0.1,5.1,4.8,9.8,0.187
230,0.1,5.1,4.9,9.9,0.191
231,0.1,5.1,5.0,10.0,0.166
232,0.1,5.1,5.1,10.1,0.171
233,0.1,5.1,5.2,10.2,0.148
234,0.1,5.1,5.3,10.3,0.154
235,0.1,5.1,5.4,10.4,0.143
236,0.1,5.1,5.5,10.5,0.142
237,0.1,5.1,5.6,10.6,0.149
238,0.1,5.1,5.7,10.7,0.143
239,0.1,5.1,5.8,10.8,0.141
240,0.1,5.1,5.9,10.9,0.144
241,0.1,5.1,6.0,11.0,0.136
242,0.1,5.1,6.1,11.1,0.123
243,0.1,5.1,6.2,11.2,0.108
244,0.1,5.1,6.3,11.3,0.142
245,0.1,5.1,6.4,11.4,0.125
246,0.1,5.1,6.5,11.5,0.115
247,0.1,5.1,6.6,11.6,0.113
248,0.1,5.1,6.7,11.7,0.11
249,0.1,5.1,6.8,11.8,0.109
250,0.1,5.1,6.9,11.9,0.11
251,0.1,5.1,7.0,12.0,0.109
252,0.1,5.1,7.1,12.1,0.108
253,0.1,5.1,7.2,12.2,0.08
254,0.1,5.1,7.3,12.3,0.101
255,0.1,5.1,7.4,12.4,0.088
256,0.1,5.1,7.5,12.5,0.095
257,0.1,5.1,7.6,12.6,0.102
258,0.1,5.1,7.7,12.7,0.101
259,0.1,5.1,7.8,12.8,0.1
