$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.946
0.0,0.0,0.1,0.1,0.956
0.0,0.0,0.2,0.2,0.964
0.0,0.0,0.3,0.3,0.95
0.0,0.0,0.4,0.4,0.948
0.0,0.0,0.5,0.5,0.966
0.0,0.0,0.6,0.6,0.95
0.0,0.0,0.7,0.7,0.946
0.0,0.0,0.8,0.8,0.968
0.0,0.0,0.9,0.9,0.92
0.0,0.0,1.0,1.0,0.952
0.0,0.0,1.1,1.1,0.94
0.0,0.0,1.2,1.2,0.924
0.0,0.0,1.3,1.3,0.908
0.0,0.0,1.4,1.4,0.928
0.0,0.0,1.5,1.5,0.902
0.0,0.0,1.6,1.6,0.918
0.0,0.0,1.7,1.7,0.906
0.0,0.0,1.8,1.8,0.882
0.0,0.0,1.9,1.9,0.894
0.0,0.0,2.0,2.0,0.91
0.0,0.0,2.1,2.1,0.866
0.0,0.0,2.2,2.2,0.836
0.0,0.0,2.3,2.3,0.842
0.0,0.0,2.4,2.4,0.828
0.0,0.0,2.5,2.5,0.83
0.0,0.0,2.6,2.6,0.802
0.0,0.0,2.7,2.7,0.778
0.0,0.0,2.8,2.8,0.78
0.0,0.0,2.9,2.9,0.8
0.0,0.0,3.0,3.0,0.738
0.0,0.0,3.1,3.1,0.722
0.0,0.0,3.2,3.2,0.75
0.0,0.0,3.3,3.3,0.708
0.0,0.0,3.4,3.4,0.694
0.0,0.0,3.5,3.5,0.64
0.0,0.0,3.6,3.6,0.654
0.0,0.0,3.7,3.7,0.604
0.0,0.0,3.8,3.8,0.612
0.0,0.0,3.9,3.9,0.594
0.0,0.0,4.0,4.0,0.572
0.0,0.0,4.1,4.1,0.582
0.0,0.0,4.2,4.2,0.536
0.0,0.0,4.3,4.3,0.52
0.0,0.0,4.4,4.4,0.54
0.0,0.0,4.5,4.5,0.554
0.0,0.0,4.6,4.6,0.516
0.0,0.0,4.7,4.7,0.496
0.0,0.0,4.8,4.8,0.482
0.0,0.0,4.9,4.9,0.512
0.0,0.0,5.0,5.0,0.526
0.0,0.0,5.1,5.1,0.468
0.0,0.0,5.2,5.2,0.452
0.0,0.0,5.3,5.3,0.524
0.0,0.0,5.4,5.4,0.486
0.0,0.0,5.5,5.5,0.518
0.0,0.0,5.6,5.6,0.496
0.0,0.0,5.7,5.7,0.488
0.0,0.0,5.8,5.8,0.518
0.0,0.0,5.9,5.9,0.488
0.0,0.0,6.0,6.0,0.526
0.0,0.0,6.1,6.1,0.55
0.0,0.0,6.2,6.2,0.48
0.0,0.0,6.3,6.3,0.5
0.0,0.0,6.4,6.4,0.464
0.0,0.0,6.5,6.5,0.538
0.0,0.0,6.6,6.6,0.502
0.0,0.0,6.7,6.7,0.494
0.0,0.0,6.8,6.8,0.51
0.0,0.0,6.9,6.9,0.484
0.0,0.0,7.0,7.0,0.522
0.0,0.0,7.1,7.1,0.514
0.0,0.0,7.2,7.2,0.516
0.0,0.0,7.3,7.3,0.474
0.0,0.0,7.4,7.4,0.522
0.0,0.0,7.5,7.5,0.522
0.0,0.0,7.6,7.6,0.478
0.0,0.0,7.7,7.7,0.498
0.0,0.0,7.8,7.8,0.522
0.0,0.0,7.9,7.9,0.488
0.0,0.0,8.0,8.0,0.49
0.0,0.0,8.1,8.1,0.51
0.0,0.0,8.2,8.2,0.488
0.0,0.0,8.3,8.3,0.508
0.0,0.0,8.4,8.4,0.488
0.0,0.0,8.5,8.5,0.506
0.0,0.0,8.6,8.6,0.536
0.0,0.0,8.7,8.7,0.484
0.0,0.0,8.8,8.8,0.46
0.0,0.0,8.9,8.9,0.502
0.0,0.0,9.0,9.0,0.52
0.0,0.0,9.1,9.1,0.476
0.0,0.0,9.2,9.2,0.478
0.0,0.0,9.3,9.3,0.452
0.0,0.0,9.4,9.4,0.522
0.0,0.0,9.5,9.5,0.498
0.0,0.0,9.6,9.6,0.496
0.0,0.0,9.7,9.7,0.5
0.0,0.0,9.8,9.8,0.52
0.0,0.0,9.9,9.9,0.464
0.0,0.0,10.0,10.0,0.47
0.0,0.0,10.1,10.1,0.508
0.0,0.0,10.2,10.2,0.506
0.0,0.0,10.3,10.3,0.494
0.0,0.0,10.4,10.4,0.522
0.0,0.0,10.5,10.5,0.494
0.0,0.0,10.6,10.6,0.464
0.0,0.0,10.7,10.7,0.522
0.0,0.0,10.8,10.8,0.53
0.0,0.0,10.9,10.9,0.492
0.0,0.0,11.0,11.0,0.532
0.0,0.0,11.1,11.1,0.51
0.0,0.0,11.2,11.2,0.51
0.0,0.0,11.3,11.3,0.494
0.0,0.0,11.4,11.4,0.472
0.0,0.0,11.5,11.5,0.48
0.0,0.0,11.6,11.6,0.538
0.0,0.0,11.7,11.7,0.526
0.0,0.0,11.8,11.8,0.508
0.0,0.0,11.9,11.9,0.458
0.0,0.0,12.0,12.0,0.52
0.0,0.0,12.1,12.1,0.494
0.0,0.0,12.2,12.2,0.504
0.0,0.0,12.3,12.3,0.456
0.0,0.0,12.4,12.4,0.494
0.0,0.0,12.5,12.5,0.506
0.0,0.0,12.6,12.6,0.492
0.0,0.0,12.7,12.7,0.482
0.0,0.0,12.8,12.8,0.518
0.0,0.0,12.9,12.9,0.472
0.0,0.0,13.0,13.0,0.502
0.0,0.0,13.1,13.1,0.46
0.0,0.0,13.2,13.2,0.516
0.0,0.0,13.3,13.3,0.5
0.0,0.0,13.4,13.4,0.518
0.0,0.0,13.5,13.5,0.472
0.0,0.0,13.6,13.6,0.498
0.0,0.0,13.7,13.7,0.536
0.0,0.0,13.8,13.8,0.516
0.0,0.0,13.9,13.9,0.522
0.0,0.0,14.0,14.0,0.452
0.0,0.0,14.1,14.1,0.472
0.0,0.0,14.2,14.2,0.496
0.0,0.0,14.3,14.3,0.502
0.0,0.0,14.4,14.4,0.48
0.0,0.0,14.5,14.5,0.528
0.0,0.0,14.6,14.6,0.514
0.0,0.0,14.7,14.7,0.494
0.0,0.0,14.8,14.8,0.502
0.0,0.0,14.9,14.9,0.488
0.0,0.0,15.0,15.0,0.508
0.1,0.1,0.0,0.0,0.954
0.1,0.1,0.1,0.1,0.958
0.1,0.1,0.2,0.2,0.952
0.1,0.1,0.3,0.3,0.968
0.1,0.1,0.4,0.4,0.966
0.1,0.1,0.5,0.5,0.958
0.1,0.1,0.6,0.6,0.95
0.1,0.1,0.7,0.7,0.954
0.1,0.1,0.8,0.8,0.934
0.1,0.1,0.9,0.9,0.942
0.1,0.1,1.0,1.0,0.934
0.1,0.1,1.1,1.1,0.958
0.1,0.1,1.2,1.2,0.922
0.1,0.1,1.3,1.3,0.96
0.1,0.1,1.4,1.4,0.94
0.1,0.1,1.5,1.5,0.926
0.1,0.1,1.6,1.6,0.912
0.1,0.1,1.7,1.7,0.918
0.1,0.1,1.8,1.8,0.928
0.1,0.1,1.9,1.9,0.904
0.1,0.1,2.0,2.0,0.918
0.1,0.1,2.1,2.1,0.896
0.1,0.1,2.2,2.2,0.898
0.1,0.1,2.3,2.3,0.87
0.1,0.1,2.4,2.4,0.85
0.1,0.1,2.5,2.5,0.828
0.1,0.1,2.6,2.6,0.802
0.1,0.1,2.7,2.7,0.798
0.1,0.1,2.8,2.8,0.8
0.1,0.1,2.9,2.9,0.778
