$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.746
0.0,0.0,0.1,0.1,0.738
0.0,0.0,0.2,0.2,0.74
0.0,0.0,0.3,0.3,0.786
0.0,0.0,0.4,0.4,0.812
0.0,0.0,0.5,0.5,0.806
0.0,0.0,0.6,0.6,0.804
0.0,0.0,0.7,0.7,0.764
0.0,0.0,0.8,0.8,0.78
0.0,0.0,0.9,0.9,0.786
0.0,0.0,1.0,1.0,0.808
0.0,0.0,1.1,1.1,0.802
0.0,0.0,1.2,1.2,0.802
0.0,0.0,1.3,1.3,0.808
0.0,0.0,1.4,1.4,0.804
0.0,0.0,1.5,1.5,0.78
0.0,0.0,1.6,1.6,0.762
0.0,0.0,1.7,1.7,0.756
0.0,0.0,1.8,1.8,0.738
0.0,0.0,1.9,1.9,0.744
0.0,0.0,2.0,2.0,0.742
0.0,0.0,2.1,2.1,0.726
0.0,0.0,2.2,2.2,0.758
0.0,0.0,2.3,2.3,0.696
0.0,0.0,2.4,2.4,0.722
0.0,0.0,2.5,2.5,0.696
0.0,0.0,2.6,2.6,0.686
0.0,0.0,2.7,2.7,0.684
0.0,0.0,2.8,2.8,0.67
0.0,0.0,2.9,2.9,0.666
0.0,0.0,3.0,3.0,0.642
0.0,0.0,3.1,3.1,0.65
0.0,0.0,3.2,3.2,0.692
0.0,0.0,3.3,3.3,0.65
0.0,0.0,3.4,3.4,0.646
0.0,0.0,3.5,3.5,0.682
0.0,0.0,3.6,3.6,0.672
0.0,0.0,3.7,3.7,0.648
0.0,0.0,3.8,3.8,0.636
0.0,0.0,3.9,3.9,0.632
0.0,0.0,4.0,4.0,0.618
0.0,0.0,4.1,4.1,0.608
0.0,0.0,4.2,4.2,0.61
0.0,0.0,4.3,4.3,0.54
0.0,0.0,4.4,4.4,0.532
0.0,0.0,4.5,4.5,0.514
0.0,0.0,4.6,4.6,0.498
0.0,0.0,4.7,4.7,0.454
0.0,0.0,4.8,4.8,0.478
0.0,0.0,4.9,4.9,0.44
0.0,0.0,5.0,5.0,0.446
0.0,0.0,5.1,5.1,0.426
0.0,0.0,5.2,5.2,0.368
0.0,0.0,5.3,5.3,0.396
0.0,0.0,5.4,5.4,0.404
0.0,0.0,5.5,5.5,0.36
0.0,0.0,5.6,5.6,0.406
0.0,0.0,5.7,5.7,0.382
0.0,0.0,5.8,5.8,0.378
0.0,0.0,5.9,5.9,0.35
0.0,0.0,6.0,6.0,0.296
0.0,0.0,6.1,6.1,0.352
0.0,0.0,6.2,6.2,0.348
0.0,0.0,6.3,6.3,0.324
0.0,0.0,6.4,6.4,0.316
0.0,0.0,6.5,6.5,0.312
0.0,0.0,6.6,6.6,0.326
0.0,0.0,6.7,6.7,0.32
0.0,0.0,6.8,6.8,0.306
