$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
0.0,0.0,0.0,1.0,0.464
0.0,0.0,0.1,1.1,0.3
0.0,0.0,0.2,1.2,0.29
0.0,0.0,0.3,1.3,0.294
0.0,0.0,0.4,1.4,0.33
0.0,0.0,0.5,1.5,0.32
0.0,0.0,0.6,1.6,0.324
0.0,0.0,0.7,1.7,0.284
0.0,0.0,0.8,1.8,0.258
0.0,0.0,0.9,1.9,0.292
0.0,0.0,1.0,2.0,0.312
0.0,0.0,1.1,2.1,0.29
0.0,0.0,1.2,2.2,0.314
0.0,0.0,1.3,2.3,0.304
0.0,0.0,1.4,2.4,0.304
0.0,0.0,1.5,2.5,0.332
0.0,0.0,1.6,2.6,0.306
0.0,0.0,1.7,2.7,0.34
0.0,0.0,1.8,2.8,0.282
0.0,0.0,1.9,2.9,0.292
0.0,0.0,2.0,3.0,0.306
0.0,0.0,2.1,3.1,0.32
0.0,0.0,2.2,3.2,0.294
0.0,0.0,2.3,3.3,0.33
0.0,0.0,2.4,3.4,0.312
0.0,0.0,2.5,3.5,0.312
0.0,0.0,2.6,3.6,0.34
0.0,0.0,2.7,3.7,0.314
0.0,0.0,2.8,3.8,0.332
0.0,0.0,2.9,3.9,0.324
0.0,0.0,3.0,4.0,0.332
0.0,0.0,3.1,4.1,0.344
0.0,0.0,3.2,4.2,0.326
0.0,0.0,3.3,4.3,0.354
0.0,0.0,3.4,4.4,0.334
0.0,0.0,3.5,4.5,0.346
0.0,0.0,3.6,4.6,0.32
0.0,0.0,3.7,4.7,0.312
0.0,0.0,3.8,4.8,0.336
0.0,0.0,3.9,4.9,0.318
0.0,0.0,4.0,5.0,0.352
0.0,0.0,4.1,5.1,0.346
0.0,0.0,4.2,5.2,0.372
0.0,0.0,4.3,5.3,0.362
0.0,0.0,4.4,5.4,0.322
0.0,0.0,4.5,5.5,0.352
0.0,0.0,4.6,5.6,0.338
0.0,0.0,4.7,5.7,0.336
0.0,0.0,4.8,5.8,0.31
0.0,0.0,4.9,5.9,0.36
0.0,0.0,5.0,6.0,0.318
0.0,0.0,5.1,6.1,0.37
0.0,0.0,5.2,6.2,0.346
0.0,0.0,5.3,6.3,0.34
0.0,0.0,5.4,6.4,0.372
0.0,0.0,5.5,6.5,0.36
0.0,0.0,5.6,6.6,0.39
0.0,0.0,5.7,6.7,0.346
