nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,500,0.906,0.10777675087256018,0.075,0.05
2,520,0.911,0.11338411116896785,0.059,0.0535
2,540,0.925,0.09279314566163555,0.0565,0.046
2,560,0.921,0.10134705811681266,0.0745,0.044
2,580,0.926,0.09184752252448308,0.067,0.046
2,600,0.908,0.09428075171330916,0.075,0.0555
2,620,0.929,0.09755247669883638,0.055,0.0445
2,640,0.914,0.09351931315521159,0.0745,0.0475
2,660,0.917,0.0910591752879904,0.0675,0.0465
2,680,0.936,0.08490152587552507,0.053,0.041
2,700,0.929,0.0786089674731408,0.0485,0.0325
2,720,0.933,0.08784584151214461,0.0465,0.0405
2,740,0.947,0.08841050000427156,0.0525,0.0435
2,760,0.925,0.09009219439636672,0.0485,0.043
2,780,0.928,0.1056222899638731,0.07,0.0475
2,800,0.94,0.10056009793720118,0.053,0.0495
2,820,0.945,0.07906908996583853,0.0495,0.0395
2,840,0.931,0.09621501866910306,0.056,0.052
2,860,0.936,0.07417277795996051,0.05,0.0365
2,880,0.937,0.07926411725764079,0.052,0.041
2,900,0.933,0.08498357560941355,0.052,0.044
2,920,0.953,0.06935467972341205,0.0405,0.036
2,940,0.945,0.07958974111246424,0.0535,0.0345
2,960,0.944,0.07378581486503322,0.0425,0.033
2,980,0.929,0.09060199189037783,0.056,0.0455
2,1000,0.958,0.07860643735620777,0.0405,0.0365
2,1020,0.945,0.08521856539849001,0.041,0.0385
2,1040,0.936,0.0843671686728567,0.056,0.042
2,1060,0.943,0.07237669295163443,0.045,0.0345
2,1080,0.94,0.0890419593203641,0.053,0.045
2,1100,0.944,0.07714992517070468,0.0475,0.0315
2,1120,0.942,0.07949316705155479,0.0475,0.0355
2,1140,0.933,0.07845327315885092,0.043,0.034
2,1160,0.955,0.06704236904650278,0.035,0.0315
2,1180,0.93,0.07362042800273953,0.0565,0.0435
2,1200,0.952,0.060831811495931545,0.044,0.032
2,1220,0.95,0.07229367928299657,0.0475,0.033
2,1240,0.958,0.06936055849598927,0.0375,0.0315
2,1260,0.946,0.07290192254455215,0.0495,0.0355
2,1280,0.953,0.06586315031314144,0.04,0.0305
2,1300,0.955,0.062369843790915626,0.037,0.0315
2,1320,0.949,0.07476937867586396,0.043,0.0335
2,1340,0.952,0.06117706827076066,0.0425,0.0315
2,1360,0.944,0.06965226376729984,0.045,0.031
2,1380,0.948,0.06771391347749917,0.0375,0.0295
2,1400,0.954,0.08122641376402345,0.045,0.0405
2,1420,0.96,0.06236078115953864,0.0365,0.0275
2,1440,0.961,0.06299988981938177,0.0315,0.0215
2,1460,0.95,0.06384774048916285,0.0375,0.0315
2,1480,0.959,0.06906887485738877,0.0415,0.0335
2,1500,0.955,0.06683621608896644,0.0455,0.038
2,1520,0.969,0.06453860686554,0.0315,0.0285
2,1540,0.951,0.06656068232379475,0.038,0.034
2,1560,0.962,0.06333293922616362,0.0365,0.0305
2,1580,0.965,0.061393317469080895,0.0365,0.0275
2,1600,0.953,0.0719299625621552,0.0385,0.0405
2,1620,0.947,0.06920108077880971,0.0525,0.0425
2,1640,0.957,0.05955017358359263,0.0385,0.034
2,1660,0.954,0.05039637443928577,0.035,0.0285
2,1680,0.957,0.05940421721073973,0.03,0.027
2,1700,0.965,0.06232874538752888,0.033,0.026
2,1720,0.952,0.062110861270297364,0.036,0.0275
2,1740,0.964,0.05874492660921515,0.0295,0.022
2,1760,0.957,0.06274100672079132,0.034,0.0305
2,1780,0.954,0.07048423481058487,0.0345,0.033
2,1800,0.96,0.0619574709822832,0.036,0.0265
2,1820,0.965,0.056464655002885854,0.0325,0.0225
2,1840,0.951,0.07462004228003545,0.038,0.0365
2,1860,0.965,0.053611994198373494,0.038,0.029
2,1880,0.949,0.057351579106504,0.0415,0.0355
2,1900,0.957,0.05924576080980902,0.0395,0.029
2,1920,0.965,0.05168747355527882,0.0335,0.024
2,1940,0.957,0.0731440928705941,0.043,0.042
2,1960,0.973,0.06299715882908666,0.0295,0.027
2,1980,0.966,0.05714672909484686,0.0365,0.032
5,500,0.743,0.45757099525073724,0.06774999999999987,0.04994999999999984
5,520,0.732,0.47126866913396004,0.06709999999999992,0.04749999999999985
5,540,0.766,0.43558621076695353,0.06489999999999997,0.04709999999999985
5,560,0.75,0.4506161176479776,0.06585000000000002,0.04944999999999986
5,580,0.771,0.4455067105641883,0.06319999999999994,0.04724999999999986
5,600,0.764,0.44177584488605,0.0617,0.045649999999999864
5,620,0.738,0.45220776342349595,0.06495000000000001,0.049249999999999856
5,640,0.752,0.446656532409736,0.0638,0.04819999999999985
5,660,0.761,0.4243000314829267,0.06374999999999999,0.04674999999999991
5,680,0.749,0.4250780170849501,0.057850000000000006,0.04559999999999993
5,700,0.779,0.39675973658504077,0.05855000000000004,0.0415
5,720,0.79,0.40293356368093636,0.05610000000000003,0.039799999999999995
5,740,0.765,0.42068018249316896,0.055300000000000085,0.04399999999999996
5,760,0.76,0.4255082326087459,0.060550000000000076,0.043199999999999995
5,780,0.794,0.390859085360301,0.052050000000000075,0.039649999999999956
5,800,0.788,0.4126161409707023,0.052300000000000076,0.040149999999999984
5,820,0.777,0.38962835331931134,0.05365000000000009,0.042800000000000005
5,840,0.791,0.38888356201052027,0.05200000000000002,0.039900000000000005
5,860,0.786,0.4008097942393606,0.05110000000000002,0.04084999999999996
5,880,0.776,0.42073862169381404,0.04915000000000007,0.040499999999999946
5,900,0.806,0.355068517543629,0.04510000000000012,0.03470000000000006
5,920,0.811,0.38952433042301243,0.04720000000000011,0.03865000000000002
5,940,0.795,0.37351108177218734,0.04600000000000011,0.03590000000000005
5,960,0.793,0.3830235046205003,0.04915000000000005,0.03610000000000002
5,980,0.794,0.3710191922266877,0.04890000000000006,0.040499999999999946
5,1000,0.805,0.3697336759364244,0.04940000000000011,0.03745000000000005
5,1020,0.812,0.37313548411540404,0.045000000000000054,0.03405000000000007
5,1040,0.813,0.36966170220455624,0.0488,0.037800000000000035
5,1060,0.813,0.347856085455601,0.042800000000000074,0.03420000000000008
5,1080,0.775,0.3824299589228469,0.04720000000000002,0.036950000000000024
5,1100,0.812,0.34613990104057113,0.04025000000000007,0.031550000000000106
5,1120,0.813,0.3716870192951418,0.044800000000000104,0.03560000000000004
5,1140,0.81,0.34552485098063174,0.0444500000000001,0.03510000000000002
5,1160,0.8,0.3523518011249171,0.0429500000000001,0.033900000000000104
5,1180,0.838,0.31883918138789463,0.041300000000000135,0.030900000000000094
5,1200,0.796,0.3908516522175438,0.039800000000000155,0.034600000000000075
5,1220,0.807,0.35523250396075456,0.04155000000000013,0.03405000000000009
5,1240,0.788,0.35837778109733004,0.0443500000000001,0.035250000000000066
5,1260,0.826,0.33585754464887735,0.0403500000000001,0.03380000000000005
5,1280,0.822,0.3362184288999725,0.042050000000000066,0.03555000000000004
5,1300,0.819,0.33296949396815817,0.04185000000000011,0.03345000000000008
5,1320,0.83,0.3336078171577407,0.04225000000000011,0.0323000000000001
5,1340,0.828,0.3439835655996102,0.04255000000000009,0.034000000000000044
5,1360,0.818,0.3505781243149412,0.03850000000000008,0.03160000000000012
5,1380,0.824,0.35294404416531894,0.04155000000000013,0.03630000000000008
5,1400,0.821,0.32213964249015276,0.03970000000000006,0.03235000000000008
5,1420,0.839,0.32954747597869816,0.03810000000000006,0.03225000000000008
5,1440,0.818,0.339422644164677,0.03880000000000014,0.03220000000000011
5,1460,0.821,0.33910827752241357,0.04210000000000015,0.03345000000000008
5,1480,0.815,0.34062629506629255,0.03810000000000012,0.030000000000000086
5,1500,0.817,0.34188413823070996,0.04115000000000012,0.03350000000000005
5,1520,0.808,0.33579617560150576,0.040000000000000056,0.03285000000000009
5,1540,0.825,0.3270901673446516,0.03605000000000012,0.03045000000000011
5,1560,0.83,0.3208164221035611,0.03880000000000013,0.03140000000000011
5,1580,0.834,0.3241969607085487,0.03345000000000014,0.02885000000000011
5,1600,0.825,0.34368811729471344,0.03510000000000014,0.02875000000000012
5,1620,0.809,0.3396867511840663,0.03930000000000012,0.033500000000000085
5,1640,0.824,0.31858569497198286,0.036450000000000114,0.031300000000000126
5,1660,0.809,0.3388300229416954,0.03730000000000013,0.0321500000000001
5,1680,0.849,0.3208708489536738,0.03300000000000015,0.0287500000000001
5,1700,0.839,0.3064000107545929,0.033600000000000144,0.027050000000000077
5,1720,0.808,0.33034569836661337,0.03960000000000014,0.032550000000000114
5,1740,0.832,0.3400814931156294,0.036350000000000146,0.030850000000000093
5,1760,0.845,0.3189312388841348,0.03030000000000012,0.026450000000000095
5,1780,0.819,0.3249078929234698,0.036450000000000114,0.03180000000000013
5,1800,0.828,0.31986872520882104,0.03470000000000011,0.02935000000000011
5,1820,0.851,0.28681015120055026,0.034250000000000135,0.027250000000000104
