nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,500,0.87,0.037755129055964946,0.076,0.021
2,520,0.878,0.04262944365361215,0.0765,0.027
2,540,0.859,0.0424149177989626,0.0835,0.023
2,560,0.839,0.04996566848030986,0.0935,0.026
2,580,0.875,0.04756600496472481,0.0755,0.023
2,600,0.871,0.03787047631691009,0.073,0.016
2,620,0.877,0.044907258846543785,0.073,0.022
2,640,0.877,0.039281559105687334,0.0725,0.022
2,660,0.883,0.035792404412913835,0.069,0.02
2,680,0.898,0.03147803107713214,0.056,0.01
2,700,0.894,0.04079065650564912,0.0665,0.025
2,720,0.898,0.032394434691055365,0.0575,0.013
2,740,0.891,0.03049649307349013,0.062,0.014
2,760,0.912,0.028573791327972387,0.049,0.009
2,780,0.897,0.03262696778209565,0.0595,0.014
2,800,0.909,0.034053967436496746,0.0545,0.015
2,820,0.907,0.024372856681755088,0.0545,0.015
2,840,0.907,0.02433555096638006,0.0545,0.015
2,860,0.898,0.02981602845360415,0.059,0.015
2,880,0.888,0.03640213498619529,0.0695,0.026
2,900,0.916,0.02882957852179822,0.0485,0.012
2,920,0.914,0.036643227960580664,0.0505,0.015
2,940,0.93,0.03572010884640093,0.0445,0.018
2,960,0.92,0.03071191354027675,0.048,0.015
2,980,0.9,0.033072905456230324,0.0595,0.018
2,1000,0.905,0.04130598558791287,0.0585,0.02
2,1020,0.923,0.029238132341461106,0.046,0.015
2,1040,0.921,0.031184771159265743,0.047,0.017
2,1060,0.919,0.025696641193153104,0.045,0.008
2,1080,0.92,0.030751183937428542,0.052,0.02
2,1100,0.936,0.02379890931186699,0.0425,0.019
2,1120,0.919,0.031562742739233436,0.0525,0.024
2,1140,0.919,0.03139988908376044,0.0515,0.021
2,1160,0.918,0.02754850104696839,0.0475,0.012
2,1180,0.933,0.027299878350321848,0.041,0.014
2,1200,0.942,0.021391560675937754,0.0355,0.011
2,1220,0.927,0.022334353384848998,0.0415,0.009
2,1240,0.945,0.023459802590917577,0.0365,0.017
2,1260,0.937,0.02496789469190585,0.0375,0.012
2,1280,0.924,0.025193567902917352,0.0455,0.014
2,1300,0.932,0.026406157651199753,0.042,0.016
2,1320,0.927,0.027386055056553955,0.043,0.013
2,1340,0.929,0.022129321015445458,0.041,0.011
2,1360,0.936,0.03053987725272725,0.0435,0.022
2,1380,0.925,0.023716364761842752,0.0445,0.013
2,1400,0.928,0.028411559638508353,0.0485,0.019
2,1420,0.924,0.029197219249857787,0.0435,0.011
2,1440,0.928,0.026638935038269473,0.0445,0.016
2,1460,0.939,0.027181121289227776,0.038,0.014
2,1480,0.936,0.024656470634138575,0.0375,0.01
2,1500,0.932,0.02700058085855689,0.0395,0.01
2,1520,0.945,0.02270198818804064,0.035,0.014
2,1540,0.934,0.02610845566972939,0.037,0.007
2,1560,0.935,0.025158800952787656,0.037,0.008
2,1580,0.94,0.02401039004411948,0.037,0.013
2,1600,0.94,0.027201852859693943,0.0365,0.012
2,1620,0.949,0.026451756697084217,0.0305,0.009
2,1640,0.949,0.032572014183091365,0.032,0.012
2,1660,0.93,0.023709589140114656,0.043,0.016
2,1680,0.942,0.01853096138450722,0.0335,0.007
2,1700,0.943,0.02694373182181669,0.038,0.018
2,1720,0.944,0.023460796564439876,0.0375,0.017
2,1740,0.941,0.023657924994361864,0.0345,0.009
2,1760,0.947,0.023769660584943345,0.032,0.009
2,1780,0.941,0.02431233670600383,0.0375,0.015
2,1800,0.951,0.021615335754590154,0.031,0.012
2,1820,0.946,0.016907131911130358,0.0315,0.006
2,1840,0.946,0.024150205607073486,0.0345,0.013
2,1860,0.95,0.021257632651267323,0.0315,0.011
2,1880,0.938,0.0284344817032601,0.043,0.023
2,1900,0.955,0.019005846783914877,0.0255,0.005
2,1920,0.94,0.02337849889373672,0.036,0.011
2,1940,0.948,0.017299350884856266,0.0335,0.013
2,1960,0.96,0.022620245808529973,0.028,0.015
2,1980,0.95,0.021921410753312033,0.0335,0.016
5,500,0.785,0.10847482028737343,0.08694999999999964,0.02380000000000007
5,520,0.8,0.09946598545445073,0.08274999999999934,0.02250000000000005
5,540,0.786,0.11837634720503744,0.08324999999999952,0.023350000000000044
5,560,0.789,0.09499633626614155,0.0810499999999995,0.023500000000000056
5,580,0.804,0.09816317719904447,0.07914999999999958,0.022200000000000032
5,600,0.808,0.107018144706745,0.07439999999999955,0.018900000000000004
5,620,0.822,0.09416336724767993,0.07409999999999957,0.020099999999999993
5,640,0.832,0.10095405023350648,0.07034999999999966,0.01689999999999997
5,660,0.818,0.1174924572285413,0.0702999999999996,0.02030000000000001
5,680,0.837,0.09933935044506795,0.07259999999999964,0.02200000000000004
5,700,0.845,0.08992151017156952,0.06694999999999966,0.018299999999999993
5,720,0.861,0.09619186302321477,0.0671499999999998,0.020000000000000018
5,740,0.86,0.09751786768493018,0.06094999999999975,0.019800000000000016
5,760,0.845,0.0954392482455961,0.06329999999999979,0.017799999999999983
5,780,0.858,0.09537045808820514,0.06139999999999983,0.017299999999999975
5,800,0.867,0.08333816624398456,0.05769999999999973,0.014899999999999965
5,820,0.867,0.1080674245210588,0.056299999999999815,0.018599999999999985
5,840,0.858,0.08926273581477555,0.056299999999999746,0.014999999999999966
5,860,0.868,0.09863681486114886,0.05524999999999982,0.01679999999999997
5,880,0.876,0.07504588462673899,0.057199999999999765,0.01749999999999998
5,900,0.883,0.0806862744492133,0.053499999999999895,0.01729999999999998
5,920,0.886,0.08040993381448333,0.055349999999999754,0.013699999999999971
5,940,0.89,0.08198521539403414,0.05174999999999984,0.01489999999999997
5,960,0.891,0.07889363436633437,0.051549999999999874,0.014599999999999967
5,980,0.88,0.08523619285644146,0.05104999999999986,0.015799999999999967
5,1000,0.886,0.08195720455946431,0.051799999999999805,0.013799999999999969
5,1020,0.894,0.0795828812128832,0.04934999999999988,0.01649999999999997
5,1040,0.896,0.07983093485353121,0.050799999999999845,0.017599999999999977
5,1060,0.908,0.07967875849577936,0.04829999999999986,0.01489999999999997
