nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
2,500,0.852,0.043528350127234126,0.0865,0.02
2,520,0.864,0.03986622506755948,0.0795,0.022
2,540,0.848,0.04105559697636989,0.0875,0.021
2,560,0.846,0.04606680813584289,0.0905,0.024
2,580,0.86,0.043920106399012164,0.081,0.02
2,600,0.86,0.034214721968681625,0.0795,0.018
2,620,0.872,0.034912681326914094,0.072,0.015
2,640,0.87,0.030803937325514244,0.0735,0.015
2,660,0.879,0.03878379527091064,0.0735,0.022
2,680,0.886,0.039606386255022503,0.0695,0.019
2,700,0.87,0.044909756497367025,0.076,0.021
2,720,0.89,0.029923099487057462,0.0635,0.019
2,740,0.899,0.03758530200865459,0.06,0.018
2,760,0.882,0.0317986118823735,0.067,0.014
2,780,0.897,0.032786798468159,0.059,0.014
2,800,0.894,0.039844657501684436,0.0585,0.011
2,820,0.894,0.03203669707426866,0.06,0.013
2,840,0.907,0.0243495171435678,0.0565,0.017
2,860,0.897,0.033906414450168294,0.0625,0.021
2,880,0.896,0.03644869203995303,0.0615,0.018
2,900,0.931,0.02566718391149658,0.0415,0.011
2,920,0.895,0.03154664455934183,0.058,0.012
2,940,0.915,0.03164390812709276,0.053,0.02
2,960,0.925,0.02578347185167273,0.0445,0.013
2,980,0.919,0.02836853661106134,0.049,0.016
2,1000,0.905,0.041540374048287004,0.0585,0.021
2,1020,0.932,0.030836363186748244,0.041,0.013
2,1040,0.917,0.02663846599592407,0.0495,0.015
2,1060,0.907,0.02973334690097164,0.053,0.01
2,1080,0.926,0.0279099240398762,0.044,0.014
2,1100,0.93,0.029712912924143943,0.0455,0.017
2,1120,0.926,0.030607424402929916,0.0445,0.014
2,1140,0.926,0.02997779724206749,0.043,0.011
2,1160,0.927,0.02282474138498435,0.044,0.013
2,1180,0.915,0.025721754708891174,0.0495,0.013
2,1200,0.932,0.027903660459192566,0.0435,0.016
2,1220,0.93,0.021450810895641163,0.0405,0.009
2,1240,0.934,0.027252884750824994,0.0435,0.02
2,1260,0.909,0.024648949763772268,0.051,0.01
2,1280,0.94,0.023894344558532826,0.037,0.013
2,1300,0.942,0.02653248838336848,0.0335,0.008
2,1320,0.931,0.028026971904269903,0.0395,0.008
2,1340,0.926,0.02316458874277822,0.0425,0.01
2,1360,0.932,0.03281593284101963,0.046,0.023
2,1380,0.934,0.023003403735348038,0.04,0.015
2,1400,0.934,0.026373325593400918,0.04,0.013
2,1420,0.937,0.02498431628960654,0.0395,0.015
2,1440,0.943,0.025583053915950192,0.0355,0.013
2,1460,0.933,0.01861601876859648,0.039,0.01
2,1480,0.932,0.023781087488346713,0.043,0.017
