$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
0.0,0.0,0.0,1.0,0.238
0.0,0.0,0.1,1.1,0.12
0.0,0.0,0.2,1.2,0.13
0.0,0.0,0.3,1.3,0.12
0.0,0.0,0.4,1.4,0.134
0.0,0.0,0.5,1.5,0.16
0.0,0.0,0.6,1.6,0.132
0.0,0.0,0.7,1.7,0.148
0.0,0.0,0.8,1.8,0.134
0.0,0.0,0.9,1.9,0.122
0.0,0.0,1.0,2.0,0.14
0.0,0.0,1.1,2.1,0.15
0.0,0.0,1.2,2.2,0.134
0.0,0.0,1.3,2.3,0.142
0.0,0.0,1.4,2.4,0.14
0.0,0.0,1.5,2.5,0.148
0.0,0.0,1.6,2.6,0.158
0.0,0.0,1.7,2.7,0.12
0.0,0.0,1.8,2.8,0.136
0.0,0.0,1.9,2.9,0.124
0.0,0.0,2.0,3.0,0.152
0.0,0.0,2.1,3.1,0.152
0.0,0.0,2.2,3.2,0.146
0.0,0.0,2.3,3.3,0.156
0.0,0.0,2.4,3.4,0.156
0.0,0.0,2.5,3.5,0.174
0.0,0.0,2.6,3.6,0.136
0.0,0.0,2.7,3.7,0.136
0.0,0.0,2.8,3.8,0.158
0.0,0.0,2.9,3.9,0.166
0.0,0.0,3.0,4.0,0.168
0.0,0.0,3.1,4.1,0.16
0.0,0.0,3.2,4.2,0.136
0.0,0.0,3.3,4.3,0.158
0.0,0.0,3.4,4.4,0.164
0.0,0.0,3.5,4.5,0.144
0.0,0.0,3.6,4.6,0.152
0.0,0.0,3.7,4.7,0.16
0.0,0.0,3.8,4.8,0.138
0.0,0.0,3.9,4.9,0.16
0.0,0.0,4.0,5.0,0.162
0.0,0.0,4.1,5.1,0.144
0.0,0.0,4.2,5.2,0.17
0.0,0.0,4.3,5.3,0.174
0.0,0.0,4.4,5.4,0.148
0.0,0.0,4.5,5.5,0.164
0.0,0.0,4.6,5.6,0.148
0.0,0.0,4.7,5.7,0.168
0.0,0.0,4.8,5.8,0.166
0.0,0.0,4.9,5.9,0.18
0.0,0.0,5.0,6.0,0.188
0.0,0.0,5.1,6.1,0.168
0.0,0.0,5.2,6.2,0.172
0.0,0.0,5.3,6.3,0.164
0.0,0.0,5.4,6.4,0.2
0.0,0.0,5.5,6.5,0.182
0.0,0.0,5.6,6.6,0.174
0.0,0.0,5.7,6.7,0.152
0.0,0.0,5.8,6.8,0.184
0.0,0.0,5.9,6.9,0.15
0.0,0.0,6.0,7.0,0.186
0.0,0.0,6.1,7.1,0.18
0.0,0.0,6.2,7.2,0.182
0.0,0.0,6.3,7.3,0.164
0.0,0.0,6.4,7.4,0.17
0.0,0.0,6.5,7.5,0.166
0.0,0.0,6.6,7.6,0.196
0.0,0.0,6.7,7.7,0.144
0.0,0.0,6.8,7.8,0.176
0.0,0.0,6.9,7.9,0.196
0.0,0.0,7.0,8.0,0.166
0.0,0.0,7.1,8.1,0.164
0.0,0.0,7.2,8.2,0.188
0.0,0.0,7.3,8.3,0.188
0.0,0.0,7.4,8.4,0.156
0.0,0.0,7.5,8.5,0.164
0.0,0.0,7.6,8.6,0.192
0.0,0.0,7.7,8.7,0.158
0.0,0.0,7.8,8.8,0.172
0.0,0.0,7.9,8.9,0.184
0.0,0.0,8.0,9.0,0.162
0.0,0.0,8.1,9.1,0.184
0.0,0.0,8.2,9.2,0.19
0.0,0.0,8.3,9.3,0.182
0.0,0.0,8.4,9.4,0.198
0.0,0.0,8.5,9.5,0.164
0.0,0.0,8.6,9.6,0.168
0.0,0.0,8.7,9.7,0.184
0.0,0.0,8.8,9.8,0.21
0.0,0.0,8.9,9.9,0.176
0.0,0.0,9.0,10.0,0.172
0.0,0.0,9.1,10.1,0.172
0.0,0.0,9.2,10.2,0.19
0.0,0.0,9.3,10.3,0.188
0.0,0.0,9.4,10.4,0.24
0.0,0.0,9.5,10.5,0.21
0.0,0.0,9.6,10.6,0.16
0.0,0.0,9.7,10.7,0.194
0.0,0.0,9.8,10.8,0.206
0.0,0.0,9.9,10.9,0.174
0.0,0.0,10.0,11.0,0.172
0.0,0.0,10.1,11.1,0.194
0.0,0.0,10.2,11.2,0.184
0.0,0.0,10.3,11.3,0.206
0.0,0.0,10.4,11.4,0.196
0.0,0.0,10.5,11.5,0.208
0.0,0.0,10.6,11.6,0.188
0.0,0.0,10.7,11.7,0.18
0.0,0.0,10.8,11.8,0.164
0.0,0.0,10.9,11.9,0.18
0.0,0.0,11.0,12.0,0.182
0.0,0.0,11.1,12.1,0.222
0.0,0.0,11.2,12.2,0.184
0.0,0.0,11.3,12.3,0.206
0.0,0.0,11.4,12.4,0.184
0.0,0.0,11.5,12.5,0.17
0.0,0.0,11.6,12.6,0.146
0.0,0.0,11.7,12.7,0.22
0.0,0.0,11.8,12.8,0.232
0.0,0.0,11.9,12.9,0.18
0.0,0.0,12.0,13.0,0.2
0.0,0.0,12.1,13.1,0.214
0.0,0.0,12.2,13.2,0.194
0.0,0.0,12.3,13.3,0.17
0.0,0.0,12.4,13.4,0.204
0.0,0.0,12.5,13.5,0.238
0.0,0.0,12.6,13.6,0.186
0.0,0.0,12.7,13.7,0.168
0.0,0.0,12.8,13.8,0.174
0.0,0.0,12.9,13.9,0.194
0.0,0.0,13.0,14.0,0.182
0.0,0.0,13.1,14.1,0.196
0.0,0.0,13.2,14.2,0.172
0.0,0.0,13.3,14.3,0.162
0.0,0.0,13.4,14.4,0.168
0.0,0.0,13.5,14.5,0.196
0.0,0.0,13.6,14.6,0.216
0.0,0.0,13.7,14.7,0.176
