,muh,mux,success_rate
0,-4.0,-4.0,0.866
1,-4.0,-3.92,0.851
2,-4.0,-3.84,0.847
3,-4.0,-3.76,0.836
4,-4.0,-3.68,0.836
5,-4.0,-3.6,0.81
6,-4.0,-3.52,0.802
7,-4.0,-3.44,0.806
8,-4.0,-3.36,0.797
9,-4.0,-3.28,0.776
10,-4.0,-3.2,0.752
11,-4.0,-3.12,0.732
12,-4.0,-3.04,0.735
13,-4.0,-2.96,0.689
14,-4.0,-2.88,0.672
15,-4.0,-2.8,0.632
16,-4.0,-2.72,0.617
17,-4.0,-2.64,0.617
18,-4.0,-2.56,0.565
19,-4.0,-2.48,0.528
20,-4.0,-2.4,0.514
21,-4.0,-2.32,0.458
22,-4.0,-2.24,0.428
23,-4.0,-2.16,0.433
24,-4.0,-2.08,0.382
25,-4.0,-2.0,0.341
26,-4.0,-1.92,0.336
27,-4.0,-1.84,0.313
28,-4.0,-1.76,0.285
29,-4.0,-1.68,0.28
30,-4.0,-1.6,0.259
31,-4.0,-1.52,0.2
32,-4.0,-1.44,0.214
33,-4.0,-1.36,0.187
34,-4.0,-1.28,0.197
35,-4.0,-1.2,0.172
36,-4.0,-1.12,0.17
37,-4.0,-1.04,0.164
38,-4.0,-0.96,0.139
39,-4.0,-0.88,0.142
40,-4.0,-0.8,0.153
41,-4.0,-0.72,0.142
42,-4.0,-0.64,0.121
43,-4.0,-0.56,0.133
44,-4.0,-0.48,0.134
45,-4.0,-0.4,0.127
46,-4.0,-0.32,0.113
47,-4.0,-0.24,0.119
48,-4.0,-0.16,0.111
49,-4.0,-0.08,0.113
50,-4.0,0.0,0.105
51,-4.0,0.08,0.106
52,-4.0,0.16,0.108
53,-4.0,0.24,0.103
54,-4.0,0.32,0.087
55,-4.0,0.4,0.108
56,-4.0,0.48,0.078
57,-4.0,0.56,0.097
58,-4.0,0.64,0.095
59,-4.0,0.72,0.118
60,-4.0,0.8,0.083
61,-4.0,0.88,0.086
62,-4.0,0.96,0.112
63,-4.0,1.04,0.108
64,-4.0,1.12,0.094
65,-4.0,1.2,0.112
66,-4.0,1.28,0.095
67,-4.0,1.36,0.108
68,-4.0,1.44,0.105
69,-4.0,1.52,0.106
70,-4.0,1.6,0.106
71,-4.0,1.68,0.093
72,-4.0,1.76,0.086
73,-4.0,1.84,0.108
74,-4.0,1.92,0.101
75,-4.0,2.0,0.106
76,-4.0,2.08,0.106
77,-4.0,2.16,0.098
78,-4.0,2.24,0.088
79,-4.0,2.32,0.117
80,-4.0,2.4,0.13
81,-4.0,2.48,0.114
82,-4.0,2.56,0.11
83,-4.0,2.64,0.095
84,-4.0,2.72,0.095
85,-4.0,2.8,0.105
86,-4.0,2.88,0.102
87,-4.0,2.96,0.086
88,-4.0,3.04,0.083
89,-4.0,3.12,0.086
90,-4.0,3.2,0.09
91,-4.0,3.28,0.114
92,-4.0,3.36,0.088
93,-4.0,3.44,0.082
94,-4.0,3.52,0.115
95,-4.0,3.6,0.092
96,-4.0,3.68,0.092
97,-4.0,3.76,0.103
98,-4.0,3.84,0.097
99,-4.0,3.92,0.084
100,-4.0,4.0,0.096
101,-3.92,-4.0,0.861
102,-3.92,-3.92,0.824
103,-3.92,-3.84,0.86
104,-3.92,-3.76,0.842
105,-3.92,-3.68,0.844
106,-3.92,-3.6,0.843
107,-3.92,-3.52,0.821
108,-3.92,-3.44,0.8
109,-3.92,-3.36,0.816
110,-3.92,-3.28,0.785
111,-3.92,-3.2,0.792
112,-3.92,-3.12,0.755
113,-3.92,-3.04,0.734
114,-3.92,-2.96,0.714
115,-3.92,-2.88,0.722
116,-3.92,-2.8,0.683
117,-3.92,-2.72,0.667
118,-3.92,-2.64,0.593
119,-3.92,-2.56,0.566
120,-3.92,-2.48,0.586
121,-3.92,-2.4,0.527
122,-3.92,-2.32,0.497
123,-3.92,-2.24,0.455
124,-3.92,-2.16,0.45
125,-3.92,-2.08,0.413
126,-3.92,-2.0,0.382
127,-3.92,-1.92,0.324
128,-3.92,-1.84,0.333
129,-3.92,-1.76,0.325
130,-3.92,-1.68,0.287
131,-3.92,-1.6,0.269
132,-3.92,-1.52,0.257
133,-3.92,-1.44,0.198
134,-3.92,-1.36,0.213
135,-3.92,-1.28,0.174
136,-3.92,-1.2,0.178
137,-3.92,-1.12,0.178
138,-3.92,-1.04,0.167
139,-3.92,-0.96,0.148
140,-3.92,-0.88,0.127
141,-3.92,-0.8,0.151
142,-3.92,-0.72,0.15
