,mum,nop,success_rate
0,1,2,0.664
1,2,2,0.723
2,3,2,0.78
3,4,2,0.7905
4,5,2,0.811
5,6,2,0.8385
6,7,2,0.8325
7,8,2,0.8385
8,9,2,0.8775
9,10,2,0.8665
10,11,2,0.8815
11,12,2,0.882
12,13,2,0.881
13,14,2,0.889
14,15,2,0.8925
15,16,2,0.8975
16,17,2,0.8875
17,18,2,0.8975
18,19,2,0.892
19,20,2,0.904
20,21,2,0.9005
21,22,2,0.912
22,23,2,0.905
23,24,2,0.9145
24,25,2,0.9145
25,26,2,0.9045
26,27,2,0.9165
27,28,2,0.9175
28,29,2,0.9165
29,30,2,0.914
30,31,2,0.9215
31,32,2,0.917
32,33,2,0.9305
33,34,2,0.931
34,35,2,0.922
35,36,2,0.9275
36,37,2,0.9295
37,38,2,0.937
38,39,2,0.929
39,40,2,0.9245
40,41,2,0.925
41,42,2,0.9235
42,43,2,0.9255
43,44,2,0.931
44,45,2,0.936
45,46,2,0.9385
46,47,2,0.924
47,48,2,0.9385
48,49,2,0.9445
49,50,2,0.9445
50,51,2,0.938
51,52,2,0.9515
52,53,2,0.934
53,54,2,0.938
54,55,2,0.941
55,56,2,0.9425
56,57,2,0.9225
57,58,2,0.9415
58,59,2,0.942
59,60,2,0.941
60,61,2,0.934
61,62,2,0.944
62,63,2,0.9475
63,64,2,0.943
64,65,2,0.9485
65,66,2,0.9415
66,67,2,0.9525
67,68,2,0.944
68,69,2,0.9415
69,70,2,0.9455
70,71,2,0.9495
71,72,2,0.9385
72,73,2,0.9375
73,74,2,0.947
74,75,2,0.9405
75,76,2,0.9505
76,77,2,0.955
77,78,2,0.9515
78,79,2,0.964
79,80,2,0.951
80,81,2,0.9545
81,82,2,0.9505
82,83,2,0.9635
83,84,2,0.9475
84,85,2,0.951
85,86,2,0.9505
86,87,2,0.957
87,88,2,0.953
88,89,2,0.9495
89,90,2,0.949
90,91,2,0.96
91,92,2,0.958
92,93,2,0.9545
93,94,2,0.952
94,95,2,0.9585
95,96,2,0.955
96,97,2,0.953
97,98,2,0.9545
98,99,2,0.9565
99,100,2,0.9545
100,1,10,0.1975
101,2,10,0.299
102,3,10,0.366
103,4,10,0.412
104,5,10,0.4365
105,6,10,0.491
106,7,10,0.532
107,8,10,0.565
108,9,10,0.578
109,10,10,0.5755
110,11,10,0.5785
111,12,10,0.601
112,13,10,0.614
113,14,10,0.645
114,15,10,0.6375
115,16,10,0.6585
116,17,10,0.6585
117,18,10,0.694
118,19,10,0.6825
119,20,10,0.694
120,21,10,0.7035
121,22,10,0.7155
122,23,10,0.72
123,24,10,0.736
124,25,10,0.7245
125,26,10,0.713
126,27,10,0.7385
127,28,10,0.7435
128,29,10,0.7495
129,30,10,0.759
130,31,10,0.738
131,32,10,0.757
132,33,10,0.7465
133,34,10,0.76
134,35,10,0.759
135,36,10,0.7485
136,37,10,0.7685
137,38,10,0.755
138,39,10,0.781
139,40,10,0.7745
140,41,10,0.797
141,42,10,0.7805
142,43,10,0.8045
143,44,10,0.787
144,45,10,0.786
145,46,10,0.7865
146,47,10,0.7975
147,48,10,0.797
148,49,10,0.803
149,50,10,0.8005
150,51,10,0.7955
151,52,10,0.8265
152,53,10,0.7935
153,54,10,0.8035
154,55,10,0.787
155,56,10,0.8185
156,57,10,0.8125
157,58,10,0.8085
158,59,10,0.823
159,60,10,0.812
160,61,10,0.82
161,62,10,0.8235
162,63,10,0.826
163,64,10,0.8265
164,65,10,0.8195
165,66,10,0.821
166,67,10,0.8295
167,68,10,0.824
168,69,10,0.8355
169,70,10,0.8235
170,71,10,0.83
171,72,10,0.833
172,73,10,0.8245
173,74,10,0.8245
174,75,10,0.85
175,76,10,0.8305
176,77,10,0.8435
177,78,10,0.8455
178,79,10,0.8395
179,80,10,0.84
180,81,10,0.833
181,82,10,0.8385
182,83,10,0.8575
183,84,10,0.845
184,85,10,0.844
185,86,10,0.8415
186,87,10,0.8335
187,88,10,0.8465
188,89,10,0.841
189,90,10,0.8525
190,91,10,0.8605
191,92,10,0.8425
192,93,10,0.862
193,94,10,0.8575
194,95,10,0.8565
195,96,10,0.8435
196,97,10,0.849
197,98,10,0.8515
198,99,10,0.854
199,100,10,0.857
200,1,40,0.05
201,2,40,0.0755
202,3,40,0.0975
203,4,40,0.123
204,5,40,0.1545
205,6,40,0.1835
206,7,40,0.2035
207,8,40,0.206
208,9,40,0.235
209,10,40,0.262
210,11,40,0.28
211,12,40,0.2815
212,13,40,0.325
213,14,40,0.3415
214,15,40,0.344
215,16,40,0.37
216,17,40,0.375
217,18,40,0.398
218,19,40,0.393
219,20,40,0.444
220,21,40,0.4265
221,22,40,0.4375
222,23,40,0.4255
223,24,40,0.443
224,25,40,0.466
225,26,40,0.449
226,27,40,0.486
227,28,40,0.4915
228,29,40,0.48
229,30,40,0.5035
230,31,40,0.4995
231,32,40,0.52
232,33,40,0.526
233,34,40,0.532
234,35,40,0.5245
235,36,40,0.527
236,37,40,0.54
237,38,40,0.554
238,39,40,0.5325
239,40,40,0.5505
240,41,40,0.5375
241,42,40,0.5635
242,43,40,0.555
243,44,40,0.577
244,45,40,0.5785
245,46,40,0.584
246,47,40,0.5875
247,48,40,0.606
248,49,40,0.594
249,50,40,0.606
250,51,40,0.593
251,52,40,0.6125
252,53,40,0.61
253,54,40,0.5865
254,55,40,0.628
255,56,40,0.62
256,57,40,0.625
257,58,40,0.6265
258,59,40,0.633
259,60,40,0.6285
260,61,40,0.639
261,62,40,0.6245
262,63,40,0.6125
263,64,40,0.6345
264,65,40,0.644
265,66,40,0.642
266,67,40,0.6465
267,68,40,0.654
268,69,40,0.6535
269,70,40,0.656
270,71,40,0.677
271,72,40,0.657
272,73,40,0.6715
273,74,40,0.665
274,75,40,0.657
275,76,40,0.6765
276,77,40,0.662
277,78,40,0.6845
278,79,40,0.665
279,80,40,0.679
280,81,40,0.661
281,82,40,0.706
282,83,40,0.6775
283,84,40,0.6925
284,85,40,0.7005
285,86,40,0.693
286,87,40,0.6945
287,88,40,0.678
288,89,40,0.672
289,90,40,0.6885
290,91,40,0.6905
291,92,40,0.6925
292,93,40,0.6995
293,94,40,0.7065
294,95,40,0.721
295,96,40,0.6945
296,97,40,0.689
297,98,40,0.7065
298,99,40,0.728
299,100,40,0.712
300,1,60,0.03
301,2,60,0.044
302,3,60,0.0685
303,4,60,0.0945
304,5,60,0.097
305,6,60,0.118
306,7,60,0.1405
307,8,60,0.138
308,9,60,0.1645
309,10,60,0.182
310,11,60,0.193
311,12,60,0.2135
312,13,60,0.228
313,14,60,0.255
314,15,60,0.259
315,16,60,0.2585
316,17,60,0.272
317,18,60,0.3085
318,19,60,0.3115
319,20,60,0.3175
320,21,60,0.3405
321,22,60,0.3325
322,23,60,0.353
323,24,60,0.351
324,25,60,0.3715
325,26,60,0.369
326,27,60,0.3855
327,28,60,0.3825
328,29,60,0.415
329,30,60,0.4195
330,31,60,0.406
331,32,60,0.4305
332,33,60,0.439
333,34,60,0.4485
334,35,60,0.4325
335,36,60,0.4605
336,37,60,0.447
337,38,60,0.451
338,39,60,0.464
339,40,60,0.47
340,41,60,0.491
341,42,60,0.486
342,43,60,0.4745
343,44,60,0.486
344,45,60,0.509
345,46,60,0.4975
346,47,60,0.5035
347,48,60,0.5085
348,49,60,0.5275
349,50,60,0.5145
350,51,60,0.513
351,52,60,0.5135
352,53,60,0.529
353,54,60,0.5295
354,55,60,0.5375
355,56,60,0.544
356,57,60,0.539
357,58,60,0.5525
358,59,60,0.548
359,60,60,0.5465
360,61,60,0.5565
361,62,60,0.555
362,63,60,0.563
363,64,60,0.5545
364,65,60,0.5595
365,66,60,0.5865
366,67,60,0.592
367,68,60,0.583
368,69,60,0.5835
369,70,60,0.567
370,71,60,0.572
371,72,60,0.5855
372,73,60,0.586
373,74,60,0.576
374,75,60,0.592
375,76,60,0.5865
376,77,60,0.6
377,78,60,0.619
378,79,60,0.614
379,80,60,0.6035
380,81,60,0.6115
381,82,60,0.618
382,83,60,0.612
383,84,60,0.619
384,85,60,0.606
385,86,60,0.635
386,87,60,0.623
387,88,60,0.621
388,89,60,0.611
389,90,60,0.6405
390,91,60,0.622
391,92,60,0.6255
392,93,60,0.6355
393,94,60,0.633
394,95,60,0.646
395,96,60,0.6395
396,97,60,0.6465
397,98,60,0.6535
398,99,60,0.6405
399,100,60,0.6345
