,opt,sigma,success_rate
0,2,0.0,0.755
1,2,0.01,0.786
2,2,0.02,0.78
3,2,0.03,0.767
4,2,0.04,0.785
5,2,0.05,0.777
6,2,0.06,0.818
7,2,0.07,0.827
8,2,0.08,0.828
9,2,0.09,0.823
10,2,0.1,0.821
11,2,0.11,0.838
12,2,0.12,0.843
13,2,0.13,0.858
14,2,0.14,0.882
15,2,0.15,0.859
16,2,0.16,0.873
17,2,0.17,0.877
18,2,0.18,0.891
19,2,0.19,0.893
20,2,0.2,0.891
21,2,0.21,0.894
22,2,0.22,0.894
23,2,0.23,0.921
24,2,0.24,0.91
25,2,0.25,0.944
26,2,0.26,0.927
27,2,0.27,0.924
28,2,0.28,0.937
29,2,0.29,0.93
30,2,0.3,0.941
31,2,0.31,0.935
32,2,0.32,0.951
33,2,0.33,0.948
34,2,0.34,0.957
35,2,0.35000000000000003,0.947
36,2,0.36,0.936
37,2,0.37,0.941
38,2,0.38,0.949
39,2,0.39,0.959
40,2,0.4,0.954
41,2,0.41000000000000003,0.932
42,2,0.42,0.952
43,2,0.43,0.96
44,2,0.44,0.967
45,2,0.45,0.96
46,2,0.46,0.945
47,2,0.47000000000000003,0.955
48,2,0.48,0.965
49,2,0.49,0.958
50,2,0.5,0.957
51,2,0.51,0.956
52,2,0.52,0.955
53,2,0.53,0.965
54,2,0.54,0.959
55,2,0.55,0.973
56,2,0.56,0.959
57,2,0.5700000000000001,0.965
58,2,0.58,0.964
59,2,0.59,0.961
60,2,0.6,0.953
61,2,0.61,0.96
62,2,0.62,0.968
63,2,0.63,0.969
64,2,0.64,0.962
65,2,0.65,0.966
66,2,0.66,0.96
67,2,0.67,0.969
68,2,0.68,0.964
69,2,0.6900000000000001,0.963
70,2,0.7000000000000001,0.967
71,2,0.71,0.97
72,2,0.72,0.965
73,2,0.73,0.956
74,2,0.74,0.956
75,2,0.75,0.95
76,2,0.76,0.961
77,2,0.77,0.967
78,2,0.78,0.967
79,2,0.79,0.953
80,2,0.8,0.965
81,2,0.81,0.964
82,2,0.8200000000000001,0.964
83,2,0.8300000000000001,0.958
84,2,0.84,0.969
85,2,0.85,0.958
86,2,0.86,0.964
87,2,0.87,0.956
88,2,0.88,0.957
89,2,0.89,0.956
90,2,0.9,0.959
91,2,0.91,0.966
92,2,0.92,0.965
93,2,0.93,0.963
94,2,0.9400000000000001,0.962
95,2,0.9500000000000001,0.959
96,2,0.96,0.936
97,2,0.97,0.957
98,2,0.98,0.96
99,2,0.99,0.95
100,2,1.0,0.955
101,2,1.01,0.954
102,2,1.02,0.945
103,2,1.03,0.958
104,2,1.04,0.953
105,2,1.05,0.949
106,2,1.06,0.954
107,2,1.07,0.951
108,2,1.08,0.951
109,2,1.09,0.948
110,2,1.1,0.964
111,2,1.11,0.966
112,2,1.12,0.934
113,2,1.1300000000000001,0.938
114,2,1.1400000000000001,0.944
115,2,1.1500000000000001,0.952
116,2,1.16,0.957
117,2,1.17,0.947
118,2,1.18,0.95
119,2,1.19,0.95
120,2,1.2,0.945
121,2,1.21,0.93
122,2,1.22,0.954
123,2,1.23,0.941
124,2,1.24,0.962
125,2,1.25,0.954
126,2,1.26,0.956
127,2,1.27,0.94
128,2,1.28,0.95
129,2,1.29,0.949
130,2,1.3,0.958
131,2,1.31,0.959
132,2,1.32,0.942
133,2,1.33,0.948
134,2,1.34,0.933
135,2,1.35,0.956
136,2,1.36,0.945
137,2,1.37,0.945
138,2,1.3800000000000001,0.931
139,2,1.3900000000000001,0.951
140,2,1.4000000000000001,0.935
141,2,1.41,0.923
142,2,1.42,0.94
143,2,1.43,0.934
144,2,1.44,0.946
145,2,1.45,0.926
146,2,1.46,0.938
147,2,1.47,0.932
148,2,1.48,0.929
149,2,1.49,0.932
150,2,1.5,0.945
151,2,1.51,0.94
152,2,1.52,0.942
153,2,1.53,0.936
154,2,1.54,0.931
155,2,1.55,0.942
156,2,1.56,0.944
157,2,1.57,0.928
158,2,1.58,0.937
159,2,1.59,0.927
160,2,1.6,0.932
161,2,1.61,0.938
162,2,1.62,0.93
163,2,1.6300000000000001,0.942
164,2,1.6400000000000001,0.936
165,2,1.6500000000000001,0.931
166,2,1.6600000000000001,0.931
167,2,1.67,0.932
168,2,1.68,0.926
169,2,1.69,0.929
170,2,1.7,0.938
171,2,1.71,0.924
172,2,1.72,0.927
173,2,1.73,0.919
174,2,1.74,0.931
175,2,1.75,0.931
176,2,1.76,0.943
177,2,1.77,0.916
178,2,1.78,0.926
179,2,1.79,0.921
180,2,1.8,0.93
181,2,1.81,0.926
182,2,1.82,0.921
183,2,1.83,0.927
184,2,1.84,0.928
185,2,1.85,0.917
186,2,1.86,0.922
187,2,1.87,0.935
188,2,1.8800000000000001,0.932
189,2,1.8900000000000001,0.927
190,2,1.9000000000000001,0.942
191,2,1.9100000000000001,0.92
192,2,1.92,0.915
193,2,1.93,0.925
194,2,1.94,0.91
195,2,1.95,0.911
196,2,1.96,0.921
197,2,1.97,0.924
198,2,1.98,0.935
199,2,1.99,0.917
200,2,2.0,0.92
201,2,2.0100000000000002,0.909
202,2,2.02,0.918
203,2,2.0300000000000002,0.908
204,2,2.04,0.925
205,2,2.05,0.919
206,2,2.06,0.931
207,2,2.07,0.928
208,2,2.08,0.923
209,2,2.09,0.902
210,2,2.1,0.914
211,2,2.11,0.911
212,2,2.12,0.911
213,2,2.13,0.9
214,2,2.14,0.917
215,2,2.15,0.915
216,2,2.16,0.908
217,2,2.17,0.92
218,2,2.18,0.916
219,2,2.19,0.902
220,2,2.2,0.923
221,2,2.21,0.923
222,2,2.22,0.919
223,2,2.23,0.911
224,2,2.24,0.91
225,2,2.25,0.92
226,2,2.2600000000000002,0.908
227,2,2.27,0.901
228,2,2.2800000000000002,0.911
229,2,2.29,0.907
230,2,2.3000000000000003,0.908
231,2,2.31,0.918
232,2,2.32,0.901
233,2,2.33,0.917
234,2,2.34,0.893
235,2,2.35,0.912
236,2,2.36,0.9
237,2,2.37,0.911
238,2,2.38,0.901
239,2,2.39,0.896
240,2,2.4,0.904
241,2,2.41,0.89
242,2,2.42,0.899
243,2,2.43,0.907
244,2,2.44,0.892
245,2,2.45,0.896
246,2,2.46,0.916
247,2,2.47,0.923
248,2,2.48,0.899
249,2,2.49,0.891
250,2,2.5,0.901
251,2,2.5100000000000002,0.899
252,2,2.52,0.896
253,2,2.5300000000000002,0.909
254,2,2.54,0.889
255,2,2.5500000000000003,0.89
256,2,2.56,0.899
257,2,2.57,0.922
258,2,2.58,0.893
259,2,2.59,0.902
260,2,2.6,0.891
261,2,2.61,0.906
262,2,2.62,0.888
263,2,2.63,0.886
264,2,2.64,0.882
265,2,2.65,0.892
266,2,2.66,0.891
267,2,2.67,0.891
268,2,2.68,0.897
269,2,2.69,0.881
270,2,2.7,0.898
271,2,2.71,0.898
272,2,2.72,0.915
273,2,2.73,0.887
274,2,2.74,0.882
275,2,2.75,0.886
276,2,2.7600000000000002,0.903
277,2,2.77,0.885
278,2,2.7800000000000002,0.896
279,2,2.79,0.883
280,2,2.8000000000000003,0.889
281,2,2.81,0.903
282,2,2.82,0.894
283,2,2.83,0.89
284,2,2.84,0.87
285,2,2.85,0.903
286,2,2.86,0.879
287,2,2.87,0.894
288,2,2.88,0.885
289,2,2.89,0.888
290,2,2.9,0.887
291,2,2.91,0.909
292,2,2.92,0.886
293,2,2.93,0.896
294,2,2.94,0.889
295,2,2.95,0.897
296,2,2.96,0.888
297,2,2.97,0.892
298,2,2.98,0.894
299,2,2.99,0.888
300,2,3.0,0.884
301,2,3.0100000000000002,0.897
302,2,3.02,0.89
303,2,3.0300000000000002,0.891
304,2,3.04,0.893
305,2,3.0500000000000003,0.878
306,2,3.06,0.895
307,2,3.0700000000000003,0.874
308,2,3.08,0.885
309,2,3.09,0.88
310,2,3.1,0.875
311,2,3.11,0.893
312,2,3.12,0.878
313,2,3.13,0.88
314,2,3.14,0.879
315,2,3.15,0.886
316,2,3.16,0.884
317,2,3.17,0.893
318,2,3.18,0.874
319,2,3.19,0.882
320,2,3.2,0.875
321,2,3.21,0.876
322,2,3.22,0.862
323,2,3.23,0.89
324,2,3.24,0.855
325,2,3.25,0.877
326,2,3.2600000000000002,0.862
327,2,3.27,0.866
328,2,3.2800000000000002,0.868
329,2,3.29,0.859
