,mu,sigma,success_rate
0,-4.0,0.0,0.09866666666666667
1,-4.0,0.01,0.10166666666666667
2,-4.0,0.02,0.10766666666666666
3,-4.0,0.03,0.105
4,-4.0,0.04,0.10266666666666667
5,-4.0,0.05,0.098
6,-4.0,0.06,0.10933333333333334
7,-4.0,0.07,0.09866666666666667
8,-4.0,0.08,0.09233333333333334
9,-4.0,0.09,0.09833333333333333
10,-4.0,0.1,0.10233333333333333
11,-4.0,0.11,0.09
12,-4.0,0.12,0.10133333333333333
13,-4.0,0.13,0.10466666666666667
14,-4.0,0.14,0.08933333333333333
15,-4.0,0.15,0.09266666666666666
16,-4.0,0.16,0.09333333333333334
17,-4.0,0.17,0.09966666666666667
18,-4.0,0.18,0.098
19,-4.0,0.19,0.09266666666666666
20,-4.0,0.2,0.095
21,-4.0,0.21,0.101
22,-4.0,0.22,0.103
23,-4.0,0.23,0.09833333333333333
24,-4.0,0.24,0.09766666666666667
25,-4.0,0.25,0.10433333333333333
26,-4.0,0.26,0.09466666666666666
27,-4.0,0.27,0.09933333333333333
28,-4.0,0.28,0.10433333333333333
29,-4.0,0.29,0.10166666666666667
30,-4.0,0.3,0.09966666666666667
31,-4.0,0.31,0.10733333333333334
32,-4.0,0.32,0.08833333333333333
33,-4.0,0.33,0.10966666666666666
34,-4.0,0.34,0.1
35,-4.0,0.35,0.10166666666666667
36,-4.0,0.36,0.11066666666666666
37,-4.0,0.37,0.10233333333333333
38,-4.0,0.38,0.10066666666666667
39,-4.0,0.39,0.10166666666666667
40,-4.0,0.4,0.112
41,-4.0,0.41,0.10233333333333333
42,-4.0,0.42,0.09733333333333333
43,-4.0,0.43,0.09533333333333334
44,-4.0,0.44,0.103
45,-4.0,0.45,0.10933333333333334
46,-4.0,0.46,0.09366666666666666
47,-4.0,0.47,0.10233333333333333
48,-4.0,0.48,0.09733333333333333
49,-4.0,0.49,0.08666666666666667
50,-4.0,0.5,0.09533333333333334
51,-4.0,0.51,0.108
52,-4.0,0.52,0.092
53,-4.0,0.53,0.09766666666666667
54,-4.0,0.54,0.10666666666666667
55,-4.0,0.55,0.09333333333333334
56,-4.0,0.56,0.10166666666666667
57,-4.0,0.57,0.1
58,-4.0,0.58,0.10866666666666666
59,-4.0,0.59,0.10233333333333333
60,-4.0,0.6,0.09533333333333334
61,-4.0,0.61,0.09966666666666667
62,-4.0,0.62,0.09433333333333334
63,-4.0,0.63,0.108
64,-4.0,0.64,0.11533333333333333
65,-4.0,0.65,0.10866666666666666
66,-4.0,0.66,0.10166666666666667
67,-4.0,0.67,0.10666666666666667
68,-4.0,0.68,0.10033333333333333
69,-4.0,0.69,0.10433333333333333
70,-4.0,0.7,0.096
71,-4.0,0.71,0.10466666666666667
72,-4.0,0.72,0.09533333333333334
73,-4.0,0.73,0.10766666666666666
74,-4.0,0.74,0.093
75,-4.0,0.75,0.097
76,-4.0,0.76,0.117
77,-4.0,0.77,0.102
78,-4.0,0.78,0.092
79,-4.0,0.79,0.09633333333333334
80,-4.0,0.8,0.104
81,-4.0,0.81,0.096
82,-4.0,0.82,0.09933333333333333
83,-4.0,0.83,0.102
84,-4.0,0.84,0.10333333333333333
85,-4.0,0.85,0.10566666666666667
86,-4.0,0.86,0.10733333333333334
87,-4.0,0.87,0.10966666666666666
88,-4.0,0.88,0.10866666666666666
89,-4.0,0.89,0.09566666666666666
90,-4.0,0.9,0.109
91,-4.0,0.91,0.10833333333333334
92,-4.0,0.92,0.10733333333333334
93,-4.0,0.93,0.10733333333333334
94,-4.0,0.94,0.11166666666666666
95,-4.0,0.95,0.10566666666666667
96,-4.0,0.96,0.11066666666666666
97,-4.0,0.97,0.104
98,-4.0,0.98,0.11033333333333334
99,-4.0,0.99,0.10566666666666667
100,-4.0,1.0,0.101
101,-3.92,0.0,0.09233333333333334
102,-3.92,0.01,0.09533333333333334
103,-3.92,0.02,0.094
104,-3.92,0.03,0.09933333333333333
105,-3.92,0.04,0.102
106,-3.92,0.05,0.09833333333333333
107,-3.92,0.06,0.09566666666666666
108,-3.92,0.07,0.105
109,-3.92,0.08,0.09533333333333334
110,-3.92,0.09,0.10233333333333333
111,-3.92,0.1,0.099
112,-3.92,0.11,0.10133333333333333
113,-3.92,0.12,0.09566666666666666
114,-3.92,0.13,0.09966666666666667
115,-3.92,0.14,0.09566666666666666
116,-3.92,0.15,0.09966666666666667
