,opt,sigma,success_rate
0,2,0.0,0.747
1,2,0.01,0.765
2,2,0.02,0.796
3,2,0.03,0.765
4,2,0.04,0.784
5,2,0.05,0.808
6,2,0.06,0.82
7,2,0.07,0.799
8,2,0.08,0.818
9,2,0.09,0.85
10,2,0.1,0.829
11,2,0.11,0.833
12,2,0.12,0.849
13,2,0.13,0.85
14,2,0.14,0.858
15,2,0.15,0.872
16,2,0.16,0.853
17,2,0.17,0.87
18,2,0.18,0.888
19,2,0.19,0.903
20,2,0.2,0.901
21,2,0.21,0.911
22,2,0.22,0.917
23,2,0.23,0.905
24,2,0.24,0.921
25,2,0.25,0.929
26,2,0.26,0.923
27,2,0.27,0.926
28,2,0.28,0.928
29,2,0.29,0.938
30,2,0.3,0.921
31,2,0.31,0.944
32,2,0.32,0.933
33,2,0.33,0.945
34,2,0.34,0.942
35,2,0.35000000000000003,0.943
36,2,0.36,0.941
37,2,0.37,0.949
38,2,0.38,0.956
39,2,0.39,0.954
40,2,0.4,0.949
41,2,0.41000000000000003,0.948
42,2,0.42,0.95
43,2,0.43,0.968
44,2,0.44,0.953
45,2,0.45,0.956
46,2,0.46,0.966
47,2,0.47000000000000003,0.963
48,2,0.48,0.96
49,2,0.49,0.965
50,2,0.5,0.958
51,2,0.51,0.968
52,2,0.52,0.967
53,2,0.53,0.967
54,2,0.54,0.957
55,2,0.55,0.963
56,2,0.56,0.969
57,2,0.5700000000000001,0.958
58,2,0.58,0.94
59,2,0.59,0.964
60,2,0.6,0.965
61,2,0.61,0.975
62,2,0.62,0.962
63,2,0.63,0.964
64,2,0.64,0.959
65,2,0.65,0.965
66,2,0.66,0.964
67,2,0.67,0.965
68,2,0.68,0.967
69,2,0.6900000000000001,0.968
70,2,0.7000000000000001,0.97
71,2,0.71,0.958
72,2,0.72,0.965
73,2,0.73,0.96
74,2,0.74,0.968
75,2,0.75,0.957
76,2,0.76,0.967
77,2,0.77,0.968
78,2,0.78,0.958
79,2,0.79,0.965
80,2,0.8,0.954
81,2,0.81,0.96
82,2,0.8200000000000001,0.961
83,2,0.8300000000000001,0.963
84,2,0.84,0.957
