mux1,mux2,muh1,muh2,success_rate
1.6,3.2,0.0,0.0,0.22
-1.9,-3.8,-2.5,-2.5,0.868
6.4,12.8,-3.8,-3.8,0.096
-3.3,-6.6,-3.5,-3.5,0.891
-2.6,-5.2,-3.0,-3.0,0.895
-0.5,-1.0,-1.5,-1.5,0.773
-4.0,-8.0,-4.0,-4.0,0.894
0.2,0.4,-1.0,-1.0,0.615
9.9,19.8,-1.3,-1.3,0.096
12.7,25.4,0.7,0.7,0.096
12.0,24.0,0.2,0.2,0.096
7.1,14.2,-3.3,-3.3,0.096
-1.2,-2.4,-2.0,-2.0,0.847
2.3,4.6,0.5,0.5,0.176
10.6,21.2,-0.8,-0.8,0.096
7.8,15.6,-2.8,-2.8,0.096
11.3,22.6,-0.3,-0.3,0.096
9.2,18.4,-1.8,-1.8,0.096
0.9,1.8,-0.5,-0.5,0.381
8.5,17.0,-2.3,-2.3,0.096
-2.5,-5.0,-3.0,-3.0,0.871
-1.8,-3.6,-2.5,-2.5,0.861
6.5,13.0,-3.8,-3.8,0.098
-3.2,-6.4,-3.5,-3.5,0.909
10.0,20.0,-1.3,-1.3,0.098
12.1,24.2,0.2,0.2,0.098
1.7,3.4,0.0,0.0,0.234
-3.9,-7.8,-4.0,-4.0,0.899
-0.4,-0.8,-1.5,-1.5,0.73
-1.1,-2.2,-2.0,-2.0,0.814
0.3,0.6,-1.0,-1.0,0.572
7.2,14.4,-3.3,-3.3,0.098
1.0,2.0,-0.5,-0.5,0.334
2.4,4.8,0.5,0.5,0.169
9.3,18.6,-1.8,-1.8,0.098
10.7,21.4,-0.8,-0.8,0.098
12.8,25.6,0.7,0.7,0.098
7.9,15.8,-2.8,-2.8,0.098
8.6,17.2,-2.3,-2.3,0.098
11.4,22.8,-0.3,-0.3,0.098
-2.4,-4.8,-3.0,-3.0,0.88
-1.7,-3.4,-2.5,-2.5,0.85
1.8,3.6,0.0,0.0,0.189
10.1,20.2,-1.3,-1.3,0.105
-3.1,-6.2,-3.5,-3.5,0.895
2.5,5.0,0.5,0.5,0.183
-3.8,-7.6,-4.0,-4.0,0.904
6.6,13.2,-3.8,-3.8,0.105
-0.3,-0.6,-1.5,-1.5,0.705
10.8,21.6,-0.8,-0.8,0.105
0.4,0.8,-1.0,-1.0,0.502
12.2,24.4,0.2,0.2,0.105
1.1,2.2,-0.5,-0.5,0.294
9.4,18.8,-1.8,-1.8,0.105
-1.0,-2.0,-2.0,-2.0,0.783
7.3,14.6,-3.3,-3.3,0.105
8.0,16.0,-2.8,-2.8,0.105
12.9,25.8,0.7,0.7,0.105
8.7,17.4,-2.3,-2.3,0.105
11.5,23.0,-0.3,-0.3,0.105
