,$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
0,0,0,0,0,0.194
1,0,0,0.04,0.08,0.122
2,0,0,0.08,0.16,0.137
3,0,0,0.12,0.24,0.146
4,0,0,0.16,0.32,0.158
5,0,0,0.2,0.4,0.138
6,0,0,0.24,0.48,0.123
7,0,0,0.28,0.56,0.119
8,0,0,0.32,0.64,0.156
9,0,0,0.36,0.72,0.143
10,0,0,0.4,0.8,0.183
11,0,0,0.44,0.88,0.161
12,0,0,0.48,0.96,0.153
13,0,0,0.52,1.04,0.179
14,0,0,0.56,1.12,0.139
15,0,0,0.6,1.2,0.161
16,0,0,0.64,1.28,0.183
17,0,0,0.68,1.36,0.153
18,0,0,0.72,1.44,0.173
19,0,0,0.76,1.52,0.182
20,0,0,0.8,1.6,0.163
21,0,0,0.84,1.68,0.178
22,0,0,0.88,1.76,0.181
23,0,0,0.92,1.84,0.197
24,0,0,0.96,1.92,0.173
25,0,0,1,2,0.214
26,0,0,1.04,2.08,0.182
27,0,0,1.08,2.16,0.202
28,0,0,1.12,2.24,0.188
29,0,0,1.16,2.32,0.201
30,0,0,1.2,2.4,0.189
31,0,0,1.24,2.48,0.184
32,0,0,1.28,2.56,0.196
33,0,0,1.32,2.64,0.18
34,0,0,1.36,2.72,0.193
35,0,0,1.4,2.8,0.181
36,0,0,1.44,2.88,0.176
37,0,0,1.48,2.96,0.193
38,0,0,1.52,3.04,0.193
39,0,0,1.56,3.12,0.194
40,0,0,1.6,3.2,0.181
41,0,0,1.64,3.28,0.192
42,0,0,1.68,3.36,0.202
43,0,0,1.72,3.44,0.196
44,0,0,1.76,3.52,0.211
45,0,0,1.8,3.6,0.212
46,0,0,1.84,3.68,0.181
47,0,0,1.88,3.76,0.198
48,0,0,1.92,3.84,0.202
49,0,0,1.96,3.92,0.196
50,0,0,2,4,0.23
51,0,0,2.04,4.08,0.189
52,0,0,2.08,4.16,0.214
53,0,0,2.12,4.24,0.228
54,0,0,2.16,4.32,0.211
55,0,0,2.2,4.4,0.2
56,0,0,2.24,4.48,0.214
57,0,0,2.28,4.56,0.185
58,0,0,2.32,4.64,0.215
59,0,0,2.36,4.72,0.171
60,0,0,2.4,4.8,0.212
61,0,0,2.44,4.88,0.232
62,0,0,2.48,4.96,0.219
63,0,0,2.52,5.04,0.193
64,0,0,2.56,5.12,0.2
65,0,0,2.6,5.2,0.222
66,0,0,2.64,5.28,0.197
67,0,0,2.68,5.36,0.19
68,0,0,2.72,5.44,0.222
69,0,0,2.76,5.52,0.216
70,0,0,2.8,5.6,0.222
71,0,0,2.84,5.68,0.207
72,0,0,2.88,5.76,0.197
73,0,0,2.92,5.84,0.194
74,0,0,2.96,5.92,0.207
75,0,0,3,6,0.201
76,0,0,3.04,6.08,0.211
77,0,0,3.08,6.16,0.212
78,0,0,3.12,6.24,0.208
79,0,0,3.16,6.32,0.193
80,0,0,3.2,6.4,0.214
81,0,0,3.24,6.48,0.212
82,0,0,3.28,6.56,0.215
83,0,0,3.32,6.64,0.238
84,0,0,3.36,6.72,0.22
85,0,0,3.4,6.8,0.2
86,0,0,3.44,6.88,0.197
87,0,0,3.48,6.96,0.206
88,0,0,3.52,7.04,0.218
89,0,0,3.56,7.12,0.212
90,0,0,3.6,7.2,0.216
91,0,0,3.64,7.28,0.223
92,0,0,3.68,7.36,0.225
93,0,0,3.72,7.44,0.202
94,0,0,3.76,7.52,0.212
95,0,0,3.8,7.6,0.183
96,0,0,3.84,7.68,0.218
97,0,0,3.88,7.76,0.194
98,0,0,3.92,7.84,0.215
99,0,0,3.96,7.92,0.211
100,0,0,4,8,0.227
101,0.04,0.04,0,0,0.216
102,0.04,0.04,0.04,0.08,0.198
103,0.04,0.04,0.08,0.16,0.189
104,0.04,0.04,0.12,0.24,0.168
105,0.04,0.04,0.16,0.32,0.161
106,0.04,0.04,0.2,0.4,0.156
107,0.04,0.04,0.24,0.48,0.142
108,0.04,0.04,0.28,0.56,0.151
109,0.04,0.04,0.32,0.64,0.154
110,0.04,0.04,0.36,0.72,0.141
111,0.04,0.04,0.4,0.8,0.188
112,0.04,0.04,0.44,0.88,0.179
113,0.04,0.04,0.48,0.96,0.17
114,0.04,0.04,0.52,1.04,0.156
115,0.04,0.04,0.56,1.12,0.192
116,0.04,0.04,0.6,1.2,0.184
117,0.04,0.04,0.64,1.28,0.179
118,0.04,0.04,0.68,1.36,0.199
119,0.04,0.04,0.72,1.44,0.179
120,0.04,0.04,0.76,1.52,0.191
121,0.04,0.04,0.8,1.6,0.185
122,0.04,0.04,0.84,1.68,0.183
123,0.04,0.04,0.88,1.76,0.176
124,0.04,0.04,0.92,1.84,0.225
125,0.04,0.04,0.96,1.92,0.187
126,0.04,0.04,1,2,0.188
127,0.04,0.04,1.04,2.08,0.196
128,0.04,0.04,1.08,2.16,0.198
129,0.04,0.04,1.12,2.24,0.205
130,0.04,0.04,1.16,2.32,0.18
131,0.04,0.04,1.2,2.4,0.218
132,0.04,0.04,1.24,2.48,0.19
133,0.04,0.04,1.28,2.56,0.19
134,0.04,0.04,1.32,2.64,0.184
135,0.04,0.04,1.36,2.72,0.182
136,0.04,0.04,1.4,2.8,0.216
137,0.04,0.04,1.44,2.88,0.209
138,0.04,0.04,1.48,2.96,0.222
139,0.04,0.04,1.52,3.04,0.195
140,0.04,0.04,1.56,3.12,0.204
141,0.04,0.04,1.6,3.2,0.226
142,0.04,0.04,1.64,3.28,0.202
143,0.04,0.04,1.68,3.36,0.213
144,0.04,0.04,1.72,3.44,0.201
145,0.04,0.04,1.76,3.52,0.209
146,0.04,0.04,1.8,3.6,0.228
147,0.04,0.04,1.84,3.68,0.252
148,0.04,0.04,1.88,3.76,0.197
149,0.04,0.04,1.92,3.84,0.217
150,0.04,0.04,1.96,3.92,0.212
151,0.04,0.04,2,4,0.213
152,0.04,0.04,2.04,4.08,0.198
153,0.04,0.04,2.08,4.16,0.205
154,0.04,0.04,2.12,4.24,0.205
155,0.04,0.04,2.16,4.32,0.215
156,0.04,0.04,2.2,4.4,0.224
157,0.04,0.04,2.24,4.48,0.219
158,0.04,0.04,2.28,4.56,0.206
159,0.04,0.04,2.32,4.64,0.233
160,0.04,0.04,2.36,4.72,0.206
161,0.04,0.04,2.4,4.8,0.202
162,0.04,0.04,2.44,4.88,0.206
163,0.04,0.04,2.48,4.96,0.238
164,0.04,0.04,2.52,5.04,0.2
165,0.04,0.04,2.56,5.12,0.212
166,0.04,0.04,2.6,5.2,0.187
167,0.04,0.04,2.64,5.28,0.218
168,0.04,0.04,2.68,5.36,0.217
169,0.04,0.04,2.72,5.44,0.22
170,0.04,0.04,2.76,5.52,0.213
171,0.04,0.04,2.8,5.6,0.223
172,0.04,0.04,2.84,5.68,0.22
173,0.04,0.04,2.88,5.76,0.198
174,0.04,0.04,2.92,5.84,0.221
175,0.04,0.04,2.96,5.92,0.231
176,0.04,0.04,3,6,0.213
177,0.04,0.04,3.04,6.08,0.206
178,0.04,0.04,3.08,6.16,0.219
179,0.04,0.04,3.12,6.24,0.214
180,0.04,0.04,3.16,6.32,0.212
181,0.04,0.04,3.2,6.4,0.226
182,0.04,0.04,3.24,6.48,0.2
183,0.04,0.04,3.28,6.56,0.217
184,0.04,0.04,3.32,6.64,0.217
185,0.04,0.04,3.36,6.72,0.232
186,0.04,0.04,3.4,6.8,0.212
187,0.04,0.04,3.44,6.88,0.233
188,0.04,0.04,3.48,6.96,0.213
189,0.04,0.04,3.52,7.04,0.239
190,0.04,0.04,3.56,7.12,0.227
191,0.04,0.04,3.6,7.2,0.226
192,0.04,0.04,3.64,7.28,0.215
193,0.04,0.04,3.68,7.36,0.219
194,0.04,0.04,3.72,7.44,0.217
195,0.04,0.04,3.76,7.52,0.202
196,0.04,0.04,3.8,7.6,0.213
197,0.04,0.04,3.84,7.68,0.218
198,0.04,0.04,3.88,7.76,0.224
199,0.04,0.04,3.92,7.84,0.224
200,0.04,0.04,3.96,7.92,0.239
201,0.04,0.04,4,8,0.218
202,0.08,0.08,0,0,0.209
203,0.08,0.08,0.04,0.08,0.189
204,0.08,0.08,0.08,0.16,0.197
205,0.08,0.08,0.12,0.24,0.194
206,0.08,0.08,0.16,0.32,0.169
207,0.08,0.08,0.2,0.4,0.188
208,0.08,0.08,0.24,0.48,0.177
209,0.08,0.08,0.28,0.56,0.193
210,0.08,0.08,0.32,0.64,0.192
211,0.08,0.08,0.36,0.72,0.185
212,0.08,0.08,0.4,0.8,0.189
213,0.08,0.08,0.44,0.88,0.189
214,0.08,0.08,0.48,0.96,0.187
215,0.08,0.08,0.52,1.04,0.21
216,0.08,0.08,0.56,1.12,0.184
217,0.08,0.08,0.6,1.2,0.201
218,0.08,0.08,0.64,1.28,0.192
219,0.08,0.08,0.68,1.36,0.203
220,0.08,0.08,0.72,1.44,0.176
221,0.08,0.08,0.76,1.52,0.175
222,0.08,0.08,0.8,1.6,0.211
223,0.08,0.08,0.84,1.68,0.19
224,0.08,0.08,0.88,1.76,0.198
225,0.08,0.08,0.92,1.84,0.202
226,0.08,0.08,0.96,1.92,0.211
227,0.08,0.08,1,2,0.229
228,0.08,0.08,1.04,2.08,0.207
229,0.08,0.08,1.08,2.16,0.219
230,0.08,0.08,1.12,2.24,0.216
231,0.08,0.08,1.16,2.32,0.211
232,0.08,0.08,1.2,2.4,0.195
233,0.08,0.08,1.24,2.48,0.22
234,0.08,0.08,1.28,2.56,0.198
235,0.08,0.08,1.32,2.64,0.228
236,0.08,0.08,1.36,2.72,0.194
237,0.08,0.08,1.4,2.8,0.203
238,0.08,0.08,1.44,2.88,0.199
239,0.08,0.08,1.48,2.96,0.209
240,0.08,0.08,1.52,3.04,0.222
241,0.08,0.08,1.56,3.12,0.198
242,0.08,0.08,1.6,3.2,0.216
243,0.08,0.08,1.64,3.28,0.235
244,0.08,0.08,1.68,3.36,0.21
245,0.08,0.08,1.72,3.44,0.223
246,0.08,0.08,1.76,3.52,0.234
247,0.08,0.08,1.8,3.6,0.22
248,0.08,0.08,1.84,3.68,0.202
249,0.08,0.08,1.88,3.76,0.236
250,0.08,0.08,1.92,3.84,0.224
251,0.08,0.08,1.96,3.92,0.225
252,0.08,0.08,2,4,0.217
253,0.08,0.08,2.04,4.08,0.208
254,0.08,0.08,2.08,4.16,0.226
255,0.08,0.08,2.12,4.24,0.227
256,0.08,0.08,2.16,4.32,0.225
257,0.08,0.08,2.2,4.4,0.211
258,0.08,0.08,2.24,4.48,0.212
259,0.08,0.08,2.28,4.56,0.219
260,0.08,0.08,2.32,4.64,0.212
261,0.08,0.08,2.36,4.72,0.219
262,0.08,0.08,2.4,4.8,0.251
263,0.08,0.08,2.44,4.88,0.226
264,0.08,0.08,2.48,4.96,0.208
265,0.08,0.08,2.52,5.04,0.205
266,0.08,0.08,2.56,5.12,0.229
267,0.08,0.08,2.6,5.2,0.236
268,0.08,0.08,2.64,5.28,0.185
269,0.08,0.08,2.68,5.36,0.244
270,0.08,0.08,2.72,5.44,0.236
271,0.08,0.08,2.76,5.52,0.234
272,0.08,0.08,2.8,5.6,0.215
273,0.08,0.08,2.84,5.68,0.202
274,0.08,0.08,2.88,5.76,0.238
275,0.08,0.08,2.92,5.84,0.213
276,0.08,0.08,2.96,5.92,0.211
277,0.08,0.08,3,6,0.226
278,0.08,0.08,3.04,6.08,0.206
279,0.08,0.08,3.08,6.16,0.222
280,0.08,0.08,3.12,6.24,0.218
281,0.08,0.08,3.16,6.32,0.228
282,0.08,0.08,3.2,6.4,0.236
283,0.08,0.08,3.24,6.48,0.248
284,0.08,0.08,3.28,6.56,0.214
285,0.08,0.08,3.32,6.64,0.241
286,0.08,0.08,3.36,6.72,0.215
287,0.08,0.08,3.4,6.8,0.233
288,0.08,0.08,3.44,6.88,0.213
289,0.08,0.08,3.48,6.96,0.236
290,0.08,0.08,3.52,7.04,0.211
291,0.08,0.08,3.56,7.12,0.226
292,0.08,0.08,3.6,7.2,0.235
293,0.08,0.08,3.64,7.28,0.209
