$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
-0.5,1.5,-1.5,-1.5,0.266
9.9,11.9,-1.3,-1.3,0.109
7.8,9.8,-2.8,-2.8,0.109
-1.2,0.8,-2.0,-2.0,0.334
-3.3,-1.2999999999999998,-3.5,-3.5,0.531
7.1,9.1,-3.3,-3.3,0.109
10.6,12.6,-0.8,-0.8,0.109
8.5,10.5,-2.3,-2.3,0.109
-2.6,-0.6000000000000001,-3.0,-3.0,0.45
11.3,13.3,-0.3,-0.3,0.109
-1.9,0.10000000000000009,-2.5,-2.5,0.407
0.2,2.2,-1.0,-1.0,0.244
0.9,2.9,-0.5,-0.5,0.212
-4.0,-2.0,-4.0,-4.0,0.582
1.6,3.6,0.0,0.0,0.213
9.2,11.2,-1.8,-1.8,0.109
6.4,8.4,-3.8,-3.8,0.109
2.3,4.3,0.5,0.5,0.187
12.7,14.7,0.7,0.7,0.109
12.0,14.0,0.2,0.2,0.109
-0.4,1.6,-1.5,-1.5,0.262
7.9,9.9,-2.8,-2.8,0.111
10.7,12.7,-0.8,-0.8,0.111
-2.5,-0.5,-3.0,-3.0,0.432
7.2,9.2,-3.3,-3.3,0.111
8.6,10.6,-2.3,-2.3,0.111
10.0,12.0,-1.3,-1.3,0.111
-1.1,0.8999999999999999,-2.0,-2.0,0.325
-3.2,-1.2000000000000002,-3.5,-3.5,0.511
-3.9,-1.9,-4.0,-4.0,0.545
11.4,13.4,-0.3,-0.3,0.111
1.7,3.7,0.0,0.0,0.187
9.3,11.3,-1.8,-1.8,0.111
-1.8,0.19999999999999996,-2.5,-2.5,0.355
1.0,3.0,-0.5,-0.5,0.198
6.5,8.5,-3.8,-3.8,0.111
0.3,2.3,-1.0,-1.0,0.24
12.1,14.1,0.2,0.2,0.111
12.8,14.8,0.7,0.7,0.111
2.4,4.4,0.5,0.5,0.164
8.0,10.0,-2.8,-2.8,0.096
-0.3,1.7,-1.5,-1.5,0.261
10.8,12.8,-0.8,-0.8,0.096
-2.4,-0.3999999999999999,-3.0,-3.0,0.396
7.3,9.3,-3.3,-3.3,0.096
-3.8,-1.7999999999999998,-4.0,-4.0,0.529
9.4,11.4,-1.8,-1.8,0.096
10.1,12.1,-1.3,-1.3,0.096
-3.1,-1.1,-3.5,-3.5,0.463
-1.0,1.0,-2.0,-2.0,0.285
8.7,10.7,-2.3,-2.3,0.096
12.2,14.2,0.2,0.2,0.096
1.8,3.8,0.0,0.0,0.185
1.1,3.1,-0.5,-0.5,0.211
6.6,8.6,-3.8,-3.8,0.096
11.5,13.5,-0.3,-0.3,0.096
0.4,2.4,-1.0,-1.0,0.227
12.9,14.9,0.7,0.7,0.096
-1.7,0.30000000000000004,-2.5,-2.5,0.322
2.5,4.5,0.5,0.5,0.161
8.1,10.1,-2.8,-2.8,0.1
10.9,12.9,-0.8,-0.8,0.1
-0.2,1.8,-1.5,-1.5,0.244
-2.3,-0.2999999999999998,-3.0,-3.0,0.355
-0.9,1.1,-2.0,-2.0,0.256
-3.0,-1.0,-3.5,-3.5,0.438
8.8,10.8,-2.3,-2.3,0.1
