sigx1,sigx2,sigh1,sigh2,success_rate
0.0,0.0,0.0,0.0,0.194
2.2,4.4,0.84,0.84,0.429
1.36,2.72,0.24,0.24,0.241
3.28,6.56,0.88,0.88,0.375
1.08,2.16,0.04,0.04,0.198
3.8,7.6,0.52,0.52,0.276
0.32,0.64,0.96,0.96,0.816
1.92,3.84,0.64,0.64,0.404
0.56,1.12,0.4,0.4,0.43
3.52,7.04,0.32,0.32,0.28
2.44,4.88,0.28,0.28,0.25
2.16,4.32,0.08,0.08,0.225
0.28,0.56,0.2,0.2,0.275
3.24,6.48,0.12,0.12,0.234
2.72,5.44,0.48,0.48,0.31
1.64,3.28,0.44,0.44,0.328
0.84,1.68,0.6,0.6,0.547
3.0,6.0,0.68,0.68,0.32
1.12,2.24,0.8,0.8,0.609
0.04,0.08,0.76,0.76,0.429
2.24,4.48,0.84,0.84,0.418
3.32,6.64,0.88,0.88,0.342
0.04,0.08,0.0,0.0,0.122
3.84,7.68,0.52,0.52,0.277
3.56,7.12,0.32,0.32,0.273
1.4,2.8,0.24,0.24,0.283
2.2,4.4,0.08,0.08,0.211
3.28,6.56,0.12,0.12,0.239
1.96,3.92,0.64,0.64,0.366
1.12,2.24,0.04,0.04,0.205
2.48,4.96,0.28,0.28,0.264
2.76,5.52,0.48,0.48,0.302
0.6,1.2,0.4,0.4,0.443
0.36,0.72,0.96,0.96,0.822
0.32,0.64,0.2,0.2,0.249
3.04,6.08,0.68,0.68,0.326
1.16,2.32,0.8,0.8,0.587
1.68,3.36,0.44,0.44,0.34
0.88,1.76,0.6,0.6,0.548
0.08,0.16,0.76,0.76,0.578
2.28,4.56,0.84,0.84,0.422
0.08,0.16,0.0,0.0,0.137
3.36,6.72,0.88,0.88,0.37
1.44,2.88,0.24,0.24,0.256
3.32,6.64,0.12,0.12,0.22
3.6,7.2,0.32,0.32,0.232
3.88,7.76,0.52,0.52,0.278
2.52,5.04,0.28,0.28,0.243
2.24,4.48,0.08,0.08,0.212
0.64,1.28,0.4,0.4,0.419
1.16,2.32,0.04,0.04,0.18
0.4,0.8,0.96,0.96,0.814
2.8,5.6,0.48,0.48,0.292
2.0,4.0,0.64,0.64,0.402
1.2,2.4,0.8,0.8,0.614
0.92,1.84,0.6,0.6,0.51
0.12,0.24,0.76,0.76,0.662
0.36,0.72,0.2,0.2,0.245
3.08,6.16,0.68,0.68,0.364
1.72,3.44,0.44,0.44,0.322
2.32,4.64,0.84,0.84,0.422
0.44,0.88,0.96,0.96,0.802
2.28,4.56,0.08,0.08,0.219
3.92,7.84,0.52,0.52,0.274
1.2,2.4,0.04,0.04,0.218
0.12,0.24,0.0,0.0,0.146
0.68,1.36,0.4,0.4,0.406
1.48,2.96,0.24,0.24,0.286
2.56,5.12,0.28,0.28,0.266
3.4,6.8,0.88,0.88,0.394
2.84,5.68,0.48,0.48,0.293
3.36,6.72,0.12,0.12,0.223
3.64,7.28,0.32,0.32,0.269
1.24,2.48,0.8,0.8,0.59
3.12,6.24,0.68,0.68,0.311
0.96,1.92,0.6,0.6,0.524
0.16,0.32,0.76,0.76,0.723
0.4,0.8,0.2,0.2,0.286
1.76,3.52,0.44,0.44,0.332
2.04,4.08,0.64,0.64,0.399
