,$\mu_h$,$\mu_x$,success_rate
0,-4,-4,0.774
1,-4,-3.92,0.76
2,-4,-3.84,0.728
3,-4,-3.76,0.741
4,-4,-3.68,0.732
5,-4,-3.6,0.699
6,-4,-3.52,0.712
7,-4,-3.44,0.712
8,-4,-3.36,0.708
9,-4,-3.28,0.715
10,-4,-3.2,0.675
11,-4,-3.12,0.667
12,-4,-3.04,0.668
13,-4,-2.96,0.649
14,-4,-2.88,0.656
15,-4,-2.8,0.66
16,-4,-2.72,0.607
17,-4,-2.64,0.622
18,-4,-2.56,0.592
19,-4,-2.48,0.583
20,-4,-2.4,0.556
21,-4,-2.32,0.563
22,-4,-2.24,0.511
23,-4,-2.16,0.516
24,-4,-2.08,0.497
25,-4,-2,0.441
26,-4,-1.92,0.4
27,-4,-1.84,0.384
28,-4,-1.76,0.395
29,-4,-1.68,0.391
30,-4,-1.6,0.331
31,-4,-1.52,0.33
32,-4,-1.44,0.306
33,-4,-1.36,0.308
34,-4,-1.28,0.26
35,-4,-1.2,0.262
36,-4,-1.12,0.262
37,-4,-1.04,0.246
38,-4,-0.96,0.224
39,-4,-0.88,0.222
40,-4,-0.8,0.217
41,-4,-0.72,0.196
42,-4,-0.64,0.197
43,-4,-0.56,0.172
44,-4,-0.48,0.162
45,-4,-0.4,0.161
46,-4,-0.32,0.142
47,-4,-0.24,0.134
48,-4,-0.16,0.136
49,-4,-0.08,0.131
50,-4,0,0.111
51,-4,0.08,0.154
52,-4,0.16,0.115
53,-4,0.24,0.112
54,-4,0.32,0.133
55,-4,0.4,0.109
56,-4,0.48,0.091
57,-4,0.56,0.116
58,-4,0.64,0.106
59,-4,0.72,0.106
60,-4,0.8,0.093
61,-4,0.88,0.102
62,-4,0.96,0.092
63,-4,1.04,0.104
64,-4,1.12,0.109
65,-4,1.2,0.083
66,-4,1.28,0.095
67,-4,1.36,0.097
68,-4,1.44,0.099
69,-4,1.52,0.087
70,-4,1.6,0.101
71,-4,1.68,0.091
72,-4,1.76,0.104
73,-4,1.84,0.105
74,-4,1.92,0.102
75,-4,2,0.096
76,-4,2.08,0.098
77,-4,2.16,0.11
78,-4,2.24,0.093
79,-4,2.32,0.095
80,-4,2.4,0.102
81,-4,2.48,0.096
82,-4,2.56,0.101
83,-4,2.64,0.1
84,-4,2.72,0.097
85,-4,2.8,0.11
86,-4,2.88,0.106
87,-4,2.96,0.098
88,-4,3.04,0.11
89,-4,3.12,0.111
90,-4,3.2,0.098
91,-4,3.28,0.096
92,-4,3.36,0.106
93,-4,3.44,0.109
94,-4,3.52,0.097
95,-4,3.6,0.093
96,-4,3.68,0.098
97,-4,3.76,0.091
98,-4,3.84,0.091
99,-4,3.92,0.106
100,-4,4,0.081
101,-3.92,-4,0.755
102,-3.92,-3.92,0.782
103,-3.92,-3.84,0.749
104,-3.92,-3.76,0.734
105,-3.92,-3.68,0.747
106,-3.92,-3.6,0.745
107,-3.92,-3.52,0.729
108,-3.92,-3.44,0.726
109,-3.92,-3.36,0.74
110,-3.92,-3.28,0.71
111,-3.92,-3.2,0.688
112,-3.92,-3.12,0.697
113,-3.92,-3.04,0.688
114,-3.92,-2.96,0.673
115,-3.92,-2.88,0.665
116,-3.92,-2.8,0.637
117,-3.92,-2.72,0.643
118,-3.92,-2.64,0.631
119,-3.92,-2.56,0.578
120,-3.92,-2.48,0.594
121,-3.92,-2.4,0.58
122,-3.92,-2.32,0.562
123,-3.92,-2.24,0.547
124,-3.92,-2.16,0.501
125,-3.92,-2.08,0.513
126,-3.92,-2,0.479
127,-3.92,-1.92,0.465
128,-3.92,-1.84,0.398
129,-3.92,-1.76,0.401
130,-3.92,-1.68,0.381
131,-3.92,-1.6,0.327
132,-3.92,-1.52,0.32
133,-3.92,-1.44,0.342
134,-3.92,-1.36,0.306
135,-3.92,-1.28,0.296
136,-3.92,-1.2,0.291
137,-3.92,-1.12,0.264
138,-3.92,-1.04,0.256
139,-3.92,-0.96,0.23
140,-3.92,-0.88,0.215
141,-3.92,-0.8,0.203
142,-3.92,-0.72,0.184
143,-3.92,-0.64,0.194
144,-3.92,-0.56,0.166
145,-3.92,-0.48,0.176
146,-3.92,-0.4,0.162
147,-3.92,-0.32,0.159
148,-3.92,-0.24,0.153
149,-3.92,-0.16,0.134
150,-3.92,-0.08,0.131
151,-3.92,0,0.126
152,-3.92,0.08,0.129
153,-3.92,0.16,0.121
154,-3.92,0.24,0.118
155,-3.92,0.32,0.135
156,-3.92,0.4,0.108
157,-3.92,0.48,0.111
158,-3.92,0.56,0.111
159,-3.92,0.64,0.107
160,-3.92,0.72,0.095
161,-3.92,0.8,0.096
162,-3.92,0.88,0.109
163,-3.92,0.96,0.105
164,-3.92,1.04,0.087
165,-3.92,1.12,0.104
166,-3.92,1.2,0.108
167,-3.92,1.28,0.107
168,-3.92,1.36,0.093
169,-3.92,1.44,0.107
170,-3.92,1.52,0.112
171,-3.92,1.6,0.097
172,-3.92,1.68,0.114
173,-3.92,1.76,0.125
