sigx,sigh,success_rate
0.36,0.44,0.721
3.72,0.28,0.47
0.04,0.76,0.489
3.4,0.6,0.665
0.0,0.0,0.095
1.36,0.24,0.731
2.04,0.36,0.675
3.04,0.16,0.442
2.36,0.04,0.447
1.72,0.68,0.788
0.68,0.12,0.813
1.04,0.56,0.8
2.72,0.48,0.665
2.4,0.8,0.739
3.08,0.92,0.782
0.72,0.88,0.746
3.76,0.28,0.425
0.08,0.76,0.544
0.4,0.44,0.759
3.44,0.6,0.65
0.04,0.0,0.249
1.4,0.24,0.709
3.08,0.16,0.473
2.08,0.36,0.694
2.4,0.04,0.421
0.72,0.12,0.792
1.76,0.68,0.788
2.76,0.48,0.68
1.08,0.56,0.787
3.8,0.28,0.476
3.12,0.92,0.776
2.44,0.8,0.738
0.44,0.44,0.751
0.12,0.76,0.594
0.76,0.88,0.749
3.48,0.6,0.659
3.84,0.28,0.479
0.16,0.76,0.618
0.48,0.44,0.772
3.52,0.6,0.669
0.08,0.0,0.251
0.76,0.12,0.781
1.44,0.24,0.704
2.12,0.36,0.669
3.12,0.16,0.465
2.44,0.04,0.418
1.8,0.68,0.767
2.8,0.48,0.633
1.12,0.56,0.819
3.16,0.92,0.773
2.48,0.8,0.775
0.8,0.88,0.77
3.88,0.28,0.452
0.52,0.44,0.797
0.2,0.76,0.664
3.56,0.6,0.655
0.8,0.12,0.796
0.12,0.0,0.224
1.48,0.24,0.716
2.16,0.36,0.667
3.16,0.16,0.417
2.48,0.04,0.416
1.84,0.68,0.791
3.92,0.28,0.465
2.84,0.48,0.674
1.16,0.56,0.791
3.2,0.92,0.77
2.52,0.8,0.789
0.84,0.88,0.759
0.24,0.76,0.646
0.56,0.44,0.808
0.84,0.12,0.75
3.6,0.6,0.64
3.96,0.28,0.459
0.6,0.44,0.785
0.28,0.76,0.672
0.16,0.0,0.239
1.52,0.24,0.671
2.2,0.36,0.678
3.2,0.16,0.425
2.52,0.04,0.409
0.88,0.12,0.74
1.88,0.68,0.77
2.88,0.48,0.619
1.2,0.56,0.786
3.24,0.92,0.759
2.56,0.8,0.758
0.88,0.88,0.765
4.0,0.28,0.496
0.64,0.44,0.792
0.32,0.76,0.692
3.64,0.6,0.642
0.92,0.12,0.698
0.2,0.0,0.208
1.56,0.24,0.703
2.24,0.36,0.647
3.24,0.16,0.463
2.56,0.04,0.426
1.92,0.68,0.774
2.92,0.48,0.63
1.24,0.56,0.798
3.28,0.92,0.762
2.6,0.8,0.761
0.0,0.32,0.091
0.92,0.88,0.747
0.68,0.44,0.768
0.36,0.76,0.694
0.96,0.12,0.72
3.68,0.6,0.66
0.04,0.32,0.562
0.72,0.44,0.779
0.4,0.76,0.725
1.6,0.24,0.694
0.24,0.0,0.224
2.28,0.36,0.665
3.28,0.16,0.408
2.6,0.04,0.445
1.96,0.68,0.773
2.96,0.48,0.653
3.32,0.92,0.755
1.28,0.56,0.791
2.64,0.8,0.761
