,sigh,sigx,success_rate
0,0.0,0.0,0.095
1,0.0,0.04,0.249
2,0.0,0.08,0.251
3,0.0,0.12,0.224
4,0.0,0.16,0.239
5,0.0,0.2,0.208
6,0.0,0.24,0.224
7,0.0,0.28,0.237
8,0.0,0.32,0.238
9,0.0,0.36,0.34
10,0.0,0.4,0.492
11,0.0,0.44,0.533
12,0.0,0.48,0.568
13,0.0,0.52,0.585
14,0.0,0.56,0.596
15,0.0,0.6,0.617
16,0.0,0.64,0.597
17,0.0,0.68,0.594
18,0.0,0.72,0.578
19,0.0,0.76,0.606
20,0.0,0.8,0.577
21,0.0,0.84,0.597
22,0.0,0.88,0.54
23,0.0,0.92,0.562
24,0.0,0.96,0.544
25,0.0,1.0,0.54
26,0.0,1.04,0.521
27,0.0,1.08,0.527
28,0.0,1.12,0.513
29,0.0,1.16,0.507
30,0.0,1.2,0.521
31,0.0,1.24,0.478
32,0.0,1.28,0.492
33,0.0,1.32,0.488
34,0.0,1.36,0.457
35,0.0,1.4,0.484
36,0.0,1.44,0.461
37,0.0,1.48,0.492
38,0.0,1.52,0.464
39,0.0,1.56,0.457
40,0.0,1.6,0.466
41,0.0,1.64,0.451
42,0.0,1.68,0.448
43,0.0,1.72,0.436
44,0.0,1.76,0.454
45,0.0,1.8,0.44
46,0.0,1.84,0.43
47,0.0,1.88,0.443
48,0.0,1.92,0.432
49,0.0,1.96,0.428
50,0.0,2.0,0.424
51,0.0,2.04,0.423
52,0.0,2.08,0.417
53,0.0,2.12,0.422
54,0.0,2.16,0.409
55,0.0,2.2,0.39
56,0.0,2.24,0.401
57,0.0,2.28,0.411
58,0.0,2.32,0.395
59,0.0,2.36,0.403
60,0.0,2.4,0.386
61,0.0,2.44,0.389
62,0.0,2.48,0.402
63,0.0,2.52,0.397
64,0.0,2.56,0.399
65,0.0,2.6,0.394
66,0.0,2.64,0.392
67,0.0,2.68,0.39
68,0.0,2.72,0.407
69,0.0,2.76,0.38
70,0.0,2.8,0.392
71,0.0,2.84,0.386
72,0.0,2.88,0.402
73,0.0,2.92,0.399
74,0.0,2.96,0.377
75,0.0,3.0,0.381
76,0.0,3.04,0.351
77,0.0,3.08,0.375
78,0.0,3.12,0.366
79,0.0,3.16,0.37
80,0.0,3.2,0.394
81,0.0,3.24,0.37
