,opt,sigh,success_rate
0,2,0.0,0.516
1,2,0.01,0.512
2,2,0.02,0.505
3,2,0.03,0.484
4,2,0.04,0.514
5,2,0.05,0.502
6,2,0.06,0.52
7,2,0.07,0.514
8,2,0.08,0.543
9,2,0.09,0.511
10,2,0.1,0.527
11,2,0.11,0.536
12,2,0.12,0.551
13,2,0.13,0.518
14,2,0.14,0.546
15,2,0.15,0.543
16,2,0.16,0.551
17,2,0.17,0.532
18,2,0.18,0.503
19,2,0.19,0.554
20,2,0.2,0.591
21,2,0.21,0.545
22,2,0.22,0.54
23,2,0.23,0.536
24,2,0.24,0.577
25,2,0.25,0.541
26,2,0.26,0.567
27,2,0.27,0.531
28,2,0.28,0.554
29,2,0.29,0.556
30,2,0.3,0.528
31,2,0.31,0.55
32,2,0.32,0.541
33,2,0.33,0.576
34,2,0.34,0.549
35,2,0.35000000000000003,0.554
36,2,0.36,0.547
37,2,0.37,0.577
38,2,0.38,0.546
39,2,0.39,0.574
40,2,0.4,0.542
41,2,0.41000000000000003,0.582
42,2,0.42,0.569
43,2,0.43,0.569
44,2,0.44,0.576
45,2,0.45,0.581
46,2,0.46,0.585
47,2,0.47000000000000003,0.59
48,2,0.48,0.566
49,2,0.49,0.581
50,2,0.5,0.586
51,2,0.51,0.578
52,2,0.52,0.579
53,2,0.53,0.583
54,2,0.54,0.579
55,2,0.55,0.599
56,2,0.56,0.577
57,2,0.5700000000000001,0.606
58,2,0.58,0.601
59,2,0.59,0.611
60,2,0.6,0.6
61,2,0.61,0.584
62,2,0.62,0.595
63,2,0.63,0.636
64,2,0.64,0.615
65,2,0.65,0.595
66,2,0.66,0.574
67,2,0.67,0.604
68,2,0.68,0.603
69,2,0.6900000000000001,0.596
70,2,0.7000000000000001,0.636
71,2,0.71,0.631
72,2,0.72,0.644
73,2,0.73,0.603
74,2,0.74,0.587
75,2,0.75,0.618
76,2,0.76,0.629
77,2,0.77,0.633
78,2,0.78,0.627
79,2,0.79,0.604
80,2,0.8,0.623
81,2,0.81,0.629
82,2,0.8200000000000001,0.659
83,2,0.8300000000000001,0.626
84,2,0.84,0.638
85,2,0.85,0.618
86,2,0.86,0.672
87,2,0.87,0.629
88,2,0.88,0.659
89,2,0.89,0.658
90,2,0.9,0.625
91,2,0.91,0.653
92,2,0.92,0.639
93,2,0.93,0.649
94,2,0.9400000000000001,0.636
95,2,0.9500000000000001,0.669
96,2,0.96,0.641
97,2,0.97,0.658
98,2,0.98,0.675
99,2,0.99,0.667
100,2,1.0,0.699
101,2,1.01,0.669
102,2,1.02,0.637
103,2,1.03,0.662
104,2,1.04,0.66
105,2,1.05,0.677
106,2,1.06,0.692
107,2,1.07,0.681
108,2,1.08,0.656
109,2,1.09,0.7
110,2,1.1,0.652
111,2,1.11,0.714
112,2,1.12,0.69
113,2,1.1300000000000001,0.685
114,2,1.1400000000000001,0.69
115,2,1.1500000000000001,0.684
116,2,1.16,0.68
117,2,1.17,0.669
118,2,1.18,0.685
