,mum,nop,success_rate
0,1,2,0.612
1,2,2,0.682
2,3,2,0.7015
3,4,2,0.753
4,5,2,0.7595
5,6,2,0.7625
6,7,2,0.782
7,8,2,0.796
8,9,2,0.7985
9,10,2,0.819
10,11,2,0.817
11,12,2,0.81
12,13,2,0.833
13,14,2,0.848
14,15,2,0.8465
15,16,2,0.8465
16,17,2,0.835
17,18,2,0.8545
18,19,2,0.848
19,20,2,0.872
20,21,2,0.8795
21,22,2,0.863
22,23,2,0.8655
23,24,2,0.8675
24,25,2,0.878
25,26,2,0.8805
26,27,2,0.877
27,28,2,0.8835
28,29,2,0.8855
29,30,2,0.881
30,31,2,0.884
31,32,2,0.8825
32,33,2,0.8785
33,34,2,0.8805
34,35,2,0.8955
35,36,2,0.8865
36,37,2,0.8995
37,38,2,0.885
38,39,2,0.889
39,40,2,0.891
40,41,2,0.889
41,42,2,0.9025
42,43,2,0.8835
43,44,2,0.904
44,45,2,0.9
45,46,2,0.906
46,47,2,0.902
47,48,2,0.899
48,49,2,0.907
49,50,2,0.8975
50,51,2,0.8915
51,52,2,0.916
52,53,2,0.903
53,54,2,0.9015
54,55,2,0.9065
55,56,2,0.914
56,57,2,0.905
57,58,2,0.899
58,59,2,0.911
59,60,2,0.906
60,61,2,0.907
61,62,2,0.917
62,63,2,0.907
63,64,2,0.917
64,65,2,0.91
65,66,2,0.9
66,67,2,0.917
67,68,2,0.9115
68,69,2,0.914
69,70,2,0.9145
70,71,2,0.915
71,72,2,0.9125
72,73,2,0.919
73,74,2,0.9075
74,75,2,0.9165
75,76,2,0.915
76,77,2,0.9125
77,78,2,0.9075
78,79,2,0.919
79,80,2,0.922
80,81,2,0.92
81,82,2,0.917
82,83,2,0.919
83,84,2,0.913
84,85,2,0.922
85,86,2,0.9225
86,87,2,0.9125
87,88,2,0.919
88,89,2,0.917
89,90,2,0.9125
90,91,2,0.918
91,92,2,0.918
92,93,2,0.929
93,94,2,0.927
94,95,2,0.922
95,96,2,0.9215
96,97,2,0.931
97,98,2,0.923
98,99,2,0.925
99,100,2,0.923
100,1,10,0.2405
101,2,10,0.288
102,3,10,0.306
103,4,10,0.3405
104,5,10,0.3625
105,6,10,0.391
106,7,10,0.413
107,8,10,0.406
108,9,10,0.4255
109,10,10,0.424
110,11,10,0.453
111,12,10,0.447
112,13,10,0.4605
113,14,10,0.4595
114,15,10,0.4965
115,16,10,0.4775
116,17,10,0.4795
117,18,10,0.5045
118,19,10,0.485
119,20,10,0.516
120,21,10,0.5095
121,22,10,0.523
122,23,10,0.54
123,24,10,0.5455
124,25,10,0.526
125,26,10,0.546
126,27,10,0.5515
127,28,10,0.5585
128,29,10,0.528
129,30,10,0.5725
130,31,10,0.5545
131,32,10,0.573
132,33,10,0.564
133,34,10,0.579
134,35,10,0.5815
135,36,10,0.5655
136,37,10,0.5855
137,38,10,0.603
138,39,10,0.5755
139,40,10,0.6015
140,41,10,0.6035
141,42,10,0.607
142,43,10,0.609
143,44,10,0.604
144,45,10,0.6125
145,46,10,0.5895
146,47,10,0.614
147,48,10,0.6055
148,49,10,0.6115
149,50,10,0.6145
150,51,10,0.623
151,52,10,0.619
152,53,10,0.6105
153,54,10,0.626
154,55,10,0.625
155,56,10,0.627
156,57,10,0.614
157,58,10,0.6325
158,59,10,0.6275
159,60,10,0.638
160,61,10,0.6325
161,62,10,0.642
162,63,10,0.6345
163,64,10,0.6545
164,65,10,0.6605
165,66,10,0.661
166,67,10,0.652
167,68,10,0.663
168,69,10,0.663
169,70,10,0.645
170,71,10,0.658
171,72,10,0.655
172,73,10,0.676
173,74,10,0.663
174,75,10,0.6685
175,76,10,0.6715
176,77,10,0.661
177,78,10,0.6865
178,79,10,0.6675
179,80,10,0.666
180,81,10,0.692
181,82,10,0.6645
182,83,10,0.6755
183,84,10,0.67
184,85,10,0.669
185,86,10,0.6715
186,87,10,0.675
187,88,10,0.666
188,89,10,0.69
189,90,10,0.647
190,91,10,0.6765
191,92,10,0.671
192,93,10,0.6935
193,94,10,0.667
194,95,10,0.689
195,96,10,0.6735
196,97,10,0.682
197,98,10,0.701
198,99,10,0.665
199,100,10,0.681
