,muh,nop,success_rate
0,0,1,1.0
1,0,2,0.499
2,0,3,0.3325
3,0,4,0.264
4,0,5,0.1915
5,0,6,0.1655
6,0,7,0.1425
7,0,8,0.1375
8,0,9,0.095
9,0,10,0.0985
10,0,11,0.0915
11,0,12,0.0945
12,0,13,0.0765
13,0,14,0.071
14,0,15,0.071
15,0,16,0.0615
16,0,17,0.0585
17,0,18,0.054
18,0,19,0.0495
19,0,20,0.053
20,0,21,0.042
21,0,22,0.0535
22,0,23,0.0435
23,0,24,0.0495
24,0,25,0.0465
25,0,26,0.042
26,0,27,0.0375
27,0,28,0.038
28,0,29,0.0285
29,0,30,0.0265
30,0,31,0.03
31,0,32,0.026
32,0,33,0.0205
33,0,34,0.0255
34,0,35,0.031
35,0,36,0.028
36,0,37,0.0245
37,0,38,0.0235
38,0,39,0.0235
39,0,40,0.0225
40,0,41,0.028
41,0,42,0.0255
42,0,43,0.0225
43,0,44,0.0255
44,0,45,0.02
45,0,46,0.024
46,0,47,0.02
47,0,48,0.019
48,0,49,0.024
49,0,50,0.0175
50,2,1,1.0
51,2,2,0.796
52,2,3,0.628
53,2,4,0.5215
54,2,5,0.444
55,2,6,0.375
56,2,7,0.345
57,2,8,0.3015
58,2,9,0.261
59,2,10,0.238
60,2,11,0.238
61,2,12,0.203
62,2,13,0.175
63,2,14,0.1685
64,2,15,0.168
65,2,16,0.1555
66,2,17,0.159
67,2,18,0.1365
68,2,19,0.1205
69,2,20,0.118
70,2,21,0.1285
71,2,22,0.115
72,2,23,0.1215
73,2,24,0.105
74,2,25,0.089
75,2,26,0.1065
76,2,27,0.095
77,2,28,0.0905
78,2,29,0.085
79,2,30,0.088
80,2,31,0.0925
81,2,32,0.0775
82,2,33,0.0735
83,2,34,0.08
84,2,35,0.0665
85,2,36,0.071
86,2,37,0.065
87,2,38,0.0755
88,2,39,0.074
89,2,40,0.0595
90,2,41,0.063
91,2,42,0.0605
92,2,43,0.061
93,2,44,0.051
94,2,45,0.0605
95,2,46,0.0575
96,2,47,0.054
97,2,48,0.058
98,2,49,0.05
99,2,50,0.0505
100,4,1,1.0
101,4,2,0.9015
102,4,3,0.8385
103,4,4,0.796
104,4,5,0.738
105,4,6,0.7085
106,4,7,0.6695
107,4,8,0.633
108,4,9,0.597
109,4,10,0.5565
110,4,11,0.538
111,4,12,0.4965
112,4,13,0.4865
113,4,14,0.483
114,4,15,0.451
115,4,16,0.4275
116,4,17,0.4325
117,4,18,0.401
118,4,19,0.393
119,4,20,0.3755
120,4,21,0.334
121,4,22,0.346
122,4,23,0.3515
123,4,24,0.3355
124,4,25,0.322
125,4,26,0.31
126,4,27,0.307
127,4,28,0.277
128,4,29,0.293
129,4,30,0.266
130,4,31,0.2805
131,4,32,0.254
132,4,33,0.271
133,4,34,0.2655
134,4,35,0.2695
135,4,36,0.253
136,4,37,0.23
137,4,38,0.2565
138,4,39,0.252
139,4,40,0.2305
140,4,41,0.216
141,4,42,0.2225
142,4,43,0.239
143,4,44,0.2185
144,4,45,0.207
145,4,46,0.1965
146,4,47,0.2055
147,4,48,0.2085
148,4,49,0.1885
149,4,50,0.193
